Date,Tavg,RH,Precipitation,SAvg,dewpoint,q,qsat,lcl,Tmin,Tmax,tendt,tendq,bowen,R2,R1,std_Tavg,std_RH,std_Precipitation,std_SAvg,std_dewpoint,std_q,std_qsat,std_lcl,std_Tmin,std_Tmax,std_tendt,std_tendq,std_bowen,std_R2,std_R1,period_start,period_end
1,-2.8783397435897435,0.8884983333333334,0.003076923076923077,,-4.63030677524665,0.002814380479983728,0.0032139524309463723,271.10906656371867,-7.109999999999999,2.022,-2.779413728632475e-06,-7.640927322155394e-06,2.0524780007641583,0.5141117100335377,0.6255148961845698,3.9985059643305085,0.07761892659413036,0.006880209161537814,,4.752484944027346,0.0009607348905718309,0.0009164384578634871,180.48441423673734,5.014209808135276,4.2322535368288134,2.8809195562607694e-05,1.4057474456494529e-05,1.7661107763534272,0.10006669338549788,0.09661473982248625,2013-05-14 00:00:00,2019-01-01 00:00:00
2,-1.7044791666666668,0.8800322916666665,0.0,,-3.6159088884037094,0.002954844059355162,0.0034678599929794506,278.71216501947555,-5.6075,3.615,2.289593219521605e-05,1.057778024253396e-05,2.061845945040818,0.528826792630227,0.6142291907640731,3.021058562005948,0.04352211128848124,0.0,,2.8189185981551894,0.0006439991627780727,0.0008436978032275956,90.40545432113674,3.786241540102797,5.256903397755502,2.4356878352709642e-05,1.4440669142717387e-05,0.621860781585723,0.15277515934437497,0.1410698818035344,2013-05-14 00:00:00,2019-01-01 00:00:00
3,-0.058437500000000114,0.8719364583333334,0.0020833333333333333,,-2.0168781983022024,0.0033958022577218246,0.0038741018650551707,266.8996305528354,-3.5100000000000002,3.1700000000000004,1.910856240354938e-05,1.1563439754980781e-05,1.3386863862965404,0.6213267598568765,0.692611305601739,3.76275864090418,0.09095498456546104,0.004166666666666667,,4.825007718189352,0.0011034520870037748,0.0010550533317234675,202.68596428396668,3.2215006854984005,5.154208636315246,2.0976675959910754e-05,1.4796078226662085e-05,0.8700107757610972,0.07836722871458528,0.06022876497262522,2013-05-14 00:00:00,2019-01-01 00:00:00
4,-0.6743750000000005,0.9075406249999999,0.014583333333333332,,-2.0544920013023775,0.0034743464737457246,0.0038399377663946824,211.81598197212546,-3.8150000000000004,2.7300000000000004,-7.150292968750003e-06,2.0596993398892285e-06,2.345321899370269,0.626130927738875,0.7099710957225295,5.8171058165567615,0.05656583526845557,0.029166666666666667,,5.791081388803746,0.0013846342372562546,0.001566564603732008,115.05964432006078,6.430658338511438,6.226079558330962,2.5028194114805533e-05,1.0168017916568253e-05,0.9440607512265103,0.09997422440931628,0.01211607219442674,2013-05-14 00:00:00,2019-01-01 00:00:00
5,1.389895833333334,0.8855114583333332,0.006250000000000001,,-0.4485242290356312,0.0037527924462097875,0.004374495031900392,246.51029656686052,-1.1525,3.9799999999999995,2.3963699604552473e-05,7.301810556038077e-06,2.5645043859846717,0.6953284508597644,0.7386272972048685,5.0254131184406505,0.09203925002957682,0.012500000000000002,,3.604556758121968,0.0010703056087098695,0.0017206981256325483,171.0578571628116,5.1166484798808165,5.2955452977007,2.5268501658768036e-05,1.5148794239886776e-05,1.7606340983275497,0.0762846828862114,0.09672979352509517,2013-05-14 00:00:00,2019-01-01 00:00:00
6,1.1748166666666668,0.8865691666666666,0.056333333333333326,,-0.598026571872888,0.00418931510247208,0.00452051303845063,251.83709334498377,-2.226,3.854,-2.6470474054783955e-05,-9.020679992526381e-06,1.2188928249869835,0.6504707503324011,0.7374871112768371,7.224270943944986,0.15463041131171631,0.0779012908180032,,9.25630364452085,0.002391864138333249,0.002213264814177542,350.26583949694236,7.364172051222052,7.334148212301139,5.155421335232547e-05,3.300887375042156e-05,1.6956695728488738,0.10149401112634385,0.15916640632449366,2013-05-14 00:00:00,2019-01-01 00:00:00
7,-1.0599166666666668,0.88981,0.07166666666666668,,-2.745474779404307,0.003891835859351355,0.004079068460757754,266.0707119540426,-3.906,1.7339999999999995,-2.5942564043209878e-05,-7.800928339523638e-06,1.7535754956725174,0.6770893075322654,0.7405011732123622,9.1671094466925,0.17129668419331698,0.13814243856734734,,11.569423505990835,0.002685974487893997,0.0024514088560895477,405.6569184816232,9.585892238075703,9.769607463967013,3.09798249188375e-05,1.4340751051430842e-05,2.0002064287939874,0.16611210841881965,0.2066650732362494,2013-05-14 00:00:00,2019-01-01 00:00:00
8,-1.2494166666666666,0.8915166666666667,0.003333333333333333,,-3.045417596714143,0.0036196664372102963,0.0038536538249738426,271.19753649962547,-4.756,2.31,-2.1998668981481434e-06,-7.137217830927175e-06,1.6817393176563107,0.6216615132287528,0.7118513710130031,7.529012966518253,0.1675151128132423,0.007453559924999299,,10.208441600066285,0.0021995459238983084,0.0019101908353093507,420.7275491511051,9.4834503214811,7.504758490451241,2.8924574837660324e-05,1.5284671483881503e-05,0.895869038461319,0.22349696454335868,0.22972091514686185,2013-05-14 00:00:00,2019-01-01 00:00:00
9,0.7790595238095236,0.8670591666666667,0.05880952380952381,,-2.2825329383363098,0.0036621600573901575,0.004216182962196757,398.8957953046569,-2.03,3.742,2.3548166887125212e-05,1.1143287929353318e-06,1.4891322780184415,0.6643980422588891,0.7085872713946078,5.535483114316767,0.13589570437931442,0.07918948829667573,,6.484869142639255,0.0013488139756239136,0.0013743271639122768,485.42718443452713,6.304054251035598,5.173593528680041,3.6689591599827165e-05,4.021922108637819e-05,0.8408254766035644,0.11158936041887413,0.1619715187355512,2013-05-14 00:00:00,2019-01-01 00:00:00
10,1.794583333333334,0.9439483333333334,0.09333333333333334,,0.9249851997909948,0.004470349728873857,0.004658404981455715,138.19865238909284,-1.7,5.386,1.1789009038800709e-05,2.1193511338298342e-05,-0.1515046459232934,0.6044306377674646,0.7341232204224092,7.008822918145148,0.07603723038429193,0.1251942934446739,,8.164621731358778,0.0018136372117991148,0.0016727672142751932,213.1585049817083,8.286552359093617,6.65005864635794,3.163737133019516e-05,2.1180218139188886e-05,1.8734087294055586,0.09121568704887938,0.08673686782531895,2013-05-14 00:00:00,2019-01-01 00:00:00
