Date,Tavg,RH,Precipitation,SAvg,dewpoint,q,qsat,lcl,Tmin,Tmax,tendt,tendq,bowen,R2,R1,std_Tavg,std_RH,std_Precipitation,std_SAvg,std_dewpoint,std_q,std_qsat,std_lcl,std_Tmin,std_Tmax,std_tendt,std_tendq,std_bowen,std_R2,std_R1,period_start,period_end
1,-0.17210317460317456,0.8215187500000001,0.019047619047619046,3.402281746031745,-3.1318089999904206,0.0032182857238397997,0.004005211437625466,404.2363669788888,-3.806666666666667,3.1649999999999996,4.4847538083017e-06,-3.8647169752191154e-06,0.03261040344002812,0.6091224091204915,0.6528775667136096,5.819081039922666,0.10294161511878415,0.0324019539737219,1.3160104181690209,5.966613342010389,0.0012867166937615218,0.0015718766186971365,234.85371866148907,7.137878302875909,5.597219845601922,2.4737278268756813e-05,1.5608412406841143e-05,1.8572850255293938,0.12535231047580161,0.1313841899888823,2012-10-01 00:00:00,2019-01-01 00:00:00
2,1.4229166666666668,0.8387825000000001,0.13,3.2674999999999996,-1.4089276469340446,0.0035553666102076326,0.004319022144286141,366.5691434359828,-1.5059999999999998,5.215999999999999,2.221439911265432e-05,1.3877270701565093e-05,0.4414504741764135,0.6408909134794154,0.66722445267552,3.4177661721713632,0.18813923161377655,0.2542417921760482,1.608199476295014,4.647847355509016,0.0012127502657864253,0.001038100752854004,440.487805207879,3.659990437145977,4.820620292037114,4.055497821896005e-05,1.2799042427133888e-05,2.1147036822967737,0.18543668736060967,0.23883873632423508,2012-10-01 00:00:00,2019-01-01 00:00:00
3,1.8581231884057974,0.8821820289855072,0.07666666666666667,3.163333333333333,-0.10404307118229195,0.0038865312339850496,0.004572821582794186,267.21995213853495,-2.028,5.1579999999999995,5.052223857689213e-06,8.684274813838114e-06,0.9192032381474796,0.6040321543883653,0.7063057685514125,5.447297137406935,0.0835087053536587,0.10364871227157411,1.6261304828402372,4.413735795509037,0.001147095137947989,0.0016358349611966681,158.90566355664438,4.783322067350263,6.4741578602934915,4.356085411307403e-05,2.2570973911150093e-05,1.7428975486833136,0.07674047641629335,0.11715825327198932,2012-10-01 00:00:00,2019-01-01 00:00:00
4,2.3057500000000006,0.8194908333333334,0.02333333333333333,3.243333333333333,-0.7584104356795374,0.00383638621611804,0.004926379916890338,412.8444339517696,-0.35600000000000004,5.112,5.196408472557706e-06,-1.314974741971903e-06,2.018671315505047,0.6790978538243585,0.6733889089785092,7.558801071984455,0.11859375449787721,0.03456073558887953,1.8202220560506708,6.143711444383256,0.001505402965928395,0.002428351330801308,256.2215361406627,8.124695686608822,7.983922594815157,2.626747877971282e-05,9.892921097760074e-06,0.3665585041220716,0.06847252002760731,0.09649840258128944,2012-10-01 00:00:00,2019-01-01 00:00:00
5,3.8814166666666674,0.8272558333333333,0.008333333333333333,3.4258333333333333,0.8057994698703762,0.0041643174336495,0.005470887851230589,399.1019907019274,1.366,6.361999999999999,1.8291593364197523e-05,8.599483787235121e-06,2.112959048283218,0.7105023268127314,0.7028779827221037,7.141034774894322,0.1581326484645617,0.01178511301977579,2.1656355719639344,4.190436541535015,0.0012902577706048,0.0027723598502861885,358.1287916549879,6.9765342398643755,7.905780796354019,3.079905043355317e-05,1.2477524076472897e-05,0.2674885737631761,0.08966580229281092,0.16464015436722299,2012-10-01 00:00:00,2019-01-01 00:00:00
6,2.0384722222222225,0.7104569444444445,0.06527777777777778,3.698611111111111,-5.260905716044178,0.0034589409923312434,0.004844176693001478,907.91225179783,-0.4633333333333332,4.433333333333334,-1.796171006944444e-05,-2.0734890168664945e-06,1.993891326089877,0.7172274557802193,0.5861228095856175,7.276216186366424,0.33459402951631245,0.11467546800847583,2.2703687088387374,13.830090060114614,0.0023507286530616736,0.002605143094074347,1356.8745864499758,7.919678444650809,7.73004182826113,5.0227695404746007e-05,2.7197231710023046e-05,0.40007328237872863,0.15831219506419927,0.27832490615270417,2012-10-01 00:00:00,2019-01-01 00:00:00
7,0.14250000000000113,0.8262750000000001,0.08,3.7108333333333325,-2.674721601181484,0.003761636135816447,0.004496045748543587,398.93197074105774,-2.4919999999999995,2.506,-2.544261188271604e-05,-8.486198829277452e-06,1.627566783066894,0.703783177745035,0.7118636744751947,9.497444233150599,0.16646817192972652,0.12227587206349784,2.827671426181698,10.679109608016569,0.0023852129218698433,0.002947975607592395,382.90105569094555,9.396197103083779,10.380993690393998,2.8942961058861225e-05,1.7597189859072357e-05,1.5403191733116572,0.10296829516260406,0.20682671376230838,2012-10-01 00:00:00,2019-01-01 00:00:00
8,0.15050804093567294,0.8539623903508772,0.0375,3.4983552631578942,-2.206023318460655,0.0036764134942826616,0.004275752945494669,332.020914480362,-3.43,3.285,5.474514853395058e-06,2.5575965286661893e-06,2.2014833925291706,0.6286844033850206,0.6916855777589208,7.580957689559084,0.10759554908631754,0.07596600116718882,2.723737864792035,8.578207228090884,0.0019095404192986728,0.00222676353150945,262.06883718533925,7.895244138087182,7.978818834890287,2.270126729794899e-05,1.1536707334718356e-05,1.2566903577826205,0.1561937293509301,0.1509615468222397,2012-10-01 00:00:00,2019-01-01 00:00:00
9,2.113313492063492,0.8508636904761905,0.02083333333333334,3.3513888888888883,-0.2996380637362542,0.00398572971474019,0.004790682885590207,328.63304508926416,-1.3150000000000002,4.903333333333333,2.2785808651402814e-05,8.111334574904195e-06,2.4046585268354423,0.6578052465381826,0.7076483397159227,6.806237006953428,0.10479348177246267,0.026744677559802026,2.7193949320200432,6.363867419545311,0.0015354447541614563,0.0020077283653465706,223.87977578323787,6.9055477697283365,7.738533883538061,5.734251847740723e-05,2.6186422850758453e-05,0.9604050204009459,0.1649399901204613,0.1417594452370202,2012-10-01 00:00:00,2019-01-01 00:00:00
10,4.184852053140099,0.7738385567632848,0.019444444444444445,3.493749999999999,-0.8364840089345705,0.0043117877107827825,0.005710005798761097,645.4366355813485,1.0383333333333333,6.498333333333335,2.4048069175461062e-05,8.550361480598177e-06,0.5623409658322284,0.692763346684512,0.6463810372964787,8.619491909822965,0.2471690354260167,0.02395984294760869,2.564461647532804,10.37794434967097,0.0022972495375374693,0.002463993579229286,823.3937601026245,9.085560888941677,8.26391049483637,3.628601291900173e-05,2.8102948480933252e-05,1.6985549826758701,0.16629594824320637,0.1852355660210753,2012-10-01 00:00:00,2019-01-01 00:00:00
