Date,Tavg
2011-04-17 00:00:00,1.3050000000000002
2011-04-17 02:00:00,1.36
2011-04-17 04:00:00,1.79
2011-04-17 06:00:00,4.695
2011-04-17 08:00:00,12.885000000000002
2011-04-17 10:00:00,15.455
2011-04-17 12:00:00,15.23
2011-04-17 14:00:00,15.785
2011-04-17 16:00:00,15.975
2011-04-17 18:00:00,12.64
2011-04-17 20:00:00,7.665
2011-04-17 22:00:00,3.46
2011-04-18 00:00:00,4.51
2011-04-18 02:00:00,6.199999999999998
2011-04-18 04:00:00,4.515
2011-04-18 06:00:00,5.875
2011-04-18 08:00:00,13.3
2011-04-18 10:00:00,17.265
2011-04-18 12:00:00,18.41
2011-04-18 14:00:00,19.175
2011-04-18 16:00:00,18.5
2011-04-18 18:00:00,16.765
2011-04-18 20:00:00,11.405
2011-04-18 22:00:00,8.175
2011-04-19 00:00:00,6.435
2011-04-19 02:00:00,4.95
2011-04-19 04:00:00,4.845
2011-04-19 06:00:00,5.8
2011-04-19 08:00:00,10.495
2011-04-19 10:00:00,16.825
2011-04-19 12:00:00,20.03
2011-04-19 14:00:00,20.695
2011-04-19 16:00:00,20.325
2011-04-19 18:00:00,15.845
2011-04-19 20:00:00,9.83
2011-04-19 22:00:00,10.195
2011-04-20 00:00:00,11.605
2011-04-20 02:00:00,10.725
2011-04-20 04:00:00,10.035
2011-04-20 06:00:00,9.27
2011-04-20 08:00:00,15.445
2011-04-20 10:00:00,19.74
2011-04-20 12:00:00,21.365
2011-04-20 14:00:00,22.63
2011-04-20 16:00:00,22.675
2011-04-20 18:00:00,19.25
2011-04-20 20:00:00,11.05
2011-04-20 22:00:00,7.035
2011-04-21 00:00:00,5.335
2011-04-21 02:00:00,3.995
2011-04-21 04:00:00,2.5700000000000003
2011-04-21 06:00:00,8.355
2011-04-21 08:00:00,17.315
2011-04-21 10:00:00,21.64
2011-04-21 12:00:00,23.165
2011-04-21 14:00:00,23.185
2011-04-21 16:00:00,23.495
2011-04-21 18:00:00,20.12
2011-04-21 20:00:00,12.625
2011-04-21 22:00:00,10.545
2011-04-22 00:00:00,7.745
2011-04-22 02:00:00,5.51
2011-04-22 04:00:00,3.47
2011-04-22 06:00:00,7.0150000000000015
2011-04-22 08:00:00,15.2
2011-04-22 10:00:00,21.635
2011-04-22 12:00:00,24.21
2011-04-22 14:00:00,25.29
2011-04-22 16:00:00,24.875
2011-04-22 18:00:00,20.845
2011-04-22 20:00:00,13.72
2011-04-22 22:00:00,10.1
2011-04-23 00:00:00,9.705
2011-04-23 02:00:00,9.905
2011-04-23 04:00:00,9.329999999999998
2011-04-23 06:00:00,10.215
2011-04-23 08:00:00,15.89
2011-04-23 10:00:00,20.505000000000006
2011-04-23 12:00:00,23.905
2011-04-23 14:00:00,24.9
2011-04-23 16:00:00,23.505000000000006
2011-04-23 18:00:00,19.935
2011-04-23 20:00:00,14.79
2011-04-23 22:00:00,12.595
2011-04-24 00:00:00,10.62
2011-04-24 02:00:00,10.755
2011-04-24 04:00:00,11.255
2011-04-24 06:00:00,11.445
2011-04-24 08:00:00,13.63
2011-04-24 10:00:00,17.2
2011-04-24 12:00:00,19.69
2011-04-24 14:00:00,20.755000000000006
2011-04-24 16:00:00,20.55
2011-04-24 18:00:00,18.52
2011-04-24 20:00:00,15.03
2011-04-24 22:00:00,12.915
2011-04-25 00:00:00,12.595
2011-04-25 02:00:00,10.21
2011-04-25 04:00:00,8.805
2011-04-25 06:00:00,11.94
2011-04-25 08:00:00,16.805
2011-04-25 10:00:00,20.25
2011-04-25 12:00:00,22.345
2011-04-25 14:00:00,23.385
2011-04-25 16:00:00,22.745
2011-04-25 18:00:00,18.85
2011-04-25 20:00:00,15.875
2011-04-25 22:00:00,14.47
2011-04-26 00:00:00,14.285
2011-04-26 02:00:00,14.315
2011-04-26 04:00:00,14.25
2011-04-26 06:00:00,13.66
2011-04-26 08:00:00,14.47
2011-04-26 10:00:00,18.235
2011-04-26 12:00:00,20.865
2011-04-26 14:00:00,22.285
