Date,Tavg,RH,Precipitation,SAvg,dewpoint,q,qsat,lcl,Tmin,Tmax,tendt,tendq,bowen,R2,R1,std_Tavg,std_RH,std_Precipitation,std_SAvg,std_dewpoint,std_q,std_qsat,std_lcl,std_Tmin,std_Tmax,std_tendt,std_tendq,std_bowen,std_R2,std_R1,period_start,period_end
1,-1.2022708333333334,0.7304833333333334,0.0,3.253333333333333,-8.283742242476254,0.002517017571115788,0.0036860263093357764,745.1462984834246,-5.0275,2.69375,-2.1476445898092996e-06,-4.549952372838854e-06,0.6468912278925424,0.5783590129008842,0.5525599393500793,5.079125450387479,0.39895914704007535,0.0,3.0218696498286546,10.982239399552881,0.001400781786260827,0.0012379023903985379,1125.7521004840526,5.765264830988128,5.26413725803465,1.8433569002945216e-05,9.322561278778e-06,0.8716097559975228,0.12207855481578092,0.3095897832501494,2011-02-23 00:00:00,2019-01-01 00:00:00
2,1.7240972222222226,0.6833941666666667,0.004999999999999999,3.4135416666666667,-0.8382024547011607,0.003665667681385114,0.004493879129022959,307.05485270001174,-2.91,7.1433333333333335,3.297946164480453e-05,1.7397936700544843e-05,2.16189070731269,0.5198474923377607,0.5745052621640904,3.634371721042437,0.40642302972856986,0.011180339887498947,2.632729745787032,2.857113092739863,0.0007378831090162526,0.0010589785121591481,162.55463346114922,5.298056247342038,3.9940188615812353,3.2632900683000474e-05,1.1181954264793817e-05,1.4885303419781009,0.20290741265725992,0.1312619680519948,2011-02-23 00:00:00,2019-01-01 00:00:00
3,3.239652777777778,0.7134050000000001,0.013333333333333332,3.4124999999999996,2.4104439352273768,0.004541621885145659,0.004860420455394321,181.27181718591007,-0.7983333333333332,7.504999999999999,1.7593775720164606e-05,2.2970530315176916e-05,1.2824378224179682,0.5586776604223501,0.67155541669331,2.418173975576904,0.4440700983535551,0.029814239699997195,1.7069540502396745,2.0067470115467194,0.0006644606323267776,0.0008213460656577371,97.25199468988382,2.306073864096002,3.131240968050846,2.3160434097604375e-05,7.0936765324951445e-06,0.8001939864930984,0.04850521761332027,0.08496061467133312,2011-02-23 00:00:00,2019-01-01 00:00:00
4,3.9299999999999997,0.6604475,0.024999999999999998,4.929166666666667,3.136734043594123,0.0047648077824709,0.005218921796064691,315.76637422691135,0.5083333333333334,8.306666666666667,8.014100276491766e-06,5.8527014293898654e-06,1.2332873124824,0.5866342510806928,0.6360707214520733,4.212835265260466,0.41946830999111906,0.04714045207910317,3.158679620418069,1.7498118090808383,0.0005689684991764983,0.0013307619478870024,68.89630056874165,4.9378919253732825,5.247893545668268,2.9151223544715842e-05,1.0852864586187154e-05,1.6162881301252754,0.10784657538620841,0.10246703501986598,2011-02-23 00:00:00,2019-01-01 00:00:00
5,4.909906400966183,0.6745825000000002,0.06166666666666667,6.179166666666665,3.2558969249038463,0.004860372578448666,0.005527285495477405,301.92330884673095,1.8316666666666663,7.95,1.1375533798253263e-05,2.5060374545232033e-06,0.9823334052359372,0.6617488242579691,0.7091406172491519,3.881542670206307,0.4015760172325029,0.06861729616746302,3.7118164042040807,2.8616762488112033,0.0009514678304063822,0.0014253349322930597,96.29267762051882,3.389627806510129,5.307315705702837,2.109325403852892e-05,1.406216478149051e-05,0.7486178509768191,0.10442533537484668,0.08667668172711168,2011-02-23 00:00:00,2019-01-01 00:00:00
6,2.6697222222222217,0.7138294999999999,0.03166666666666666,6.770000000000001,1.73171490696331,0.00440512580693977,0.004894348719817354,218.61932294630265,-0.28166666666666657,5.376666666666666,-2.600584179722446e-05,-1.1938135259740304e-05,0.8145763657212833,0.671611827369175,0.7612115774231115,6.0862633849300956,0.4001049179857564,0.0291070819942883,4.994825146162851,3.788293016156982,0.0012491171262026066,0.001905864943175422,128.46469856812746,6.246270620671719,6.264294586517038,3.5006686323507104e-05,2.190399113093162e-05,2.368186793374729,0.0724751900107661,0.05061390607532744,2011-02-23 00:00:00,2019-01-01 00:00:00
7,0.16486111111111157,0.661745,0.03333333333333333,6.45901268115942,-2.079174770971628,0.0035297856709401105,0.004295600856837085,368.9662378169604,-2.5849999999999995,3.236666666666667,-2.9078422389403275e-05,-2.295442734762858e-05,1.6008752846504195,0.6694362844573168,0.7081616855587398,7.8488365807485305,0.3863746103088549,0.07453559924999298,5.3603471991701515,6.500038617973136,0.0017403635383848703,0.002217889039071873,253.4028731973274,7.465777253575142,8.898426078058224,2.6035651755290427e-05,1.4896314150765727e-05,0.9055903395740565,0.12511493418393155,0.1596521656090208,2011-02-23 00:00:00,2019-01-01 00:00:00
8,-0.3409027777777786,0.7265716666666667,0.10000000000000002,5.969375000000001,-1.300313715107759,0.0036395399259867046,0.0040676574981364415,200.36636782234416,-3.1183333333333336,2.6199999999999997,-5.871309960133761e-06,2.8781338475734134e-06,1.2943872778198533,0.6720514752245464,0.7854889763631235,7.18054594709759,0.4210519749830806,0.20514222708485289,5.33170671266785,5.728173620271401,0.00147756955156899,0.0019614260955724133,269.6165292191149,7.771227487769655,6.795522055000632,2.458359978992101e-05,2.4705852483037068e-05,0.9030880852753792,0.15892987699854016,0.1572225953381597,2011-02-23 00:00:00,2019-01-01 00:00:00
9,0.619166666666667,0.7862025,0.8721739130434782,3.3958333333333335,1.1801261934302767,0.00419203255055527,0.004181911423114274,66.63939601330429,-1.575,3.31,1.1145250610853922e-05,1.4488255809584758e-05,1.2406663455245983,0.7065497712397623,0.814270784178462,5.659622263602639,0.40907721190546315,1.894347623043146,2.272300749118489,2.8496153623546863,0.0007781171607988246,0.0014418018708712323,78.82422513064266,6.464576552257695,5.648847670100513,3.0840839382962106e-05,2.35763858350327e-05,0.37493921375913924,0.0972674173838266,0.09982286135637039,2011-02-23 00:00:00,2019-01-01 00:00:00
10,0.8984722222222228,0.8119058333333333,0.4926190476190476,5.897373188405798,2.9171707189042175,0.004708978762889836,0.004319603896434542,7.954316517327623,-1.5683333333333334,3.588333333333333,3.242401298868315e-06,1.3556106690017207e-05,1.2681528614290294,0.6929016479931542,0.8235609360524119,6.4006550210954245,0.41283564030735787,0.8124463177800589,5.813986544269735,2.284524363270965,0.0007826012887091327,0.001494412665182321,3.5683184240106356,7.240026012844614,6.3095971873540915,3.229829341368604e-05,2.6498772435225008e-05,0.09979258565965621,0.09527300770629527,0.05404455322808919,2011-02-23 00:00:00,2019-01-01 00:00:00
11,2.5216334541062797,0.754428731884058,1.789710144927536,6.577717391304348,3.8151527185015834,0.004997611845633141,0.004864364531223792,168.91083143065356,-1.305,6.114999999999999,1.8842948096987373e-05,7.568951605751389e-06,1.4108085833829447,0.6010628008332891,0.7036788364467341,6.37652370802538,0.37303768653245273,3.7336824286554995,6.407203311522687,1.092161179252993,0.00039412198397385074,0.0016492711130069648,160.471548996504,7.5853483769699075,7.476827535793507,2.026962156246812e-05,1.161183561243957e-05,1.139057202536201,0.13512914590386851,0.14040830201265594,2011-02-23 00:00:00,2019-01-01 00:00:00
12,1.6497222222222223,0.7123358333333334,1.1876190476190476,7.523958333333333,0.6715814259224864,0.004095125838928941,0.004480321632040744,275.9788161189798,-2.2816666666666667,5.551666666666667,-1.0121839879394783e-05,-2.3666285391432166e-05,1.143877236335867,0.5826687791958357,0.6832211876216954,4.955935293123754,0.378970114893825,2.6184882519544717,7.907983084826839,3.7570691830706737,0.001011568214786269,0.001385859577353708,303.6156356452134,6.590785739702564,3.62846202497238,3.691130885382704e-05,2.1986544286531904e-05,0.5232108916815085,0.1351701869613181,0.07828971759093219,2011-02-23 00:00:00,2019-01-01 00:00:00
13,2.31177536231884,0.6779309848484848,0.219,5.47,-0.25895087538325867,0.003757803373833367,0.004542322525444241,340.50917270106254,-1.7000000000000002,6.378333333333333,7.68564004070495e-06,-8.845754580779718e-06,0.2619934597236957,0.5782677627711913,0.614646261303562,1.70233400490208,0.3781173493569719,0.4850538343547262,5.432441815065677,1.811245346367674,0.00047552562807294887,0.0005982138477081449,277.2170749681539,1.5439170962198714,3.716844988248322,4.6011432755615845e-05,1.590153705637648e-05,2.027448156651712,0.1377436361739135,0.16443979540014372,2011-02-23 00:00:00,2019-01-01 00:00:00
14,2.243007246376812,0.6773991666666667,0.1418421052631579,2.5625000000000004,0.9950474534126045,0.004079389084523155,0.004542683164833744,332.88253897005364,-1.2166666666666666,6.274999999999999,-7.983150496510959e-07,8.433082785166721e-06,1.471893634376861,0.6030706693058899,0.6030073717685788,2.6992583205375857,0.3665304084228362,0.3033863585405192,1.274100990241094,0.9743154485091354,0.0002861958546892977,0.0009002335654551317,124.68536603259352,1.6123357797514346,4.601533440061042,3.260743382737357e-05,1.886101011742901e-05,1.3548118800485185,0.133225178269873,0.10905704757424414,2011-02-23 00:00:00,2019-01-01 00:00:00
15,2.043680555555555,0.7212441666666667,0.4017391304347827,6.661141304347825,2.4126805150220063,0.00462557342668352,0.004525554569199382,213.87952647551094,-0.5516666666666666,5.1016666666666675,-2.3139429501587934e-06,1.432283096012097e-05,0.4658492530937332,0.6792325124077322,0.7187368981772045,3.9545009905790574,0.3909729011038609,0.6481591097631801,7.517622000100124,4.036226735339438,0.0011571604252153124,0.00123744272020115,151.47911792106365,3.656880729073163,4.875269907058137,1.5571104699110774e-05,2.343375261581516e-05,0.20665120716351174,0.12231947079634624,0.06297892540375771,2011-02-23 00:00:00,2019-01-01 00:00:00
16,1.6190972222222226,0.7377767424242424,0.1727777777777778,6.033333333333333,1.6867658154336584,0.0043446528868863075,0.0043580496573120235,160.91302515811466,-1.2816666666666667,4.953333333333333,-4.928901427469136e-06,-7.366702217838473e-06,1.878806546894749,0.6529777544668088,0.7467034597354929,3.07684405430154,0.40970577154668575,0.3725247526782949,6.035842978653683,3.308485800991672,0.0009264942850788114,0.0009439193321640221,97.45063048439948,3.5991133167304787,4.013261350406507,2.091187570908132e-05,8.728136086418024e-06,1.9055023516602412,0.14133479578254618,0.11092317155736219,2011-02-23 00:00:00,2019-01-01 00:00:00
17,3.283351449275362,0.7033416666666666,-0.024999999999999994,6.227762681159421,2.0154189136726175,0.004420840013308568,0.004896122855166288,245.18140508571582,1.1433333333333333,5.341666666666666,1.9319988307109944e-05,1.997888348038749e-06,0.4922484925360031,0.7563294424437367,0.751398940959812,3.414296137550436,0.4144871259707425,0.1713913650100261,6.656406569925977,2.600281532758193,0.0007503964636347951,0.0011464631228771862,210.4213565854566,2.961186699056084,4.334657618159325,2.096161861883884e-05,6.474530731477768e-06,3.547499347260074,0.14293532986842866,0.15393652235629798,2011-02-23 00:00:00,2019-01-01 00:00:00
18,3.9786111111111118,0.7215066666666666,0.13749999999999998,6.462500000000001,4.008346931228056,0.005140129070748443,0.005251069597568744,193.83330647497354,1.7283333333333333,6.591666666666666,8.071127787283062e-06,1.8862231642208463e-05,1.333762512981184,0.7276833046484644,0.7769012117257723,4.69075176593578,0.4429347397398433,0.1503853075959907,6.720543580583235,3.39405664346322,0.0012305580770146458,0.0018603983757881392,321.9350710094769,4.310472905223587,6.160462374421798,3.0204546010024812e-05,2.681150359283641e-05,0.8264956285201934,0.15636666337259475,0.1917090165893824,2011-02-23 00:00:00,2019-01-01 00:00:00
19,3.040208333333334,0.7099125,0.06666666666666667,7.183333333333335,2.67651325889861,0.00477624805684316,0.0049620086661230954,220.7532567746606,-0.30333333333333323,6.004999999999999,-1.0893726691100819e-05,-9.542211025581813e-06,0.7785449596915277,0.6519152587040458,0.7330366730146494,5.048622452035253,0.4256497388592788,0.0884537962671703,8.509461645721194,5.073552423990616,0.001623588797045121,0.0018516196823803487,184.72020097943886,5.806467658281295,5.46714093471167,2.0896083560663435e-05,2.231894776917412e-05,0.7933479258828156,0.14661246070722103,0.14200009363343058,2011-02-23 00:00:00,2019-01-01 00:00:00
20,3.661805555555556,0.7246025,-0.6533333333333333,6.771875000000001,5.252387893621055,0.005593222204676925,0.005233726113735726,166.89611666304,0.2350000000000002,6.984999999999999,7.215995531121391e-06,2.14238705048345e-05,0.8049435660446442,0.6332306349091518,0.7518183479007643,5.815510550498808,0.4423909618835471,1.8857525023183717,6.71360935984319,2.802257920665072,0.001062241593583881,0.0018975279246280956,121.16328425476324,7.261536338819767,6.123798657696055,4.110548503032596e-05,1.8870129556247248e-05,0.7747220334253537,0.15172351137948767,0.13130848203071696,2011-02-23 00:00:00,2019-01-01 00:00:00
21,3.0707638888888886,0.7280566666666666,-0.21166666666666667,7.1677083333333345,5.291972534049744,0.005595499485970649,0.005163478148204704,179.38198126610774,-0.22666666666666638,6.3,-6.861282310956791e-06,5.971814367587797e-08,1.9984492092794501,0.6350205590075587,0.7420936246427531,7.3057521877583005,0.4292268856679511,0.6139467041653986,5.544034973259299,3.238935517452029,0.0011642089097383113,0.002239196752399542,233.43379374848215,8.684845805578052,7.072603481038648,4.0994594514716923e-05,2.6366047750916124e-05,1.0238129258837665,0.11322308033875625,0.11639716930259972,2011-02-23 00:00:00,2019-01-01 00:00:00
22,2.1106249999999998,0.7427675,-1.175,7.228125,4.197155056499074,0.00513819162730244,0.0046390461265232545,114.15699942924631,-0.9750000000000002,5.446666666666666,-1.1146056777263371e-05,-1.1992184050044614e-05,1.3133735290433357,0.6395451378938065,0.7312223990113448,5.384107992186615,0.4479686743198401,2.6413643360118946,5.475647237871621,1.7384436941577215,0.0006137240281295494,0.0014462615770239847,88.85165477109355,6.369473290626157,5.823915063483212,3.726582639319864e-05,2.9366226645824385e-05,0.43564274253567953,0.1123544191822698,0.10448045121085921,2011-02-23 00:00:00,2019-01-01 00:00:00
23,1.4302462121212123,0.7153260606060605,0.09545454545454546,6.728977272727272,2.6222036767077146,0.004588731876081997,0.004407457436043334,205.09836344981707,-0.8850000000000001,4.161666666666666,-7.898378752805835e-06,-1.4408723444894829e-05,1.3461568444238292,0.7073822760585862,0.7482429191969404,5.322232370243135,0.43131960787971896,0.19090909090909092,5.056839088406825,0.9316156742618645,0.0003334265466834905,0.0013719170091955179,156.66437176295398,5.6949828796933195,5.980523109784517,1.862542572643797e-05,8.556473761927476e-06,0.6071827894215002,0.13513767000238408,0.15349746229352002,2011-02-23 00:00:00,2019-01-01 00:00:00
24,1.6004861111111113,0.6380633333333334,0.2033333333333333,7.1125,-0.8391019213801678,0.0038949609924805533,0.0043785736481670974,570.8186133737581,-0.33000000000000024,3.813333333333333,1.9762803088757933e-06,-1.819305740544223e-05,0.3168864495134164,0.7508425212414899,0.6932764343895625,4.292144855371349,0.4295059618672527,0.14320245963126627,6.322687507287926,6.0046001643171305,0.0010441723455034747,0.0011468367799596143,873.1272119207545,4.679016990779153,4.257913416999771,1.9670122759964445e-05,3.4713576184982163e-05,3.499975332545463,0.12843157739754932,0.19074791947721345,2011-02-23 00:00:00,2019-01-01 00:00:00
25,-0.6769444444444445,0.5858574999999999,0.413,6.057291666666666,-8.282513180991089,0.002677500254539657,0.003628610315248229,987.5153869098784,-2.34,1.6066666666666667,-2.6438227398405343e-05,-3.1926005570096975e-05,1.5675519495236097,0.7686276439211714,0.6239034431793945,2.0895937548205836,0.49853888594780976,0.8550490564224306,5.799489496011856,14.105210496631544,0.0015971156720973514,0.0005323424745327803,1755.2392840436153,2.574420323101882,3.4082468611687546,3.305496246142408e-05,1.4602327538401876e-05,0.3714063095541489,0.1717750749190286,0.37337343907310877,2011-02-23 00:00:00,2019-01-01 00:00:00
26,-1.995486111111111,0.6044175,0.6357894736842107,2.927083333333333,-10.497886128210279,0.0021969096332490243,0.0033491188745174514,990.8484267733885,-3.7449999999999997,0.09166666666666679,-1.5306681616512343e-05,-1.2602738120501072e-05,2.3166682801578973,0.7738495545650208,0.6713662715285114,3.5079418468893424,0.4988269298647912,1.3127248521286259,1.368310748900101,12.893367273468135,0.001385627978825889,0.0008210555371166285,1753.5533505322257,3.723303640585871,4.386499363577597,2.9249468890564397e-05,1.2260849296492967e-05,0.3472682613072901,0.17913925534137756,0.3956524746356295,2011-02-23 00:00:00,2019-01-01 00:00:00
27,-2.075092592592592,0.7399619444444444,1.2443478260869567,4.255902777777777,-4.246025496899586,0.0029105978667977274,0.00335765950621004,279.37604315238195,-4.6016666666666675,1.0733333333333333,-9.241354273833931e-07,1.8715358786949816e-05,1.1808878502246398,0.6700950255750681,0.7754522968813674,3.778514684732166,0.38646906541901743,2.7824463267845214,4.562303236497904,2.1542509868884876,0.0005092668731698649,0.0009320521458475881,263.7854682005954,4.144704653731876,4.679908831020821,1.5187201062393106e-05,3.9850345352403236e-05,1.137751784918556,0.13516496470554132,0.04087132646335334,2011-02-23 00:00:00,2019-01-01 00:00:00
