Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2013-08-03 00:00:00,18.14,18.68,17.89,100.0,,,0.0,22.8,23.0,22.8,Novi Sad,Cenej,Jabuka
2013-08-03 01:00:00,18.3,18.87,17.95,100.0,,,0.0,22.8,22.9,22.7,Novi Sad,Cenej,Jabuka
2013-08-03 02:00:00,17.43,17.89,16.81,100.0,,,0.0,22.7,22.9,22.6,Novi Sad,Cenej,Jabuka
2013-08-03 03:00:00,16.82,17.2,16.32,100.0,,,0.0,22.6,22.8,22.6,Novi Sad,Cenej,Jabuka
2013-08-03 04:00:00,15.79,16.31,15.5,100.0,,,0.0,22.5,22.7,22.5,Novi Sad,Cenej,Jabuka
2013-08-03 05:00:00,15.68,16.01,15.35,100.0,,,0.0,22.4,22.5,22.4,Novi Sad,Cenej,Jabuka
2013-08-03 06:00:00,16.97,18.54,15.89,100.0,,,0.0,22.3,22.5,22.3,Novi Sad,Cenej,Jabuka
2013-08-03 07:00:00,20.23,22.27,18.74,100.0,,,0.0,22.2,22.4,22.2,Novi Sad,Cenej,Jabuka
2013-08-03 08:00:00,24.82,26.92,22.76,95.47,,,0.0,22.2,22.4,22.2,Novi Sad,Cenej,Jabuka
2013-08-03 09:00:00,28.7,30.4,27.35,70.0,,,0.0,22.1,22.2,22.0,Novi Sad,Cenej,Jabuka
2013-08-03 10:00:00,32.97,35.2,30.75,49.82,,,0.0,22.0,22.1,21.9,Novi Sad,Cenej,Jabuka
2013-08-03 11:00:00,34.67,35.6,33.8,41.71,,,0.0,22.0,22.2,22.0,Novi Sad,Cenej,Jabuka
2013-08-03 12:00:00,33.56,34.63,32.79,43.56,,,0.0,22.1,22.2,22.0,Novi Sad,Cenej,Jabuka
2013-08-03 13:00:00,35.44,36.59,34.72,38.74,,,0.0,22.2,22.4,22.2,Novi Sad,Cenej,Jabuka
2013-08-03 14:00:00,36.06,37.66,34.11,38.75,,,0.0,22.4,22.5,22.3,Novi Sad,Cenej,Jabuka
2013-08-03 15:00:00,35.03,35.94,34.33,39.79,,,0.0,22.6,22.8,22.4,Novi Sad,Cenej,Jabuka
2013-08-03 16:00:00,35.23,35.8,34.61,41.03,,,0.0,22.8,23.0,22.7,Novi Sad,Cenej,Jabuka
2013-08-03 17:00:00,33.44,34.77,32.89,46.59,,,0.0,23.1,23.2,23.0,Novi Sad,Cenej,Jabuka
2013-08-03 18:00:00,31.57,33.43,28.95,60.95,,,0.0,23.2,23.3,23.1,Novi Sad,Cenej,Jabuka
2013-08-03 19:00:00,27.07,28.7,25.57,85.63,,,0.0,23.2,23.5,23.2,Novi Sad,Cenej,Jabuka
2013-08-03 20:00:00,24.3,25.5,23.79,91.45,,,0.0,23.3,23.5,23.1,Novi Sad,Cenej,Jabuka
2013-08-03 21:00:00,22.64,23.72,21.62,99.74,,,0.0,23.4,23.6,23.3,Novi Sad,Cenej,Jabuka
2013-08-03 22:00:00,21.21,21.49,20.77,100.0,,,0.0,23.4,23.6,23.3,Novi Sad,Cenej,Jabuka
2013-08-03 23:00:00,20.79,20.89,20.64,100.0,,,0.0,23.4,23.6,23.3,Novi Sad,Cenej,Jabuka
2013-08-04 00:00:00,20.28,20.82,19.75,100.0,,,0.0,23.3,23.7,23.1,Novi Sad,Cenej,Jabuka
2013-08-04 01:00:00,19.14,19.64,18.69,100.0,,,0.0,23.3,23.5,23.2,Novi Sad,Cenej,Jabuka
2013-08-04 02:00:00,18.72,18.98,18.51,100.0,,,0.0,23.2,23.3,23.2,Novi Sad,Cenej,Jabuka
2013-08-04 03:00:00,18.57,18.95,18.06,100.0,,,0.0,23.2,23.3,23.1,Novi Sad,Cenej,Jabuka
2013-08-04 04:00:00,18.02,18.25,17.84,100.0,,,0.0,23.1,23.3,23.0,Novi Sad,Cenej,Jabuka
2013-08-04 05:00:00,17.95,18.5,17.51,100.0,,,0.0,23.0,23.2,23.0,Novi Sad,Cenej,Jabuka
2013-08-04 06:00:00,18.9,20.4,18.2,100.0,,,0.0,22.9,23.1,22.8,Novi Sad,Cenej,Jabuka
2013-08-04 07:00:00,22.22,23.81,20.75,100.0,,,0.0,22.8,22.9,22.7,Novi Sad,Cenej,Jabuka
2013-08-04 08:00:00,25.52,27.5,23.76,91.42,,,0.0,22.7,22.8,22.6,Novi Sad,Cenej,Jabuka
2013-08-04 09:00:00,28.63,30.06,27.73,73.1,,,0.0,22.6,22.8,22.5,Novi Sad,Cenej,Jabuka
2013-08-04 10:00:00,31.52,32.84,30.19,61.32,,,0.0,22.6,22.8,22.4,Novi Sad,Cenej,Jabuka
