Date,Tavg,RH,Precipitation,SAvg,dewpoint,q,qsat,lcl,Tmin,Tmax,tendt,tendq,bowen,R2,R1
2011-12-07,0.9899999999999999,0.0833,0.0,4.833333333333333,-29.264975682695297,0.00033787734830973245,0.004041115338283381,3620.013078811919,0.59,1.43,,,,0.9413373591722087,0.08070771221490369
2011-12-08,3.2060000000000004,0.4332999999999999,0.0,4.98,-11.917580046329618,0.0020884250773321447,0.004749273313393941,1830.3064217407068,1.54,4.83,2.57250925925926e-05,4.590537896278616e-05,0.5603938617617558,0.7924469283282571,0.38659428053107564
2011-12-09,4.709999999999999,0.6363454545454545,0.0,4.59090909090909,-5.990611231389092,0.0033204666168962916,0.005298883106388307,1290.9538716705488,0.75,7.09,1.7459629629629613e-05,3.2308364310164186e-05,0.5404058671003913,0.6403864824927311,0.539748785106712
2011-12-10,6.842500000000001,0.9236041666666667,0.016666666666666666,4.833333333333333,4.526568054918301,0.005759943863242412,0.0061589318395211595,279.06691234030035,3.71,9.49,2.4755758101851873e-05,6.397147910222958e-05,0.38698117425565465,0.6719014710547692,0.7715673933636701
2011-12-11,6.671304347826087,0.9855043478260869,0.0,5.73913043478261,6.424060475044826,0.005975790788491072,0.006053261387687589,30.739945274835346,4.98,8.71,-1.9873754528985615e-06,5.660248353825413e-06,-0.3511109987877858,0.7740732183352965,0.8575933797441204
2011-12-12,,,,,,,,,,,,,,,
2011-12-13,7.963333333333334,0.4166,0.13333333333333333,6.433333333333333,-8.328530346558155,0.00280806614389306,0.006605907502305911,1978.82781097265,6.54,8.91,,,,0.8508047290247078,0.39070534077194624
2011-12-14,6.594166666666666,0.8472041666666668,0.008333333333333333,6.658333333333334,2.0274089382698133,0.005087709482261073,0.006003487332685388,551.1540423056837,5.64,7.66,-1.5894376929012356e-05,5.978008460598495e-05,-0.26588080351129295,0.8703176430747235,0.7875553529658538
2011-12-15,9.246315789473684,0.9517526315789474,0.07368421052631578,6.726315789473685,8.10537116359402,0.006886081563130912,0.007227264679713474,140.03312510008504,7.21,11.99,3.078825891406757e-05,4.7159497864435164e-05,0.6528538323832792,0.7253627557162902,0.7927362359039198
2011-12-16,7.0725,0.5207999999999999,0.05,7.025,-6.643891642487802,0.00304386876287995,0.006242634853475065,1662.5267759870474,5.78,10.09,-2.523538468567251e-05,-0.00010075602722908109,0.25046029879976106,0.7457574854902014,0.42455564778269833
2011-12-17,,,,,,,,,,,,,,,
2011-12-18,,,,,,,,,,,,,,,
2011-12-19,4.33,0.0833,0.4,4.7,-26.704741805476942,0.00042890491679054905,0.005124729774415471,3719.7944977124203,4.33,4.33,,,,1.0,0.0833
