Date,Tavg,RH,Precipitation,SAvg,dewpoint,q,qsat,lcl,Tmin,Tmax,tendt,tendq,bowen,R2,R1,std_Tavg,std_RH,std_Precipitation,std_SAvg,std_dewpoint,std_q,std_qsat,std_lcl,std_Tmin,std_Tmax,std_tendt,std_tendq,std_bowen,std_R2,std_R1,period_start,period_end
1,-1.8054166666666662,1.0,0.08333333333333333,,-1.805416666666667,0.0033373975441970834,0.0033373975441970834,36.56532162924003,-4.17,3.55,1.2169888117283954e-05,7.520276628974302e-06,1.618276656259627,0.5701898655975127,0.6798371610579964,,,,,,,,,,,,,,,,2011-04-04 00:00:00,2013-07-03 00:00:00
2,-1.6766666666666667,1.0,0.025000000000000005,,-1.6766666666666667,0.0033803943865953878,0.0033803943865953878,33.33931741213466,-5.87,2.72,1.4946325231481418e-06,1.1275250093292836e-06,1.3255870253709359,0.5316924175280123,0.7278102878572816,,,,,,,,,,,,,,,,2011-04-04 00:00:00,2013-07-03 00:00:00
3,2.2654166666666664,0.9627916666666666,0.016666666666666666,,1.6683198374134325,0.004265488521571045,0.004490242996491384,74.95833055936596,-0.18,7.46,4.576284239969135e-05,2.3210210730150702e-05,1.9716685441482942,0.5837237185196233,0.6701219923338514,,,,,,,,,,,,,,,,2011-04-04 00:00:00,2013-07-03 00:00:00
4,6.310416666666669,0.9628333333333332,0.016666666666666666,,5.729339359990838,0.005690572241395013,0.005953975884469273,73.15502731804523,1.86,10.64,4.695758101851853e-05,3.7370593859071344e-05,1.25653826095461,0.5456194951166724,0.7179893201137156,,,,,,,,,,,,,,,,2011-04-04 00:00:00,2013-07-03 00:00:00
5,5.668333333333333,1.0,0.18333333333333335,,5.668333333333334,0.00568946488187633,0.00568946488187633,-1.7247177463525633e-12,0.35,9.11,-7.453814621913605e-06,-2.903877312822014e-08,,0.5423302798172687,0.790359829666249,,,,,,,,,,,,,,,,2011-04-04 00:00:00,2013-07-03 00:00:00
6,0.6204166666666667,0.9956416666666666,0.0,,0.5576540555872448,0.003932687335077203,0.00395287859479583,12.494216746603696,-2.6,3.23,-5.8600236304012336e-05,-4.606874619989023e-05,1.2720171729820589,0.6557131014295433,0.8263120773408541,,,,,,,,,,,,,,,,2011-04-04 00:00:00,2013-07-03 00:00:00
7,-1.265,0.9505583333333333,0.2416666666666667,,-1.97767462161244,0.003283163853765977,0.003452678833222339,110.59168614858307,-5.03,0.84,-2.1887418016975305e-05,-1.703273841694734e-05,1.285020498829338,0.648264636983399,0.815683758131847,,,,,,,,,,,,,,,,2011-04-04 00:00:00,2013-07-03 00:00:00
8,-5.18375,0.9446166666666667,0.05000000000000001,,-6.001456133588874,0.0024148637366852477,0.002589586722797231,182.48313970367585,-8.73,-1.46,-4.5491970486111106e-05,-2.276981385150919e-05,1.9979070001530068,0.5766739373093865,0.7155243757270376,,,,,,,,,,,,,,,,2011-04-04 00:00:00,2013-07-03 00:00:00
9,-3.1333333333333324,0.993525,0.03333333333333333,,-3.221690148166148,0.0029733841874366573,0.0029919247517314253,61.58586923479579,-5.93,-1.53,2.3802869405864206e-05,1.4646326132751417e-05,1.6251767979300529,0.719403514218963,0.8824027694813283,,,,,,,,,,,,,,,,2011-04-04 00:00:00,2013-07-03 00:00:00
10,-0.4033333333333334,1.0,0.14166666666666666,,-0.40333333333333354,0.003661967171706757,0.003661967171706757,10.802381718841369,-2.64,1.18,3.169201388888888e-05,1.8057012851570438e-05,1.7551083420828706,0.7566217755448604,0.891782566070962,,,,,,,,,,,,,,,,2011-04-04 00:00:00,2013-07-03 00:00:00
11,1.9591666666666667,0.9986624999999999,0.3333333333333333,,1.940353014563205,0.004363474990829488,0.004369308255265386,2.6080598021218573,-0.36,6.7,2.742578125e-05,1.8395946450526244e-05,1.4908600285263085,0.6069310033632463,0.7164260284973915,,,,,,,,,,,,,,,,2011-04-04 00:00:00,2013-07-03 00:00:00
12,-1.5562499999999995,0.9347583333333332,0.06666666666666667,,-2.570749148108305,0.003120584982650561,0.0033842506447603338,156.24889997453388,-4.76,1.65,-4.080975597993826e-05,-3.259284844885457e-05,1.2521076838060916,0.6242315996739745,0.7407775739897076,,,,,,,,,,,,,,,,2011-04-04 00:00:00,2013-07-03 00:00:00
13,-0.4099999999999999,0.9887250000000001,0.025000000000000005,,-0.5691596437155942,0.0036286841005226914,0.0036741741373658193,35.84799190705933,-3.52,1.92,1.3306582754629623e-05,1.3324105461324938e-05,0.9986848868206443,0.6720518922239749,0.8357884824441235,,,,,,,,,,,,,,,,2011-04-04 00:00:00,2013-07-03 00:00:00
