Date,Tavg
2010-04-21 00:00:00,9.475
2010-04-21 02:00:00,9.935
2010-04-21 04:00:00,9.285
2010-04-21 06:00:00,9.95
2010-04-21 08:00:00,13.745
2010-04-21 10:00:00,15.625
2010-04-21 12:00:00,16.33
2010-04-21 14:00:00,18.865
2010-04-21 16:00:00,20.96
2010-04-21 18:00:00,18.94
2010-04-21 20:00:00,12.13
2010-04-21 22:00:00,10.675
2010-04-22 00:00:00,11.71
2010-04-22 02:00:00,11.615
2010-04-22 04:00:00,10.155
2010-04-22 06:00:00,10.275
2010-04-22 08:00:00,9.895
2010-04-22 10:00:00,8.405000000000001
2010-04-22 12:00:00,9.57
2010-04-22 14:00:00,10.795
2010-04-22 16:00:00,11.155
2010-04-22 18:00:00,10.33
2010-04-22 20:00:00,6.01
2010-04-22 22:00:00,4.295
2010-04-23 00:00:00,5.2349999999999985
2010-04-23 02:00:00,5.705
2010-04-23 04:00:00,5.18
2010-04-23 06:00:00,5.105
2010-04-23 08:00:00,8.91
2010-04-23 10:00:00,13.955
2010-04-23 12:00:00,17.98
2010-04-23 14:00:00,21.185
2010-04-23 16:00:00,22.14
2010-04-23 18:00:00,19.995
2010-04-23 20:00:00,16.68
2010-04-23 22:00:00,15.43
2010-04-24 00:00:00,14.005
2010-04-24 02:00:00,12.85
2010-04-24 04:00:00,11.975
2010-04-24 06:00:00,12.375
2010-04-24 08:00:00,14.19
2010-04-24 10:00:00,17.93
2010-04-24 12:00:00,18.805
2010-04-24 14:00:00,18.09
2010-04-24 16:00:00,16.9
2010-04-24 18:00:00,14.94
2010-04-24 20:00:00,14.5
2010-04-24 22:00:00,13.695
2010-04-25 00:00:00,13.14
2010-04-25 02:00:00,12.945
2010-04-25 04:00:00,13.38
2010-04-25 06:00:00,13.31
2010-04-25 08:00:00,14.81
2010-04-25 10:00:00,16.455000000000002
2010-04-25 12:00:00,19.77
2010-04-25 14:00:00,21.135
2010-04-25 16:00:00,22.365
2010-04-25 18:00:00,21.705
2010-04-25 20:00:00,17.9
2010-04-25 22:00:00,16.16
2010-04-26 00:00:00,14.69
2010-04-26 02:00:00,12.920000000000002
2010-04-26 04:00:00,11.635000000000002
2010-04-26 06:00:00,8.425
2010-04-26 08:00:00,15.4
2010-04-26 10:00:00,19.68
2010-04-26 12:00:00,21.975
2010-04-26 14:00:00,22.895
2010-04-26 16:00:00,22.090000000000003
2010-04-26 18:00:00,19.275
2010-04-26 20:00:00,14.585
2010-04-26 22:00:00,13.3
2010-04-27 00:00:00,12.11
2010-04-27 02:00:00,11.815
2010-04-27 04:00:00,10.57
2010-04-27 06:00:00,10.26
2010-04-27 08:00:00,14.925
2010-04-27 10:00:00,19.235
2010-04-27 12:00:00,22.075
2010-04-27 14:00:00,23.135
2010-04-27 16:00:00,22.81
2010-04-27 18:00:00,20.185
2010-04-27 20:00:00,12.665
2010-04-27 22:00:00,9.55
2010-04-28 00:00:00,6.635
2010-04-28 02:00:00,5.51
2010-04-28 04:00:00,6.59
2010-04-28 06:00:00,9.97
2010-04-28 08:00:00,14.145
2010-04-28 10:00:00,16.555
2010-04-28 12:00:00,19.700000000000006
2010-04-28 14:00:00,18.125
2010-04-28 16:00:00,18.26
2010-04-28 18:00:00,15.645
2010-04-28 20:00:00,13.145
2010-04-28 22:00:00,8.940000000000003
2010-04-29 00:00:00,9.515
2010-04-29 02:00:00,7.6549999999999985
2010-04-29 04:00:00,6.41
2010-04-29 06:00:00,7.89
2010-04-29 08:00:00,13.54
2010-04-29 10:00:00,17.57
2010-04-29 12:00:00,19.64
2010-04-29 14:00:00,21.045
2010-04-29 16:00:00,22.41
2010-04-29 18:00:00,20.38
2010-04-29 20:00:00,14.19
2010-04-29 22:00:00,12.44
2010-04-30 00:00:00,9.06
2010-04-30 02:00:00,6.855
2010-04-30 04:00:00,6.4
2010-04-30 06:00:00,8.515
2010-04-30 08:00:00,16.07
2010-04-30 10:00:00,19.975
2010-04-30 12:00:00,23.725
2010-04-30 14:00:00,25.86
2010-04-30 16:00:00,26.875
2010-04-30 18:00:00,25.42
2010-04-30 20:00:00,16.525
2010-04-30 22:00:00,12.265
2010-05-01 00:00:00,10.805
2010-05-01 02:00:00,10.36
2010-05-01 04:00:00,9.23
2010-05-01 06:00:00,9.83
2010-05-01 08:00:00,17.869999999999994
2010-05-01 10:00:00,23.14
2010-05-01 12:00:00,26.4
2010-05-01 14:00:00,27.835
2010-05-01 16:00:00,28.05
2010-05-01 18:00:00,26.23
2010-05-01 20:00:00,18.880000000000006
2010-05-01 22:00:00,14.495
2010-05-02 00:00:00,13.2
2010-05-02 02:00:00,12.415
2010-05-02 04:00:00,12.4
2010-05-02 06:00:00,11.78
2010-05-02 08:00:00,19.94
2010-05-02 10:00:00,23.335
2010-05-02 12:00:00,25.28
2010-05-02 14:00:00,25.95
2010-05-02 16:00:00,25.32
2010-05-02 18:00:00,23.715
2010-05-02 20:00:00,21.41
2010-05-02 22:00:00,20.245
2010-05-03 00:00:00,16.57
2010-05-03 02:00:00,14.86
2010-05-03 04:00:00,14.005
2010-05-03 06:00:00,13.115
2010-05-03 08:00:00,17.415
2010-05-03 10:00:00,21.905
2010-05-03 12:00:00,25.475
2010-05-03 14:00:00,27.72
2010-05-03 16:00:00,27.04
2010-05-03 18:00:00,25.935
2010-05-03 20:00:00,19.745
2010-05-03 22:00:00,18.075000000000006
2010-05-04 00:00:00,18.235
2010-05-04 02:00:00,15.195
2010-05-04 04:00:00,12.095
2010-05-04 06:00:00,12.23
2010-05-04 08:00:00,17.11
2010-05-04 10:00:00,22.03
2010-05-04 12:00:00,24.5
2010-05-04 14:00:00,26.715
2010-05-04 16:00:00,26.16
2010-05-04 18:00:00,24.53
2010-05-04 20:00:00,20.995
2010-05-04 22:00:00,20.015
2010-05-05 00:00:00,18.98
2010-05-05 02:00:00,18.29
2010-05-05 04:00:00,16.985
2010-05-05 06:00:00,14.595
2010-05-05 08:00:00,21.09
2010-05-05 10:00:00,25.49
2010-05-05 12:00:00,26.115
2010-05-05 14:00:00,25.785
2010-05-05 16:00:00,23.3
2010-05-05 18:00:00,22.695
2010-05-05 20:00:00,20.605
2010-05-05 22:00:00,19.56
2010-05-06 00:00:00,18.58
2010-05-06 02:00:00,18.455
2010-05-06 04:00:00,17.95
2010-05-06 06:00:00,17.145
2010-05-06 08:00:00,18.245
2010-05-06 10:00:00,24.475
2010-05-06 12:00:00,25.475
2010-05-06 14:00:00,20.175
2010-05-06 16:00:00,13.38
2010-05-06 18:00:00,14.975
2010-05-06 20:00:00,13.845
2010-05-06 22:00:00,12.35
2010-05-07 00:00:00,11.38
2010-05-07 02:00:00,12.025
2010-05-07 04:00:00,11.775
2010-05-07 06:00:00,11.4
2010-05-07 08:00:00,13.415
2010-05-07 10:00:00,15.675
2010-05-07 12:00:00,18.635
2010-05-07 14:00:00,18.29
2010-05-07 16:00:00,21.58
2010-05-07 18:00:00,20.555
2010-05-07 20:00:00,14.805
2010-05-07 22:00:00,11.725
2010-05-08 00:00:00,10.425
2010-05-08 02:00:00,9.425
2010-05-08 04:00:00,10.46
2010-05-08 06:00:00,10.865
2010-05-08 08:00:00,12.95
2010-05-08 10:00:00,16.19
2010-05-08 12:00:00,18.225
2010-05-08 14:00:00,19.880000000000006
2010-05-08 16:00:00,18.03
2010-05-08 18:00:00,15.3
2010-05-08 20:00:00,14.145
2010-05-08 22:00:00,13.005
2010-05-09 00:00:00,12.87
2010-05-09 02:00:00,12.355
2010-05-09 04:00:00,12.355
2010-05-09 06:00:00,12.425
2010-05-09 08:00:00,13.655
2010-05-09 10:00:00,15.305
2010-05-09 12:00:00,16.939999999999998
2010-05-09 14:00:00,17.71
2010-05-09 16:00:00,19.925
2010-05-09 18:00:00,18.51
2010-05-09 20:00:00,14.475
2010-05-09 22:00:00,11.24
2010-05-10 00:00:00,10.025
2010-05-10 02:00:00,8.925
2010-05-10 04:00:00,7.815
2010-05-10 06:00:00,8.795
2010-05-10 08:00:00,14.275
2010-05-10 10:00:00,19.31
2010-05-10 12:00:00,21.355
2010-05-10 14:00:00,23.880000000000006
2010-05-10 16:00:00,23.11
2010-05-10 18:00:00,21.495
2010-05-10 20:00:00,18.955
2010-05-10 22:00:00,17.005000000000006
2010-05-11 00:00:00,16.07
2010-05-11 02:00:00,13.62
2010-05-11 04:00:00,11.94
2010-05-11 06:00:00,12.165
2010-05-11 08:00:00,16.605
2010-05-11 10:00:00,19.635
2010-05-11 12:00:00,21.02
2010-05-11 14:00:00,21.095
2010-05-11 16:00:00,20.765
2010-05-11 18:00:00,20.345
2010-05-11 20:00:00,17.105
2010-05-11 22:00:00,15.46
2010-05-12 00:00:00,14.615
2010-05-12 02:00:00,14.83
2010-05-12 04:00:00,15.775
2010-05-12 06:00:00,15.095
2010-05-12 08:00:00,18.085
2010-05-12 10:00:00,23.575
2010-05-12 12:00:00,25.520000000000003
2010-05-12 14:00:00,26.69
2010-05-12 16:00:00,21.195
2010-05-12 18:00:00,20.45
2010-05-12 20:00:00,18.995
2010-05-12 22:00:00,16.385
2010-05-13 00:00:00,13.615
2010-05-13 02:00:00,13.345
2010-05-13 04:00:00,13.91
2010-05-13 06:00:00,13.875
2010-05-13 08:00:00,16.84
2010-05-13 10:00:00,20.1
2010-05-13 12:00:00,22.81
2010-05-13 14:00:00,23.375
2010-05-13 16:00:00,24.25
2010-05-13 18:00:00,19.455
2010-05-13 20:00:00,15.095
2010-05-13 22:00:00,13.475
2010-05-14 00:00:00,12.615
2010-05-14 02:00:00,10.955
2010-05-14 04:00:00,10.075
2010-05-14 06:00:00,11.765
2010-05-14 08:00:00,15.565
2010-05-14 10:00:00,19.97
2010-05-14 12:00:00,22.585
2010-05-14 14:00:00,20.755
2010-05-14 16:00:00,20.24
2010-05-14 18:00:00,17.28
2010-05-14 20:00:00,15.12
2010-05-14 22:00:00,12.29
2010-05-15 00:00:00,10.965
2010-05-15 02:00:00,11.71
2010-05-15 04:00:00,13.035
2010-05-15 06:00:00,13.455
2010-05-15 08:00:00,13.945
2010-05-15 10:00:00,14.405
2010-05-15 12:00:00,14.825
2010-05-15 14:00:00,16.0
2010-05-15 16:00:00,19.735
2010-05-15 18:00:00,16.655
2010-05-15 20:00:00,14.405
2010-05-15 22:00:00,13.855
2010-05-16 00:00:00,11.75
2010-05-16 02:00:00,10.435
2010-05-16 04:00:00,10.335
2010-05-16 06:00:00,9.86
2010-05-16 08:00:00,8.805
2010-05-16 10:00:00,8.719999999999999
2010-05-16 12:00:00,9.025
2010-05-16 14:00:00,8.739999999999998
2010-05-16 16:00:00,8.215
2010-05-16 18:00:00,7.869999999999999
2010-05-16 20:00:00,7.574999999999998
2010-05-16 22:00:00,7.82
2010-05-17 00:00:00,8.09
2010-05-17 02:00:00,8.43
2010-05-17 04:00:00,8.475000000000001
2010-05-17 06:00:00,8.22
2010-05-17 08:00:00,8.01
2010-05-17 10:00:00,8.219999999999999
2010-05-17 12:00:00,8.02
2010-05-17 14:00:00,8.42
2010-05-17 16:00:00,8.135
2010-05-17 18:00:00,7.5
2010-05-17 20:00:00,7.805
2010-05-17 22:00:00,8.315
2010-05-18 00:00:00,8.49
2010-05-18 02:00:00,8.68
2010-05-18 04:00:00,9.19
2010-05-18 06:00:00,9.685
2010-05-18 08:00:00,10.265
2010-05-18 10:00:00,10.505
2010-05-18 12:00:00,10.43
2010-05-18 14:00:00,10.695
2010-05-18 16:00:00,10.88
2010-05-18 18:00:00,10.43
2010-05-18 20:00:00,9.97
2010-05-18 22:00:00,9.67
2010-05-19 00:00:00,9.56
2010-05-19 02:00:00,9.135
2010-05-19 04:00:00,8.93
2010-05-19 06:00:00,9.075
2010-05-19 08:00:00,9.54
2010-05-19 10:00:00,9.96
2010-05-19 12:00:00,11.05
2010-05-19 14:00:00,11.895
2010-05-19 16:00:00,12.32
2010-05-19 18:00:00,11.93
2010-05-19 20:00:00,10.855
2010-05-19 22:00:00,9.45
2010-05-20 00:00:00,8.440000000000001
2010-05-20 02:00:00,9.165
2010-05-20 04:00:00,9.125
2010-05-20 06:00:00,9.36
2010-05-20 08:00:00,10.335
2010-05-20 10:00:00,11.54
2010-05-20 12:00:00,13.905
2010-05-20 14:00:00,14.39
2010-05-20 16:00:00,15.51
2010-05-20 18:00:00,13.98
2010-05-20 20:00:00,12.165
2010-05-20 22:00:00,11.76
2010-05-21 00:00:00,11.31
2010-05-21 02:00:00,10.87
2010-05-21 04:00:00,10.24
2010-05-21 06:00:00,11.34
2010-05-21 08:00:00,12.88
2010-05-21 10:00:00,14.865
2010-05-21 12:00:00,17.22
2010-05-21 14:00:00,19.525
2010-05-21 16:00:00,18.33
2010-05-21 18:00:00,17.92
2010-05-21 20:00:00,15.39
2010-05-21 22:00:00,13.82
2010-05-22 00:00:00,13.475
2010-05-22 02:00:00,13.75
2010-05-22 04:00:00,13.43
2010-05-22 06:00:00,13.265
2010-05-22 08:00:00,15.38
2010-05-22 10:00:00,18.07
2010-05-22 12:00:00,21.035
2010-05-22 14:00:00,22.520000000000003
2010-05-22 16:00:00,23.11
2010-05-22 18:00:00,22.28
2010-05-22 20:00:00,18.74
2010-05-22 22:00:00,15.605
2010-05-23 00:00:00,14.825
2010-05-23 02:00:00,14.82
2010-05-23 04:00:00,14.095
2010-05-23 06:00:00,13.565
2010-05-23 08:00:00,14.85
2010-05-23 10:00:00,17.14
2010-05-23 12:00:00,21.025
2010-05-23 14:00:00,17.35
2010-05-23 16:00:00,16.61
2010-05-23 18:00:00,16.490000000000002
2010-05-23 20:00:00,15.595
2010-05-23 22:00:00,13.74
2010-05-24 00:00:00,11.845
2010-05-24 02:00:00,10.07
2010-05-24 04:00:00,9.71
2010-05-24 06:00:00,10.895
2010-05-24 08:00:00,16.145
2010-05-24 10:00:00,20.48
2010-05-24 12:00:00,22.585
2010-05-24 14:00:00,23.62
2010-05-24 16:00:00,23.6
2010-05-24 18:00:00,22.8
2010-05-24 20:00:00,18.33
2010-05-24 22:00:00,14.1
2010-05-25 00:00:00,12.54
2010-05-25 02:00:00,12.12
2010-05-25 04:00:00,11.08
2010-05-25 06:00:00,12.38
2010-05-25 08:00:00,17.375
2010-05-25 10:00:00,22.665
2010-05-25 12:00:00,25.08
2010-05-25 14:00:00,27.125
2010-05-25 16:00:00,27.955
2010-05-25 18:00:00,26.655
2010-05-25 20:00:00,21.62
2010-05-25 22:00:00,17.43
2010-05-26 00:00:00,17.33
