Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2013-03-30 00:00:00,4.39,4.54,4.34,100.0,,,0.0,4.1,4.2,4.0,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-30 01:00:00,4.67,4.89,4.54,100.0,,,0.0,4.0,4.1,3.9,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-30 02:00:00,4.69,4.85,4.47,100.0,,,0.4,4.0,4.2,3.9,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-30 03:00:00,4.8,4.92,4.7,100.0,,,0.0,3.9,4.1,3.9,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-30 04:00:00,5.11,5.27,4.83,100.0,,,0.0,3.9,4.1,3.9,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-30 05:00:00,4.87,5.05,4.63,100.0,,,0.0,4.0,4.1,3.9,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-30 06:00:00,4.64,4.72,4.61,100.0,,,0.0,3.9,4.1,3.8,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-30 07:00:00,4.95,5.34,4.75,100.0,,,0.0,3.9,4.1,3.9,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-30 08:00:00,6.09,6.29,5.45,100.0,,,0.0,3.9,4.1,3.8,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-30 09:00:00,6.8,7.01,6.4,100.0,,,0.2,3.9,4.1,3.9,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-30 10:00:00,7.95,9.92,6.98,100.0,,,0.2,4.0,4.2,3.9,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-30 11:00:00,12.18,13.92,10.5,99.45,,,0.0,4.1,4.4,4.0,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-30 12:00:00,14.43,15.11,13.7,92.56,,,0.0,4.4,4.7,4.2,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-30 13:00:00,16.56,17.34,15.75,76.82,,,0.0,4.8,5.1,4.6,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-30 14:00:00,17.35,17.68,17.04,77.19,,,0.0,5.3,5.6,5.2,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-30 15:00:00,15.97,17.19,14.54,86.15,,,0.0,5.9,6.2,5.7,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-30 16:00:00,13.34,14.47,12.64,98.91,,,1.2,6.3,6.6,6.2,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-30 17:00:00,12.17,12.53,11.82,99.69,,,0.8,6.7,6.9,6.6,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-30 18:00:00,11.19,11.85,10.54,99.86,,,0.0,7.0,7.2,6.9,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-30 19:00:00,10.09,10.41,9.69,100.0,,,0.4,7.1,7.2,7.0,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-30 20:00:00,9.24,9.72,8.82,100.0,,,0.2,7.2,7.3,7.1,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-30 21:00:00,8.75,8.98,8.31,99.34,,,0.0,7.2,7.3,7.2,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-30 22:00:00,7.92,8.13,7.74,100.0,,,0.0,7.2,7.3,7.1,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-30 23:00:00,8.35,8.55,8.17,99.29,,,0.0,7.0,7.3,6.9,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-31 00:00:00,8.4,8.49,8.29,99.7,,,0.0,7.0,7.1,6.9,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-31 01:00:00,8.32,8.48,8.21,99.84,,,0.0,6.9,7.0,6.8,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-31 02:00:00,8.39,8.66,8.3,100.0,,,0.0,6.7,6.9,6.7,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-31 03:00:00,8.84,9.14,8.61,100.0,,,0.0,6.7,6.8,6.6,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-31 04:00:00,9.02,9.3,8.87,99.98,,,0.0,6.6,6.8,6.5,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-31 05:00:00,8.99,9.14,8.93,100.0,,,0.0,6.6,6.7,6.5,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-31 06:00:00,8.9,9.05,8.84,100.0,,,0.0,6.5,6.6,6.4,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-31 07:00:00,9.66,10.22,9.05,99.87,,,0.0,6.4,6.5,6.3,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-31 08:00:00,11.09,11.79,10.22,97.09,,,0.0,6.4,6.5,6.4,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-31 09:00:00,11.74,11.91,11.42,94.55,,,0.0,6.4,6.6,6.3,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-31 10:00:00,12.81,13.38,12.27,92.98,,,0.0,6.5,6.6,6.4,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-31 11:00:00,13.65,14.92,12.78,98.5,,,0.6,6.5,6.7,6.4,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-31 12:00:00,15.64,16.47,14.87,91.82,,,0.0,6.7,6.9,6.6,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-31 13:00:00,15.72,16.1,15.22,77.14,,,0.2,6.9,7.2,6.8,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-31 14:00:00,17.58,19.07,16.24,68.08,,,0.0,7.1,7.4,7.0,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-31 15:00:00,19.68,20.15,19.26,51.16,,,0.0,7.5,7.7,7.3,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-31 16:00:00,15.59,19.41,11.99,76.4,,,0.0,7.9,8.1,7.8,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-31 17:00:00,11.29,11.85,10.28,100.0,,,1.4,8.2,8.5,7.9,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-31 18:00:00,9.28,10.25,8.25,100.0,,,0.0,8.5,8.6,8.4,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-31 19:00:00,7.3,8.01,6.92,100.0,,,0.0,8.6,8.7,8.5,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-31 20:00:00,6.53,6.89,6.14,100.0,,,0.0,8.5,8.7,8.5,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-31 21:00:00,5.55,6.02,5.12,100.0,,,0.0,8.4,8.6,8.4,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-31 22:00:00,4.64,5.08,4.28,100.0,,,0.0,8.3,8.5,8.1,Ruma,Novi Slankamen,Jabuka Ogled
2013-03-31 23:00:00,3.57,4.24,3.21,100.0,,,0.0,8.1,8.3,7.9,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-01 00:00:00,3.03,3.2,2.9,100.0,,,0.0,7.9,8.1,7.8,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-01 01:00:00,2.81,2.93,2.74,99.93,,,0.0,7.7,7.9,7.5,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-01 02:00:00,2.48,2.74,2.27,98.26,,,0.0,7.4,7.6,7.2,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-01 03:00:00,1.8,2.26,0.91,100.0,,,0.6,7.2,7.4,7.2,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-01 04:00:00,0.4,0.68,0.26,100.0,,,0.0,7.0,7.1,6.8,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-01 05:00:00,0.58,0.74,0.48,100.0,,,0.2,6.8,6.9,6.6,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-01 06:00:00,0.95,1.19,0.79,100.0,,,0.4,6.5,6.8,6.4,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-01 07:00:00,1.57,1.85,1.22,100.0,,,0.2,6.2,6.4,6.1,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-01 08:00:00,1.93,2.13,1.8,100.0,,,0.2,6.1,6.2,6.0,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-01 09:00:00,2.03,2.19,1.9,100.0,,,0.0,5.9,6.1,5.9,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-01 10:00:00,2.58,2.78,2.35,100.0,,,0.0,5.8,6.0,5.8,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-01 11:00:00,2.58,2.91,2.24,100.0,,,0.0,5.8,6.0,5.7,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-01 12:00:00,3.4,4.17,2.87,97.46,,,0.0,5.8,6.0,5.8,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-01 13:00:00,4.93,5.42,4.03,83.93,,,0.0,5.9,6.0,5.8,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-01 14:00:00,5.12,5.46,4.91,85.61,,,0.0,6.0,6.2,5.9,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-01 15:00:00,5.97,6.62,5.26,80.76,,,0.0,6.3,6.4,6.2,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-01 16:00:00,5.92,6.54,5.74,83.13,,,0.0,6.4,6.7,6.3,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-01 17:00:00,5.71,5.83,5.54,83.94,,,0.0,6.7,6.9,6.6,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-01 18:00:00,5.4,5.51,5.29,87.49,,,0.0,6.9,7.0,6.8,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-01 19:00:00,5.1,5.3,4.89,92.7,,,0.0,6.9,7.1,6.9,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-01 20:00:00,4.67,4.93,4.2,99.33,,,0.0,6.9,7.0,6.8,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-01 21:00:00,3.68,4.12,3.18,100.0,,,0.0,6.9,7.0,6.8,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-01 22:00:00,3.15,3.29,2.92,100.0,,,0.0,6.8,6.9,6.7,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-01 23:00:00,3.41,3.9,3.12,100.0,,,0.0,6.6,6.8,6.6,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-02 00:00:00,3.66,3.89,3.22,100.0,,,0.0,6.5,6.6,6.3,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-02 01:00:00,3.08,3.39,2.83,100.0,,,0.0,6.3,6.5,6.3,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-02 02:00:00,3.17,3.38,2.98,100.0,,,0.0,6.2,6.4,6.1,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-02 03:00:00,3.2,3.33,3.06,100.0,,,0.0,6.0,6.2,6.0,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-02 04:00:00,2.98,3.04,2.88,100.0,,,0.0,5.9,6.0,5.7,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-02 05:00:00,2.8,2.97,2.68,100.0,,,0.0,5.8,6.0,5.8,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-02 06:00:00,2.74,2.77,2.72,100.0,,,0.0,5.6,5.7,5.6,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-02 07:00:00,2.87,3.08,2.73,100.0,,,0.0,5.5,5.6,5.5,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-02 08:00:00,3.29,3.71,3.14,100.0,,,0.2,5.4,5.6,5.4,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-02 09:00:00,4.44,5.02,3.76,100.0,,,0.0,5.3,5.5,5.3,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-02 10:00:00,6.11,7.73,5.14,100.0,,,0.0,5.3,5.5,5.3,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-02 11:00:00,8.78,9.48,8.15,99.92,,,0.0,5.4,5.6,5.3,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-02 12:00:00,9.68,9.86,9.34,99.95,,,0.4,5.6,5.8,5.4,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-02 13:00:00,10.26,10.69,9.97,100.0,,,0.6,5.8,5.9,5.8,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-02 14:00:00,10.57,10.67,10.46,100.0,,,0.8,6.0,6.2,5.9,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-02 15:00:00,9.98,10.43,9.68,100.0,,,2.4,6.2,6.4,6.1,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-02 16:00:00,9.87,10.21,9.67,100.0,,,1.0,6.4,6.6,6.3,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-02 17:00:00,10.17,10.25,10.06,100.0,,,1.0,6.6,6.8,6.6,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-02 18:00:00,10.0,10.12,9.92,100.0,,,0.4,6.7,6.8,6.7,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-02 19:00:00,10.14,10.35,9.96,100.0,,,0.2,6.8,6.9,6.7,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-02 20:00:00,9.03,9.98,7.36,100.0,,,0.0,6.9,7.0,6.8,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-02 21:00:00,7.16,7.26,7.1,100.0,,,0.2,6.9,7.0,6.8,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-02 22:00:00,6.88,7.04,6.66,100.0,,,0.0,6.9,7.0,6.9,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-02 23:00:00,5.87,6.42,5.19,100.0,,,0.0,6.9,7.1,6.8,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-03 00:00:00,4.85,5.08,4.76,100.0,,,0.0,6.9,7.0,6.9,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-03 01:00:00,4.76,4.84,4.69,100.0,,,0.0,6.8,6.9,6.8,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-03 02:00:00,4.26,4.65,4.09,100.0,,,0.0,6.8,6.9,6.7,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-03 03:00:00,3.59,4.02,3.3,100.0,,,0.0,6.7,6.8,6.6,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-03 04:00:00,3.17,3.33,2.97,100.0,,,0.0,6.6,6.6,6.6,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-03 05:00:00,2.92,3.08,2.75,100.0,,,0.0,6.5,6.6,6.4,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-03 06:00:00,2.74,2.81,2.7,100.0,,,0.0,6.4,6.5,6.2,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-03 07:00:00,3.03,3.26,2.76,100.0,,,0.0,6.3,6.4,6.2,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-03 08:00:00,3.75,4.25,3.33,100.0,,,0.0,6.2,6.4,6.1,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-03 09:00:00,4.81,5.45,4.33,100.0,,,0.0,6.1,6.2,6.1,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-03 10:00:00,5.61,5.99,5.4,100.0,,,0.0,6.1,6.2,6.1,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-03 11:00:00,5.82,6.1,5.69,100.0,,,0.0,6.2,6.3,6.1,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-03 12:00:00,5.34,5.61,5.0,100.0,,,0.0,6.3,6.4,6.3,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-03 13:00:00,5.26,5.5,5.09,100.0,,,0.0,6.5,6.6,6.4,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-03 14:00:00,5.42,5.52,5.32,100.0,,,0.0,6.6,6.7,6.5,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-03 15:00:00,4.99,5.35,4.68,100.0,,,0.0,6.7,6.8,6.6,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-03 16:00:00,4.78,4.95,4.65,100.0,,,0.0,6.8,6.9,6.7,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-03 17:00:00,4.81,4.87,4.74,100.0,,,0.0,6.8,6.9,6.8,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-03 18:00:00,4.66,4.86,4.48,100.0,,,0.0,6.8,6.9,6.7,Ruma,Novi Slankamen,Jabuka Ogled
2013-04-03 19:00:00,4.37,4.47,4.21,100.0,,,0.0,6.7,6.9,6.7,Ruma,Novi Slankamen,Jabuka Ogled
