Date,Tavg,RH,Precipitation,SAvg,dewpoint,q,qsat,lcl,Tmin,Tmax,tendt,tendq,bowen,R2,R1,std_Tavg,std_RH,std_Precipitation,std_SAvg,std_dewpoint,std_q,std_qsat,std_lcl,std_Tmin,std_Tmax,std_tendt,std_tendq,std_bowen,std_R2,std_R1,period_start,period_end
1,-1.309583333333334,0.8685465277777777,0.001388888888888889,2.6777777777777785,-3.3273464491658302,0.0032352885678824436,0.0037139474037138497,297.60354552052576,-5.121666666666667,2.398333333333333,7.787567515432026e-07,-2.869615639412004e-07,0.4756115172912191,0.5960956596548846,0.6750201991002459,6.024242587246965,0.07749437633792933,0.0034020690871988586,1.4207131751081667,6.801680921888227,0.0014311822143269063,0.0014272094453371114,186.5730442626732,7.76671466365713,5.4742795568610365,1.3839145828200905e-05,1.2440047670673964e-05,1.0059530510544705,0.20436625451192897,0.16276794317267967,2013-03-30 00:00:00,2019-01-01 00:00:00
2,0.13308333333333344,0.8646458333333336,0.13666666666666663,2.4458333333333333,-2.019561403634106,0.0034345811274486804,0.003979146313068033,297.23219976172817,-2.668,3.656,2.6459348958333338e-05,1.250801664074923e-05,1.2488309995738676,0.6617298995893076,0.688614066084857,4.139757373459356,0.08953759418573544,0.30559595692497116,1.4203933825215853,5.1623889362785675,0.0013555617648006147,0.001195589554124883,207.73178837052927,4.542518024179981,5.323108114626266,3.0907199207918384e-05,1.0494929841190625e-05,1.2253555263412228,0.20334629365860143,0.16883196982066864,2013-03-30 00:00:00,2019-01-01 00:00:00
3,0.4841666666666665,0.911075,0.03333333333333334,2.3486111111111114,-0.8926754768481849,0.0037184287567276113,0.004120260125286287,199.82348779179318,-3.6979999999999995,4.266,4.075654899691352e-06,7.443460565919195e-06,1.5047413793393625,0.569925754797992,0.7006837157869188,4.9969280580533795,0.04059250505960282,0.06561673228343178,1.433753168487571,5.136409830339553,0.0012415165482462416,0.0013023577253886602,91.08254304930138,4.457641753214361,6.054178722171984,4.108995094320075e-05,1.758397233984502e-05,1.6344639714452351,0.09334547792940869,0.07620904274592759,2013-03-30 00:00:00,2019-01-01 00:00:00
4,0.3897499999999998,0.8967041666666666,0.035,2.4555555555555557,-1.2221589294389792,0.003753410374410077,0.004235589949588684,238.34490262154313,-3.25,4.5760000000000005,-1.0960638503086433e-06,9.173382649450628e-07,1.7829716637245832,0.5748948952311567,0.6668353343283652,6.570293154450315,0.08397356561574738,0.0521749194749951,1.7556720249691449,6.567021025738741,0.0015785589562082678,0.0018347293475835535,167.17133945270055,7.023684930291221,7.553014629934196,2.9240658581121493e-05,1.1524846834793368e-05,1.6874407059111793,0.09474313927402717,0.05088389900133479,2013-03-30 00:00:00,2019-01-01 00:00:00
5,2.331666666666667,0.9138916666666667,0.01666666666666667,2.672222222222222,0.9724129715561736,0.0042386874465581235,0.0047095959035218325,184.88721843677206,-0.3339999999999999,5.192,2.2543315007716056e-05,1.272563297165728e-05,2.1166399104460396,0.6834415581338709,0.752641402113511,5.225814970001755,0.06750646567541593,0.02124591463996994,2.267732337314901,4.723288727700056,0.0014733923573613066,0.0017706736179920926,118.27475431741962,4.777293166637358,6.608919730182839,2.790116571045873e-05,1.3870045879331583e-05,0.8026149682298769,0.09606950917251925,0.09176619171120516,2013-03-30 00:00:00,2019-01-01 00:00:00
6,1.6472500000000003,0.8676425,0.07166666666666666,2.8430555555555563,-0.41590329870446185,0.004174352984679105,0.004618953005249898,282.28835181036175,-1.918,4.108,-7.945253665123462e-06,-1.6870707401805847e-06,1.0047886807324393,0.6528866365188877,0.735190558725245,6.806832228183599,0.14433089418887804,0.14235128692389432,2.563744052126658,8.771929114731194,0.0021632091383228195,0.002064509333875034,325.5655536740822,6.708458839405665,7.0276646192031675,5.289151512474427e-05,3.155004101561364e-05,1.7776719230216054,0.08516509566206115,0.16058136700006836,2013-03-30 00:00:00,2019-01-01 00:00:00
7,-0.8115000000000009,0.8687575000000001,0.035,2.8513888888888883,-2.804689556446919,0.003779037702200578,0.004106538719815523,300.70361373463703,-3.318,1.6979999999999997,-2.8543127893518527e-05,-1.0366525602870492e-05,1.7108691677123278,0.7084475514158138,0.7360622742959972,8.863240564184812,0.15926147302994115,0.07826237921249264,2.799895624708045,10.994342727611597,0.0024849233242809354,0.0023958725680489333,368.21768279278564,8.649873987521437,9.783280124784326,2.9111009169667195e-05,1.3103652689410787e-05,2.4134231626099907,0.1457977713010503,0.19335434274660027,2013-03-30 00:00:00,2019-01-01 00:00:00
8,-0.5282500000000006,0.86676,0.011666666666666665,2.780555555555555,-2.577704707376943,0.003717430364159127,0.004071311115446806,301.4369446727906,-3.728,2.5859999999999994,3.288191550925927e-06,-1.6155561786713641e-06,1.5454732055714764,0.6376436042121634,0.6949678870241742,7.829844288353448,0.1577298040371484,0.026087459737497546,2.8609722188509683,10.070209043509777,0.002229233285391629,0.002108398351009006,367.292039719549,8.084538947893071,8.247498408608516,1.646725112548409e-05,1.0390439645888722e-05,0.5875578209435959,0.11215934810479473,0.14148862002179546,2013-03-30 00:00:00,2019-01-01 00:00:00
9,0.9255833333333339,0.9192166666666667,0.01666666666666667,2.763888888888889,-0.2853308046155574,0.004031848659138448,0.004338161182894731,183.32254811796565,-2.0420000000000003,3.526,1.6877255015432112e-05,8.245128507246778e-06,1.4502211685572663,0.6759326541136422,0.7674835520434848,6.536868334418843,0.0706233166588966,0.023570226039551587,2.6508690049645005,7.111257135898488,0.0016356214719258871,0.001603348702224381,168.35117641041307,7.100842907711732,6.228798439506612,4.0764674298458844e-05,2.4039862026773542e-05,0.4564232712440193,0.11938623008236371,0.11105564508114214,2013-03-30 00:00:00,2019-01-01 00:00:00
10,1.9942499999999996,0.9550858333333332,0.05499999999999999,3.0583333333333336,1.34837163655272,0.0045792714725205515,0.004728103970529153,111.89643675483394,-0.06599999999999984,4.538,1.2405933641975293e-05,1.4355307932799767e-05,1.6804718033669572,0.7224122551958544,0.7987323707838463,7.280305490719084,0.050256182818219905,0.10131085276952755,2.3272204152402747,7.895453038821478,0.0018004407416376518,0.0017647023544994378,151.55921745531762,7.710394283044155,7.621592353307805,3.0461905046171787e-05,2.7498296038458236e-05,1.3874349035636853,0.07079855620589852,0.0453020276900564,2013-03-30 00:00:00,2019-01-01 00:00:00
