Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2017-03-25 00:00:00,12.46,13.21,11.61,85.0,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-25 01:00:00,10.47,11.39,9.7,97.71,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-25 02:00:00,8.94,9.54,8.39,99.58,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-25 03:00:00,7.81,8.32,7.31,100.0,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-25 04:00:00,7.18,7.35,6.92,100.0,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-25 05:00:00,6.56,6.86,6.29,100.0,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-25 06:00:00,6.21,6.34,6.12,100.0,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-25 07:00:00,6.35,6.62,6.24,100.0,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-25 08:00:00,7.86,8.79,6.86,86.75,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-25 09:00:00,9.07,9.85,8.24,78.54,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-25 10:00:00,10.85,11.44,10.12,67.6,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-25 11:00:00,12.87,13.71,11.58,57.51,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-25 12:00:00,14.36,14.84,13.39,51.47,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-25 13:00:00,16.03,17.22,14.48,46.63,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-25 14:00:00,17.0,17.46,15.92,44.72,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-25 15:00:00,16.84,17.47,16.21,45.33,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-25 16:00:00,16.84,17.19,16.51,45.77,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-25 17:00:00,16.11,17.12,15.23,45.72,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-25 18:00:00,13.93,15.16,12.5,51.07,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-25 19:00:00,11.78,12.66,11.23,57.24,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-25 20:00:00,10.91,11.3,10.15,59.06,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-25 21:00:00,10.64,11.27,9.35,60.19,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-25 22:00:00,9.13,9.57,8.58,67.5,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-25 23:00:00,9.73,10.21,9.07,65.5,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-26 00:00:00,8.82,9.57,8.28,71.31,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-26 01:00:00,8.05,8.43,7.31,75.43,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-26 02:00:00,7.2,7.47,6.91,80.55,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-26 03:00:00,6.9,6.9,6.9,82.43,,,,,,,Ruma,Irig,Vinova Loza
2017-03-26 04:00:00,6.33,6.98,5.67,87.19,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-26 05:00:00,6.57,7.48,5.76,86.13,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-26 06:00:00,7.47,8.22,6.64,74.34,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-26 07:00:00,5.77,7.38,5.09,82.78,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-26 08:00:00,7.49,7.62,7.37,68.43,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-26 09:00:00,7.97,8.38,7.54,67.17,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-26 10:00:00,8.41,8.77,8.01,57.71,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-26 11:00:00,7.74,8.15,7.4,53.75,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-26 12:00:00,8.06,8.61,7.79,52.98,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-26 13:00:00,8.24,8.56,8.03,50.28,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-26 14:00:00,10.34,11.77,8.73,43.4,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-26 15:00:00,11.58,12.41,10.72,38.93,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-26 16:00:00,12.11,13.12,11.07,33.2,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-26 17:00:00,11.17,12.31,10.17,35.62,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-26 18:00:00,9.84,10.67,9.06,41.03,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-26 19:00:00,8.37,9.01,7.69,45.82,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-26 20:00:00,7.28,7.77,6.78,49.97,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-26 21:00:00,5.98,6.86,5.37,54.02,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-26 22:00:00,5.21,5.52,4.96,57.07,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-26 23:00:00,4.9,5.21,4.48,60.63,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-27 00:00:00,3.94,4.43,3.71,64.14,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-27 01:00:00,3.38,3.69,3.06,66.96,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-27 02:00:00,2.65,3.05,2.28,71.14,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-27 03:00:00,2.07,2.36,1.63,75.76,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-27 04:00:00,1.33,1.68,1.03,81.17,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-27 05:00:00,0.9,1.04,0.72,84.76,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-27 06:00:00,0.59,0.84,0.48,86.35,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-27 07:00:00,1.54,2.38,0.72,82.42,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-27 08:00:00,3.54,4.47,2.49,75.57,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-27 09:00:00,6.71,9.04,4.78,65.28,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-27 10:00:00,12.09,16.49,8.78,54.17,,,0.8,,,,Ruma,Irig,Vinova Loza
2017-03-27 11:00:00,17.63,18.01,16.85,37.09,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-27 12:00:00,15.06,17.17,11.29,40.79,,,4.6,,,,Ruma,Irig,Vinova Loza
2017-03-27 13:00:00,13.42,15.75,11.61,39.86,,,0.6,,,,Ruma,Irig,Vinova Loza
2017-03-27 14:00:00,13.99,15.35,12.66,35.23,,,3.0,,,,Ruma,Irig,Vinova Loza
2017-03-27 15:00:00,13.68,14.34,12.01,32.77,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-27 16:00:00,13.73,14.12,13.43,31.95,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-27 17:00:00,13.21,13.65,12.74,31.79,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-27 18:00:00,11.5,12.65,10.54,32.88,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-27 19:00:00,9.47,10.4,8.85,38.14,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-27 20:00:00,8.01,8.95,7.03,42.67,,,0.0,,,,Ruma,Irig,Vinova Loza
2017-03-27 21:00:00,7.8,8.14,7.27,42.85,,,0.0,,,,Ruma,Irig,Vinova Loza
