Date,Tavg,RH,Precipitation,SAvg,dewpoint,q,qsat,lcl,Tmin,Tmax,tendt,tendq,bowen,R2,R1
1,6.379166666666666,0.9948458333333333,0.0,,6.301035823511222,0.005952042852325191,0.005990144636704765,9.869716989156322,2.45,10.04,2.9249329668209873e-05,2.9867046666180618e-05,0.9793177743727102,0.5923238834782523,0.775855380742197
2,5.359583333333333,1.0,0.8000000000000002,,5.359583333333333,0.005516713964411335,0.005516713964411335,-1.5983741236726665e-12,3.85,7.03,-1.1836135223765431e-05,-1.14158198841535e-05,1.036818673023685,0.8018803366184862,0.8911184286093641
3,5.007083333333333,0.9849666666666668,0.03333333333333333,,4.780146994329534,0.005308351466036247,0.005398965571680015,28.50551486758914,1.24,7.44,-4.0921006944444445e-06,-5.4639809534829676e-06,0.7489229426826552,0.6476774096942608,0.8327597178706001
4,5.708333333333333,0.9820041666666666,0.008333333333333333,,5.422975625772228,0.005553717074859163,0.005684260108685256,35.918079217901216,3.76,9.83,8.140668402777777e-06,6.434329707617178e-06,1.2651929218268962,0.659054036369238,0.7415115422454278
5,8.175833333333333,0.9265125000000002,0.06666666666666667,,6.949587699182396,0.006205522127995471,0.006806580683462388,154.33523562442682,4.01,13.15,2.8644704861111107e-05,1.709256907310415e-05,1.6758571949365244,0.5384388695238986,0.6652002682592253
6,10.565833333333334,0.8821791666666666,0.0,,8.551606117936878,0.006893123276371374,0.007975899312187935,253.98080020365535,5.54,15.59,2.7745023148148152e-05,1.803126573936372e-05,1.5387174449755079,0.5116240932454387,0.6352353494027443
7,10.461666666666668,0.9111875,0.0,,8.84346919041256,0.007038594000072771,0.007994748728826653,204.12487990991858,6.53,16.82,-1.2092496141975238e-06,3.8147424310633635e-06,,0.5065040920903321,0.6024090337074902
8,10.051249999999998,0.909725,0.0,,8.571619714313488,0.006903056039849923,0.007675315739285222,186.71651042795904,5.74,14.43,-4.7644434799383096e-06,-3.554271228781343e-06,1.3404839341908918,0.5589947914415795,0.6820200643166058
9,6.873333333333335,0.9877166666666667,0.008333333333333333,,6.685441773171163,0.006059548493825663,0.006143641325793608,23.666411782246247,4.74,9.13,-3.689178722993822e-05,-2.2119667413945554e-05,1.6678273926794869,0.7399357333694168,0.8471588852674435
10,4.649583333333334,1.0,0.0,,4.649583333333335,0.005255770328784506,0.005255770328784506,-1.1903051047271536e-12,3.22,6.73,-2.5815060763888895e-05,-2.107782647482148e-05,1.224749657879871,0.7829989628470558,0.8657526254905878
11,4.446666666666667,0.9989666666666667,0.0,,4.431515139536691,0.0051857533558025345,0.005192097339687874,1.9076882364982664,1.98,7.04,-2.3556182484567922e-06,-1.836085714931906e-06,1.2829565794776383,0.7018809274412111,0.834722915677842
12,5.10625,1.0,0.0,,5.10625,0.005433544881171953,0.005433544881171953,-3.9816369688301256e-13,3.26,7.87,7.65696855709876e-06,6.497945578554618e-06,1.1783676031958938,0.7263104462858874,0.826721952581539
13,2.2775000000000003,0.9996,0.008333333333333333,,2.271832866490262,0.004449237310813546,0.00445112305245156,1.187984990476048,-0.44,4.27,-3.2838382523148146e-05,-2.581192805207055e-05,1.2722173429626444,0.7142608256424378,0.8683323536891495
14,-2.01625,0.9743666666666667,0.008333333333333333,,-2.3877986787993017,0.003161462443196436,0.0032544422638526274,79.07453434931246,-3.75,-0.29,-4.984526909722222e-05,-3.3769883755028056e-05,1.4760272631912947,0.7746746057133325,0.8586168901272956
15,-3.9104166666666678,1.0,0.016666666666666666,,-3.9104166666666664,0.002819122313898347,0.002819122313898347,62.84384449206931,-4.93,-2.8,-2.1988994984567912e-05,-8.97733498439036e-06,2.449390049808992,0.8524877501320739,0.9204918527487481
16,0.19500000000000028,1.0,0.05833333333333333,,0.19500000000000065,0.003974680623883605,0.003974680623883605,29.90048004313528,-4.91,6.25,4.76589457947531e-05,3.0302711119504037e-05,1.5727617772153033,0.4467182043709246,0.6517768685289806
17,4.41,0.996375,0.6,,4.357550190590146,0.005156742659628317,0.005173264779054138,6.5572896048737705,2.65,6.63,4.8931076388888877e-05,3.099772991547422e-05,1.5785374129755945,0.7571958925701501,0.8541317130180128
18,3.3070833333333325,0.7997416666666668,0.008333333333333333,,0.08855213238971209,0.003799334271326025,0.004813821660279649,400.9345351146537,0.57,7.07,-1.2803534915123468e-05,-3.559591403262088e-05,0.3596911404884849,0.6329876175972684,0.6155317200916247
19,4.825,0.7898958333333334,0.20000000000000004,,1.2884098838822193,0.004186047984979304,0.005349404811863777,440.3254763859843,2.69,8.99,1.762118537808643e-05,1.0140962900379653e-05,1.73762447917315,0.6465690467969206,0.593528660280883
20,2.5591666666666666,1.0,0.05000000000000001,,2.559166666666667,0.004556890635127867,0.004556890635127867,0.34581527859087585,-0.49,6.81,-2.6303597608024693e-05,9.724769058505212e-06,,0.5966861074947413,0.7430768397038802
21,1.2212500000000002,1.0,0.19999999999999998,,1.2212500000000002,0.004118105018715291,0.004118105018715291,0.8033839387902448,-0.44,3.18,-1.553160204475308e-05,-1.1506467187894163e-05,1.3498150032612724,0.7712254154120488,0.8696994828773801
22,-0.1695833333333333,1.0,0.0,,-0.16958333333333295,0.0037304674485717474,0.0037304674485717474,11.000353310569759,-2.62,1.65,-1.6145900848765435e-05,-1.0165189593311083e-05,1.5883521601397175,0.732624475506384,0.8770038362934475
23,0.36000000000000004,0.9965624999999999,0.0,,0.309832841688295,0.0038611744568414776,0.0038776245305567115,13.44179823688115,-2.07,3.5,6.147825038580246e-06,3.4275870621732545e-06,1.7936305999131148,0.6690572335666819,0.7963292258819997
24,0.8433333333333336,0.99525,0.0,,0.7739604586955032,0.004004046055069345,0.0040285204529459445,13.534658023504548,-1.37,4.62,5.6109182098765455e-06,3.746584426653584e-06,1.4976089074517847,0.6511633570640952,0.761252337328079
25,0.9924999999999998,0.9515208333333334,0.0,,0.24728658254153735,0.0038683313992501356,0.0041191447890151405,106.022259249736,-2.83,6.04,1.731645447530859e-06,-3.5589047947090425e-06,,0.5296849631196531,0.6665382577328903
26,2.5729166666666665,0.9281208333333334,0.0,,1.4052048220798306,0.004198858422497309,0.004616024144275498,149.22305295038566,-1.04,7.86,1.8346735146604938e-05,8.66755473618329e-06,2.116714079694849,0.5334808475976592,0.6425077653946721
27,3.5066666666666664,0.9170541666666666,0.0,,2.1282138520936384,0.004419632307952126,0.004947452526811,172.87948189893118,-0.35,9.26,1.0839713541666663e-05,5.7894501868565686e-06,1.872321756265456,0.5102854662534807,0.6168779869884852
28,0.74125,1.0,0.008333333333333333,,0.7412500000000003,0.0039841409130411546,0.0039841409130411546,4.683804321610753,-1.97,2.55,-3.210315875771605e-05,-1.1420081376235681e-05,2.811114711014255,0.7209035794112674,0.878534088734393
29,3.9774999999999996,0.9844874999999998,0.016666666666666666,,3.724610162211469,0.005151739434917448,0.005294601912374283,41.30449949467235,-2.01,14.0,3.756896701388888e-05,3.0618446863515365e-05,1.2270043343921433,0.33029397099910873,0.5004048064477042
30,9.324166666666668,0.8435208333333334,0.0,,6.694605851988766,0.006072906364918984,0.007316808900072024,330.54861687619467,4.41,13.15,6.206836419753089e-05,2.4156163415962152e-05,2.569462837650648,0.5537550329594063,0.6545156904079058
31,6.098333333333334,0.8689833333333333,0.0,,3.817473183361454,0.0049667210266049686,0.005962153679999708,285.667769339347,1.96,12.65,-3.744804205246915e-05,-2.900798208269394e-05,1.2909564665930526,0.481167379092561,0.5591471114770475
32,7.483750000000001,0.8432041666666666,0.0,,4.737683904153079,0.00531125333567069,0.006596284450766814,344.4562977522892,2.55,15.61,1.6083019868827163e-05,9.034821473515634e-06,1.7801148496373034,0.4142042172924932,0.49253412235931715
33,9.63875,0.8258250000000001,0.0,,6.686066358641355,0.006104987237695047,0.007563792258517408,371.43256698985505,4.95,15.64,2.501695601851851e-05,2.081443137136684e-05,1.2019043697217129,0.48948706875770487,0.557106569921587
34,2.542916666666667,1.0,0.85,,2.5429166666666676,0.004537544091341049,0.004537544091341049,-7.905772838116216e-13,0.66,5.86,-8.237408371913578e-05,-4.11037473832174e-05,2.0040528896586447,0.6924749229981769,0.7924515972079967
35,1.6587499999999995,1.0,0.0,,1.6587499999999997,0.004286481681909457,0.004286481681909457,1.8205466481275419,-1.56,5.46,-1.0264110725308652e-05,-6.583719402328778e-06,1.5590140007604294,0.6056464149798877,0.7649312958521819
