Date,Tavg,RH,SAvg,dewpoint,q,qsat,lcl,Tmin,Tmax,Precipitation,tendt,tendq,bowen,R2,R1
2018-04-06,10.79,1.0,,10.790000000000004,0.00799458585334084,0.00716026352895678,-4.0557983611835395e-13,9.18,12.25,1.7999999999999998,,,,0.8151337622007946,0.9079259024784009
2018-04-07,10.593333333333332,0.9967458333333333,,10.541358355347752,0.007909744626722224,0.0065453377935926664,6.6112655109096155,7.86,14.78,0.0,-0.0022830632716049444,-0.0022248286036565847,1.0261749007778167,0.6321543007593428,0.7574897646704885
2018-04-08,16.082083333333333,0.7897708333333333,,11.870421760269886,0.008652880162503122,0.007649417816075801,532.6755956451094,10.16,23.02,0.0,0.06371778067129631,0.019487568276579388,3.2696629854979817,0.4411127431498007,0.5129936204254135
2018-04-09,18.242916666666666,0.6674666666666668,,11.504650309617636,0.008448905965494987,0.00919018395915466,851.6730797522688,12.92,24.99,0.2,0.02508467399691357,-0.005348904606855505,-4.689684307468004,0.4703244883461345,0.44159615355061077
2018-04-10,17.386249999999997,0.6756749999999999,,10.806477723700135,0.008063704112239873,0.008631347389621699,829.7513476651476,11.97,23.13,0.0,-0.009944868827160523,-0.010101316723719656,0.9845121283850287,0.49413931665377225,0.47363269923228773
2018-04-11,18.284583333333337,0.6229958333333333,,10.774633323257655,0.008065867754834243,0.009546934242459757,948.2507694501847,13.5,23.5,0.0,0.01042856867283959,5.6738146345787666e-05,,0.5341737824726346,0.45191422816523824
2018-04-12,19.39625,0.6713416666666667,,12.269106976267507,0.00890786162168677,0.00860278869334359,900.521207882411,11.92,26.89,0.0,0.012905111882715986,0.022079973542790548,0.5844713472009436,0.3935153627891533,0.4265340238125517
2018-04-13,19.04791666666667,0.66285,,12.047650353298527,0.008844149472457872,0.01017769952373499,883.5779008405979,14.48,24.88,0.6000000000000001,-0.004043730709876494,-0.0016707515632946562,2.4203064050423015,0.523982084666239,0.46425098426808237
2018-04-14,19.744166666666665,0.5949500000000001,,11.449408038857229,0.008539360770108476,0.008455630381386511,1048.3947313479587,11.66,25.21,0.0,0.008082624421296244,-0.007992607486765488,-1.011262524111163,0.427281532557698,0.42666952986318046
2018-04-15,18.38625,0.7146666666666666,,13.070712750914808,0.009363694779854208,0.011164439070072222,674.0040829817522,15.91,21.64,0.0,-0.015763777970678988,0.02161687138369158,-0.729234942970131,0.6987588012773099,0.5841729571431878
