Date,Tavg,RH,Precipitation,SAvg,dewpoint,q,qsat,lcl,Tmin,Tmax,tendt,tendq,bowen,R2,R1,std_Tavg,std_RH,std_Precipitation,std_SAvg,std_dewpoint,std_q,std_qsat,std_lcl,std_Tmin,std_Tmax,std_tendt,std_tendq,std_bowen,std_R2,std_R1,period_start,period_end,rolling_meanTavg,rolling_std_Tavg,rolling_meanRH,rolling_std_RH,rolling_meanPrecipitation,rolling_std_Precipitation,rolling_meanSAvg,rolling_std_SAvg,rolling_meandewpoint,rolling_std_dewpoint,rolling_meanq,rolling_std_q,rolling_meanqsat,rolling_std_qsat,rolling_meanlcl,rolling_std_lcl,rolling_meanTmin,rolling_std_Tmin,rolling_meanTmax,rolling_std_Tmax,rolling_meantendt,rolling_std_tendt,rolling_meantendq,rolling_std_tendq,rolling_meanbowen,rolling_std_bowen,rolling_meanR2,rolling_std_R2,rolling_meanR1,rolling_std_R1
1,2.544375,0.99028125,0.0,3.74625,2.38395325627896,0.004632233851468791,0.004719806950332477,25.02737439827842,-1.21,7.895,-0.0162112003279321,-0.00706895366239222,1.0740749556795173,0.5652707653876151,0.6999484547844537,3.336660123724021,0.013744388059313554,0.0,0.2598617420860571,3.1097895180541846,0.0011425777103244816,0.0012664247744365459,26.78841537267978,0.1838477631085023,7.389265863399421,0.041320335139782144,0.035252539835482696,0.48896415841350116,0.2797655161234776,0.19345818581228852,2017-07-08 00:00:00,2019-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.87375,1.0,0.6916666666666665,4.204166666666667,4.87375,0.0053273643735964014,0.0053273643735964014,-1.191943715036432e-12,4.09,6.21,-0.00034826388888888147,-0.0029578444393505245,0.11774246280691905,0.8628301046341391,0.9114665355321656,,,,,,,,,,,,,,,,2017-07-08 00:00:00,2019-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5.300416666666666,0.9859749999999999,0.0,4.220833333333334,5.08453673242381,0.005443451854019253,0.005538500130696015,27.17256477515986,1.84,8.76,0.004953086419753077,0.0030442127874011236,1.6270500013179365,0.618110293609085,0.7777934223368324,,,,,,,,,,,,,,,,2017-07-08 00:00:00,2019-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6.201250000000001,0.9809708333333335,0.0,4.525,5.896733858255168,0.005750253705027586,0.005898251895189528,38.384781336006064,3.43,10.94,0.010457590663580263,0.008045399164801332,1.2998224760969328,0.5979192149025646,0.7116778625642561,,,,,,,,,,,,,,,,2017-07-08 00:00:00,2019-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8.324583333333333,0.9667916666666666,0.016666666666666666,4.8375,7.740689553140306,0.006591633318492878,0.006934632792263479,73.75971642337838,4.69,15.14,0.024649344135802453,0.02206386570748125,1.1171815702016596,0.4963661374289199,0.6163120188496246,,,,,,,,,,,,,,,,2017-07-08 00:00:00,2019-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9.9125,0.9907916666666668,0.0,5.654166666666668,9.760215725599728,0.007568070815577241,0.007670874553764806,19.37795610311011,5.26,16.61,0.01843380111882716,0.02560554767744821,0.7199143463376304,0.47013576497073895,0.6399060691748268,,,,,,,,,,,,,,,,2017-07-08 00:00:00,2019-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8.896666666666667,0.9787666666666667,0.0,6.295833333333333,8.539645904432856,0.007065957720521965,0.00731621276362068,45.46131219476508,4.02,17.4,-0.011792602237654319,-0.013167131366113576,0.8956090669835123,0.41005209434976597,0.5615423254360488,,,,,,,,,,,,,,,,2017-07-08 00:00:00,2019-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7.232916666666665,0.9998041666666667,0.0,6.275000000000001,7.229900479664733,0.006451339289070237,0.006453210446094078,0.38381186818781593,2.92,14.07,-0.019314134837962977,-0.016117408023522437,1.1983400066422032,0.46960838719871734,0.6339990743435596,,,,,,,,,,,,,,,,2017-07-08 00:00:00,2019-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5.319583333333333,1.0,0.0,5.937500000000001,5.319583333333335,0.00555131762857959,0.00555131762857959,-1.5940095877191852e-12,2.64,9.23,-0.022211496913580233,-0.02360166176252269,0.9410988572359802,0.6339355458939362,0.7652462970015136,,,,,,,,,,,,,,,,2017-07-08 00:00:00,2019-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4.763750000000001,1.0,0.0,5.320833333333332,4.763750000000003,0.005299179501799196,0.005299179501799196,-1.296479850877473e-13,3.09,7.37,-0.006452555941358012,-0.006611928408992743,0.9758962200168454,0.7425361471396067,0.8352296883170038,,,,,,,,,,,,,,,,2017-07-08 00:00:00,2019-01-01 00:00:00,6.3369791666666675,2.2414662395985427,0.9893381250000001,0.01132837011974054,0.07083333333333333,0.2182014727632455,5.101708333333333,0.9234903106047534,6.15927588431289,2.161846992436748,0.005968080205815313,0.0009144802752353706,0.006070935103593625,0.0009752487470035382,22.956751709888277,24.609988624453532,3.077,1.8114331342889805,11.3625,4.104180287625452,-0.0017836431809413564,0.016191517933146295,-0.0010765902325762275,0.015977354218472368,0.9966729963319138,0.3962751637332375,0.5866764455515089,0.13783967179543294,0.7153121748340286,0.10813952755444535
11,4.295416666666667,1.0,0.0,5.266666666666668,4.295416666666667,0.005144031830697345,0.005144031830697345,-1.2670166455496908e-13,1.21,7.48,-0.005436786265432103,-0.004068505256409939,1.3363104931145002,0.6445193338048422,0.8022612899275879,,,,,,,,,,,,,,,,2017-07-08 00:00:00,2019-01-01 00:00:00,6.512083333333334,1.9634169340969754,0.99031,0.011824308341163691,0.07083333333333333,0.2182014727632455,5.253749999999999,0.7912217316932739,6.35042222535166,1.853458711853328,0.006019260003738169,0.0008429342988177574,0.006113357591630112,0.0009174600677139175,20.454014270060423,25.627571707670665,3.319,1.249590599623199,11.321000000000002,4.145033038335025,-0.0007062017746913566,0.015467060074528428,-0.0007765453919779993,0.015880195553560766,1.022896550075412,0.41039166478523226,0.5946013023932315,0.13874738800530215,0.7255434583483421,0.11131772838520303
12,4.954583333333334,1.0,0.0,5.337500000000001,4.954583333333335,0.005377880870351427,0.005377880870351427,-2.7310969602242644e-15,3.01,7.29,0.007652131558641976,0.0061323256758038305,1.2478351547496582,0.7423938930902757,0.8510657055256128,,,,,,,,,,,,,,,,2017-07-08 00:00:00,2019-01-01 00:00:00,6.520166666666666,1.956075187432449,0.99031,0.011824308341163691,0.0016666666666666718,0.005270462766947594,5.3670833333333325,0.7000976838808337,6.3585055586849935,1.8464661358471612,0.0060243116534136705,0.0008384666247383223,0.006118409241305614,0.0009127785577716994,20.454014270060544,25.627571707670562,3.211,1.2219151634490286,11.429000000000004,4.008902454399319,9.383777006172913e-05,0.01569289474745028,0.00013247161953743614,0.01600116944336986,1.1359058192696858,0.2623344709129189,0.5825576812388451,0.11628652855621234,0.7195033753476869,0.10129623649691932
13,3.145833333333334,0.9997416666666666,0.0,5.075,3.1421431572137046,0.004728099952970576,0.004729407915589012,0.46292288033882517,0.78,4.75,-0.020997410300925924,-0.01703948927562941,1.2322793225356405,0.7545185940018867,0.8931651178717366,,,,,,,,,,,,,,,,2017-07-08 00:00:00,2019-01-01 00:00:00,6.304708333333333,2.207819026850723,0.9916866666666667,0.012062524195587558,0.0016666666666666718,0.005270462766947594,5.4525,0.5878108581323341,6.164266201163983,2.082456774653018,0.005952776463308803,0.000920074294028014,0.006037500019794914,0.0010014461401598655,17.78305008057844,26.23423590512945,3.105,1.3886624259816829,11.028000000000002,4.478580628329074,-0.002501211902006171,0.016899336376643082,-0.0018758985867656172,0.016833826090146754,1.0964287513914563,0.20326644455867776,0.5961985112781253,0.12830036604400782,0.7310405449011774,0.11439597709583199
14,-0.8516666666666666,0.9626583333333335,0.0,3.4874999999999994,-1.3921953001943228,0.003402771633194872,0.0035435634225229637,83.1165267274875,-2.83,0.7,-0.04640616319444445,-0.034754664360618186,1.3352499311438903,0.77226323679222,0.8600821085551975,,,,,,,,,,,,,,,,2017-07-08 00:00:00,2019-01-01 00:00:00,5.5994166666666665,3.1640132718697465,0.9898554166666667,0.014921351950143817,0.0016666666666666718,0.005270462766947594,5.34875,0.8167022148347886,5.4353732853190335,3.175344670775524,0.005718028256125532,0.0012260719716506263,0.005802031172528257,0.0012767982210481392,22.256224619726588,33.062323534010666,2.479,2.3227208661873733,10.004000000000003,5.544699571061839,-0.008187587287808643,0.02109937772519295,-0.006155904939307569,0.019292473643189253,1.099971496896152,0.20747055093391528,0.6136329134670909,0.1398829265635143,0.7458809695002715,0.12103827945533557
15,-2.861666666666667,1.0,0.0,2.4458333333333324,-2.8616666666666677,0.003048041328739814,0.003048041328739814,46.52099563918125,-3.64,-2.0,-0.02333368055555556,-0.009302247968233188,2.508391588274056,0.8853112349082632,0.9381964530624439,,,,,,,,,,,,,,,,2017-07-08 00:00:00,2019-01-01 00:00:00,4.480791666666667,3.968612950632627,0.99317625,0.01275633769651256,5.204170427930421e-18,1.7457986063016566e-09,5.109583333333333,1.2291173091157335,4.375137663338337,3.9865150073299223,0.005363669057150225,0.001439105134196551,0.005413372026175891,0.0014705644262464812,19.53235254130687,29.24993787433128,1.6459999999999997,2.870734323401515,8.290000000000003,6.3686105234972565,-0.012985889756944443,0.01803563347504822,-0.009292516306879012,0.01654944297097132,1.2390924987033916,0.49184467978312285,0.6525274232150252,0.15671449021465278,0.7780694129215535,0.125471802581635
16,0.8108333333333338,0.9768916666666666,0.0,2.033333333333333,0.4324326357749855,0.004037943515602434,0.004211076353919774,74.21195356186149,-4.47,10.45,0.04263330439814816,0.025958638128305223,1.6423552032053996,0.3473032997143496,0.500647603321343,,,,,,,,,,,,,,,,2017-07-08 00:00:00,2019-01-01 00:00:00,3.5706250000000006,3.6121723827797396,0.99178625,0.01376266196600175,5.204170427930421e-18,1.7457986063016566e-09,4.7475,1.5438862900301984,3.4423593543558626,3.664784677525674,0.005010656327152745,0.0012601231645707933,0.005067392206191388,0.0012743283393731224,25.015752287182007,33.97578875324544,0.6729999999999998,3.1454943084425446,7.674000000000004,5.741481032316004,-0.010565939429012343,0.023511918635857793,-0.009257207261793311,0.016632341706303722,1.3313365843901686,0.46965541065115174,0.6402441766893863,0.1762010058322614,0.7641435663362051,0.14818270181065735
17,4.970833333333333,0.9933958333333334,0.4333333333333334,3.054166666666667,4.870833797982612,0.005359954957587894,0.005405727074994755,12.608598545502533,2.32,9.38,0.04829259259259259,0.034667684423190584,1.3930146589279484,0.6134466708806335,0.7345088786935856,,,,,,,,,,,,,,,,2017-07-08 00:00:00,2019-01-01 00:00:00,3.1780416666666667,3.1531774223578473,0.9932491666666665,0.012980231705306931,0.04333333333333335,0.13703203194062982,4.423333333333333,1.5228432938194474,3.0754781437108383,3.2589707207593075,0.004840056050859337,0.0010486973232388913,0.004876343637328795,0.001016939606862576,21.730480922255754,33.36194514924234,0.5029999999999999,2.9864213068859224,6.8720000000000026,4.697100287529651,-0.004557419945987652,0.029957547533071394,-0.004473725682862895,0.021538092246564274,1.381077143584612,0.44402081106741415,0.660583634342473,0.15741450105311416,0.7814402216619587,0.13100560933112285
18,3.193333333333333,0.8583374999999999,0.0,3.129166666666667,0.8263532333020724,0.004007971720412313,0.004786010879261073,294.7618813029139,0.85,7.65,-0.02063463541666667,-0.03545364792112151,0.5820172711867425,0.6207921209886854,0.6298623833540943,,,,,,,,,,,,,,,,2017-07-08 00:00:00,2019-01-01 00:00:00,2.774083333333334,2.816797825951295,0.9791024999999998,0.04431363689795114,0.04333333333333335,0.13703203194062982,4.10875,1.4192343968309626,2.4351234190745723,2.968104662957055,0.004595719293993545,0.0009065821549825285,0.004709623680645494,0.00085317649021381,51.16828786572835,91.55556600288469,0.29599999999999993,2.8697355666022992,6.230000000000003,3.9893914879896735,-0.004689470003858022,0.030032637318009456,-0.006407349672622803,0.023480005642376338,1.319444870039066,0.5100663108288894,0.6757020077214698,0.14369724873779532,0.7810265525630122,0.13152839364278135
19,3.605,0.93355,0.15833333333333335,3.0124999999999997,2.535389137808901,0.004568771401319761,0.0049032034231116135,134.0198634736025,-0.79,6.83,0.004778954475308647,0.014706095382296414,0.32496419689088096,0.5829683776062963,0.7459608168220885,,,,,,,,,,,,,,,,2017-07-08 00:00:00,2019-01-01 00:00:00,2.6026250000000006,2.694150506948247,0.9724574999999998,0.045789433807995404,0.05916666666666668,0.14057037690849927,3.81625,1.2965728954239888,2.156703999522129,2.79287940022788,0.004497464671267561,0.0008424856831345742,0.004644812260098696,0.0008054129598778936,64.57027421308877,93.03037288495618,-0.04700000000000011,2.7613806933006058,5.990000000000004,3.8589175223687353,-0.001990424864969134,0.02949089299531656,-0.0025765739581408926,0.023488012906799437,1.257831404004556,0.5915509450096937,0.6706052908927058,0.14622487144035204,0.7790980045450697,0.13192626787176112
20,2.8491666666666666,0.9999541666666666,0.0,3.295833333333334,2.8485032318131775,0.004642979611752983,0.004643242022309712,0.08343530933263477,0.64,6.0,-0.008774315200617284,0.001945994368282426,-4.508910890817054,0.6848133933239382,0.8020276415273693,,,,,,,,,,,,,,,,2017-07-08 00:00:00,2019-01-01 00:00:00,2.411166666666667,2.5895040533437945,0.9724529166666664,0.0457863727877987,0.05916666666666668,0.14057037690849927,3.6137500000000005,1.1891599022621582,1.9651793227034466,2.6565779660817825,0.00443184468226294,0.0007974547869747863,0.004579218512149748,0.0007722255646570803,64.57861774402204,93.02394189772768,-0.2920000000000001,2.5529494924716216,5.853000000000003,3.8286813802027355,-0.002222600790895061,0.02953902583342234,-0.001720781680413376,0.023480551023457617,0.7093506929211661,1.9240267677592098,0.664833015511139,0.1441951022874544,0.7757777998661064,0.13076935851129928
21,1.8095833333333333,1.0,0.075,3.0208333333333335,1.809583333333334,0.0042935722583768866,0.0042935722583768866,-3.9391328047614826e-13,0.69,3.56,-0.012068311149691358,-0.00916266189329847,1.3171184629783257,0.8149035549597653,0.8831429513709858,,,,,,,,,,,,,,,,2017-07-08 00:00:00,2019-01-01 00:00:00,2.162583333333333,2.50651038716931,0.9724529166666664,0.0457863727877987,0.06666666666666668,0.13905545567537592,3.389166666666667,1.0457294842936125,1.7165959893701133,2.527469654844482,0.004346798725030894,0.0007574069664775166,0.004494172554917702,0.0007496104509425095,64.57861774402201,93.0239418977277,-0.3440000000000001,2.524089274702198,5.461000000000004,3.8442350777928955,-0.002885753279320987,0.02969323854322518,-0.0022301973441022295,0.023592139037343904,0.7074314899075487,1.923341342136569,0.6818714376266313,0.15141388846370182,0.7838659660104461,0.13502153833335678
