Date,Tavg,RH,SAvg,dewpoint,q,qsat,lcl,Tmin,Tmax,Precipitation,tendt,tendq,bowen,R2,R1,std_Tavg,std_RH,std_SAvg,std_dewpoint,std_q,std_qsat,std_lcl,std_Tmin,std_Tmax,std_Precipitation,std_tendt,std_tendq,std_bowen,std_R2,std_R1,period_start,period_end,rolling_meanTavg,rolling_std_Tavg,rolling_meanRH,rolling_std_RH,rolling_meanSAvg,rolling_std_SAvg,rolling_meandewpoint,rolling_std_dewpoint,rolling_meanq,rolling_std_q,rolling_meanqsat,rolling_std_qsat,rolling_meanlcl,rolling_std_lcl,rolling_meanTmin,rolling_std_Tmin,rolling_meanTmax,rolling_std_Tmax,rolling_meanPrecipitation,rolling_std_Precipitation,rolling_meantendt,rolling_std_tendt,rolling_meantendq,rolling_std_tendq,rolling_meanbowen,rolling_std_bowen,rolling_meanR2,rolling_std_R2,rolling_meanR1,rolling_std_R1
1,0.4116458333333334,0.8350037499999999,1.36,-2.2857471876708035,0.00330203891382259,0.0030844403553423098,355.7104494079031,-2.915,4.4025,0.0,-5.1594650205763946e-05,-0.0007899273020242377,1.481614873909667,0.6139766227506492,0.6411415737606452,3.387670359509478,0.07788656561016348,,4.00540081870338,0.0009696978974521121,0.0006494295440575427,184.28785070632713,3.0391939720919425,4.507544601369279,0.0,0.030667195942299875,0.01662416681621531,0.7107305626072457,0.19540760183236996,0.14895439924191023,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.8258333333333331,0.8471729166666667,1.291666666666667,-1.6634634247814337,0.0034466541532770173,0.0034212511806738614,331.3735108463613,-1.9950000000000003,4.37,2.1,0.004808218315972219,0.0037923086933807078,0.5085474359348127,0.6791654181988783,0.6834668474224734,3.3403097480567516,0.08188795094772294,,4.0596614321281725,0.0010400008394913847,0.0013067341813909389,207.55049059971373,5.415080793487757,4.042037440037718,4.2,0.01141437147480746,0.007892555787061687,3.1346370500911775,0.25669731962330766,0.20318963304273707,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-0.8319791666666667,0.847615625,1.008333333333333,-3.1942052159983865,0.003068865913133643,0.0027862027515490628,325.4246164624284,-4.4475,2.0475,0.05,-0.0192452076099537,-0.009906906303634767,1.4203746698871802,0.624606815974097,0.690479191995824,4.081483429814119,0.07428974006467721,,3.6753772733850014,0.0008790261095792745,0.0008311045647153245,121.77889899403678,3.9503111691781108,4.831089421652221,0.1,0.023162457690696456,0.016838961203542443,0.8868414246937476,0.06369991461530082,0.07710888109878203,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-2.3599999999999994,0.8864250000000001,0.5708333333333333,-4.043081428204589,0.00297285633337662,0.002619514411237478,265.03029704717005,-5.7524999999999995,1.115,0.05,-0.017738482590663573,-0.0025177012141595584,4.185612281966858,0.6065899469348827,0.69079266229171,5.398275112460906,0.007631306590471734,,5.242638068270216,0.0012092156465826583,0.0012572666377494621,35.592436027285075,5.70619765401328,6.300838568529325,0.1,0.020597405310375624,0.008888853727386167,3.3673656925003983,0.08129006456253964,0.0521584397608873,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-0.035208333333333175,0.9089791666666666,0.40000000000000013,-1.4511196189056759,0.0035461097920599584,0.003061187224590943,208.81118727909856,-3.3225,3.1525,0.45,0.026988032889660493,0.015032676245441362,1.9011557504564032,0.6401249040697711,0.7318391089194105,5.318998819091803,0.07817795657036918,,4.243612941884954,0.0012359585353622223,0.0011115316293246126,136.9286310818705,4.483171310579153,6.74789535089769,0.37859388972001823,0.020957469955780926,0.010780644926942237,0.7281935742777844,0.14461513546385502,0.12236075675309072,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.4404166666666659,0.841740625,0.4416666666666667,-2.0339984045995196,0.003671243766278368,0.003274780529002406,340.07451967989175,-3.4174999999999995,3.2525,0.65,0.005521433738425915,0.003281442952043061,2.0120527470386085,0.6306245954470443,0.7021834182402305,7.407426398991858,0.13182108667898762,,8.343952895613777,0.0019966466514313437,0.0017766435544199525,297.5462191153427,8.151369516835807,8.250860056180002,1.3,0.054629627968146334,0.029329331495876694,0.9302161714970353,0.15943604790537785,0.18507147715569994,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-2.5545833333333325,0.8401052083333334,0.41666666666666674,-4.981158030728257,0.0031715960212729613,0.0028109683474831673,370.8391039009895,-6.1175,1.195,1.1500000000000001,-0.03476834490740739,-0.0131024814131652,2.4990124252289543,0.5946644771807481,0.6555501346618988,9.787191217162167,0.12090013260755941,,10.550281536507901,0.0021985128752480833,0.001912010919096333,285.96007711325,9.420089790796405,11.082856130077662,2.3000000000000003,0.03802008397140541,0.014646296329288828,1.961965744530105,0.12940953587421697,0.18929852650329065,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-2.973645833333332,0.8678677083333334,0.5666666666666664,-4.951993774563801,0.0031104675884431085,0.0024970542057389817,317.0515084895887,-7.5975,1.9075000000000002,0.0,-0.004864811197916668,-0.0016029976377866018,-1.1316574948201399,0.5017426967344122,0.6181497826942477,9.333778643735593,0.09779948415795713,,9.847987636294825,0.001940322104595864,0.0015686523020775139,234.0235918080704,9.488559339190186,9.77086272205957,0.0,0.018205672017615283,0.0098997419391092,5.891102398324989,0.11226234565523106,0.1466573441840901,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-0.12458333333333316,0.9007427083333334,0.7458333333333332,-1.5920753726371923,0.0036839654238959604,0.0034240722008720224,219.81551071309954,-2.7025000000000006,3.1100000000000003,1.2000000000000002,0.033074186197916654,0.015039084644383156,2.221947201140345,0.6591833025819416,0.7191474303024439,6.964135596503093,0.08331246630233263,,7.661775054786184,0.0016052177415893014,0.0016378064885289624,205.73861324408023,8.110020036966617,6.670477244295693,1.423610433604175,0.037331998037979514,0.022302079886547532,1.3562157421900014,0.10583298726208142,0.12495834116973958,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-0.7705208333333329,0.9228322916666667,2.1500000000000004,-1.8825769795586602,0.003752787290127104,0.0034478438355236445,189.34556007015112,-3.3525,2.1499999999999995,0.7000000000000002,-0.007498556857638884,0.0018047459077457357,3.152372491378357,0.6779517483043032,0.7489804170156503,8.645450074336628,0.06972589856191316,,9.035129863174774,0.0019282769740737653,0.0019005964835640949,180.28207035437183,10.273715248146601,8.010921711430381,1.2701705922171767,0.028697607440987767,0.01730227694078992,3.13718799599054,0.15938524221028819,0.10112154171451698,2016-01-01 00:00:00,2019-07-18 00:00:00,-0.7972624999999998,1.3715304816499363,0.8698485,0.032436266908429254,0.8951666666666668,0.5652840976987689,-2.807941943764832,1.3885124325379523,0.0033726585195687333,0.00028527039712587847,0.003042731504201388,0.00035041855112874607,292.3476263896682,66.0605034620065,-4.162,1.780549540638133,2.67025,1.1780506792060255,0.635,0.6880124352881358,-0.0013775126671810693,0.02063075505550923,0.0011030244572223656,0.009115003449978938,1.825103238212105,1.443127857818904,0.6228630528176728,0.051309754285510274,0.6881730567304535,0.04078911151959759
