Date,Tavg,RH,Precipitation,SAvg,dewpoint,q,qsat,lcl,Tmin,Tmax,tendt,tendq,bowen,R2,R1,std_Tavg,std_RH,std_Precipitation,std_SAvg,std_dewpoint,std_q,std_qsat,std_lcl,std_Tmin,std_Tmax,std_tendt,std_tendq,std_bowen,std_R2,std_R1,period_start,period_end,rolling_meanTavg,rolling_std_Tavg,rolling_meanRH,rolling_std_RH,rolling_meanPrecipitation,rolling_std_Precipitation,rolling_meanSAvg,rolling_std_SAvg,rolling_meandewpoint,rolling_std_dewpoint,rolling_meanq,rolling_std_q,rolling_meanqsat,rolling_std_qsat,rolling_meanlcl,rolling_std_lcl,rolling_meanTmin,rolling_std_Tmin,rolling_meanTmax,rolling_std_Tmax,rolling_meantendt,rolling_std_tendt,rolling_meantendq,rolling_std_tendq,rolling_meanbowen,rolling_std_bowen,rolling_meanR2,rolling_std_R2,rolling_meanR1,rolling_std_R1
1,0.5733333333333334,0.9735208333333332,0.008333333333333333,,0.18061166356370092,0.0038215926762477878,0.003943411841606201,55.5663572520863,-1.64,3.75,-0.037036897183641976,-0.028754742329784536,1.2880274411389412,0.6785382679553396,0.7762141468619257,,,,,,,,,,,,,,,,2018-03-31 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.6612499999999997,0.8794875000000001,0.025000000000000005,,-0.2131614024063091,0.0037117325782274647,0.004268000299146484,235.19513986285224,-0.55,4.08,0.012629402970679006,-0.0028809094141798142,-4.383825089576638,0.7180649835260843,0.7409112260443299,,,,,,,,,,,,,,,,2018-03-31 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-1.54875,0.8825750000000001,0.0,,-3.244480279250357,0.0029893540594414948,0.003379948999274717,236.46830480603626,-5.35,0.68,-0.03726423611111111,-0.01894324793872646,1.9671513687433877,0.6400803510381644,0.7503416795387688,,,,,,,,,,,,,,,,2018-03-31 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-4.458750000000001,0.8988999999999999,0.0,,-5.882802467128335,0.002445784307805696,0.002732545667694342,246.03471600938997,-7.55,-1.57,-0.03378159722222223,-0.014254267408911888,2.3699286854336474,0.6371558917466619,0.7250559266883098,,,,,,,,,,,,,,,,2018-03-31 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-4.177500000000001,0.9235124999999998,0.0,,-5.2866776867543255,0.0025756246530239347,0.002799692299088061,202.73215171079164,-7.56,-0.8,0.0032649739583333333,0.003404860177808902,0.9589157227696826,0.6017349691085866,0.7190924610143258,,,,,,,,,,,,,,,,2018-03-31 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-0.52875,0.9974458333333334,0.016666666666666666,,-0.5634872899131333,0.0036210103930105516,0.0036283844782078224,14.98166374110284,-3.66,0.39,0.04235759548611112,0.0274136076159303,1.5451302900205202,0.7423733198280377,0.9330781069054128,,,,,,,,,,,,,,,,2018-03-31 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-8.630833333333333,0.8058625000000003,0.0,,-11.390367966511528,0.0016668531428928799,0.002073982354051212,464.7678721239759,-18.43,-3.49,-0.09405543499228394,-0.051244720513632644,1.8354170741796194,0.30422776335026525,0.5443143663170059,,,,,,,,,,,,,,,,2018-03-31 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-9.041666666666666,0.8383791666666668,0.0,,-11.271124278808836,0.0017402035795708911,0.0020566953424601773,404.2283476130478,-18.16,-2.72,-0.004769280478395054,0.0019235005918235362,-2.4794796001979047,0.2939333531430452,0.5178339751403964,,,,,,,,,,,,,,,,2018-03-31 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-1.1391666666666664,0.9349666666666666,0.008333333333333333,,-2.0750810173729772,0.0032385633465730856,0.003469711712285276,135.56204364799248,-3.48,0.31,0.09173851273148148,0.03929214370249661,2.3347800371007104,0.7567966138498591,0.8413347634184964,,,,,,,,,,,,,,,,2018-03-31 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-1.3620833333333333,0.9998999999999999,0.0,,-1.3634383675377066,0.0034089996724397473,0.003409319336645868,22.63925923184713,-2.25,0.0,-0.0025877941743827184,0.004469426339094037,-0.5789991775336587,0.848065057433704,0.9052918013149303,,,,,,,,,,,,,,,,2018-03-31 00:00:00,2019-07-18 00:00:00,-2.8652916666666672,3.65749841802494,0.9134550000000001,0.06517561561766763,0.005833333333333334,0.008827915878928169,,,-4.111000909211981,4.313015443874644,0.0029219718409233533,0.0007875610262973582,0.003176169233046016,0.0007434067029388173,201.81758559991226,151.72176554257504,-6.8629999999999995,6.453095811744589,0.0629999999999999,2.4509229554054395,-0.005950475501543211,0.050336224888607284,-0.003957434917808195,0.026240810529035978,0.4857046752078308,2.2758161671819686,0.6220970570979749,0.18431989909377047,0.7453468453243902,0.13511874905796534
11,-2.3225,0.8721916666666667,0.0,,-4.172352032168738,0.0027690743503750313,0.003179634530026874,266.5471128270944,-4.43,-0.32,-0.011149281442901232,-0.01678104168783145,0.6643974581736475,0.7377312950562938,0.7530276103888212,,,,,,,,,,,,,,,,2018-03-31 00:00:00,2019-07-18 00:00:00,-3.154875000000001,3.4645433871664304,0.9033220833333333,0.06262653518392591,0.005,0.008958064164776167,,,-4.546297278785225,4.042962557385034,0.0028167200083360775,0.0007215378517767354,0.0030997915018880834,0.000693373151380174,222.91566115741307,143.57524130175378,-7.142,6.259600271227834,-0.3440000000000001,2.080583251558723,-0.003361713927469136,0.04921298939832026,-0.0027600648536128865,0.025237588192545717,0.4233416769113014,2.2598763706512015,0.6280163598080704,0.18726087331636154,0.7430281916770798,0.13472858701161164
12,-4.81125,0.8947083333333331,0.0,,-6.286214745012116,0.002511532851478994,0.0027930512762477998,253.7962084750668,-15.26,-0.14,-0.028891391782407412,-0.006753623399956554,4.277909808028867,0.3099819444453016,0.6330115787670081,,,,,,,,,,,,,,,,2018-03-31 00:00:00,2019-07-18 00:00:00,-3.802125000000001,3.0438780168657615,0.9048441666666667,0.062166164548414,0.0024999999999999996,0.005624571314254606,,,-5.153602613045806,3.7664154007588606,0.0026967000356612307,0.0006526523326615863,0.0029522965995982153,0.0005616174314239205,224.77576801863455,143.87219323016456,-8.613000000000001,6.266776683431444,-0.7660000000000001,1.4003348805831335,-0.0075137934027777785,0.0494648201830874,-0.0031473362521905607,0.02526934206390204,1.2895151666718518,1.832110164949761,0.5872080558999919,0.20869533086400976,0.7322382269493477,0.13916459863044908
13,-1.4625000000000001,0.9451708333333334,0.13333333333333333,,-2.2445825835519604,0.003220745671333713,0.0034216646974824442,124.61343719293272,-6.29,1.6,0.03887495659722222,0.018597998055658985,2.0902764093683395,0.5577207113883348,0.7569117903607003,,,,,,,,,,,,,,,,2018-03-31 00:00:00,2019-07-18 00:00:00,-3.7935000000000008,3.051086195981464,0.9111037500000002,0.06282266802259233,0.01583333333333333,0.04165740637837213,,,-5.053612843475967,3.835370975046688,0.002719839196850453,0.0006681000298345781,0.002956468169418988,0.0005652898047243369,213.5902812573242,147.1724226215852,-8.707000000000003,6.219264068646352,-0.674,1.530099488413889,0.00010012586805555473,0.050230607690154125,0.000606788347247984,0.02544988770582648,1.301827670734347,1.8375757180618335,0.578972091935009,0.2080009035741038,0.7328952380315409,0.13927502875322356
14,1.7516666666666667,0.8051125,0.36666666666666664,,-1.441733308780434,0.003434957618673499,0.004338378901376708,405.8056226528538,-4.88,5.66,0.03731260609567902,0.005617373612818164,6.642357918037743,0.46637494712735134,0.6114232122200027,,,,,,,,,,,,,,,,2018-03-31 00:00:00,2019-07-18 00:00:00,-3.172458333333334,3.4997068299284058,0.9017250000000002,0.07127863370383287,0.05249999999999999,0.11785440379479743,,,-4.609505927641177,3.98296990615925,0.0028187565279372334,0.0006956739929268205,0.0031170514927872247,0.000705347748498642,229.56737192167057,159.26181089402928,-8.440000000000001,6.330767901465211,0.049,2.4756657914813767,0.007209546199845679,0.04993260401212355,0.002593952449420989,0.024931100240861162,1.7290705939947564,2.4932178909659424,0.561893997473078,0.2096970122032157,0.7215319665847102,0.14452241716947908
15,0.44166666666666665,0.6968208333333337,0.0,,-4.518440634060883,0.002706367750844853,0.003905101153992329,621.7317476188508,-2.87,2.38,-0.015207523148148149,-0.019106130862137752,0.7959499104177393,0.6826400161312316,0.606365847093718,,,,,,,,,,,,,,,,2018-03-31 00:00:00,2019-07-18 00:00:00,-2.7105416666666673,3.653759886191395,0.8790558333333337,0.09550910590192525,0.05249999999999999,0.11785440379479743,,,-4.532682222371832,3.9758598782006804,0.002831830837719325,0.0006918148028328099,0.0032275923782776514,0.0007360368011526292,271.4673315124765,201.05157493878448,-7.971000000000002,6.572319817064427,0.367,2.557381690540368,0.0053622964891975305,0.05043392434543901,0.0003428533454263239,0.025849133674723204,1.7127740127595623,2.4993363333613616,0.5699845021753425,0.21294059361452602,0.7102593051926493,0.14905894304795647
16,2.047083333333333,0.711233333333333,0.0,,-2.800951172170788,0.0030787563398876525,0.004420004207113002,603.7295768540349,-1.17,6.4,0.018636955054012343,0.009765308890477033,1.908485974487381,0.5840048355509626,0.5241507093545722,,,,,,,,,,,,,,,,2018-03-31 00:00:00,2019-07-18 00:00:00,-2.452958333333334,3.906702798201089,0.8504345833333335,0.09891317386829254,0.05083333333333332,0.11853334687330673,,,-4.756428610597598,3.786099069780094,0.0027776054324070354,0.0006425844847252035,0.0033067543511681704,0.0008215363004436527,330.3421228237697,203.78270383918868,-7.722000000000003,6.797118343664305,0.968,3.191070179248474,0.0029902324459876533,0.049039127300808,-0.0014219765271190027,0.024354808086877143,1.7491095812062483,2.4992695596066565,0.554147653747635,0.20441349033955877,0.6693665654375653,0.13672078031297702
17,0.5325,0.8431500000000001,0.0,,-1.826210100071597,0.0033151539294508474,0.003948897758850304,303.96357487200385,-2.07,3.95,-0.017582489390432096,0.0061991574150610925,-2.8362708370196823,0.6481947424898705,0.6609242946888159,,,,,,,,,,,,,,,,2018-03-31 00:00:00,2019-07-18 00:00:00,-1.536625000000001,3.3285147663437695,0.8541633333333335,0.09774212242104408,0.05083333333333332,0.11853334687330673,,,-3.8000128239536055,3.063052817547556,0.002942435511062832,0.0005270179809079217,0.003494245891648079,0.000716115106991916,314.2616930985725,198.26644725714883,-6.086000000000002,5.834059383387257,1.7119999999999997,2.8892436534305803,0.010637527006172837,0.036612214464787546,0.004322411265750371,0.016945028919052887,1.281940790086318,2.8877698582264317,0.5885443516615956,0.18577688239929763,0.6810275582747464,0.12966048734870075
18,1.7658333333333331,0.8851083333333333,0.049999999999999996,,0.03811692162322712,0.003799654573446705,0.004285116011332367,215.14204237582496,0.05,4.2,0.014317515432098762,0.012705272356535123,1.12689559344506,0.743798702044079,0.7449490316110086,,,,,,,,,,,,,,,,2018-03-31 00:00:00,2019-07-18 00:00:00,-0.45587500000000103,2.175915387139569,0.8588362500000002,0.09802028931934681,0.055833333333333325,0.11719786476797622,,,-2.669088703910399,1.8428381790606392,0.003148380610450413,0.00038945269774107356,0.003717087958535298,0.0005454585955517628,295.35306257485024,197.7488868134961,-4.265000000000002,4.282196347151256,2.4039999999999995,2.5141475250624765,0.01254620659722222,0.03621514454889451,0.00540058844222153,0.017117563991458622,1.6425783094506143,2.5739743209362533,0.6335308865516989,0.1590554899525554,0.7037390639218076,0.11719037792564947
19,0.7999999999999999,0.9317083333333332,0.0,,-0.21333610499635325,0.0037077220978096906,0.0039990272070338645,130.20730233556523,-1.6,2.4,-0.011212162422839504,-0.002410785529087521,4.650833633916532,0.7487612599279598,0.8308279649922193,,,,,,,,,,,,,,,,2018-03-31 00:00:00,2019-07-18 00:00:00,-0.26195833333333446,2.1945834260665618,0.8585104166666669,0.09774412888200894,0.05499999999999999,0.11760207019257889,,,-2.482914212672737,1.9971017687128323,0.0031952964855740734,0.00042788622763543236,0.003770019508010157,0.0005444674215831675,294.81758844360746,198.2363026496038,-4.077000000000003,4.3610321153496585,2.6129999999999995,2.4052445013160533,0.002251139081790121,0.023657239550702855,0.0012302955190631169,0.012362872678238577,1.8741836691321967,2.7419000039031456,0.632727351159509,0.15838244244979027,0.70268838407918,0.11585922256447151
