Date,Tavg,RH,SAvg,dewpoint,q,qsat,lcl,Tmin,Tmax,Precipitation,tendt,tendq,bowen,R2,R1,std_Tavg,std_RH,std_SAvg,std_dewpoint,std_q,std_qsat,std_lcl,std_Tmin,std_Tmax,std_Precipitation,std_tendt,std_tendq,std_bowen,std_R2,std_R1,period_start,period_end,rolling_meanTavg,rolling_std_Tavg,rolling_meanRH,rolling_std_RH,rolling_meanSAvg,rolling_std_SAvg,rolling_meandewpoint,rolling_std_dewpoint,rolling_meanq,rolling_std_q,rolling_meanqsat,rolling_std_qsat,rolling_meanlcl,rolling_std_lcl,rolling_meanTmin,rolling_std_Tmin,rolling_meanTmax,rolling_std_Tmax,rolling_meanPrecipitation,rolling_std_Precipitation,rolling_meantendt,rolling_std_tendt,rolling_meantendq,rolling_std_tendq,rolling_meanbowen,rolling_std_bowen,rolling_meanR2,rolling_std_R2,rolling_meanR1,rolling_std_R1
1,-2.8770833333333337,0.7990791666666667,-0.09583333333333334,-6.220268390004559,0.002373298567099197,0.003156467467098418,468.41551971105383,-7.17,3.79,0.0,0.01758732638888888,-0.0012366141499731407,-14.22216168986169,0.44623848314649944,0.4934247268211373,,,,,,,,,,0.0,,,,,,2016-04-09 00:00:00,2018-05-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-0.74375,0.7307458333333333,-0.18750000000000003,-5.4761184385975135,0.0025294565290346115,0.003789107827613953,628.7061647016986,-8.42,6.64,0.0,0.024765432098765434,0.004094998554940725,6.047726700388033,0.33222281131398596,0.43306000834613856,,,,,,,,,,0.0,,,,,,2016-04-09 00:00:00,2018-05-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-0.2724999999999999,0.7986708333333334,-0.07500000000000002,-3.4860001535205485,0.0029277755939738446,0.00374462227240416,416.94771790607206,-5.34,3.22,0.0,0.005470645254629631,0.01044529510449242,0.5237425271284829,0.534293338754318,0.621749342756096,,,,,,,,,,0.0,,,,,,2016-04-09 00:00:00,2018-05-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-2.7954166666666667,0.8965541666666669,-0.05416666666666667,-4.400115045346928,0.0027519860966726158,0.003133713028976521,245.81460743867964,-7.52,1.31,0.0,-0.0292880256558642,-0.004609804895635193,6.353419790845303,0.518069682800247,0.6643405351485312,,,,,,,,,,0.0,,,,,,2016-04-09 00:00:00,2018-05-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-1.9329166666666664,0.8803666666666666,-0.029166666666666664,-3.745222735879333,0.002889433795085529,0.0032739634746856935,255.13502386616491,-4.28,-0.4,0.0,0.010012586805555558,0.0036043511288498782,2.7779165923688742,0.7504606897349748,0.7868401748713951,,,,,,,,,,0.0,,,,,,2016-04-09 00:00:00,2018-05-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-9.067916666666667,0.7202000000000001,-0.39999999999999997,-13.264747540703693,0.0013906824280681216,0.0019499837840543923,645.7326939717893,-16.93,-5.0,0.0,-0.08282876157407408,-0.03930241280102054,2.1074726885959354,0.3867735382395268,0.5266242495442612,,,,,,,,,,0.0,,,,,,2016-04-09 00:00:00,2018-05-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-14.813333333333333,0.7405666666666667,-1.3333333333333333,-18.43641014447676,0.0008962816244263956,0.0012240515006784298,646.6421029940043,-19.96,-10.07,0.0,-0.066697371720679,-0.012964888574248573,5.144461623307447,0.4424214486307975,0.5052737630568933,,,,,,,,,,0.0,,,,,,2016-04-09 00:00:00,2018-05-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-16.077916666666663,0.7876458333333333,-2.4999999999999996,-18.94915805116343,0.0008810847861881074,0.0011322757851594874,570.2164816085126,-21.22,-9.04,0.0,-0.014680290316357996,-0.00039851333773936135,,0.36583490834466503,0.44636642972661783,,,,,,,,,,0.0,,,,,,2016-04-09 00:00:00,2018-05-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-10.625416666666665,0.8212458333333332,-2.9250000000000003,-13.124524590698549,0.001407870269040397,0.0017225945410288552,460.8689808427842,-16.11,-5.76,0.0,0.06329696180555555,0.01381412618548434,4.582046012585796,0.43877745499512943,0.5626744066310936,,,,,,,,,,0.0,,,,,,2016-04-09 00:00:00,2018-05-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-11.467500000000001,0.8512874999999999,-3.2791666666666672,-13.515835942614439,0.0013629986976382207,0.0016068502600279364,417.2268549794019,-15.3,-7.86,0.0,-0.009775573881172879,-0.0011766868481917594,8.307710667621736,0.5513911404377393,0.6408938735704723,,,,,,,,,,0.0,,,,,,2016-04-09 00:00:00,2018-05-28 00:00:00,-7.067375,6.01426132106347,0.8026362500000002,0.06114240565665557,-1.0879166666666666,1.3213822758108875,-10.061840103300577,6.070599058108797,0.0019410868387227044,0.0008300022247668933,0.0024733629941727847,0.0010455544586604076,475.5706148020161,148.74159862532508,-12.225,6.325613277250937,-2.3169999999999997,5.963751708819243,0.0,0.0,-0.008213707079475312,0.04328546127251172,-0.002773014963304121,0.014869392204277455,,,0.47664834963978836,0.12034424511286879,0.5681247510472637,0.11036040326497734
11,-10.831666666666669,0.907625,-2.5416666666666656,-12.049377607642823,0.0015288561382490724,0.0016829268994369136,308.8510941504648,-16.87,-8.51,0.0,0.007381259645061717,0.004349352227768634,1.6970940173425677,0.5089417523311164,0.7560647478356721,,,,,,,,,,0.0,,,,,,2016-04-09 00:00:00,2018-05-28 00:00:00,-7.862833333333333,5.9238300395911905,0.8134908333333334,0.06950404378057334,-1.3325,1.3435198266833868,-10.644751025064403,5.939176308344993,0.001856642595837692,0.0008240787522213644,0.0023260089374066346,0.0010424161278650135,459.61417224595715,157.87290635354265,-13.195000000000002,6.20693563685012,-3.5469999999999997,5.83119779957581,0.0,0.0,-0.009234313753858029,0.042726226264741304,-0.0022144183255299434,0.015037496487963323,,,0.48291867655825005,0.12021719689641233,0.5943887531487171,0.12131599610057266
12,-6.942916666666668,0.8481916666666667,-2.475,-9.101751632806083,0.00200678631096019,0.002398610952372154,368.60614471804473,-17.02,0.0,0.1,0.04514370659722223,0.012532972013454192,3.601995324713108,0.26503253563165474,0.5049677933605865,,,,,,,,,,0.14142135623730953,,,,,,2016-04-09 00:00:00,2018-05-28 00:00:00,-8.48275,5.396992922732499,0.8252354166666667,0.06364429742191134,-1.5612499999999998,1.3214649004134356,-11.00731434448526,5.694206604564421,0.0018043755740302498,0.0007926396294495422,0.0021869592498824546,0.0009098807606093374,433.6041702475917,148.03897691221917,-14.055000000000003,6.066011411499689,-4.211,4.8353224642554435,0.01,0.03162277660168379,-0.007196486304012349,0.044955821115523945,-0.0013706209796785964,0.015654937263296417,,,0.47619964899001693,0.13097211032981917,0.601579531650162,0.11250195523444322
13,0.3062499999999999,0.8810916666666668,-1.6624999999999999,-1.4441303529986078,0.0034296379382316336,0.0038921364375678683,230.55417716163848,-5.49,2.55,0.8,0.08415409915123458,0.037312060719525995,2.2554127949088425,0.5539348563058244,0.750117531548581,,,,,,,,,,1.1313708498984762,,,,,,2016-04-09 00:00:00,2018-05-28 00:00:00,-8.424874999999998,5.496995282813574,0.8334775000000001,0.06514112333883788,-1.72,1.2140713058970092,-10.803127364433067,6.02110452553513,0.001854561808456029,0.0008824688729787192,0.0022017106663988254,0.0009386802847924388,414.9648161731483,161.49215847885094,-14.070000000000004,6.042205263349173,-4.2780000000000005,4.724281956022524,0.09,0.25144029554194813,0.0006718590856481454,0.053494129811827024,0.0013160555818247611,0.019692765810859502,,,0.47816380074516757,0.13208269711857082,0.6144163505294105,0.12198318933750274
14,0.4745833333333333,0.9447874999999999,-0.5166666666666669,-0.3192293719147714,0.0036778951685423767,0.003895300597974797,100.27992377412005,-1.01,1.6,0.30000000000000004,0.0019541473765432105,0.006510157962976878,0.3001689648171984,0.8278307850697669,0.8712972291335825,,,,,,,,,,0.42426406871192857,,,,,,2016-04-09 00:00:00,2018-05-28 00:00:00,-8.097874999999998,5.947855652375645,0.8383008333333335,0.07177812907873271,-1.7662499999999999,1.1507167821207445,-10.395038797089851,6.612542668948446,0.0019471527156430049,0.0010242723831510093,0.0022778694232986527,0.0010473088785327613,400.41134780669233,183.48908814839467,-13.419000000000002,7.086742630511646,-4.2490000000000006,4.763125607786924,0.12000000000000002,0.2573367875415838,0.003796076388888886,0.052452136436606005,0.002428051867685968,0.01963484076635795,,,0.5091399109721195,0.1725919646511158,0.6351120199279155,0.14648903659871865
15,-1.622083333333333,0.9025416666666667,-0.37500000000000017,-3.055162234854887,0.003016540030896133,0.003374595878730504,209.38928690822664,-4.72,1.99,0.0,-0.024339776234567893,-0.017343005117370164,1.4034347605761819,0.6110828486241704,0.6946992260965468,,,,,,,,,,0.0,,,,,,2016-04-09 00:00:00,2018-05-28 00:00:00,-8.066791666666665,5.984353547893729,0.8405183333333334,0.07354293953362837,-1.8008333333333333,1.0966362711086621,-10.326032746987407,6.692762267217225,0.0019598633392240656,0.0010379619577594976,0.0022879326637031336,0.0010583685481932942,395.83677411089855,188.02752736796745,-13.463000000000003,7.024791100096857,-4.01,5.0301910721385354,0.12000000000000002,0.2573367875415838,0.0003608400848765408,0.0531204211279777,0.0003333162430639638,0.02058957284178897,,,0.4952021268610391,0.15574405727001667,0.6258979250504307,0.13856869426986748
16,-3.3049999999999997,0.9524958333333332,-0.4333333333333334,-3.9605215611384286,0.0028172724605937532,0.002962055104527319,134.25137714330097,-5.74,-0.66,0.0,-0.01953663676697531,-0.005225480675601316,3.738725292430089,0.6848436028234207,0.7836612646883714,,,,,,,,,,0.0,,,,,,2016-04-09 00:00:00,2018-05-28 00:00:00,-7.4905,6.152358845155888,0.8637479166666667,0.06777692113671994,-1.8041666666666667,1.0919458223796388,-9.395610149030881,6.882864607122852,0.0021025223424766286,0.00104901820826782,0.0023891397957504262,0.0010707784623263357,344.68864242804966,181.96666203520795,-12.344000000000003,7.297124547838462,-3.5759999999999996,5.121677676525753,0.12000000000000002,0.2573367875415838,0.006690052565586418,0.045302468318770266,0.0037410094556058864,0.01548892100210427,,,0.5250091333194284,0.16111709220624776,0.6516016265648418,0.1419071501035866
17,-2.4025000000000003,0.9326333333333334,-0.8708333333333332,-3.3436091736122204,0.002943000747230381,0.0031556762596793987,155.69865821064133,-3.43,-1.46,0.0,0.010476938657407401,0.0032970278665976974,3.177691873201809,0.8642669386073798,0.870023108006242,,,,,,,,,,0.0,,,,,,2016-04-09 00:00:00,2018-05-28 00:00:00,-6.249416666666667,5.749634305332968,0.8829545833333334,0.05500102946742784,-1.757916666666667,1.1234444835932256,-7.886330051944427,6.311152509064682,0.0023071942547570274,0.0009852486529752988,0.002582302271650523,0.001009737514444993,295.5942979497134,155.79387023289095,-10.691000000000003,7.252310666263546,-2.715,4.606474308574352,0.12000000000000002,0.2573367875415838,0.014407483603395058,0.03727355596223,0.005367201099690513,0.01435202332742831,,,0.5671936823170867,0.1897683463987312,0.6880765610597767,0.14690535301753305
18,-2.495,0.8877541666666664,-1.0291666666666666,-4.0949946096968555,0.0027846702378933413,0.0031389454228689523,238.41214422380816,-4.73,-1.1,0.0,-0.001073813657407405,-0.004151970215943033,0.25862749527539924,0.7634905264223306,0.8010730540022376,,,,,,,,,,0.0,,,,,,2016-04-09 00:00:00,2018-05-28 00:00:00,-4.891125000000001,4.673463164448809,0.892965416666667,0.0436693758900332,-1.6108333333333333,1.1117154606427397,-6.40091370779777,5.037627945712581,0.0024975527999275505,0.0008542875858893869,0.0027829692354214694,0.0008807024415822429,262.413864211243,122.60533481947559,-9.042000000000003,6.419118665708281,-1.921,4.04522613019896,0.12000000000000002,0.2573367875415838,0.015768131269290116,0.03633015294824982,0.004991855411870146,0.014567038431671528,2.9322907203472726,2.3845267403647363,0.6069592441248532,0.1844759315060754,0.7235472234873386,0.12292427009457507
