Date,Tavg,RH,Precipitation,SAvg,dewpoint,q,qsat,lcl,Tmin,Tmax,tendt,tendq,bowen,R2,R1,std_Tavg,std_RH,std_Precipitation,std_SAvg,std_dewpoint,std_q,std_qsat,std_lcl,std_Tmin,std_Tmax,std_tendt,std_tendq,std_bowen,std_R2,std_R1,period_start,period_end,rolling_meanTavg,rolling_std_Tavg,rolling_meanRH,rolling_std_RH,rolling_meanPrecipitation,rolling_std_Precipitation,rolling_meanSAvg,rolling_std_SAvg,rolling_meandewpoint,rolling_std_dewpoint,rolling_meanq,rolling_std_q,rolling_meanqsat,rolling_std_qsat,rolling_meanlcl,rolling_std_lcl,rolling_meanTmin,rolling_std_Tmin,rolling_meanTmax,rolling_std_Tmax,rolling_meantendt,rolling_std_tendt,rolling_meantendq,rolling_std_tendq,rolling_meanbowen,rolling_std_bowen,rolling_meanR2,rolling_std_R2,rolling_meanR1,rolling_std_R1
1,-0.4905208333333336,0.9481197916666667,0.004166666666666667,0.3083333333333333,-1.3348606234566849,0.003553591479257965,0.0037864264652043445,136.1064265666208,-3.5475000000000003,3.4425,-0.004253333976337453,-0.002087499506540564,0.8050584353313213,0.6399377031955935,0.737804470504247,3.629197623528513,0.06474501870005056,0.008333333333333333,,4.2335478613991935,0.0010814942538738322,0.001004732056259222,157.1331389712696,3.5144689025038574,4.8433072378282995,0.022449539713206054,0.019861595558498302,0.6993157024172214,0.2618083198374066,0.20884747803404555,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.3594791666666667,0.8809791666666665,0.1708333333333333,0.1708333333333334,-1.6079644374678714,0.0034998457653193063,0.0040108815264931295,268.9313663266851,-2.515,4.0325,0.009867476851851855,-0.001409397370363299,3.836492789416149,0.6650540408054157,0.7039593516817891,3.5455299578894643,0.08639216363478815,0.3416666666666666,,4.756252840770384,0.0012384084640470264,0.000977272109411133,208.78803746694473,5.318536766191744,3.8899046689261336,0.007157152829233061,0.008433734647583223,7.916311062379257,0.2481206829830416,0.21312826150984382,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-1.4339791666666666,0.8532760416666666,0.0020833333333333333,0.29999999999999993,-3.6756937745128244,0.0030039167259486898,0.003512406878286264,316.6597854935367,-5.0325,1.9025,-0.02081989245756173,-0.0130049641683704,-0.25659957890310753,0.6039857550585206,0.6754138665889278,3.540252077219168,0.06415211526698994,0.004166666666666667,,4.4466726464116695,0.0010813579895248195,0.0009764972898516426,150.31497904336106,3.5737223824279725,4.142015411205839,0.018805973205868572,0.01051694736074045,3.313911067051761,0.06910830276173499,0.09953271942913601,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-2.551979166666666,0.9306541666666667,0.0,0.2444444444444444,-3.5681123338520226,0.0031150631428398527,0.0033119874047253094,182.71370457218615,-5.592499999999999,0.51,-0.012978634259259257,0.0029146411166943603,2.008255449700511,0.639510477571893,0.7466902878015771,5.181733278124705,0.057526794984630515,0.0,,5.826182081765998,0.0014039933012188527,0.001370445800185526,145.3365904623456,5.369918528246028,6.231682490841994,0.022258091803794622,0.01404173240222021,2.0199635230813753,0.062143424939458444,0.06782009324938099,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-0.23591666666666666,0.9063552083333334,0.01625,0.19,-1.7507382776869906,0.003549817455712668,0.0039230763996543905,220.5889539352616,-3.8575,3.385,0.026886697771990733,0.011400752551475718,0.6387100519791983,0.601552979743193,0.7015224115951426,4.907135319274033,0.15514591270438713,0.01973786547054502,,5.490991671586922,0.0015846798085260036,0.001557633427572512,303.7751321312252,6.057350218261006,5.8262652417021545,0.01839872157142854,0.02064297474137522,1.2681931868374186,0.1327101007851362,0.13319131353906288,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-0.0759374999999996,0.86135,0.16458333333333333,-0.07083333333333335,-2.4222083195180333,0.0036906918568518523,0.004049353324242444,319.0476741883945,-3.02,2.335,0.0018571655574845716,0.0036942110536233213,1.8521286863207425,0.6877034847959882,0.7346153537331236,6.431706997719494,0.2318322540962578,0.2858851588908981,,9.828636677895291,0.002163571329370976,0.0019133650763703057,538.764044809609,5.985003480923521,7.36917227373604,0.05374181702978129,0.024745893580195646,0.6452705749297146,0.12443980862442931,0.23434056207390708,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-2.6797916666666666,0.810821875,0.054166666666666675,-0.8708333333333335,-5.77019041610226,0.0031522339128397157,0.003625993342722635,446.4119897709474,-7.435,1.2399999999999998,-0.03022761260609568,-0.014120218241180765,1.7488753967520447,0.5457409656460999,0.6260744836041361,8.737581839414322,0.21175456102085877,0.10833333333333335,,11.80776093054063,0.002453251551950869,0.0023845515993867993,507.7170762883228,9.260534541806969,10.072361523826807,0.03980346062018637,0.022928612251249314,3.209821040000875,0.1838295959433945,0.2367323586983266,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-3.6015625000000004,0.8602666666666666,0.0,-1.6583333333333339,-6.012901991751415,0.0029923140289155993,0.0033287575172575076,368.8503119652214,-8.3975,1.3575000000000004,-0.010700649836033953,-0.004193649081091318,1.8554325123413915,0.5026569680573562,0.6183266421836673,7.9337707218873454,0.21722861317502457,0.0,,10.935924206755677,0.0020838063473362454,0.0019870356818832203,529.5304883120771,10.107338505594175,8.688296246483926,0.009792777337110845,0.011972340081369454,2.0867381729552683,0.19638125705489726,0.23062240924595784,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-0.37437500000000035,0.8916739583333333,0.16874999999999996,-1.9749999999999999,-2.1245583565754385,0.0036357746225170774,0.003908369388953305,247.3813813659766,-3.015,2.5075000000000003,0.0374637622974537,0.016873748660021268,1.9732509903879336,0.6736850330458912,0.7376728863690236,6.016048584172974,0.1829426027668734,0.22611605918691885,,8.805498669585738,0.0017117943160656762,0.0014494523802483735,426.47175439131297,6.560622429820716,5.6587771058183,0.044078069912566985,0.02634737018040243,0.9021389748112487,0.10713245091295553,0.21394551771479614,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-0.5337499999999996,0.8982416666666666,0.03541666666666667,-2.5499999999999994,-2.1075799741751626,0.0037017506872635414,0.004009001029189899,240.9809746251252,-3.8775000000000004,2.745,-0.001850151909722212,0.0017301192103748517,0.9259737289386862,0.6231055736156372,0.7128014763634087,7.588442990092822,0.13382049314874783,0.05543389456520864,,9.205083300085242,0.001978469076543627,0.0018807850893253198,315.5079419471624,8.902817437942515,7.37772548508911,0.02954387090288062,0.02131760748625393,0.9556405235554706,0.12714142225537406,0.1335390846455082,2016-01-01 00:00:00,2019-07-18 00:00:00,-1.1618333333333333,1.3366279142793291,0.8841738541666668,0.04004656370737694,0.061625,0.07545859025049825,-0.5911388888888889,1.092002096002978,-3.03748085050987,1.6893312520929085,0.0033894999677466266,0.000289004814581228,0.0037466253276729226,0.0002832609375846134,274.7672568809956,91.03772259923416,-4.629,1.9764966902746552,2.34575,1.1095282092953844,-0.000475517256622943,0.020754175620662563,0.00017977442246431725,0.009614534187212354,1.538757846226487,1.099426375161695,0.6182932981535589,0.057864725548257515,0.6994881230425044,0.046122878359794964
