Date,Tavg,RH,Precipitation,SAvg,dewpoint,q,qsat,lcl,Tmin,Tmax,tendt,tendq,bowen,R2,R1,std_Tavg,std_RH,std_Precipitation,std_SAvg,std_dewpoint,std_q,std_qsat,std_lcl,std_Tmin,std_Tmax,std_tendt,std_tendq,std_bowen,std_R2,std_R1,period_start,period_end,rolling_meanTavg,rolling_std_Tavg,rolling_meanRH,rolling_std_RH,rolling_meanPrecipitation,rolling_std_Precipitation,rolling_meanSAvg,rolling_std_SAvg,rolling_meandewpoint,rolling_std_dewpoint,rolling_meanq,rolling_std_q,rolling_meanqsat,rolling_std_qsat,rolling_meanlcl,rolling_std_lcl,rolling_meanTmin,rolling_std_Tmin,rolling_meanTmax,rolling_std_Tmax,rolling_meantendt,rolling_std_tendt,rolling_meantendq,rolling_std_tendq,rolling_meanbowen,rolling_std_bowen,rolling_meanR2,rolling_std_R2,rolling_meanR1,rolling_std_R1
1,0.5408333333333334,0.9026416666666667,0.008333333333333333,,-1.1299220536880363,0.003502769687208189,0.004042463422585441,230.85337648412028,-4.14,7.09,0.04083394097222223,0.01571936596203711,2.5976837151598744,0.44683591524095484,0.5693776052023942,,,,,,,,,,,,,,,,2012-03-07 00:00:00,2013-01-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.897916666666667,0.8263083333333333,0.0,,0.8704741376049805,0.004026756621215236,0.005078410172953701,376.9761833560056,-0.14,10.07,0.03897169656635802,0.013740738614750416,2.8362155528177113,0.4907148238797477,0.5411213199643037,,,,,,,,,,,,,,,,2012-03-07 00:00:00,2013-01-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.8716666666666664,0.961875,0.0,,1.2583155502807757,0.004141293499239122,0.004359690224157987,78.8238166594458,-0.92,6.41,-0.02352232349537038,0.0030035506623045083,-7.831505488015512,0.5943799289660628,0.6995569870375903,,,,,,,,,,,,,,,,2012-03-07 00:00:00,2013-01-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5.628333333333333,0.9663083333333332,0.016666666666666666,,5.097587157281631,0.005450543163953027,0.005686673304606407,66.76706471208725,2.13,9.42,0.04361037808641976,0.03433302675452104,1.270216529356156,0.6035707767479148,0.745881456585517,,,,,,,,,,,,,,,,2012-03-07 00:00:00,2013-01-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5.484166666666666,1.0,0.31666666666666665,,5.484166666666667,0.0055845980266738815,0.0055845980266738815,-1.4656751915346107e-12,2.17,7.96,-0.0016736014660493866,0.00351537931413141,-0.4760799095908957,0.6681334621422408,0.8435434564074192,,,,,,,,,,,,,,,,2012-03-07 00:00:00,2013-01-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.1741666666666666,0.9955374999999999,0.024999999999999998,,1.1093367265829717,0.004079507159704368,0.004099717876687913,8.157498761785645,-0.07,2.78,-0.05003391203703703,-0.03946865628179584,1.267687242246304,0.815022570504917,0.8876885960440904,,,,,,,,,,,,,,,,2012-03-07 00:00:00,2013-01-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-1.7683333333333333,1.0,0.025000000000000005,,-1.7683333333333335,0.0033225318668778435,0.0033225318668778435,28.751687981720618,-6.1,-0.22,-0.03415888310185185,-0.01985049428048057,1.720807684644963,0.6452921930348313,0.8928990327391191,,,,,,,,,,,,,,,,2012-03-07 00:00:00,2013-01-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-6.906666666666667,0.9993041666666667,0.0,,-6.916111214326791,0.0022771456423183807,0.0022792782428747403,107.95758783095538,-11.35,-2.58,-0.05964986496913581,-0.027413620323096036,2.1759207381624335,0.5093227555534724,0.7208716807947271,,,,,,,,,,,,,,,,2012-03-07 00:00:00,2013-01-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-4.58375,1.0,0.0,,-4.583750000000001,0.002717169379087041,0.002717169379087041,72.27751803153656,-9.64,-1.52,0.026966266396604942,0.011538934959669416,2.336980535106293,0.5393529626231854,0.796112209652483,,,,,,,,,,,,,,,,2012-03-07 00:00:00,2013-01-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.36375,1.0,0.3000000000000001,,0.36375000000000024,0.0038860585170724412,0.0038860585170724412,9.974113386354224,-2.96,2.26,0.05743451967592592,0.030652291254389022,1.873743114316194,0.6839069325947073,0.8727240223802459,,,,,,,,,,,,,,,,2012-03-07 00:00:00,2013-01-15 00:00:00,0.5702083333333332,4.093938996438349,0.9651975,0.05787375359295672,0.06916666666666668,0.12650635566915744,,,-0.0214486362931136,3.8443029813863037,0.0038988373563349525,0.0010473646285727612,0.004105659103357738,0.001136600933455373,98.05388472040099,119.16435141618531,-3.102,4.699361185901287,4.167,4.63167128463246,0.0038778216628086405,0.04313805511833849,0.0025770516636430484,0.024371348970603834,0.7771669714203521,3.165789475388642,0.5996532321288035,0.109196396015794,0.756977636680789,0.12670787930377064
