Date,Tavg,RH,SAvg,dewpoint,q,qsat,lcl,Tmin,Tmax,Precipitation,tendt,tendq,bowen,R2,R1,std_Tavg,std_RH,std_SAvg,std_dewpoint,std_q,std_qsat,std_lcl,std_Tmin,std_Tmax,std_Precipitation,std_tendt,std_tendq,std_bowen,std_R2,std_R1,period_start,period_end,rolling_meanTavg,rolling_std_Tavg,rolling_meanRH,rolling_std_RH,rolling_meanSAvg,rolling_std_SAvg,rolling_meandewpoint,rolling_std_dewpoint,rolling_meanq,rolling_std_q,rolling_meanqsat,rolling_std_qsat,rolling_meanlcl,rolling_std_lcl,rolling_meanTmin,rolling_std_Tmin,rolling_meanTmax,rolling_std_Tmax,rolling_meanPrecipitation,rolling_std_Precipitation,rolling_meantendt,rolling_std_tendt,rolling_meantendq,rolling_std_tendq,rolling_meanbowen,rolling_std_bowen,rolling_meanR2,rolling_std_R2,rolling_meanR1,rolling_std_R1
1,1.3287499999999999,0.9135958333333334,2.6916666666666664,0.03238929848084923,0.0037814671203437486,0.004170979574428752,165.04961940642335,-2.2,4.73,0.0,-0.030511786265432102,-0.022239462962906055,1.3719659650200966,0.607864915662718,0.7180848779929739,,,,,,,,,,0.0,,,,,,2017-01-07 00:00:00,2019-07-19 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.9120833333333331,0.8420958333333334,2.091666666666667,-0.568174452969164,0.0036174859089939527,0.004356229604555602,310.1956983201232,-1.27,5.16,0.0,0.006771797839506172,-0.004300151047005662,-1.5747813891843636,0.631714886090722,0.6697417709767453,,,,,,,,,,0.0,,,,,,2017-01-07 00:00:00,2019-07-19 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-2.065833333333334,0.8782333333333333,1.0874999999999997,-3.8256084017606646,0.002857987535727737,0.0032595805254918776,252.33959175122683,-5.89,0.85,0.0,-0.04617882426697532,-0.019916658122698275,2.3186030498935475,0.6068459625819874,0.7099905520802533,,,,,,,,,,0.0,,,,,,2017-01-07 00:00:00,2019-07-19 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-4.234999999999999,0.8950208333333335,0.6499999999999999,-5.716377448123105,0.0024686553481571053,0.0027655148563736436,249.95153784189907,-8.29,-2.04,0.0,-0.025181413966049372,-0.01020962828749674,2.4664378816697847,0.6228222706321804,0.7600423324224233,,,,,,,,,,0.0,,,,,,2017-01-07 00:00:00,2019-07-19 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-4.988333333333333,0.9393958333333333,0.21250000000000002,-5.822267485378952,0.0025311612203466932,0.002690090577715435,180.11269409997547,-10.32,0.45,0.0,-0.00874529320987655,0.0016391188327466476,-5.335362534528499,0.4428042153629121,0.6283418281522059,,,,,,,,,,0.0,,,,,,2017-01-07 00:00:00,2019-07-19 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-0.3758333333333333,0.9455291666666668,0.2333333333333333,-1.1529504836982516,0.003471771752065302,0.0036724669802762912,107.18738130481046,-3.7,0.93,0.6,0.053545572916666666,0.02466604149036471,2.170821489033137,0.711862865589005,0.860229562464263,,,,,,,,,,0.848528137423857,,,,,,2017-01-07 00:00:00,2019-07-19 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-10.857291666666667,0.5321354166666665,-1.8291666666666666,-20.07527979294047,0.0010581213350943795,0.001740242220283947,1254.284399873903,-13.885,-9.165,0.0,-0.07857703993055555,-0.04354846865612062,1.8043582783825798,0.7395961976965996,0.43986530252546074,5.25056247813561,0.3989997326757841,3.070021941651594,14.454268113667023,0.0010648755114045032,0.0007365167221214668,1150.3559542110418,0.9687362902255708,7.643824304626579,0.0,,,,0.36826658891099107,0.26851008585557723,2017-01-07 00:00:00,2019-07-19 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-8.196375,0.6726170833333334,-1.68625,-15.22005626693823,0.00142386243253406,0.002080326440068498,963.0547308971489,-12.215,-4.67,0.0,0.03089003954475309,0.009590988809890868,0.7064100846102968,0.5936387925831172,0.4933425498825434,0.3360524977589076,0.3148563827371889,2.7913040187338964,8.247333289327313,0.0007162174676900184,0.00011715556886298761,944.9798198457083,3.2739043968937143,3.408254685319159,0.0,0.05705154525830825,0.009143012418219063,5.275037859515217,0.2957428946294693,0.12465601264690883,2017-01-07 00:00:00,2019-07-19 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-4.117440476190477,0.8569166666666668,-1.582738095238095,-6.933123957075514,0.0025097923176682843,0.0028620223097407986,403.725784957246,-6.31,-2.27,0.06666666666666667,0.047351519992835094,0.02847681447219951,1.443271831716645,0.7377998448165062,0.7481635264916935,4.72103209634347,0.09230100517088409,2.650808635662426,7.114152804059153,0.0010829430332154133,0.000990025840930355,352.7268244245271,4.525483399593904,4.228498551495554,0.11547005383792516,0.05090433492338329,0.009616804947207352,1.3001689942570989,0.02468911267510123,0.11163459805761057,2017-01-07 00:00:00,2019-07-19 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-1.730416666666667,0.9614041666666666,0.3166666666666666,-2.2716618481086344,0.0031930008052507013,0.0033206440305650277,95.53764270835563,-3.4,0.09,0.0,-0.011042867476851854,-0.0021646890367014076,5.101364348238755,0.7735620948052311,0.8416774473665983,,,,,,,,,,0.0,,,,,,2017-01-07 00:00:00,2019-07-19 00:00:00,-3.332569047619048,4.035923280786769,0.8436944166666667,0.136874661397518,0.21851785714285707,1.5506995807366144,-6.155311083851214,6.598663981258095,0.002691330577618196,0.0009016491011653841,0.003091809711949987,0.0008400742196732264,398.1439081161112,391.7458801638976,-6.748,4.321548205086794,-0.5935,4.24780600231853,0.06666666666666667,0.18856180831641267,-0.006167829482197974,0.041898366726653175,-0.003800609450772703,0.021819257074592313,1.047308900485198,2.786737214814021,0.646851204582098,0.09749589005121707,0.6869479750355161,0.1361461451970761
11,-2.714166666666667,0.8763166666666667,0.40000000000000013,-4.489566338321422,0.00270436021767667,0.0030915228451597492,263.3480302047254,-5.65,-0.92,0.0,-0.01142015335648148,-0.01281383590821089,0.8912361168261597,0.7027691351891876,0.7678264724687096,,,,,,,,,,0.0,,,,,,2017-01-07 00:00:00,2019-07-19 00:00:00,-3.736860714285714,3.7061225511799325,0.8399664999999998,0.1352574031288681,-0.010648809523809533,1.2924275105520655,-6.607506647531442,6.274494741018359,0.0025836198873514884,0.0008173463889963418,0.002983864039023087,0.0007505843692461619,407.9737491959414,386.44451019587393,-7.093000000000001,4.047126003584382,-1.1585,3.8147288020688093,0.06666666666666667,0.18856180831641267,-0.004258666191302912,0.04109307570592161,-0.0028580467453031867,0.0211268194518985,0.9992359156658045,2.7846600655379596,0.6563416265347449,0.09789747490966264,0.6919221344830897,0.13830174646096605
12,-2.745416666666666,0.8626416666666666,0.32083333333333325,-4.748261807244504,0.0027030063920955283,0.00315017997349744,291.238465474241,-8.69,0.31,0.0,-0.00036277488425924895,-3.550196051296764e-05,10.21844650316536,0.5084390936033705,0.6895467709735195,,,,,,,,,,0.0,,,,,,2017-01-07 00:00:00,2019-07-19 00:00:00,-4.202610714285714,3.1714220627470477,0.8420210833333333,0.13544925327166582,-0.18773214285714288,1.075478436709553,-7.025515382958976,5.958742440841052,0.002492171935661646,0.0007359229265633232,0.0028632590759172702,0.0005839720533222908,406.07802591135317,387.0235245088906,-7.835000000000001,3.5047665954937552,-1.6435000000000002,3.177179085988771,0.06666666666666667,0.18856180831641267,-0.004972123463679454,0.04094194325613839,-0.0024315818366539175,0.021137515023820448,2.178558704900777,3.8621991646142497,0.6440140472860097,0.10852763659520749,0.6939026344827672,0.1380904726343574
13,-0.09416666666666675,0.9056458333333333,0.39166666666666683,-1.4781960922005526,0.003385028002658983,0.003758035432238974,183.44396098707443,-3.08,2.77,0.3333333333333333,0.030777821180555547,0.01788495107826009,1.7208781307748324,0.6536927830363317,0.7373505118678549,,,,,,,,,,0.5773502691896258,,,,,,2017-01-07 00:00:00,2019-07-19 00:00:00,-4.005444047619048,3.3738538642022298,0.8447623333333331,0.13653658002061891,-0.2573154761904762,1.0039340599178828,-6.790774152002965,6.142220151059339,0.0025448759823547703,0.0007824347130959352,0.00291310456659198,0.0006401318040135236,399.188462834938,390.66050004268646,-7.554,3.779886682604828,-1.4515000000000002,3.3951436313914285,0.1,0.2042752923427804,0.002723541081073632,0.039544655884791995,0.001348579083441919,0.021043046683659115,2.1187862129889057,3.8644156244407672,0.6486987293314442,0.10775330883858114,0.6966386304615274,0.13871427384219615
14,2.5841666666666665,0.7987541666666668,0.525,-0.6544617901199019,0.0036293188476675445,0.0045973943021940765,407.563818685611,-2.35,7.01,0.06666666666666667,0.031092226080246914,0.006406145705904204,4.853499671665423,0.5134247719828359,0.5864869583500673,,,,,,,,,,0.11547005383792516,,,,,,2017-01-07 00:00:00,2019-07-19 00:00:00,-3.323527380952381,3.96044580965197,0.8351356666666664,0.1359919305695127,-0.2698154761904762,0.9920901617248531,-6.284582586202644,6.4418727226131995,0.0026609423323058143,0.0008527947186527605,0.0030962925111740237,0.0008278076466773063,414.94969091930915,387.1340509061985,-6.959999999999999,4.104190947474707,-0.5465000000000002,4.305079719225753,0.10666666666666666,0.2017209905406261,0.008350905085703261,0.03913430123364906,0.0030101564827820135,0.020681894259759772,2.35749239198847,3.9607990591854834,0.6377589794665097,0.11591646956217552,0.6792830930542919,0.14074250032033478
