Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2016-11-25 00:00:00,4.38,5.01,3.06,100.0,,,0.0,,,,Backa Topola,Lovcenac,Psenica
2016-11-25 01:00:00,2.78,3.09,2.57,100.0,,,0.0,5.6,6.3,5.4,Backa Topola,Lovcenac,Psenica
2016-11-25 02:00:00,4.12,4.67,3.21,100.0,,,0.0,5.3,5.5,5.2,Backa Topola,Lovcenac,Psenica
2016-11-25 03:00:00,4.76,4.82,4.69,100.0,,,0.0,5.2,5.4,5.1,Backa Topola,Lovcenac,Psenica
2016-11-25 04:00:00,4.76,4.84,4.7,100.0,,,0.0,5.3,5.5,5.1,Backa Topola,Lovcenac,Psenica
2016-11-25 05:00:00,4.93,5.01,4.87,100.0,,,0.0,5.3,5.5,5.2,Backa Topola,Lovcenac,Psenica
2016-11-25 06:00:00,4.81,4.94,4.65,100.0,,,0.0,5.2,5.4,5.0,Backa Topola,Lovcenac,Psenica
2016-11-25 07:00:00,4.22,4.57,3.88,100.0,,,0.0,5.1,5.3,5.0,Backa Topola,Lovcenac,Psenica
2016-11-25 08:00:00,4.1,4.58,3.83,100.0,,,0.0,5.2,5.4,5.1,Backa Topola,Lovcenac,Psenica
2016-11-25 09:00:00,5.12,5.6,4.59,100.0,,,0.0,5.2,5.5,5.2,Backa Topola,Lovcenac,Psenica
2016-11-25 10:00:00,6.24,6.75,5.68,99.15,,,0.0,5.4,5.7,5.1,Backa Topola,Lovcenac,Psenica
2016-11-25 11:00:00,7.46,7.88,6.91,94.39,,,0.0,5.7,6.0,5.5,Backa Topola,Lovcenac,Psenica
2016-11-25 12:00:00,8.33,8.83,7.89,91.33,,,0.0,6.2,6.5,5.9,Backa Topola,Lovcenac,Psenica
2016-11-25 13:00:00,9.89,10.74,8.96,85.08,,,0.0,6.6,6.9,6.3,Backa Topola,Lovcenac,Psenica
2016-11-25 14:00:00,10.83,10.95,10.74,81.07,,,0.0,7.2,7.5,7.0,Backa Topola,Lovcenac,Psenica
2016-11-25 15:00:00,10.57,10.91,10.08,83.94,,,0.0,7.5,8.0,7.3,Backa Topola,Lovcenac,Psenica
2016-11-25 16:00:00,9.42,9.99,8.76,90.61,,,0.0,7.5,7.7,7.4,Backa Topola,Lovcenac,Psenica
2016-11-25 17:00:00,7.86,8.62,6.53,98.18,,,0.0,7.5,7.7,7.3,Backa Topola,Lovcenac,Psenica
2016-11-25 18:00:00,6.27,6.83,5.79,100.0,,,0.0,7.4,7.6,7.1,Backa Topola,Lovcenac,Psenica
