Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2016-01-01 22:00:00,-3.1,-3.06,-3.13,100.0,,,0.0,0.1,0.2,0.1,Sombor,Kljajicevo,"Psenica,Jecam,Secerna Repa"
2016-01-01 23:00:00,-2.95,-2.74,-3.09,100.0,,,0.0,0.1,0.2,0.1,Sombor,Kljajicevo,"Psenica,Jecam,Secerna Repa"
2016-01-02 00:00:00,-2.72,-2.67,-2.77,100.0,,,0.0,0.1,0.2,0.1,Sombor,Kljajicevo,"Psenica,Jecam,Secerna Repa"
2016-01-02 01:00:00,-2.59,-2.53,-2.65,100.0,,,0.0,0.1,0.2,0.1,Sombor,Kljajicevo,"Psenica,Jecam,Secerna Repa"
2016-01-02 02:00:00,-2.68,-2.54,-2.78,100.0,,,0.0,0.1,0.2,0.1,Sombor,Kljajicevo,"Psenica,Jecam,Secerna Repa"
2016-01-02 03:00:00,-2.74,-2.72,-2.77,100.0,,,0.0,0.1,0.3,0.1,Sombor,Kljajicevo,"Psenica,Jecam,Secerna Repa"
2016-01-02 04:00:00,-2.74,-2.7,-2.79,100.0,,,0.0,0.1,0.3,0.1,Sombor,Kljajicevo,"Psenica,Jecam,Secerna Repa"
2016-01-02 05:00:00,-2.72,-2.7,-2.79,100.0,,,0.0,0.1,0.2,0.1,Sombor,Kljajicevo,"Psenica,Jecam,Secerna Repa"
2016-01-02 06:00:00,-2.8,-2.77,-2.84,100.0,,,0.0,0.1,0.2,0.1,Sombor,Kljajicevo,"Psenica,Jecam,Secerna Repa"
2016-01-02 07:00:00,-2.84,-2.81,-2.87,100.0,,,0.0,0.1,0.2,0.1,Sombor,Kljajicevo,"Psenica,Jecam,Secerna Repa"
2016-01-02 08:00:00,-2.87,-2.81,-2.95,100.0,,,0.0,0.1,0.2,0.1,Sombor,Kljajicevo,"Psenica,Jecam,Secerna Repa"
2016-01-02 09:00:00,-2.78,-2.71,-2.87,100.0,,,0.0,0.1,0.2,0.1,Sombor,Kljajicevo,"Psenica,Jecam,Secerna Repa"
2016-01-02 10:00:00,-2.65,-2.55,-2.72,99.75,,,0.0,0.1,0.2,0.1,Sombor,Kljajicevo,"Psenica,Jecam,Secerna Repa"
2016-01-02 11:00:00,-2.44,-2.29,-2.65,96.24,,,0.0,0.1,0.2,0.1,Sombor,Kljajicevo,"Psenica,Jecam,Secerna Repa"
2016-01-02 12:00:00,-2.23,-2.18,-2.3,91.49,,,0.0,0.1,0.2,0.1,Sombor,Kljajicevo,"Psenica,Jecam,Secerna Repa"
2016-01-02 13:00:00,-2.2,-2.14,-2.28,91.25,,,0.0,0.1,0.2,0.1,Sombor,Kljajicevo,"Psenica,Jecam,Secerna Repa"
2016-01-02 14:00:00,-2.15,-2.09,-2.22,90.64,,,0.0,0.1,0.2,0.1,Sombor,Kljajicevo,"Psenica,Jecam,Secerna Repa"
2016-01-02 15:00:00,-2.16,-2.12,-2.19,91.2,,,0.0,0.1,0.2,0.1,Sombor,Kljajicevo,"Psenica,Jecam,Secerna Repa"
2016-01-02 16:00:00,-2.16,-2.13,-2.19,93.82,,,0.0,0.1,0.2,0.1,Sombor,Kljajicevo,"Psenica,Jecam,Secerna Repa"
2016-01-02 17:00:00,-2.27,-2.15,-2.4,96.4,,,0.0,0.1,0.2,0.1,Sombor,Kljajicevo,"Psenica,Jecam,Secerna Repa"
2016-01-02 18:00:00,-2.55,-2.37,-2.68,97.62,,,0.0,0.1,0.2,0.1,Sombor,Kljajicevo,"Psenica,Jecam,Secerna Repa"
2016-01-02 19:00:00,-2.73,-2.65,-2.8,97.02,,,0.0,0.1,0.2,0.0,Sombor,Kljajicevo,"Psenica,Jecam,Secerna Repa"
