Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2016-01-01 16:00:00,-1.26,-1.2,-1.31,64.0,,,0.0,1.0,1.1,0.9,Vrbas,Ruski Kustur,Paprika
2016-01-01 17:00:00,-1.4,-1.26,-1.52,68.62,,,0.0,0.9,1.0,0.9,Vrbas,Ruski Kustur,Paprika
2016-01-01 18:00:00,-1.56,-1.51,-1.6,72.78,,,0.0,0.9,1.0,0.9,Vrbas,Ruski Kustur,Paprika
2016-01-01 19:00:00,-1.69,-1.61,-1.75,77.41,,,0.0,1.0,1.1,1.0,Vrbas,Ruski Kustur,Paprika
2016-01-01 20:00:00,-1.88,-1.72,-2.04,90.67,,,0.0,1.1,1.2,1.0,Vrbas,Ruski Kustur,Paprika
2016-01-01 21:00:00,-2.12,-2.04,-2.19,99.98,,,0.0,1.1,1.2,0.9,Vrbas,Ruski Kustur,Paprika
2016-01-01 22:00:00,-2.35,-2.13,-2.69,100.0,,,0.0,1.0,1.2,1.0,Vrbas,Ruski Kustur,Paprika
2016-01-01 23:00:00,-2.71,-2.66,-2.76,100.0,,,0.0,1.1,1.2,1.1,Vrbas,Ruski Kustur,Paprika
2016-01-02 00:00:00,-2.57,-2.53,-2.62,100.0,,,0.0,1.0,1.2,1.0,Vrbas,Ruski Kustur,Paprika
2016-01-02 01:00:00,-2.46,-2.39,-2.52,100.0,,,0.0,1.0,1.3,1.0,Vrbas,Ruski Kustur,Paprika
2016-01-02 02:00:00,-2.35,-2.3,-2.39,100.0,,,0.0,1.1,1.3,1.1,Vrbas,Ruski Kustur,Paprika
2016-01-02 03:00:00,-2.21,-2.17,-2.27,100.0,,,0.0,1.2,1.4,0.9,Vrbas,Ruski Kustur,Paprika
2016-01-02 04:00:00,-2.21,-2.18,-2.26,100.0,,,0.0,1.1,1.3,1.0,Vrbas,Ruski Kustur,Paprika
2016-01-02 05:00:00,-2.34,-2.29,-2.37,100.0,,,0.0,1.1,1.3,1.0,Vrbas,Ruski Kustur,Paprika
2016-01-02 06:00:00,-2.42,-2.36,-2.48,100.0,,,0.0,1.1,1.3,1.1,Vrbas,Ruski Kustur,Paprika
2016-01-02 07:00:00,-2.49,-2.48,-2.52,99.69,,,0.0,1.1,1.2,1.1,Vrbas,Ruski Kustur,Paprika
2016-01-02 08:00:00,-2.53,-2.48,-2.56,95.86,,,0.0,1.2,1.3,1.2,Vrbas,Ruski Kustur,Paprika
2016-01-02 09:00:00,-2.4,-2.27,-2.5,92.03,,,0.0,1.1,1.3,1.0,Vrbas,Ruski Kustur,Paprika
2016-01-02 10:00:00,-2.07,-1.85,-2.23,88.87,,,0.0,1.2,1.3,1.2,Vrbas,Ruski Kustur,Paprika
2016-01-02 11:00:00,-1.65,-1.45,-1.87,83.5,,,0.0,1.2,1.3,1.1,Vrbas,Ruski Kustur,Paprika
2016-01-02 12:00:00,-1.5,-1.44,-1.58,83.15,,,0.0,1.2,1.3,1.1,Vrbas,Ruski Kustur,Paprika
2016-01-02 13:00:00,-1.48,-1.45,-1.53,81.88,,,0.0,1.2,1.3,1.2,Vrbas,Ruski Kustur,Paprika
2016-01-02 14:00:00,-1.46,-1.39,-1.57,84.26,,,0.0,1.2,1.4,1.1,Vrbas,Ruski Kustur,Paprika
2016-01-02 15:00:00,-1.67,-1.59,-1.73,85.69,,,0.0,1.2,1.4,1.2,Vrbas,Ruski Kustur,Paprika
2016-01-02 16:00:00,-1.89,-1.78,-2.01,87.53,,,0.0,1.2,1.3,1.2,Vrbas,Ruski Kustur,Paprika
2016-01-02 17:00:00,-2.25,-2.0,-2.52,87.29,,,0.0,1.2,1.3,1.1,Vrbas,Ruski Kustur,Paprika
2016-01-02 18:00:00,-2.65,-2.54,-2.74,84.18,,,0.0,1.2,1.3,1.0,Vrbas,Ruski Kustur,Paprika
2016-01-02 19:00:00,-2.79,-2.75,-2.85,83.47,,,0.0,1.1,1.3,1.0,Vrbas,Ruski Kustur,Paprika
2016-01-02 20:00:00,-2.83,-2.8,-2.87,82.56,,,0.0,1.1,1.3,1.0,Vrbas,Ruski Kustur,Paprika
2016-01-02 21:00:00,-2.85,-2.82,-2.89,82.37,,,0.0,1.1,1.2,1.0,Vrbas,Ruski Kustur,Paprika
2016-01-02 22:00:00,-2.92,-2.88,-2.97,83.19,,,0.0,1.0,1.2,1.0,Vrbas,Ruski Kustur,Paprika
2016-01-02 23:00:00,-3.25,-3.04,-3.39,88.69,,,0.0,1.0,1.1,1.0,Vrbas,Ruski Kustur,Paprika
2016-01-03 00:00:00,-3.5,-3.4,-3.63,89.45,,,0.0,0.9,1.0,0.9,Vrbas,Ruski Kustur,Paprika
2016-01-03 01:00:00,-3.72,-3.63,-3.8,91.95,,,0.0,0.9,1.1,0.8,Vrbas,Ruski Kustur,Paprika
2016-01-03 02:00:00,-3.93,-3.82,-4.15,94.0,,,0.0,0.9,1.1,0.8,Vrbas,Ruski Kustur,Paprika
2016-01-03 03:00:00,-4.25,-4.09,-4.39,94.32,,,0.0,0.9,1.0,0.8,Vrbas,Ruski Kustur,Paprika
2016-01-03 04:00:00,-4.45,-4.38,-4.52,94.32,,,0.0,0.8,0.9,0.7,Vrbas,Ruski Kustur,Paprika
2016-01-03 05:00:00,-4.61,-4.58,-4.68,92.96,,,0.0,0.8,0.9,0.7,Vrbas,Ruski Kustur,Paprika
2016-01-03 06:00:00,-4.76,-4.63,-4.96,92.01,,,0.0,0.7,0.8,0.6,Vrbas,Ruski Kustur,Paprika
2016-01-03 07:00:00,-5.05,-5.01,-5.11,94.31,,,0.0,0.7,0.8,0.7,Vrbas,Ruski Kustur,Paprika
2016-01-03 08:00:00,-5.04,-4.98,-5.11,91.77,,,0.0,0.7,0.9,0.7,Vrbas,Ruski Kustur,Paprika
2016-01-03 09:00:00,-5.14,-5.08,-5.22,92.88,,,0.0,0.7,0.9,0.5,Vrbas,Ruski Kustur,Paprika
2016-01-03 10:00:00,-5.1,-4.99,-5.19,94.32,,,0.0,0.7,0.9,0.5,Vrbas,Ruski Kustur,Paprika
2016-01-03 11:00:00,-4.81,-4.58,-5.09,96.31,,,0.0,0.6,0.8,0.5,Vrbas,Ruski Kustur,Paprika
2016-01-03 12:00:00,-4.56,-4.42,-4.7,95.74,,,0.0,0.7,0.9,0.6,Vrbas,Ruski Kustur,Paprika
2016-01-03 13:00:00,-4.42,-4.33,-4.52,93.54,,,0.0,0.7,0.9,0.6,Vrbas,Ruski Kustur,Paprika
2016-01-03 14:00:00,-4.4,-4.28,-4.56,88.69,,,0.0,0.6,0.8,0.6,Vrbas,Ruski Kustur,Paprika
2016-01-03 15:00:00,-4.79,-4.64,-5.01,90.76,,,0.0,0.6,0.9,0.5,Vrbas,Ruski Kustur,Paprika
2016-01-03 16:00:00,-5.17,-4.96,-5.44,93.81,,,0.0,0.6,0.9,0.5,Vrbas,Ruski Kustur,Paprika
2016-01-03 17:00:00,-5.84,-5.47,-6.31,94.97,,,0.0,0.6,0.7,0.6,Vrbas,Ruski Kustur,Paprika
2016-01-03 18:00:00,-6.54,-6.34,-6.76,93.52,,,0.0,0.6,0.7,0.5,Vrbas,Ruski Kustur,Paprika
2016-01-03 19:00:00,-6.87,-6.74,-6.93,91.2,,,0.0,0.6,0.7,0.5,Vrbas,Ruski Kustur,Paprika
2016-01-03 20:00:00,-7.07,-6.93,-7.25,84.07,,,0.0,0.6,0.7,0.5,Vrbas,Ruski Kustur,Paprika
2016-01-03 21:00:00,-7.67,-7.32,-7.83,85.0,,,0.0,0.6,0.7,0.5,Vrbas,Ruski Kustur,Paprika
2016-01-03 22:00:00,-8.33,-7.87,-8.65,88.5,,,0.0,0.5,0.7,0.5,Vrbas,Ruski Kustur,Paprika
2016-01-03 23:00:00,-9.05,-8.7,-9.32,92.34,,,0.0,0.5,0.6,0.5,Vrbas,Ruski Kustur,Paprika
2016-01-04 00:00:00,-9.45,-9.36,-9.5,91.06,,,0.0,0.5,0.6,0.3,Vrbas,Ruski Kustur,Paprika
2016-01-04 01:00:00,-9.65,-9.44,-9.96,88.89,,,0.0,0.5,0.7,0.4,Vrbas,Ruski Kustur,Paprika
2016-01-04 02:00:00,-10.15,-9.95,-10.29,88.91,,,0.0,0.4,0.6,0.4,Vrbas,Ruski Kustur,Paprika
2016-01-04 03:00:00,-10.42,-10.26,-10.55,89.73,,,0.0,0.4,0.6,0.4,Vrbas,Ruski Kustur,Paprika
2016-01-04 04:00:00,-10.6,-10.5,-10.67,90.7,,,0.0,0.4,0.5,0.4,Vrbas,Ruski Kustur,Paprika
2016-01-04 05:00:00,-10.64,-10.51,-10.71,88.9,,,0.0,0.4,0.5,0.3,Vrbas,Ruski Kustur,Paprika
2016-01-04 06:00:00,-10.26,-10.01,-10.48,83.84,,,0.0,0.4,0.5,0.4,Vrbas,Ruski Kustur,Paprika
2016-01-04 07:00:00,-10.06,-10.04,-10.09,80.32,,,0.0,0.4,0.5,0.3,Vrbas,Ruski Kustur,Paprika
2016-01-04 08:00:00,-9.9,-9.81,-10.03,78.16,,,0.0,0.3,0.4,0.2,Vrbas,Ruski Kustur,Paprika
2016-01-04 09:00:00,-9.41,-9.08,-9.7,75.56,,,0.0,0.3,0.4,0.3,Vrbas,Ruski Kustur,Paprika
2016-01-04 10:00:00,-8.67,-8.41,-9.04,73.08,,,0.0,0.2,0.4,0.2,Vrbas,Ruski Kustur,Paprika
2016-01-04 11:00:00,-7.94,-7.54,-8.32,71.94,,,0.0,0.3,0.4,0.2,Vrbas,Ruski Kustur,Paprika
2016-01-04 12:00:00,-6.62,-6.03,-7.45,71.05,,,0.0,0.2,0.4,0.1,Vrbas,Ruski Kustur,Paprika
2016-01-04 13:00:00,-6.39,-6.1,-6.74,79.09,,,0.0,0.3,0.4,0.1,Vrbas,Ruski Kustur,Paprika
