Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2016-01-01 19:00:00,-2.49,-2.33,-2.7,71.94,,,0.0,,,,Zrenjanin,Torak,Psenica i Secerna Repa
2016-01-01 20:00:00,-2.42,-2.36,-2.49,78.15,,,0.0,,,,Zrenjanin,Torak,Psenica i Secerna Repa
2016-01-01 21:00:00,-2.52,-2.48,-2.57,83.98,,,0.0,,,,Zrenjanin,Torak,Psenica i Secerna Repa
2016-01-01 22:00:00,-2.61,-2.53,-2.72,89.6,,,0.0,,,,Zrenjanin,Torak,Psenica i Secerna Repa
2016-01-01 23:00:00,-2.73,-2.57,-2.87,94.15,,,0.0,,,,Zrenjanin,Torak,Psenica i Secerna Repa
2016-01-02 00:00:00,-2.73,-2.65,-2.81,99.87,,,0.0,,,,Zrenjanin,Torak,Psenica i Secerna Repa
2016-01-02 01:00:00,-2.77,-2.71,-2.86,100.0,,,0.0,,,,Zrenjanin,Torak,Psenica i Secerna Repa
2016-01-02 02:00:00,-2.87,-2.84,-2.95,99.66,,,0.0,,,,Zrenjanin,Torak,Psenica i Secerna Repa
2016-01-02 03:00:00,-3.28,-2.95,-3.52,98.24,,,0.0,,,,Zrenjanin,Torak,Psenica i Secerna Repa
2016-01-02 04:00:00,-3.94,-3.53,-4.37,99.94,,,0.0,,,,Zrenjanin,Torak,Psenica i Secerna Repa
2016-01-02 05:00:00,-5.14,-4.5,-5.82,100.0,,,0.0,,,,Zrenjanin,Torak,Psenica i Secerna Repa
2016-01-02 06:00:00,-6.32,-5.89,-6.59,100.0,,,0.0,,,,Zrenjanin,Torak,Psenica i Secerna Repa
2016-01-02 07:00:00,-6.84,-6.54,-7.18,100.0,,,0.0,,,,Zrenjanin,Torak,Psenica i Secerna Repa
2016-01-02 08:00:00,-7.14,-6.79,-7.32,100.0,,,0.0,,,,Zrenjanin,Torak,Psenica i Secerna Repa
