Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2018-05-29 00:00:00,19.18,19.32,18.67,85.67,,,0.0,20.5,20.7,20.3,Vrbas,Backo Dobro Polje,Psenica
2018-05-29 01:00:00,18.64,18.92,18.29,86.35,,,0.0,20.2,20.4,20.1,Vrbas,Backo Dobro Polje,Psenica
2018-05-29 02:00:00,18.03,18.32,17.71,88.69,,,0.0,19.8,20.0,19.7,Vrbas,Backo Dobro Polje,Psenica
2018-05-29 03:00:00,17.46,17.79,17.1,90.59,,,0.0,19.5,19.7,19.3,Vrbas,Backo Dobro Polje,Psenica
2018-05-29 04:00:00,16.86,17.03,16.64,93.29,,,0.0,19.3,19.5,19.2,Vrbas,Backo Dobro Polje,Psenica
2018-05-29 05:00:00,17.18,17.79,16.84,92.69,,,0.0,19.2,19.3,19.1,Vrbas,Backo Dobro Polje,Psenica
2018-05-29 06:00:00,18.68,19.65,17.86,87.77,,,0.0,19.4,19.9,19.2,Vrbas,Backo Dobro Polje,Psenica
2018-05-29 07:00:00,21.18,22.45,20.11,76.2,,,0.0,20.0,20.4,19.7,Vrbas,Backo Dobro Polje,Psenica
2018-05-29 08:00:00,23.39,24.71,22.36,64.3,,,0.0,21.5,22.0,20.6,Vrbas,Backo Dobro Polje,Psenica
2018-05-29 09:00:00,25.3,25.98,24.68,50.92,,,0.0,21.8,22.1,21.7,Vrbas,Backo Dobro Polje,Psenica
2018-05-29 10:00:00,26.56,27.06,25.81,42.73,,,0.0,22.9,23.3,22.2,Vrbas,Backo Dobro Polje,Psenica
2018-05-29 11:00:00,27.75,28.33,27.19,35.85,,,0.0,24.1,24.6,23.5,Vrbas,Backo Dobro Polje,Psenica
2018-05-29 12:00:00,28.59,28.99,28.15,34.25,,,0.0,24.5,24.7,24.3,Vrbas,Backo Dobro Polje,Psenica
2018-05-29 13:00:00,28.96,29.34,28.48,33.82,,,0.0,24.4,24.6,24.4,Vrbas,Backo Dobro Polje,Psenica
2018-05-29 14:00:00,29.01,29.39,28.75,34.1,,,0.0,24.2,24.5,24.0,Vrbas,Backo Dobro Polje,Psenica
2018-05-29 15:00:00,28.79,29.25,28.41,34.56,,,0.0,24.1,24.2,23.8,Vrbas,Backo Dobro Polje,Psenica
2018-05-29 16:00:00,28.66,29.39,28.33,32.67,,,0.0,24.0,24.2,23.7,Vrbas,Backo Dobro Polje,Psenica
2018-05-29 17:00:00,27.99,28.37,27.68,30.71,,,0.0,24.2,24.5,23.9,Vrbas,Backo Dobro Polje,Psenica
2018-05-29 18:00:00,26.95,27.58,26.31,33.54,,,0.0,23.5,23.9,23.1,Vrbas,Backo Dobro Polje,Psenica
2018-05-29 19:00:00,24.8,26.05,23.19,36.8,,,0.0,22.6,23.1,22.1,Vrbas,Backo Dobro Polje,Psenica
2018-05-29 20:00:00,21.29,22.67,19.34,52.42,,,0.0,21.7,22.1,21.4,Vrbas,Backo Dobro Polje,Psenica
2018-05-29 21:00:00,20.27,20.96,19.74,56.81,,,0.0,21.1,21.5,20.8,Vrbas,Backo Dobro Polje,Psenica
2018-05-29 22:00:00,19.82,20.45,19.23,61.01,,,0.0,20.7,21.0,20.5,Vrbas,Backo Dobro Polje,Psenica
2018-05-29 23:00:00,18.64,19.23,18.11,66.6,,,0.0,20.3,20.6,20.1,Vrbas,Backo Dobro Polje,Psenica
2018-05-30 00:00:00,17.19,17.63,16.26,73.75,,,0.0,19.8,20.0,19.6,Vrbas,Backo Dobro Polje,Psenica
2018-05-30 01:00:00,16.29,16.63,15.9,78.28,,,0.0,19.4,19.7,19.1,Vrbas,Backo Dobro Polje,Psenica
2018-05-30 02:00:00,15.65,15.93,15.16,81.0,,,0.0,19.0,19.3,18.8,Vrbas,Backo Dobro Polje,Psenica
2018-05-30 03:00:00,14.76,15.16,14.12,84.94,,,0.0,18.6,18.9,18.4,Vrbas,Backo Dobro Polje,Psenica
2018-05-30 04:00:00,14.79,15.14,14.37,84.11,,,0.0,18.4,18.6,18.3,Vrbas,Backo Dobro Polje,Psenica
2018-05-30 05:00:00,15.44,16.24,14.65,81.2,,,0.0,18.3,18.5,18.2,Vrbas,Backo Dobro Polje,Psenica
2018-05-30 06:00:00,17.12,18.26,16.22,74.47,,,0.0,18.5,18.8,18.3,Vrbas,Backo Dobro Polje,Psenica
2018-05-30 07:00:00,20.17,22.15,18.55,60.69,,,0.0,19.1,19.6,18.7,Vrbas,Backo Dobro Polje,Psenica
2018-05-30 08:00:00,23.16,24.4,22.35,48.19,,,0.0,20.5,21.0,19.7,Vrbas,Backo Dobro Polje,Psenica
2018-05-30 09:00:00,25.14,25.82,24.3,40.67,,,0.0,21.2,22.1,20.6,Vrbas,Backo Dobro Polje,Psenica
2018-05-30 10:00:00,26.52,27.43,25.94,33.76,,,0.0,22.9,23.2,22.5,Vrbas,Backo Dobro Polje,Psenica
2018-05-30 11:00:00,27.42,28.37,26.91,31.78,,,0.0,23.2,23.8,22.9,Vrbas,Backo Dobro Polje,Psenica
2018-05-30 12:00:00,28.2,28.85,27.64,30.64,,,0.0,23.8,24.0,23.6,Vrbas,Backo Dobro Polje,Psenica
2018-05-30 13:00:00,28.83,29.25,28.32,29.98,,,0.0,24.1,24.4,24.0,Vrbas,Backo Dobro Polje,Psenica
2018-05-30 14:00:00,29.01,29.55,28.58,31.36,,,0.0,24.4,24.5,24.3,Vrbas,Backo Dobro Polje,Psenica
2018-05-30 15:00:00,28.94,29.27,28.23,31.83,,,0.0,24.3,24.5,24.3,Vrbas,Backo Dobro Polje,Psenica
