Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2012-03-07 00:00:00,-2.85,-2.45,-3.4,71.09,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-07 01:00:00,-3.72,-3.47,-4.25,73.08,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-07 02:00:00,-4.81,-4.34,-5.14,79.99,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-07 03:00:00,-5.14,-4.98,-5.33,81.32,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-07 04:00:00,-6.03,-5.45,-6.33,86.21,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-07 05:00:00,-6.67,-6.23,-7.2,89.24,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-07 06:00:00,-7.24,-7.11,-7.38,93.4,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-07 07:00:00,-8.0,-7.39,-8.41,95.63,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-07 08:00:00,-7.91,-7.07,-8.45,96.8,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-07 09:00:00,-5.22,-3.66,-6.76,89.31,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-07 10:00:00,-2.51,-1.68,-3.41,72.7,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-07 11:00:00,-0.43,0.35,-1.53,53.08,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-07 12:00:00,0.97,1.7,0.46,48.95,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-07 13:00:00,2.18,2.64,1.69,50.31,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-07 14:00:00,2.74,3.36,2.29,48.62,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-07 15:00:00,2.86,3.61,2.3,44.99,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-07 16:00:00,3.53,3.96,3.29,42.24,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-07 17:00:00,3.62,3.92,3.43,40.72,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-07 18:00:00,3.03,3.44,2.26,46.0,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-07 19:00:00,0.87,2.04,-0.1,65.59,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-07 20:00:00,-0.59,-0.16,-0.92,76.04,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-07 21:00:00,-1.03,-0.81,-1.23,78.77,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-07 22:00:00,-1.58,-1.37,-1.7,79.78,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-07 23:00:00,-1.7,-1.68,-1.74,79.9,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-08 00:00:00,-1.88,-1.68,-2.22,83.57,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-08 01:00:00,-1.93,-1.77,-2.07,83.9,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-08 02:00:00,-2.18,-2.05,-2.28,85.69,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-08 03:00:00,-2.24,-2.01,-2.4,85.48,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-08 04:00:00,-1.95,-1.91,-2.0,81.82,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-08 05:00:00,-2.03,-1.88,-2.36,81.39,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-08 06:00:00,-2.64,-2.36,-2.92,80.62,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-08 07:00:00,-2.71,-2.6,-2.81,79.57,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-08 08:00:00,-2.27,-1.55,-2.75,78.72,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-08 09:00:00,-0.47,0.46,-1.41,70.55,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-08 10:00:00,1.4,2.1,0.55,62.45,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-08 11:00:00,3.08,3.95,2.3,56.11,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-08 12:00:00,4.74,5.2,3.96,52.08,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-08 13:00:00,5.82,6.33,5.05,49.95,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-08 14:00:00,6.59,7.07,6.23,47.02,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-08 15:00:00,7.0,7.41,6.69,44.19,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-08 16:00:00,7.23,7.64,6.97,40.98,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
2012-03-08 17:00:00,7.4,7.55,7.25,42.21,,,0.0,,,,Pancevo,Banatski Karlovac,Vinova Loza
