Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2011-03-02 00:00:00,-3.84,-3.35,-4.13,75.6,,,0.0,0.4,0.6,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-02 01:00:00,-3.58,-3.36,-3.98,72.27,,,0.0,0.5,0.6,0.5,Vrsac,Bela Crkva,Jabuka
2011-03-02 02:00:00,-3.15,-2.75,-3.65,71.01,,,0.0,0.5,0.6,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-02 03:00:00,-2.61,-2.51,-2.71,67.98,,,0.0,0.5,0.6,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-02 04:00:00,-2.28,-2.11,-2.44,67.59,,,0.0,0.5,0.6,0.5,Vrsac,Bela Crkva,Jabuka
2011-03-02 05:00:00,-2.29,-2.22,-2.4,70.44,,,0.0,0.5,0.6,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-02 06:00:00,-2.37,-2.27,-2.47,72.17,,,0.0,0.5,0.7,0.3,Vrsac,Bela Crkva,Jabuka
2011-03-02 07:00:00,-2.58,-2.47,-2.75,75.2,,,0.0,0.4,0.6,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-02 08:00:00,-2.61,-2.5,-2.79,76.04,,,0.0,0.5,0.6,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-02 09:00:00,-2.52,-2.24,-2.7,75.51,,,0.0,0.5,0.6,0.5,Vrsac,Bela Crkva,Jabuka
2011-03-02 10:00:00,-1.84,-1.55,-2.14,68.66,,,0.0,0.4,0.6,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-02 11:00:00,-1.3,-1.13,-1.51,65.37,,,0.0,0.4,0.5,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-02 12:00:00,-1.16,-0.91,-1.35,64.74,,,0.0,0.4,0.5,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-02 13:00:00,-1.14,-0.87,-1.3,64.53,,,0.0,0.4,0.5,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-02 14:00:00,-0.53,-0.35,-0.86,62.73,,,0.0,0.4,0.6,0.3,Vrsac,Bela Crkva,Jabuka
2011-03-02 15:00:00,-0.49,-0.4,-0.59,63.66,,,0.0,0.4,0.5,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-02 16:00:00,-0.92,-0.54,-1.1,70.43,,,0.0,0.4,0.5,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-02 17:00:00,-1.14,-0.87,-1.36,74.25,,,0.0,0.4,0.6,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-02 18:00:00,-1.06,-0.85,-1.2,73.23,,,0.0,0.4,0.5,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-02 19:00:00,-1.14,-0.85,-1.63,76.31,,,0.0,0.4,0.6,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-02 20:00:00,-1.19,-0.83,-1.54,77.58,,,0.0,0.4,0.5,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-02 21:00:00,-0.67,-0.52,-0.78,72.8,,,0.0,0.4,0.6,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-02 22:00:00,-0.39,-0.11,-0.52,72.27,,,0.0,0.4,0.5,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-02 23:00:00,-0.22,-0.05,-0.44,70.4,,,0.0,0.4,0.6,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-03 00:00:00,-0.35,-0.24,-0.48,71.75,,,0.0,0.4,0.5,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-03 01:00:00,-0.56,-0.37,-0.8,73.54,,,0.0,0.4,0.5,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-03 02:00:00,-0.33,-0.22,-0.69,73.61,,,0.0,0.4,0.5,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-03 03:00:00,-0.12,0.02,-0.26,73.47,,,0.0,0.4,0.5,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-03 04:00:00,0.26,0.49,-0.05,72.11,,,0.0,0.5,0.6,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-03 05:00:00,0.48,0.56,0.41,72.78,,,0.0,0.4,0.5,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-03 06:00:00,0.26,0.48,0.12,75.07,,,0.0,0.4,0.5,0.4,Vrsac,Bela Crkva,Jabuka
2011-03-03 07:00:00,0.22,0.39,0.17,75.41,,,0.0,0.4,0.5,0.4,Vrsac,Bela Crkva,Jabuka
