Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2016-01-01 19:00:00,-2.9,-2.65,-3.0,99.08,,,0.0,0.5,0.6,0.4,Backa Topola,Stara Moravica,Psenica
2016-01-01 20:00:00,-3.12,-2.98,-3.23,100.0,,,0.0,0.5,0.6,0.5,Backa Topola,Stara Moravica,Psenica
2016-01-01 21:00:00,-3.24,-3.19,-3.28,100.0,,,0.0,0.5,0.6,0.5,Backa Topola,Stara Moravica,Psenica
2016-01-01 22:00:00,-3.21,-3.17,-3.28,100.0,,,0.0,0.5,0.7,0.5,Backa Topola,Stara Moravica,Psenica
2016-01-01 23:00:00,-3.16,-3.13,-3.21,100.0,,,0.0,0.5,0.6,0.5,Backa Topola,Stara Moravica,Psenica
2016-01-02 00:00:00,-3.12,-3.1,-3.14,100.0,,,0.0,0.5,0.7,0.4,Backa Topola,Stara Moravica,Psenica
2016-01-02 01:00:00,-3.08,-3.06,-3.11,100.0,,,0.0,0.5,0.7,0.5,Backa Topola,Stara Moravica,Psenica
2016-01-02 02:00:00,-3.02,-2.98,-3.06,100.0,,,0.0,0.6,0.8,0.4,Backa Topola,Stara Moravica,Psenica
2016-01-02 03:00:00,-2.95,-2.91,-3.01,100.0,,,0.0,0.5,0.7,0.4,Backa Topola,Stara Moravica,Psenica
2016-01-02 04:00:00,-2.93,-2.91,-2.97,100.0,,,0.0,0.6,0.8,0.4,Backa Topola,Stara Moravica,Psenica
2016-01-02 05:00:00,-2.95,-2.93,-2.98,100.0,,,0.0,0.5,0.8,0.4,Backa Topola,Stara Moravica,Psenica
2016-01-02 06:00:00,-2.89,-2.87,-2.93,100.0,,,0.0,0.5,0.7,0.5,Backa Topola,Stara Moravica,Psenica
2016-01-02 07:00:00,-2.92,-2.87,-2.97,100.0,,,0.0,0.5,0.6,0.5,Backa Topola,Stara Moravica,Psenica
2016-01-02 08:00:00,-3.02,-2.96,-3.06,98.83,,,0.0,0.6,0.8,0.5,Backa Topola,Stara Moravica,Psenica
2016-01-02 09:00:00,-2.98,-2.95,-3.02,95.42,,,0.0,0.5,0.7,0.4,Backa Topola,Stara Moravica,Psenica
