@DATE  SRAD  TMAX  TMIN  RAIN  VAPO  WIND
58001   3.6   2.4  -3.5    .0   4.00    .0
58002   2.4  -1.8  -3.6    .0   3.70    .0
58003   2.4   -.7  -4.1    .4   3.80    .0
58004   4.5   -.7  -5.4    .0   2.80    .0
58005   5.8   -.6  -8.5    .0   2.90    .0
58006   2.5   3.0  -2.0    .0   4.40    .0
58007   2.5  10.2    .1   6.0   5.60    .0
58008   3.0   3.2    .3  24.3   4.20    .0
58009   8.8   3.7  -5.2    .0   3.10    .0
58010   4.3   7.6   -.8    .0   4.60    .0
58011   3.6   5.9  -1.8    .0   4.60    .0
58012   2.8   7.2   2.6    .0   5.70    .0
58013   5.4  11.8   5.2    .3   6.70    .0
58014   2.7   8.5   2.4   4.3   6.40    .0
58015   2.7   6.6   3.5   8.0   5.50    .0
58016   2.7   3.9   1.2   2.6   4.80    .0
58017   2.8   3.7   1.0    .0   5.00    .0
58018   3.1   3.8  -1.0    .0   4.60    .0
58019  10.1   9.4   -.7    .0   4.80    .0
58020  10.1  12.0  -2.0    .0   5.20    .0
58021   2.9  10.8  -1.8    .0   4.60    .0
58022   8.7  -1.5  -7.9   5.1   2.50    .0
58023   3.7  -2.5 -13.4   6.9   2.80    .0
58024   5.7  -7.5 -16.0   1.0   1.80    .0
58025   3.0  -7.4 -15.3    .0   2.10    .0
58026   8.0  -3.2 -13.4    .0   2.30    .0
58027   8.9  -4.0 -16.0    .0   1.70    .0
58028   7.9  -7.0 -15.8    .0   1.80    .0
58029   5.4  -9.0 -19.8    .0   1.50    .0
58030  10.6  -1.9 -18.7    .0   2.00    .0
58031   8.8    .0 -17.6    .0   2.80    .0
58032   5.6   -.5 -12.0    .0   3.20    .0
58033   3.4  -1.6  -8.5    .0   3.20    .0
58034   5.0  -1.6  -7.6    .0   3.20    .0
58035  12.3   2.5  -5.6    .0   3.40    .0
58036   5.0   7.4  -3.5    .0   3.80    .0
58037   3.7  10.8   2.3    .0   5.30    .0
58038   8.2  15.0    .8    .2   5.20    .0
58039   3.6   5.0   1.0    .0   5.40    .0
58040   4.6  15.5   3.7    .1   7.00    .0
58041  10.5  18.3   7.7    .0   7.10    .0
58042   9.5  19.0   3.5    .0   6.50    .0
58043   9.1  17.5   8.2    .0   7.80    .0
58044  11.9  18.2   5.8    .0   7.40    .0
58045   8.4  17.5   4.7    .0   8.10    .0
58046   9.4  18.5   6.1    .0   8.20    .0
58047   5.4  19.4   6.0    .8   7.00    .0
58048   8.1  18.4   7.5    .0   7.60    .0
58049   4.2   9.0  -1.5  12.7   4.40    .0
58050   4.2   -.7  -2.2  10.7   3.80    .0
