DATE,SRAD,TMAX,TMIN,RAIN,VAPO,WIND,q,TAVG,RH,dewpoint,lcl,tendt,tendq,bowen,R2,R1
1971001,5.7,8.8,-0.2,9.6,6.0,2.9,0.0036831976313841603,4.300000000000001,0.7191932573501503,-0.3165774050570851,574.5401564067741,,,,0.5321450430726071,0.5276527895913782
1971002,2.9,1.8,-1.6,0.0,6.1,1.2,0.003744584258573896,0.09999999999999998,0.9885363456164877,-0.058913211594817674,19.82514243657463,-4.8756944444444457e-05,1.6097683814458311e-06,,0.7815029296006402,0.8746444545824829
1971003,2.9,4.0,-1.7,3.4,6.2,2.9,0.0038059708857636322,1.15,0.9310008858063041,0.15946695042461334,123.55722987923184,1.2189236111111109e-05,1.6097683814458538e-06,,0.6637786610912008,0.7603234568632874
1971004,2.9,3.9,-2.6,2.5,4.6,2.9,0.0028237848507278555,0.6499999999999999,0.715535942226266,-3.900851043910211,563.965633573985,-5.804398148148147e-06,-2.57562941031335e-05,0.22535843568590042,0.6254657249890839,0.5676617463611839
1971005,3.0,1.4,-0.5,1.2,6.2,1.9,0.0038059708857636322,0.44999999999999996,0.9795071585775654,0.16394654629234812,35.694100975964005,-2.3217592592592586e-06,2.57562941031335e-05,-0.09014337427436016,0.8716470615627193,0.9147325079936053
1971006,3.0,1.6,-1.9,5.9,5.3,4.4,0.0032534912410560075,-0.1499999999999999,0.8742846207046041,-1.9851647856033343,230.83567525202693,-6.9652777777777755e-06,-1.4487915433012604e-05,0.48076466279658714,0.7754514291960999,0.7705969071843244
1971007,3.0,0.6,-1.8,3.8,5.6,2.4,0.003437651122625216,-0.6000000000000001,0.9548935013643363,-1.2312661009189347,88.66324036955639,-5.223958333333335e-06,4.829305144337538e-06,-1.081720491292321,0.8394352766001709,0.8752584432935565
1971008,3.0,-0.2,-4.3,0.9,4.7,1.2,0.002885171477917592,-2.25,0.9047460532529064,-3.596501101654629,203.47266931687707,-1.9154513888888884e-05,-1.448791543301258e-05,1.322102822690617,0.7385096990616696,0.7785098550026792
1971009,3.1,-0.8,-4.3,0.0,4.5,1.9,0.00276239822353812,-2.55,0.885687856147095,-4.176902166256163,242.68860323491418,-3.4826388888888865e-06,-3.2195367628916847e-06,1.0817204912923224,0.7715131408472363,0.7786843778879634
1971010,3.1,-1.0,-3.5,2.3,4.7,0.8,0.002885171477917592,-2.25,0.9047460532529064,-3.596501101654629,203.47266931687707,3.4826388888888865e-06,3.2195367628916847e-06,1.0817204912923224,0.8312526320687776,0.8252796941596294
1971011,3.1,0.2,-3.4,5.9,5.1,0.5,0.003130717986676535,-1.5999999999999999,0.935801128935304,-2.4990318627807344,137.94621861698025,7.545717592592593e-06,6.439073525783346e-06,1.1718638655666878,0.7674191266239389,0.820592636779164
1971012,5.3,-1.6,-11.8,0.0,2.9,0.8,0.001780212188502344,-6.7,0.7807959191667577,-9.881456450726201,492.92492772165787,-5.920486111111112e-05,-3.541490439180851e-05,1.671749850179046,0.45702294743044886,0.5323147783228159
1971013,3.8,-2.6,-12.0,0.0,3.7,0.0,0.002271305206020232,-7.3,1.0439316453145964,-6.741197292628999,44.91363415386094,-6.965277777777773e-06,1.2878147051566744e-05,-0.540860245646161,0.4842133388029515,0.7316848592444382
1971014,3.2,0.5,-5.8,2.2,5.3,4.4,0.0032534912410560075,-2.65,1.0514630798748277,-1.9715268553738876,-40.92520116514681,5.3980902777777774e-05,2.5756294103133468e-05,2.095833451878877,0.6266507338346216,0.8348993502071651
1971015,3.2,-0.7,-8.8,0.6,3.8,0.8,0.0023326918332099676,-4.75,0.8819772699663294,-6.402292013412016,278.77761101969173,-2.437847222222222e-05,-2.4146525721687638e-05,1.009605791872835,0.5424888605095392,0.6529886250103922
1971016,3.3,-2.6,-13.8,0.0,4.0,0.5,0.00245546508758944,-8.200000000000001,1.2105211445661066,-5.715614533488937,-178.4373683388969,-4.0050347222222225e-05,3.219536762891696e-06,,0.4185851949714783,0.7913433754675209
1971017,3.3,-3.8,-6.2,0.0,3.9,0.8,0.002394078460399704,-5.0,0.9225795206399858,-6.060576871348251,209.88031106095627,3.714814814814816e-05,-1.6097683814458424e-06,,0.8339818685073185,0.8429085565785157
1971018,3.3,-5.0,-8.6,0.0,3.6,1.2,0.002209918578830496,-6.8,0.9771810310227121,-7.100198634261849,142.93756767584085,-2.089583333333333e-05,-4.829305144337527e-06,4.326881965169291,0.7584473901844727,0.8519111760452496
1971019,3.4,-5.4,-6.8,0.0,3.7,0.5,0.002271305206020232,-6.1,0.9517791472506865,-6.7456034566874905,175.10587303326622,8.126157407407409e-06,1.6097683814458424e-06,,0.8986314121133071,0.902392377442267
1971020,3.4,-4.2,-7.1,0.0,3.8,0.5,0.0023326918332099676,-5.65,0.9444841462525704,-6.398621636498237,181.16561816048596,5.223958333333325e-06,1.6097683814458311e-06,3.245161473876987,0.8020627558091452,0.846429583205329
1971021,3.4,-2.6,-7.0,0.0,4.3,0.5,0.0026396249691586476,-4.8,1.0021259126536446,-4.771874213117062,73.02482146840542,9.867476851851858e-06,8.048841907229211e-06,1.2259498901313002,0.7172776491309906,0.8500235864495019
1971022,3.5,0.4,-5.4,0.0,5.1,0.5,0.003130717986676535,-2.5,1.0004185051222785,-2.4943516881707066,40.1389561463537,2.670023148148148e-05,1.2878147051566729e-05,2.0732976083102876,0.6506869195271251,0.8090784238271703
1971023,3.5,2.9,-1.4,0.8,6.3,0.1,0.0038673575129533674,0.75,0.9739023387662625,0.3838884762669803,45.69456755200286,3.772858796296296e-05,1.931722057735012e-05,1.9531064426111375,0.7333386797548085,0.8351423940223519
1971024,3.6,2.2,0.1,2.4,6.6,0.1,0.004051517394522575,1.1500000000000001,0.9913098017059422,1.0286434975690626,15.160621142150456,4.64351851851852e-06,4.829305144337527e-06,0.9615293255931764,0.859878960163347,0.919536036990255
1971025,3.8,3.6,-1.1,0.0,6.0,0.5,0.0036831976313841603,1.25,0.8943649512369702,-0.2944922246983677,192.49782792266794,1.160879629629628e-06,-9.65861028867503e-06,-0.12019116569914713,0.7134664387125261,0.7566681829414751
1971026,3.6,6.2,-2.4,0.0,6.6,0.5,0.004051517394522575,1.9000000000000001,0.9390914687972528,1.023579541267247,109.44748098780784,7.545717592592593e-06,9.65861028867503e-06,0.7812425770444575,0.5408375562257615,0.6943524504646245
1971027,3.7,2.6,-1.8,0.0,6.7,0.8,0.004112904021712312,0.4,1.0626852839566712,1.243497545067145,-105.45312600151482,-1.741319444444444e-05,1.609768381445865e-06,,0.7274041108347776,0.9076448329937327
1971028,4.5,10.0,1.4,1.6,7.7,2.9,0.004726770293609672,5.7,0.837352171023758,3.1640393245924052,317.3220541478884,6.152662037037036e-05,1.6097683814458422e-05,3.8220790692328745,0.5509954310931817,0.6247631748477512
1971029,9.9,15.0,2.0,0.0,7.2,0.8,0.004419837157660992,8.5,0.644854186633977,2.18686125175581,787.5739341516512,3.250462962962962e-05,-8.048841907229211e-06,-4.038423167491339,0.41420785284570416,0.41976609415857324
1971030,7.3,11.0,-0.7,0.0,7.2,0.8,0.004419837157660992,5.15,0.8134868654630305,2.2187384800973744,366.2620888726162,-3.888946759259258e-05,0.0,,0.44278277790354825,0.546522377718374
1971031,6.1,9.5,-1.6,0.0,7.2,0.5,0.004419837157660992,3.95,0.8853216332145586,2.2286457624490454,215.20882420086912,-1.3930555555555556e-05,0.0,,0.4582351652753597,0.6045691319214119
1971032,3.9,6.0,3.7,0.4,8.3,0.8,0.005095090056748088,4.85,0.9584017162522156,4.242427661355511,76.20430515993002,1.044791666666666e-05,1.7707452195904265e-05,0.5900293588867214,0.8517589588059359,0.8848451488753415
1971033,4.0,8.6,1.8,1.1,7.0,8.6,0.00429706390328152,5.2,0.7880220886389323,1.8219076386267923,421.78870235197496,4.0630787037037095e-06,-2.092698895879595e-05,-0.19415495997554544,0.6230534492896436,0.624030152660152
