DATE  SRAD  TMAX  TMIN  RAIN  VAPO  WIND
71001   2.9  10.6  -1.2   6.0   5.3   3.7
71002   2.9  -0.9  -4.2   2.1   4.3   1.9
71003   3.0  -3.4  -5.2   1.8   3.7   0.1
71004   3.0   0.1  -6.0   0.8   4.6   0.0
71005   3.9   5.6  -2.7   0.4   5.0   0.1
71006   3.0  -2.2  -5.0   0.0   3.7   1.9
71007   3.0  -2.2  -4.6   3.6   3.9   0.0
71008   3.1   0.4  -3.1   0.0   4.0   0.0
71009   3.1  -2.7  -6.2   0.0   3.8   1.9
71010   3.1  -4.1  -6.2   6.2   3.5   0.1
71011   3.4   0.4  -6.5   3.3   3.6   0.0
71012   4.9   2.4  -5.0   0.6   4.0   0.0
71013   3.2  -1.6  -6.6   0.0   4.0   0.1
71014   3.4   1.6  -5.0   0.0   4.1   0.5
71015   7.9   2.0  -3.4   0.0   3.8   6.0
71016   6.8   3.0  -5.6   0.0   4.1   1.9
71017   7.0   3.4  -6.2   0.0   4.0   0.0
71018   3.4  -3.4  -7.0   0.0   3.8   0.0
71019   7.3   4.9  -8.6   0.0   4.2   0.5
71020   6.4   9.4  -2.0   0.0   5.8   0.5
71021   3.5  10.5   2.4   0.0   7.3   6.7
71022   3.5  14.0   8.7   0.0   8.9   3.7
71023   3.5  10.8   6.2   1.2   9.6   0.0
71024   7.1  15.2   2.1   4.2   8.5   0.1
71025   8.6  15.9   5.2   0.0   8.6   0.5
71026   4.3  12.6   3.8   0.0   8.6   0.1
71027   9.0  14.4  -0.2   0.0   6.8   2.9
71028   7.3  11.4   4.4   0.9   7.6   2.9
71029   9.6  14.0   0.0   0.0   6.8   0.5
71030   7.1  13.8   1.4   0.0   6.7   1.2
71031   6.5  13.4   4.4   0.0   7.6   4.4
71032   5.4  13.8   7.2   0.0   8.2   3.7
71033   4.0  11.2  -1.0   6.6   6.4   4.4
71034   7.3  -0.2  -3.6   4.7   3.8   2.4
71035   4.7  -0.2  -3.6   2.0   4.3   0.0
71036   4.1   0.2  -8.6   0.6   4.0   0.5
71037   4.2   1.2  -3.3   0.0   5.6   0.5
71038   4.3   3.4   0.5   0.0   6.0   1.2
71039   4.9   6.2   0.6   0.0   5.4   1.2
71040   5.0   7.0   3.4   0.0   6.9   3.7
