DATE  SRAD  TMAX  TMIN  RAIN  VAPO  WIND
71001   5.7   8.8  -0.2   9.6   6.0   2.9
71002   2.9   1.8  -1.6   0.0   6.1   1.2
71003   2.9   4.0  -1.7   3.4   6.2   2.9
71004   2.9   3.9  -2.6   2.5   4.6   2.9
71005   3.0   1.4  -0.5   1.2   6.2   1.9
71006   3.0   1.6  -1.9   5.9   5.3   4.4
71007   3.0   0.6  -1.8   3.8   5.6   2.4
71008   3.0  -0.2  -4.3   0.9   4.7   1.2
71009   3.1  -0.8  -4.3   0.0   4.5   1.9
71010   3.1  -1.0  -3.5   2.3   4.7   0.8
71011   3.1   0.2  -3.4   5.9   5.1   0.5
71012   5.3  -1.6 -11.8   0.0   2.9   0.8
71013   3.8  -2.6 -12.0   0.0   3.7   0.0
71014   3.2   0.5  -5.8   2.2   5.3   4.4
71015   3.2  -0.7  -8.8   0.6   3.8   0.8
71016   3.3  -2.6 -13.8   0.0   4.0   0.5
71017   3.3  -3.8  -6.2   0.0   3.9   0.8
71018   3.3  -5.0  -8.6   0.0   3.6   1.2
71019   3.4  -5.4  -6.8   0.0   3.7   0.5
71020   3.4  -4.2  -7.1   0.0   3.8   0.5
71021   3.4  -2.6  -7.0   0.0   4.3   0.5
71022   3.5   0.4  -5.4   0.0   5.1   0.5
71023   3.5   2.9  -1.4   0.8   6.3   0.1
71024   3.6   2.2   0.1   2.4   6.6   0.1
71025   3.8   3.6  -1.1   0.0   6.0   0.5
71026   3.6   6.2  -2.4   0.0   6.6   0.5
71027   3.7   2.6  -1.8   0.0   6.7   0.8
71028   4.5  10.0   1.4   1.6   7.7   2.9
71029   9.9  15.0   2.0   0.0   7.2   0.8
71030   7.3  11.0  -0.7   0.0   7.2   0.8
71031   6.1   9.5  -1.6   0.0   7.2   0.5
71032   3.9   6.0   3.7   0.4   8.3   0.8
71033   4.0   8.6   1.8   1.1   7.0   8.6
71034   8.3   3.0  -0.9   1.0   3.9  12.3
71035   5.7   3.7  -4.0   0.0   4.5   2.4
71036   8.2   3.0  -6.4   0.0   4.1   5.0
71037  10.1   6.4  -1.0   0.0   4.8   6.7
71038   7.5   6.6   1.9   0.0   5.5  10.2
71039   5.5   6.5  -0.4   0.0   5.4   6.7
