DATE  SRAD  TMAX  TMIN  RAIN  VAPO  WIND
71001   3.1  10.2  -2.0   5.4   5.4   6.7
71002   2.9  -1.3  -4.1   0.6   4.2   2.9
71003   2.9  -3.2  -6.3   2.1   3.4   4.4
71004   2.9   0.5  -6.9   0.2   4.5   1.9
71005   3.3   3.3  -3.6   0.4   4.7   1.9
71006   3.0  -3.3  -5.1   0.7   3.9   3.7
71007   3.0  -1.7  -4.0   2.0   4.5   1.2
71008   4.4   1.2  -2.5   0.0   4.6   3.7
71009   3.0  -1.1  -6.9   0.0   4.0   2.4
71010   3.1  -4.0  -6.0   4.6   3.8   1.9
71011   3.2   1.0  -5.5   1.6   4.4   1.2
71012   6.0   1.8  -7.0   0.0   4.2   0.8
71013   3.1  -2.9  -8.2   0.0   4.1   0.8
71014   3.2   2.0  -4.2   0.0   4.4   4.4
71015   8.7   1.9  -3.9   0.0   4.4   2.9
71016   6.4   5.1  -9.1   0.0   4.3   1.2
71017   5.8  -0.7  -8.1   0.0   4.4   1.2
71018   3.3  -2.9  -4.6   0.0   4.4   1.2
71019   8.7   6.8  -4.8   0.0   5.5   2.4
71020   6.2   9.6   1.5   0.0   6.7   2.9
71021   3.4  10.2   4.5   0.0   7.9   6.0
71022   3.5  14.1   6.9   0.0   9.2   6.0
71023   3.9  10.9   6.6   0.8  10.2   1.9
71024   7.3  15.1  -0.1   1.6   9.4   1.2
71025   8.8  15.0   1.3   0.0   8.7   1.2
71026   5.1  13.6   2.8   0.3   9.4   2.4
71027   9.1  14.2   3.3   0.0   7.8   4.4
71028   7.8  11.3   4.2   3.3   8.5   5.0
71029   8.3  13.5  -0.5   0.3   6.6   0.8
71030   7.8  13.9   1.5   0.0   7.3   2.9
71031   7.4  13.7   5.6   0.0   7.3   4.4
71032   5.8  14.7   5.7   0.0   8.3   4.4
71033   3.9   8.8  -0.5   3.6   6.6   7.5
71034   8.2   0.5  -2.9   6.2   4.1   6.0
71035   5.4   1.2  -3.5   1.6   4.7   1.9
71036   4.1   0.5  -3.6   0.5   4.5   2.4
71037   4.1   1.6  -3.0   0.0   5.6   1.2
71038   4.2   3.6   0.6   0.1   6.4   2.4
71039   4.5   5.6   1.5   0.0   6.0   6.0
71040   4.3   5.7   3.1   0.0   6.9   5.0
71041   4.4   7.0   3.0   0.1   7.6   0.8
71042  12.3   7.1  -3.8   0.0   5.0   2.4
71043  10.9   8.5  -5.5   0.0   4.8   0.5
71044  10.8  12.0  -5.6   0.0   5.8   0.8
71045   6.8  12.8  -2.9   0.0   6.4   0.5
71046   9.3  13.0   1.5   0.6   7.1   2.4
71047   7.0  13.1   5.3   0.0   7.6   7.5
71048   5.9  10.2   1.3   0.0   8.8   2.9
71049   4.8   6.6   4.5  19.6   8.3   2.9
71050   5.2   9.9   0.3   0.7   7.6   2.4
71051   5.0   7.3   3.6   1.0   7.6   4.4
71052   5.0   6.0   2.7   2.8   6.9   1.9
71053   5.1   6.5   2.6   0.2   7.5   1.2
71054   5.2   6.4   1.5   0.1   7.1   0.8
71055   5.2   4.8  -0.3   0.0   6.7   2.4
71056   9.7   7.3  -1.0   0.0   6.3   1.2
71057   8.9   6.8  -1.0   1.4   6.2   4.4
71058  10.0  -0.6  -8.5   6.7   3.4   3.7
71059  11.1  -1.0  -6.9   0.3   3.1   2.4
71060   9.9   0.0  -8.6   0.0   3.8   1.2
71061   7.2  -1.4  -5.0   0.2   4.0   1.9
71062   7.9  -0.4  -6.0   0.2   4.0   2.9
71063  10.3  -1.6  -7.2   0.0   3.8   2.4
71064   6.6  -3.3  -9.0   6.7   2.9   3.7
71065   6.7  -2.3  -8.6   8.0   3.3   2.4
71066   8.3  -1.2 -12.9   0.0   3.4   0.1
71067   6.0   0.4  -5.7   0.0   3.9   2.4
71068  10.6   0.6  -6.5   7.9   5.1   1.9
71069  15.7   2.7  -8.3   2.5   4.6   3.7
71070  13.4   5.0  -6.6   0.0   3.4   2.4
71071  17.6   0.6  -7.1   0.6   3.4   3.7
71072  15.4   2.0 -18.1   1.0   2.6   1.9
71073   6.4   7.5  -3.0   0.0   3.9   2.4
71074   6.5   7.2   2.0   1.0   7.3   3.7
71075  12.2  14.7   4.9   0.8   8.7   2.4
71076   6.6  10.6   3.5   0.0   9.5   0.8
71077  12.2  13.9   5.4   1.5   9.3   1.2
71078  13.3  17.9   4.8   0.0   7.6   6.0
71079  13.7  21.6   8.5   0.0   8.4   3.7
71080  14.1  20.8   9.0   0.0   8.1   5.0
71081  13.4  21.2  10.8   0.0   8.4  11.4
