@weather data; generated by READ1STN.EXE
@ix     Fname N    Learn A From   To     Long     Lat    Alt   AngA   AngB  description
  44    NOV_O 4    NOV_O n 1971  2000   19.51   45.20     84    -99    -99  ;Srbsko_Novi Sad
  45    SOM_O 4    SOM_O n 1971  2000   19.05   45.47     88    -99    -99  ;Srbsko_Sombor_Western_part
  46    ZRE_O 4    ZRE_O n 1971  2000   20.21   45.24     80    -99    -99  ;Srbsko_Zrenjanin_Eastern_part
  73    POZ_O 4    POZ_O n 1971  2000   20.03   43.83    310    -99    -99  ;Srbsko_Pozega
  74    KRA_O 4    KRA_O n 1971  2000   20.70   43.72    215    -99    -99  ;Srbsko_Kraljevo
  75    KRU_O 4    KRU_O n 1971  2000   21.35   43.57    166    -99    -99  ;Srbsko_Krusevac
  76    CUP_O 4    CUP_O n 1971  2000   21.37   43.93    123    -99    -99  ;Srbsko_Cuprja
  77    NIS_O 4    NIS_O n 1971  2000   21.90   43.33    201    -99    -99  ;Srbsko_Nis
  78    ZAJ_O 4    ZAJ_O n 1971  2000   22.28   44.88    144    -99    -99  ;Srbsko_Zajecar
  79    DIM_O 4    DIM_O n 1971  2000   22.75   43.02    450    -99    -99  ;Srbsko_Dimitrovgrad
  80    PRI_O 4    PRI_O n 1971  2000   20.73   42.22    402    -99    -99  ;Srbsko_Prizren
  81    VRA_O 4    VRA_O n 1971  2000   21.90   42.48    432    -99    -99  ;Srbsko_Vranje
