DATE  SRAD  TMAX  TMIN  RAIN  VAPO  WIND
71001   5.5  10.5   5.5  39.9   7.4   2.4
71002   3.2  10.9   3.0   0.7   7.6   1.9
71003   4.4  11.2   2.6   0.3   7.8   4.4
71004   4.8   9.6   2.3   0.1   6.3   2.9
71005   3.5  10.0   1.5   0.8   7.2   2.4
71006   3.3   8.2  -3.0   0.0   5.8   4.4
71007   3.3  -1.0  -3.8   2.7   4.4   3.7
71008   3.3   1.3  -2.0   0.0   4.6   1.9
71009   3.3  -1.4  -5.2   0.0   4.1   4.4
71010   3.4   0.3  -5.1   0.7   3.8   6.0
71011   3.4  -1.2  -5.7   0.4   4.0   2.9
71012   3.4  -1.0  -2.6   0.0   4.7   2.4
71013   4.1   0.5  -2.7   1.5   4.6   3.7
71014   3.5   1.8  -3.6   0.1   5.0   0.1
71015   7.8   4.8  -1.5   0.0   5.1   0.8
71016   5.2   3.0  -4.1   0.0   4.8   0.1
71017   6.4   3.2  -2.8   0.0   5.0   3.7
71018   8.0   6.4  -1.8   0.0   5.7   0.0
71019   3.6   0.1  -2.0   0.0   5.5   0.5
71020   4.7   6.0  -1.5   0.0   6.7   0.8
71021   3.7   9.2   1.8   0.0   8.0   3.7
71022   4.0  13.6   7.3   0.1   8.5   5.0
71023   3.8  12.6   8.7   0.2   9.7   2.9
71024   6.7  15.0   7.6   0.9   9.8   4.4
71025   6.2  13.6   7.1   0.0  10.0   1.9
71026   3.9  10.5   5.5   0.0   8.5   1.9
71027   7.6  11.3  -1.7   0.5   7.3   2.4
71028   4.4   9.7   3.8   4.8   7.2   1.2
71029  10.6  12.2  -1.2   0.1   6.2   0.8
71030   8.6  12.2  -0.2   0.0   6.5   1.2
71031   4.8  10.2   2.6   0.0   7.8   2.4
71032   5.5  12.0   5.9   0.0   8.2   5.0
71033   4.2   8.3  -1.2   8.3   5.8   6.7
71034   4.5  -0.9  -4.4   7.2   3.5   1.9
71035   6.5   0.7  -6.2   0.1   3.5   3.7
71036  11.5   0.3  -3.2   0.0   3.7   4.4
71037   6.8   1.5  -2.7   0.0   4.6   3.7
71038   4.5   1.8  -1.0   0.0   4.9   1.9
71039   4.6   3.2  -0.8   0.0   4.4   1.9
71040   5.4   4.8   0.6   0.0   5.8   0.8
71041   5.1   5.8   1.6   0.2   7.0   2.4
71042  11.6   5.3  -0.1   0.2   4.9   2.9
71043  12.7   8.5  -4.0   0.0   4.0   0.1
71044   9.9   9.0  -4.4   0.0   5.0   0.1
71045   8.2  10.2  -3.9   0.0   5.2   0.1
71046   8.7  10.0  -2.2   0.0   6.4   2.4
71047   7.4  11.6   3.7   0.0   7.8   3.7
71048   5.1   9.1   2.5   0.0   7.8   1.2
71049   5.3   6.8  -0.8   7.4   7.0   1.2
71050   8.6  11.9   1.0   0.8   6.9   2.4
71051   6.5   7.3   3.0   4.6   7.2   2.9
71052   6.1   3.9   1.1   0.1   5.6   5.0
71053   5.4   3.0  -0.1   0.0   6.1   1.9
71054   5.4   2.4  -0.5  10.4   6.2   2.4
71055   6.5   5.4   0.5   0.4   6.1   2.9
71056   5.6   3.2  -0.7   0.1   5.5   2.4
71057   8.3   3.7  -0.8   0.2   5.2   1.2
71058   9.0  -0.1  -5.1   1.5   3.3   3.7
71059  15.2  -3.2 -11.0   0.2   2.0   2.4
71060   6.4  -2.9  -9.9   0.0   3.2   1.2
71061   9.8  -1.1  -5.4   0.1   3.0   6.0
71062   5.9  -2.2  -5.4   0.0   3.2   5.0
71063   6.0  -3.9  -9.4   0.0   3.5   1.9
71064   7.3  -1.4  -5.7   8.0   3.5   3.7
71065   8.4   2.3  -8.3   5.6   3.9   3.7
71066   8.3   6.1  -6.8   0.2   5.0   0.8
71067   6.2   2.6  -5.4   4.1   4.0   2.9
71068   6.3  -0.4  -4.7   5.9   4.8   0.8
71069   6.4   2.2  -1.8   2.6   5.4   1.9
71070  16.5   3.9  -3.0   0.5   3.1   0.8
71071   8.5   0.0  -6.3   0.0   2.9   5.0
71072  18.4   1.7 -10.9   0.2   2.6   0.1
71073  15.7   5.4  -8.7   0.0   3.4   1.9
71074   7.0   5.1   0.5   1.2   6.7   5.0
71075  15.2  12.7   3.7   1.0   8.6   2.4
71076   6.8   8.1   3.3   0.0   8.7   0.8
71077  11.8  14.3   4.2   1.4   7.5   2.4
71078  10.8  13.7   0.7   0.0   7.2   0.5
71079  12.7  16.7   4.3   0.0   8.4   0.5
71080  16.2  19.0   3.6   0.0   8.0   4.4
71081   9.7  17.1   9.2   0.0   8.8   7.5
71082  18.1  16.2   6.4   0.4   6.5   5.0
71083  13.1   8.9   2.4   0.0   4.9   6.7
71084  20.1  10.8  -1.3   0.0   4.6   1.9
71085  20.2  13.0  -1.4   0.0   5.1   1.2
71086  14.5  13.0   1.3   0.0   7.8   2.9
71087   7.9   9.9   5.6   1.5   8.5   1.2
71088   9.2  12.2   4.8  12.0   8.9   1.9
71089   7.7   8.7   1.8  14.7   7.8   2.9
71090  12.0  11.5   0.5   8.3   8.0   2.4
71091  15.4  14.3   1.1   0.1   8.0   2.9
71092   8.3  10.2   5.7   0.0   8.1   5.0
71093  13.5  13.8   3.4   2.2   8.9   1.9
71094  19.1  18.0   4.1   0.0   8.2   1.9
71095  17.7  21.6  11.0   0.0   9.0   4.4
71096   9.0  15.7   8.7   0.2  10.0   1.9
71097  11.5  14.8   7.1   5.2   9.5   0.5
71098  20.9  20.0   4.3   0.1   8.4   1.9
71099  12.3  18.2   6.3   0.0   9.5   1.9
71100  10.2  16.3   8.8   2.6  10.5   1.9
71101   8.4  12.8   7.7   1.4  10.2   0.8
71102   8.5  13.5   8.5   0.5   8.7   3.7
71103   8.6  13.3   7.0   0.0   6.6   2.4
71104   8.6  10.3   6.6   0.0   6.6   8.6
71105  20.3   8.5   3.7   0.0   4.3   5.0
71106  24.8  12.8  -1.2   0.0   4.7   2.4
71107  24.8  16.4   0.2   0.0   6.1   2.4
71108  11.6  16.3   3.7   0.0   7.9   2.4
71109  25.0  16.5   4.9   0.0   5.8   5.0
71110  25.1  14.6   4.7   0.0   5.3   5.0
71111  25.6  18.6   1.4   0.0   5.4   1.9
71112  25.7  20.0   3.8   0.0   5.6   2.4
71113  21.1  21.3   4.8   0.0   6.5   2.4
71114  12.1  20.5  10.4   0.0   8.0   6.0
71115  11.6  16.1   9.5   1.7   8.0   9.4
71116  17.5  20.0   6.9   0.2   8.4   2.4
71117  26.0  21.4   6.0   0.0   8.2   1.2
71118  19.7  24.0   7.8   0.0   8.3   4.4
71119  23.2  19.7   7.1   0.0   8.8   2.9
71120  23.1  25.5   9.1   0.0  10.7   2.9
71121  25.8  28.0  11.6   0.0  11.6   5.0
71122  10.5  25.1  16.3   0.0  12.5   4.4
71123  23.9  26.4  11.3   1.5  12.2   2.9
71124  15.7  27.0  11.5   0.0  12.7   1.9
71125  22.9  24.6  12.0   0.4  11.4   3.7
71126   9.7  18.6  11.0  12.1  12.3   2.9
71127  16.5  16.4   9.5   8.4  10.7   2.9
71128  19.4  17.5   6.6   0.0  10.3   3.7
