DATE  SRAD  TMAX  TMIN  RAIN  VAPO  WIND
71001   2.8   2.0  -2.2   7.0   5.2   2.9
71002   2.8  -1.2  -4.3   1.1   4.5   0.8
71003   2.8  -3.2  -6.4   7.4   3.6   2.4
71004   4.8   0.0 -11.5   0.0   3.4   1.9
71005   2.8   5.0  -4.4   0.5   4.9   6.7
71006   2.8  -2.5  -5.4   2.4   4.0   1.2
71007   2.9  -1.0  -4.5   1.1   4.7   1.9
71008   3.1   0.6  -6.2   0.0   4.5   0.8
71009   2.9  -4.4  -7.6   0.0   4.0   0.8
71010   2.9  -4.8  -7.4   1.4   3.7   1.2
71011   3.0   0.0  -6.2   0.0   5.1   0.8
71012   3.4  -0.8 -11.3   0.0   3.1   0.1
71013   3.0  -4.0 -12.5   0.0   3.8   0.8
71014   4.1   3.0  -6.4   0.0   4.1   7.5
71015   7.6   2.9  -1.6   0.0   3.9  12.3
71016   6.7   6.3  -6.6   0.0   4.4   1.9
71017   6.6   0.8  -7.6   0.0   4.3   1.2
71018   3.2  -4.3  -7.0   0.0   3.9   0.8
71019   6.9   7.9  -7.5   0.0   4.9   2.4
71020   4.2  10.8   4.1   0.0   6.4   8.6
71021   3.3  11.0   6.5   0.0   6.9  11.4
71022   3.3  13.0   8.9   0.0   7.8  11.4
71023   3.4  11.4   7.4   0.1   9.9   4.4
71024   6.5  15.0   7.0   0.2   9.5   2.4
71025   8.4  14.4  -1.6   0.0   8.0   2.9
71026   4.5  13.0   3.2   0.0   9.2   3.7
71027   6.3  14.6   1.9   0.0   8.3   6.0
71028   6.6  11.4   2.4   5.1   8.4   3.7
71029   6.9  12.8  -0.6   5.2   8.0   1.2
71030   5.6  15.0   0.4   0.6   8.0   6.0
71031   6.1  14.7   8.2   0.0   6.9  13.3
71032   4.7  13.0   8.7   0.0   8.0  11.4
71033   3.8  10.0   0.0   0.0   6.5   6.7
71034   8.8   1.8  -4.5   0.0   3.8   4.4
71035   9.4   1.7  -5.6   4.7   4.4   0.8
71036   4.1  -1.2  -8.0   0.0   4.0   1.2
71037   5.6   3.6  -8.3   0.0   5.3   0.8
71038   4.1   4.6   0.3   0.0   6.5   0.8
71039   4.1   5.0   0.4   0.0   6.3   4.4
71040   4.2   4.0   0.8   0.0   5.9   1.2
71041   4.3   5.4  -0.9   0.0   6.3   0.8
71042  10.7   6.6  -5.2   0.0   4.7   2.9
71043  11.2   7.6  -9.3   0.0   4.5   0.5
71044  10.6  10.0  -6.5   0.0   5.1   0.8
71045   6.4  12.0   3.2   0.0   7.1   3.7
71046   5.8  13.3  -1.4   0.0   6.7   6.0
71047   6.3  11.7   6.5   0.0   7.6  11.4
71048   5.2  12.7   6.4   0.0   9.1   6.0
71049   4.7   7.3   4.6   8.0   8.9   3.7
71050  10.4  12.4  -1.2   2.6   7.1   1.9
71051   4.9   7.1  -2.2   0.0   8.0   0.8
71052   4.9   6.0   3.0   6.4   8.0   0.8
71053   5.0   7.4   3.0   0.4   7.8   0.5
71054   5.1   6.6   0.6   0.0   6.9   0.8
