DATE  SRAD  TMAX  TMIN  RAIN  VAPO  WIND
71001   6.0   4.7  -4.3  18.3   5.2   2.4
71002   3.0  -4.3  -8.9   1.8   3.5   2.4
71003   6.8   2.7 -10.5  15.4   3.3   0.5
71004   3.0  -1.7  -9.6   0.6   4.1   0.8
71005   3.3   3.2  -6.9   2.0   4.6   2.4
71006   3.1  -3.0  -8.0   2.8   3.2   1.2
71007   3.1  -6.4  -8.4   0.8   3.3   1.9
71008   3.1  -6.0  -7.1   0.1   3.5   1.9
71009   3.1  -5.4  -7.3   0.0   3.4   0.5
71010   3.2  -5.3  -8.1   1.9   3.4   0.8
71011   3.2  -5.1  -9.0   4.6   3.4   0.1
71012   3.2  -2.7  -6.6   0.0   4.2   0.0
71013   3.4  -2.5  -5.9   0.4   4.2   0.5
71014   3.3  -3.0  -6.7   0.0   4.1   0.5
71015   6.0  -2.4  -7.4   0.0   4.1   3.7
71016   5.3  -2.6  -7.4   0.0   4.0   2.9
71017   7.2  -2.2 -10.8   0.0   3.9   3.7
71018   8.2  -3.0 -10.5   0.0   3.5   2.9
71019   7.5   2.8 -10.5   0.0   4.6   6.7
71020   5.5   6.3   0.4   0.0   6.2   6.0
71021   3.5   6.8   3.2   0.0   6.0   8.6
71022   4.9   9.8   3.2   0.0   6.9   6.7
71023   4.6   7.1   2.6   1.4   6.6   2.9
71024   6.8   8.4   0.6   0.0   6.4   5.0
71025   9.4   9.3   2.4   0.0   6.7   4.4
71026   6.3   8.4   2.3   0.4   6.7   3.7
71027   8.8   8.6   0.5   0.0   5.8   9.4
71028   6.1   6.2   1.5   5.5   5.8   1.9
71029   9.9   7.6  -1.0   0.6   5.2   6.0
71030   6.8   9.0   1.2   0.0   6.2   4.4
71031   5.3  11.3   4.7   0.0   5.1   7.5
71032   8.3  10.6   2.9   0.0   6.5   3.7
71033   4.0   3.8  -7.7   7.6   4.5   3.7
71034   5.2  -6.2 -11.1   3.1   2.8   2.4
71035   4.1  -6.7 -11.2   1.7   3.2   2.4
71036   4.2  -5.8  -8.4   3.2   3.5   1.2
71037   4.2  -3.6  -7.0   0.0   4.0   1.2
71038   4.3  -2.6  -5.3   0.7   4.1   1.9
71039   4.4  -2.2  -4.6   0.0   4.2   2.9
71040   6.0   1.9  -4.1   0.1   5.3   1.9
71041   4.5   3.0  -0.6   0.0   5.4   1.9
71042  10.4   0.9  -2.6   0.0   4.5   1.9
71043  12.2   5.0  -6.6   0.0   3.9   4.4
71044  11.5   6.1  -3.7   0.0   4.5   3.7
71045  10.3   6.5  -1.9   0.0   5.0   3.7
71046  10.1   7.5  -0.9   0.0   5.6   2.4
71047   8.1   7.6   1.6   0.0   5.7   5.0
71048   4.9   4.4   0.0   0.0   5.9   2.9
71049   5.5   2.9  -0.2   6.5   6.1   3.7
71050   5.6   3.6  -0.7   0.9   6.2   2.4
71051   5.1  -0.7  -2.2  23.0   5.3   1.9
71052   5.1  -0.8  -2.2  22.0   5.3   1.2
71053   5.2  -0.9  -2.1   4.2   5.4   1.9
71054   5.3  -0.6  -2.4   6.0   5.4   1.2
71055   5.3  -2.1  -2.8   2.4   4.9   2.4
71056   5.8  -0.6  -4.3   2.8   4.9   0.8
71057  10.2   0.0  -7.2   0.4   4.5   3.7
71058  10.8  -3.1 -13.2   5.6   2.2   1.9
71059  13.9  -7.8 -17.5   0.0   2.1   2.4
71060   8.3  -6.0 -12.5   0.0   2.5   0.8
71061  10.4  -7.4 -11.1   4.0   2.5   1.9
71062   9.4  -6.6 -12.0   1.7   2.4   1.2
71063   5.8  -9.6 -11.9   0.3   2.6   1.9
71064   8.3 -10.0 -14.3   5.8   2.1   1.9
71065  10.9  -3.2 -14.8   2.5   3.0   1.9
71066   6.1  -3.0  -9.7   0.1   3.3   0.8
71067   6.1  -7.1 -10.2   4.7   2.9   2.4
71068   6.1  -3.9  -9.3   4.8   3.5   0.1
71069   9.7  -0.3  -5.6   0.6   3.9   2.4
71070  16.9   0.7  -9.6   0.0   2.9   3.7
71071  11.6  -3.9 -10.3   4.8   2.5   2.4
71072  15.6  -1.2 -16.5   0.6   2.2   7.5
71073  13.6   6.2  -6.3   0.0   3.1   3.7
71074   6.8   3.9  -1.2   0.0   6.0   3.7
71075   9.2   8.5   2.4   0.0   7.3   1.2
71076   7.1   6.0   0.6   0.0   6.9   1.2
71077  17.8   8.1  -0.8   0.0   5.3   3.7
71078  11.7   8.5   2.2   0.0   5.7  13.3
71079   6.9  10.9   4.6   0.0   6.0   7.5
71080  15.3  16.0   5.0   0.0   4.2   6.0
71081  10.0  11.8   3.6   0.0   7.4  12.3
71082  11.6   9.1  -1.2   3.3   5.4   4.4
71083   9.8   2.3  -4.3   6.8   4.2   1.2
71084  19.5   4.1  -3.3   0.0   4.0   1.2
71085  19.8   9.9  -3.4   0.0   4.3   1.9
71086   7.7   6.6   0.4   0.0   5.6   1.9
71087   7.4   2.0   0.7   4.5   6.6   3.7
71088   7.5   1.3  -1.4  21.4   5.8   2.9
71089   7.6   0.4  -1.8   8.5   5.7   1.9
71090   7.6   3.5  -0.7  12.1   6.5   1.9
71091  13.7   8.4   0.7   0.0   6.9   2.4
71092  10.3   9.5   1.7   2.4   6.6   5.0
71093  11.4  11.1   2.7   0.0   6.8   2.9
71094  16.2  15.0   3.0   0.0   6.6   5.0
71095  11.2  12.2   5.0   0.0   8.9   4.4
71096   8.0   6.6   3.7  17.8   8.2   1.9
71097  19.1  13.8   4.4  18.5   7.5   2.9
71098  21.2  15.3   5.0   0.0   8.2   2.9
71099  15.1  13.5   6.5   0.0   8.7   0.8
71100  15.6  13.5   5.4   0.0   9.1   2.4
71101  11.1  11.9   5.6   0.0   8.3   2.9
71102   9.2   7.9   3.8   8.9   7.1   2.9
71103  10.1   8.5   2.7   0.4   6.2   1.9
71104   9.7   3.9   0.2   2.1   5.6   2.4
71105  15.9   2.7  -1.8   0.8   4.1   1.9
71106  24.6  10.4  -3.8   0.0   4.0   2.4
71107  21.9  17.7   2.4   0.0   6.0   3.7
71108   8.8  10.2   5.0   0.0   6.7   1.2
