DATE  SRAD  TMAX  TMIN  RAIN  VAPO  WIND
71001   2.8  10.8  -1.9  10.9   4.6   4.4
71002   2.8  -1.6  -4.8   1.9   3.8   1.9
71003   2.9  -3.2  -6.3   5.0   3.2   2.4
71004   3.6   1.0  -8.2   0.0   3.6   0.1
71005   2.9   2.5  -5.2   0.8   4.4   2.4
71006   2.9  -4.0  -5.8  10.8   3.8   2.4
71007   2.9  -1.9  -4.4   0.9   4.4   0.5
71008   3.8   2.1  -3.6   0.0   4.5   1.2
71009   3.0  -3.6  -7.4   0.0   4.0   2.4
71010   3.0  -3.7  -6.5   1.1   3.8   0.8
71011   3.0   1.7  -5.0   0.2   5.1   1.9
71012   4.5   0.7  -4.4   0.2   4.7   0.1
71013   3.1  -3.5  -6.0   0.0   4.2   0.5
71014   3.6   2.2  -4.1   0.0   4.7   3.7
71015   7.2   3.0  -2.8   0.0   4.3   3.7
71016   3.2  -2.3  -5.4   0.0   4.2   0.1
71017   3.2  -3.6  -6.6   0.0   4.1   0.8
71018   3.2  -2.5  -4.8   0.0   4.5   0.8
71019   5.7   5.0  -4.7   0.0   5.3   0.8
71020   5.0  11.8   2.6   0.0   6.6   2.9
71021   3.3  10.0   4.9   0.0   7.6   6.7
71022   3.4  12.8   8.6   0.0   9.2   4.4
71023   3.4  12.1   6.5   2.1   9.9   2.4
71024   6.3  15.7   2.4   0.0   8.5   0.8
71025   8.1  14.8   1.8   0.0   8.2   0.8
71026   5.2  12.4   6.7   0.1   9.3   1.9
71027   7.6  16.0   3.9   0.4   7.6   2.9
71028   7.6  12.0   6.5  10.1   8.0   3.7
71029   6.6  12.4   2.8   0.8   7.5   1.9
71030   7.5  15.0   5.0   0.1   8.0   2.9
71031   7.6  14.9   6.6   0.0   7.3   6.0
71032   6.9  15.6   6.9   0.0   8.0   3.7
71033   3.9   9.8  -0.1   1.1   6.5   4.4
71034   6.3   0.9  -2.4   4.0   3.9   1.9
71035   7.7   1.3  -3.5   3.6   4.6   2.4
71036   7.3   1.4  -3.8   1.8   4.6   1.9
71037   4.1   2.9  -1.1   0.0   5.8   1.9
71038   4.1   3.5   1.3   0.0   6.1   2.4
71039   5.1   5.8   1.5   0.0   5.8   3.7
71040   4.7   7.0   2.5   0.0   6.9   2.4
71041   4.3   7.0   4.0   0.0   7.3   1.9
71042  11.4   7.7  -0.4   0.0   4.9   1.9
71043  11.5   8.4  -2.0   0.0   4.9   0.8
71044  10.2  11.7  -1.2   0.0   5.8   0.8
71045   4.6  11.0   4.5   0.0   7.3   1.9
71046   7.0  12.7   5.0   1.6   7.5   2.4
71047   8.9  13.4   5.3   0.0   7.6   6.7
71048   6.4  12.0   4.8   0.0   8.7   2.9
71049   4.8   7.6   5.0  13.0   8.1   2.9
71050   5.3   8.7   3.0   1.6   7.6   1.2
71051   4.9   6.5   2.8   0.3   7.6   2.4
71052   5.0   6.3   3.4   6.7   7.3   1.2
71053   5.0   6.8   3.9   0.3   7.6   0.8
71054   5.2   7.7   3.1   0.2   6.8   1.9
71055   5.2   4.2   1.3   0.0   6.6   1.9
71056   8.4   7.4   2.4   0.0   5.6   1.2
71057   9.3   9.1   0.2   0.9   5.6   2.9
71058  10.4   0.2  -5.1   1.8   3.3   1.9
71059   8.7   0.6  -6.6   0.3   3.4   1.9
71060   5.4   0.5  -5.5   0.1   4.3   1.2
71061   5.5   0.0  -5.3   0.1   4.0   0.5
