DATE,SRAD,TMAX,TMIN,RAIN,VAPO,WIND,q,TAVG,RH,dewpoint,lcl,tendt,tendq,bowen,R2,R1
1971001,2.8,10.8,-1.9,10.9,4.6,4.4,0.0028237848507278555,4.45,0.5451021959619823,-3.927198165371675,1036.2869883063097,,,,0.41090321244751493,0.3534221508078481
1971002,2.8,-1.6,-4.8,1.9,3.8,1.9,0.0023326918332099676,-3.2,0.7847748574583784,-6.409158191745363,446.81816331471566,-8.880729166666665e-05,-1.2878147051566739e-05,,0.7878481319138884,0.6971257041760043
1971003,2.9,-3.2,-6.3,5.0,3.2,2.4,0.001964372070071552,-4.75,0.7424436049899633,-8.631235713806221,551.0790632988312,-1.7993634259259255e-05,-9.658610288675042e-06,1.8629630683367806,0.7913563171185514,0.6609664250342789
1971004,3.6,1.0,-8.2,0.0,3.6,0.1,0.002209918578830496,-3.5999999999999996,0.7660152648523832,-7.1131916369599075,489.83088283534664,1.3350115740740745e-05,6.439073525783369e-06,2.0732976083102868,0.5025530642897328,0.5466297368702799
1971005,2.9,2.5,-5.2,0.8,4.4,2.4,0.002701011596348384,-1.35,0.7922464605460936,-4.48267724868043,409.80848573688917,2.611979166666666e-05,1.2878147051566739e-05,2.0282259211731053,0.5682724152621789,0.5999150770068604
1971006,2.9,-4.0,-5.8,10.8,3.8,2.4,0.0023326918332099676,-4.9,0.8920693337167095,-6.401664673716586,262.51111981970837,-4.121122685185185e-05,-9.658610288675066e-06,4.266786382319713,0.8728058883844728,0.8336214351295778
1971007,2.9,-1.9,-4.4,0.9,4.4,0.5,0.002701011596348384,-3.1500000000000004,0.9056264173761355,-4.473587341576893,214.48049734155524,2.0315393518518516e-05,9.658610288675066e-06,2.10334539973507,0.8301006732461538,0.8255145948380973
1971008,3.8,2.1,-3.6,0.0,4.5,1.2,0.00276239822353812,-0.75,0.7752938341266588,-4.186381836283784,438.0329895502084,2.7861111111111112e-05,1.6097683814458424e-06,,0.659516942600807,0.6311614931399082
1971009,3.0,-3.6,-7.4,0.0,4.0,2.4,0.00245546508758944,-5.5,0.9829994172381104,-5.725521804355021,114.73532151285112,-5.51417824074074e-05,-8.048841907229211e-06,,0.749263790633886,0.8518655206061405
1971010,3.0,-3.7,-6.5,1.1,3.8,0.8,0.0023326918332099676,-5.1,0.9057246860631215,-6.400838038867117,240.82113813248637,4.643518518518522e-06,-3.219536762891696e-06,-1.4422939883897603,0.8089804293204066,0.8151462383959517
1971011,3.0,1.7,-5.0,0.2,5.1,1.9,0.003130717986676535,-1.65,0.9392672432854446,-2.4987645195271706,132.51302315615197,4.005034722222221e-05,2.0926988958795938e-05,1.9138131769018032,0.6108227817124876,0.7365962339196583
1971012,4.5,0.7,-4.4,0.2,4.7,0.1,0.002885171477917592,-1.85,0.8782914853512035,-3.598562008509824,246.9055453976197,-2.321759259259261e-06,-6.439073525783346e-06,0.3605734970974427,0.6867255955095642,0.729275222324298
1971013,3.1,-3.5,-6.0,0.0,4.2,0.5,0.002578238341968912,-4.75,0.975056964230976,-5.084168666001321,116.88141934191769,-3.366550925925926e-05,-8.048841907229211e-06,4.182652566330316,0.8280245295295513,0.8876998294278367
1971014,3.6,2.2,-4.1,0.0,4.7,3.7,0.002885171477917592,-0.9499999999999997,0.8218425901422088,-3.6034018002075774,344.6151982089247,4.4113425925925927e-05,8.048841907229211e-06,,0.6307558695500162,0.654664657786105
1971015,7.2,3.0,-2.8,0.0,4.3,3.7,0.0026396249691586476,0.10000000000000009,0.696065081639155,-4.796474071575276,606.0808371615574,1.2189236111111109e-05,-6.4390735257833804e-06,-1.8930108597615618,0.6566519300539015,0.5654637261203312
1971016,3.2,-2.3,-5.4,0.0,4.2,0.1,0.002578238341968912,-3.85,0.9109772158902009,-5.0881120272723495,214.55768801723835,-4.5854745370370363e-05,-1.6097683814458311e-06,,0.7927458819844135,0.8117096354564366
1971017,3.2,-3.6,-6.6,0.0,4.1,0.8,0.0025168517147791756,-5.1,0.9774096870594705,-5.40144076520894,118.10614103882405,-1.4510995370370364e-05,-1.6097683814458538e-06,,0.7968226232685975,0.8731076241333439
1971018,3.2,-2.5,-4.8,0.0,4.5,0.8,0.00276239822353812,-3.65,0.9616549262451096,-4.171639723871453,123.26805127994102,1.6832754629629625e-05,6.4390735257833804e-06,2.614157853956442,0.8419573492350185,0.8827615553588614
1971019,5.7,5.0,-4.7,0.0,5.3,0.8,0.0032534912410560075,0.1499999999999999,0.8553440876590678,-1.9869558370439895,265.719649228644,4.411342592592592e-05,1.2878147051566729e-05,3.4254482224256924,0.49494453108593167,0.6059811860953047
1971020,5.0,11.8,2.6,0.0,6.6,2.9,0.004051517394522575,7.2,0.6462052667584552,0.980092528460545,774.7686081193978,8.184201388888889e-05,2.092698895879595e-05,3.910835622364553,0.5325760674467868,0.4743201522020377
1971021,3.3,10.0,4.9,0.0,7.6,6.7,0.004665383666419935,7.45,0.7318241476855235,2.961973508215605,560.9247637228075,2.9021990740740736e-06,1.6097683814458422e-05,0.1802867485487205,0.7057610053131598,0.6158918953730118
1971022,3.4,12.8,8.6,0.0,9.2,4.4,0.005647569701455711,10.7,0.7104139836834957,5.666862223453216,631.2293580248953,3.7728587962962946e-05,2.5756294103133478e-05,1.4648298319583537,0.7560246851371156,0.6184167006957808
1971023,3.4,12.1,6.5,2.1,9.9,2.4,0.006077276091783864,9.3,0.8409210990180519,6.752513451927961,320.3504779445908,-1.6252314814814794e-05,1.126837867012092e-05,-1.4422939883897596,0.6858676428465101,0.6978824925787535
1971024,6.3,15.7,2.4,0.0,8.5,0.8,0.005217863311127559,9.049999999999999,0.733779331877631,4.543226463506383,564.4668079649656,-2.9021990740740944e-06,-2.2536757340241815e-05,0.12877624896337259,0.40745328043378687,0.47395595746773056
1971025,8.1,14.8,1.8,0.0,8.2,0.8,0.005033703429558351,8.3,0.7450153066507642,4.035940317307991,533.756355827122,-8.7065972222222e-06,-4.829305144337527e-06,1.8028674854872007,0.41362769384825,0.4846390963236264
1971026,5.2,12.4,6.7,0.1,9.3,1.9,0.005708956328645448,9.55,0.7763425942967003,5.83758928216511,465.98254287471843,1.4510995370370369e-05,1.770745219590429e-05,0.8194852206760013,0.6817804253850145,0.6424102708299082
1971027,7.6,16.0,3.9,0.4,7.6,2.9,0.004665383666419935,9.95,0.6167850448185279,2.9351631893892662,875.7001658594698,4.643518518518502e-06,-2.736606248457934e-05,-0.1696816456929127,0.44444415825794154,0.41518900191950575
1971028,7.6,12.0,6.5,10.1,8.0,3.7,0.00491093017517888,9.25,0.6810516046514731,3.6727515239757857,697.3761711151434,-8.126157407407397e-06,6.439073525783392e-06,-1.2620072398410378,0.6904013715300084,0.5670301552951575
1971029,6.6,12.4,2.8,0.8,7.5,1.9,0.0046039970392302,7.6,0.714715915217145,2.772759186504921,603.0759517462855,-1.915451388888889e-05,-8.048841907229211e-06,2.3797850808431114,0.5192612717907797,0.518258871448485
1971030,7.5,15.0,5.0,0.1,8.0,2.9,0.00491093017517888,10.0,0.6472102694358117,3.6642040692598035,791.9451234678615,2.7861111111111112e-05,8.048841907229211e-06,3.461505572135434,0.5118082211891067,0.46608786223650267
1971031,7.6,14.9,6.6,0.0,7.3,6.0,0.004481223784850728,10.75,0.5611425324896306,2.3559990444724153,1046.4265801598162,8.70659722222222e-06,-1.1268378670120896e-05,-0.7726574937802307,0.5754542331134361,0.42759950758897447
1971032,6.9,15.6,6.9,0.0,8.0,3.7,0.00491093017517888,11.25,0.5948584628106951,3.6490794757477194,949.5254326876035,5.804398148148147e-06,1.1268378670120896e-05,0.5151049958534872,0.5615975821959994,0.4479872067942568
1971033,3.9,9.8,-0.1,1.1,6.5,4.4,0.00399013076733284,4.8500000000000005,0.7497229051758435,0.7883573471503269,506.3065576226977,-7.429629629629629e-05,-2.4146525721687638e-05,3.076893841898163,0.5011250503655952,0.5343971152838078
1971034,6.3,0.9,-2.4,4.0,3.9,1.9,0.002394078460399704,-0.75,0.6716732470943029,-6.080944258763931,670.6136729266756,-6.500925925925926e-05,-4.185397791759191e-05,1.5532396798043608,0.7858704059341419,0.5959216637956455
1971035,7.7,1.3,-3.5,3.6,4.6,2.4,0.0028237848507278555,-1.1,0.8132350171343593,-3.8907121649198055,363.8647640846723,-4.0630787037037044e-06,1.1268378670120885e-05,-0.3605734970974414,0.7036154665679948,0.6833442191917054
1971036,7.3,1.4,-3.8,1.8,4.6,1.9,0.0028237848507278555,-1.2,0.8192478879828197,-3.8901669211162297,353.0111027486166,-1.160879629629628e-06,0.0,,0.6830837441696253,0.6784852241390501
1971037,4.1,2.9,-1.1,0.0,5.8,1.9,0.003560424377004688,0.8999999999999999,0.8866319330885274,-0.7590741155720845,206.64980380990193,2.4378472222222218e-05,1.931722057735012e-05,1.2620072398410427,0.749647364008576,0.7685708693234391
1971038,4.1,3.5,1.3,0.0,6.1,2.4,0.003744584258573896,2.4,0.837080303449399,-0.07404614375144658,308.30027984429245,1.741319444444444e-05,4.829305144337527e-06,3.6057349709744098,0.8550897617346513,0.7743281438698426
