DATE,SRAD,TMAX,TMIN,RAIN,VAPO,WIND,q,TAVG,RH,dewpoint,lcl,tendt,tendq,bowen,R2,R1
1971001,3.0,11.2,-0.2,13.0,6.3,0.5,0.0038673575129533674,5.5,0.6941614954341625,0.3484612676313825,641.4899028467992,,,,0.4531493474880202,0.47153701115768093
1971002,3.0,0.6,-3.7,1.7,4.7,0.5,0.002885171477917592,-1.55,0.8590121473492519,-3.600143662473031,279.4775402628725,-8.184201388888888e-05,-2.5756294103133468e-05,3.1775539431712003,0.7290064356180143,0.7344713846022962
1971003,3.0,-2.4,-4.4,1.3,4.3,0.0,0.0026396249691586476,-3.4000000000000004,0.901720234472835,-4.778108628760045,224.99145368861494,-2.147627314814815e-05,-6.4390735257833804e-06,3.335304848151324,0.8613317291402363,0.8371283376391387
1971004,3.0,-0.6,-4.4,0.1,4.7,0.0,0.002885171477917592,-2.5,0.9217272709376684,-3.595240369898713,176.32494933206067,1.044791666666667e-05,6.4390735257833804e-06,1.6225807369384824,0.7546344692995841,0.8015907690654588
1971005,5.4,5.6,-1.6,0.6,5.5,1.9,0.0033762644954354803,1.9999999999999998,0.7764418946135946,-1.4939776662036464,434.4345137847638,5.223958333333333e-05,1.287814705156675e-05,4.056451842346208,0.5980309331857377,0.6027092289731217
1971006,3.1,-0.8,-4.6,0.3,4.1,0.0,0.0025168517147791756,-2.6999999999999997,0.8158309245710892,-5.41222191070913,378.4834477011457,-5.4561342592592575e-05,-2.2536757340241815e-05,2.420993480511387,0.7542814829326748,0.7093327953822246
1971007,3.1,-1.6,-3.9,1.6,4.5,0.0,0.00276239822353812,-2.75,0.8989910696150908,-4.175916556717209,220.97848498892702,-5.804398148148178e-07,6.4390735257833804e-06,-0.09014337427436057,0.8430389484888411,0.825764675245693
1971008,3.1,-0.7,-2.4,0.1,4.7,0.0,0.002885171477917592,-1.5499999999999998,0.8590121473492519,-3.600143662473031,279.4775402628725,1.3930555555555556e-05,3.2195367628916847e-06,4.326881965169293,0.8825404487967021,0.8071642815046561
1971009,3.1,-1.2,-4.2,0.0,4.5,0.1,0.00276239822353812,-2.7,0.8956446628336446,-4.176161736942302,226.40612234853901,-1.3350115740740745e-05,-3.2195367628916847e-06,4.1465952166205735,0.80042039551991,0.8018551862676053
1971010,3.2,-2.4,-5.3,7.0,4.4,0.0,0.002701011596348384,-3.8499999999999996,0.954474570171869,-4.470335034691564,138.49404054492518,-1.3350115740740735e-05,-1.6097683814458424e-06,,0.80471476859646,0.8567829277558615
1971011,3.2,0.1,-6.2,8.1,4.2,0.5,0.002578238341968912,-3.0500000000000003,0.8579130901407632,-5.09182219660265,301.35802924219223,9.28703703703703e-06,-3.2195367628916847e-06,-2.884587976779526,0.6256760910159253,0.6806941669505718
