DATE,SRAD,TMAX,TMIN,RAIN,VAPO,WIND,q,TAVG,RH,dewpoint,lcl,tendt,tendq,bowen,R2,R1
1971001,3.4,4.0,-2.5,1.6,4.4,3.7,0.002701011596348384,0.75,0.6793902799219805,-4.4947274445449334,649.3027326674626,,,,0.6257060963595369,0.5390875152252143
1971002,2.9,-2.2,-5.8,2.2,3.7,1.2,0.002271305206020232,-4.0,0.8113942847352127,-6.754234687148628,402.798824963576,-5.51417824074074e-05,-1.1268378670120896e-05,4.8934974606081285,0.7633378467982661,0.7096285376358089
1971003,5.0,-2.0,-10.6,15.0,2.7,0.0,0.0016574389341228722,-6.3,0.7048442528743921,-10.78737257074746,645.9136134035056,-2.670023148148148e-05,-1.6097683814458422e-05,1.6586380866482286,0.5179477046141052,0.5103003367805371
1971004,3.2,0.2,-14.0,0.2,3.8,0.0,0.0023326918332099676,-6.9,1.0395809140343724,-6.393882459973453,45.53783222203897,-6.965277777777783e-06,1.7707452195904255e-05,-0.39335290592448174,0.33540721006026597,0.6120161942142847
1971005,2.9,-2.3,-5.8,3.1,3.6,0.8,0.002209918578830496,-4.05,0.7923964439473958,-7.1111908134992134,441.0721234346917,3.308506944444444e-05,-3.219536762891673e-06,,0.7690018562637371,0.6955415149594473
1971006,2.9,-2.3,-5.7,1.8,3.7,0.0,0.002271305206020232,-4.0,0.8113942847352127,-6.754234687148628,402.798824963576,5.804398148148128e-07,1.6097683814458424e-06,0.36057349709743974,0.7748777756389058,0.7148940210269393
1971007,3.0,-1.5,-4.3,0.5,4.4,0.0,0.002701011596348384,-2.9,0.8888563385574665,-4.474786096465441,241.61478456902225,1.2769675925925925e-05,1.1268378670120896e-05,1.1332309908776719,0.8121083370711129,0.801496309097726
1971008,3.0,0.2,-3.5,1.0,4.6,0.5,0.0028237848507278555,-1.65,0.8469214547953637,-3.8877570135609525,304.1667958781721,1.4510995370370369e-05,3.219536762891673e-06,4.50716871371803,0.7617103328439137,0.7399292146201962
1971009,3.0,-1.2,-5.2,0.0,4.4,0.0,0.002701011596348384,-3.2,0.9090222707612171,-4.473349970738431,209.0534110367615,-1.799363425925926e-05,-3.219536762891673e-06,,0.7422494913637608,0.7841301984907906
1971010,3.0,-1.4,-6.6,0.7,3.8,0.8,0.0023326918332099676,-4.0,0.8333751345471697,-6.405525454599603,360.09777934923375,-9.287037037037035e-06,-9.658610288675066e-06,0.9615293255931747,0.676987312497818,0.6871481912967082
1971011,3.1,-1.1,-6.7,2.2,4.1,0.0,0.0025168517147791756,-3.9000000000000004,0.8925856596002761,-5.406615074972482,248.31917675191463,1.1608796296296255e-06,4.829305144337527e-06,0.24038233139829315,0.6571993356277096,0.7253768176537034
1971012,3.1,-0.4,-8.6,0.0,4.1,0.0,0.0025168517147791756,-4.5,0.9339329922535385,-5.403975733665905,183.2192046594909,-6.965277777777773e-06,0.0,,0.5391035348757443,0.689371562140355
