DATE,SRAD,TMAX,TMIN,RAIN,VAPO,WIND,q,TAVG,RH,dewpoint,lcl,tendt,tendq,bowen,R2,R1
1971001,6.0,4.7,-4.3,18.3,5.2,2.4,0.0031921046138662715,0.20000000000000018,0.8361003588300893,-2.2460401031558423,304.0143494336348,,,,0.5208717242471873,0.6070705012732643
1971002,3.0,-4.3,-8.9,1.8,3.5,2.4,0.00214853195164076,-6.6,0.9354586344376641,-7.467056657181364,209.43806528929383,-7.89398148148148e-05,-2.7366062484579307e-05,2.8845879767795295,0.7027887378588498,0.7855621563408993
1971003,6.8,2.7,-10.5,15.4,3.3,0.5,0.0020257586972612877,-3.9,0.7180690755806208,-8.23888383709682,594.8770363363507,3.134374999999999e-05,-3.219536762891696e-06,,0.37155104118034565,0.443708329068789
1971004,3.0,-1.7,-9.6,0.6,4.1,0.8,0.0025168517147791756,-5.6499999999999995,1.019236825523623,-5.399205638646574,58.40690260932194,-2.031539351851851e-05,1.2878147051566739e-05,-1.577509049801304,0.5482618726780162,0.7584665908768363
1971005,3.3,3.2,-6.9,2.0,4.6,2.4,0.0028237848507278555,-1.85,0.8595515148265198,-3.886708566208406,282.4566568145058,4.411342592592591e-05,8.048841907229211e-06,,0.47496497076669214,0.5970095283350266
1971006,3.1,-3.0,-8.0,2.8,3.2,1.2,0.001964372070071552,-5.5,0.786012578345997,-8.628219166567964,469.8667373038777,-4.2372106481481476e-05,-2.253675734024178e-05,1.880133234865229,0.6839715357307197,0.6513507343478168
1971007,3.1,-6.4,-8.4,0.8,3.3,1.9,0.0020257586972612877,-7.4,0.9380799999462942,-8.225226022643405,215.70212754667412,-2.2056712962962963e-05,1.6097683814458311e-06,,0.8569492770640411,0.8686791930969795
1971008,3.1,-6.0,-7.1,0.1,3.5,1.9,0.00214853195164076,-6.55,0.9318670955489351,-7.467240651136702,214.8596297062071,9.867476851851858e-06,3.219536762891696e-06,3.06487472532824,0.9191573343959792,0.8934934940423697
1971009,3.1,-5.4,-7.3,0.0,3.4,0.5,0.002087145324451024,-6.35,0.891379199338529,-7.84351481435153,282.4453941000165,2.321759259259261e-06,-1.6097683814458424e-06,-1.4422939883897654,0.8647095191866526,0.8291327338798696
1971010,3.2,-5.3,-8.1,1.9,3.4,0.8,0.002087145324451024,-6.699999999999999,0.9156974643593017,-7.842226524058211,244.50535153972896,-4.0630787037036985e-06,0.0,,0.8066584506727905,0.8229485576306947
1971011,3.2,-5.1,-9.0,4.6,3.4,0.1,0.002087145324451024,-7.05,0.9407516263855469,-7.840968768997781,206.55983259924005,-4.0630787037037095e-06,0.0,,0.7407006170017454,0.8106508799309995
1971012,3.2,-2.7,-6.6,0.0,4.2,0.0,0.002578238341968912,-4.65,0.9676964757708919,-5.0845951325554015,127.73578077917651,2.7861111111111102e-05,1.2878147051566739e-05,2.1634409825846457,0.7451597995365944,0.8363447856015782
1971013,3.4,-2.5,-5.9,0.4,4.2,0.5,0.002578238341968912,-4.2,0.9353262830183315,-5.086550133599988,176.57588370362797,5.223958333333335e-06,0.0,,0.7745473402705324,0.823912755363983
1971014,3.3,-3.0,-6.7,0.0,4.1,0.5,0.0025168517147791756,-4.85,0.9590280460188979,-5.40248455255182,145.238232607816,-7.545717592592585e-06,-1.6097683814458538e-06,4.687455462266696,0.7561331856067293,0.8348356888950473
1971015,6.0,-2.4,-7.4,0.0,4.1,3.7,0.0025168517147791756,-4.9,0.9626735604318442,-5.402274383434317,139.81200543727678,-5.80439814814823e-07,0.0,,0.6852778993013572,0.7984951522224477
1971016,5.3,-2.6,-7.4,0.0,4.0,2.9,0.00245546508758944,-5.0,0.9462936349644074,-5.727565389787588,168.99183498156106,-1.1608796296296255e-06,-1.6097683814458311e-06,0.7211469941948846,0.6955065760906585,0.7906239973901563
1971017,7.2,-2.2,-10.8,0.0,3.9,3.7,0.002394078460399704,-6.5,1.0346357772201682,-6.0546651478408595,47.119719365068484,-1.741319444444444e-05,-1.6097683814458424e-06,,0.517372490110686,0.7486614260995101
1971018,8.2,-3.0,-10.5,0.0,3.5,2.9,0.00214853195164076,-6.75,0.9463254343898554,-7.4665084411323495,193.17270376365119,-2.9021990740740736e-06,-6.439073525783369e-06,0.4507168713718013,0.5622145427714653,0.7128075032896299
