DATE  SRAD  TMAX  TMIN  RAIN  VAPO  WIND
71001   3.0  13.5   0.0   9.6   6.3   2.9
71002   3.0   0.6  -2.4   2.6   4.9   2.4
71003   3.0  -0.3  -3.0   3.4   4.9   2.9
71004   3.5   0.6  -4.0   0.0   5.0   1.9
71005   3.7   5.5  -1.1   0.3   6.2   1.9
71006   3.1   2.2  -4.0   1.4   4.4   2.4
71007   3.1  -1.6  -3.9   2.6   4.7   0.5
71008   3.1  -0.5  -2.3   0.0   4.7   2.4
71009   3.2  -1.8  -5.2   0.0   4.3   1.9
71010   3.2  -3.3  -5.4  11.7   4.1   2.4
71011   3.2   0.3  -5.4   4.5   4.5   0.8
71012   3.2   1.5  -2.7   1.6   5.1   0.0
71013   3.3   0.3  -3.7   1.3   4.6   0.5
71014   3.3   1.6  -5.1   0.0   4.8   2.9
71015   3.3   1.9  -4.0   0.8   4.5   1.9
71016   4.9   3.4 -12.6   0.0   3.6   0.5
71017   5.1   3.4 -10.4   0.0   3.9   0.5
71018   4.4  -1.5  -9.5   0.0   3.9   0.5
71019   3.5  -1.5  -8.3   0.0   3.9   0.8
71020   7.1   8.6  -9.3   0.0   5.9   0.1
71021   3.5  11.0   0.6   0.0   7.6   1.2
71022   3.6  13.8   6.0   0.0   9.1   2.9
71023   3.6  12.4   7.3   2.3  10.8   1.2
71024   6.0  16.8   3.0  11.0   8.9   1.2
71025   7.4  16.9   2.9   0.0   9.3   1.2
71026   4.0  14.0   3.9   0.0   8.8   0.5
71027   8.9  15.1   2.8   0.3   7.2   3.7
71028   6.7  13.3   4.3   2.0   8.0   3.7
71029   9.9  14.3  -2.2   0.0   6.7   1.2
71030   6.4  14.4  -0.5   0.0   7.4   2.4
71031   4.8  13.1   2.6   0.0   7.8   2.9
71032   5.8  13.6   6.4   0.0   8.6   2.4
71033   4.1   9.6  -0.6   5.9   6.7   3.7
71034   8.0   0.5  -3.3  10.6   3.9   4.4
71035   4.2   0.9  -4.2   0.6   4.6   1.9
71036   4.2   0.3  -3.3   0.1   4.6   1.9
71037   4.3   1.6  -1.0   0.0   5.7   0.8
71038   4.3   3.6  -0.2   0.2   6.0   1.9
71039   4.4   5.2   0.4   0.0   5.7   2.9
71040   4.4   6.5   3.4   0.0   6.9   3.7
71041   4.6   8.0   3.4   1.4   7.8   1.2
71042  11.4   7.6  -1.5   2.0   5.4   1.2
71043  10.8   8.4  -5.1   0.0   5.1   1.2
71044  10.6  11.4  -4.4   0.0   5.8   1.2
71045  10.5  13.4  -2.8   0.0   6.1   0.8
71046   8.4  13.6  -0.5   0.0   7.8   2.4
71047   6.9  15.4   5.1   0.7   8.5   3.7
71048   4.9  10.4   5.0   0.0   9.5   2.9
71049   5.0   6.4   4.1  12.9   8.3   1.9
71050   6.7  12.6   1.0   5.7   8.2   0.8
71051   5.1   8.7   3.8   3.0   7.7   2.9
71052   5.2   5.1   1.6   2.5   6.6   1.9
71053   5.2   4.1   2.4   0.6   7.2   0.8
71054   5.3   5.0   2.1   1.4   7.4   0.5
71055   5.3   5.0   2.6   0.9   6.4   1.9
71056   5.4   5.0   1.0   0.0   6.4   1.2
71057   9.2   6.9  -1.9   0.0   6.2   2.4
71058   9.5   1.4  -7.0   2.2   3.2   3.7
71059  13.7  -0.5  -7.4   0.0   2.8   3.7
71060   8.9   0.5  -8.6   0.0   3.7   1.9
71061   5.7   0.4  -4.3   0.0   4.0   2.4
71062   5.7  -1.0  -4.8   1.0   4.0   2.9
71063   5.8  -3.3 -11.9   0.0   3.8   2.9
71064   6.7  -4.2  -7.4   7.0   3.2   2.4
