DATE  SRAD  TMAX  TMIN  RAIN  VAPO  WIND
71001   4.0  12.4  -0.3  10.3   6.2   2.9
71002   3.1   1.3  -0.7   0.4   5.9   0.1
71003   4.8  12.0  -2.4   2.4   6.0   3.7
71004   5.8   3.6  -3.7   0.9   4.7   0.1
71005   5.4   9.7  -0.7   1.0   6.5   2.9
71006   3.1   5.4  -4.0   1.3   4.1   3.7
71007   3.2  -0.6  -3.4   0.3   4.4   2.9
71008   3.2   0.5  -2.1   0.0   4.4   5.0
71009   3.2  -1.6  -4.9   0.0   4.0   5.0
71010   3.2  -2.5  -4.8   2.4   4.0   2.9
71011   3.8   1.1  -4.2   1.7   4.3   0.8
71012   3.3   0.4  -2.3   1.8   4.9   0.1
71013   3.3   0.1  -4.2   0.5   4.3   0.1
71014   3.4   2.9  -4.7   0.0   4.9   5.0
71015   6.9   3.4  -0.9   0.0   4.1   5.0
71016   7.2   4.0  -3.6   0.0   4.4   1.2
71017   7.3   6.4  -5.9   0.0   4.6   0.5
71018   7.0   6.7  -4.4   0.0   5.1   0.1
71019   6.4   4.9  -4.3   0.0   5.3   0.1
71020   5.7  11.4  -2.9   0.0   6.2   0.5
71021   3.7  11.6   0.2   0.0   7.4   1.2
71022   3.6  13.6   3.8   0.0   8.8   0.5
71023   3.7  10.9   6.8   2.8   9.6   0.1
71024   8.4  17.6   4.0   1.9   9.7   0.5
71025   6.4  16.6   6.5   0.0   9.9   0.5
71026   5.1  14.9   5.7   0.0   9.7   0.0
71027   9.8  15.6   0.2   0.0   8.0   0.8
71028   4.5  11.1   2.6   0.4   7.3   1.2
71029  10.0  14.8  -1.2   0.0   6.9   0.0
71030   7.5  14.2   0.2   0.0   6.6   0.8
71031   6.0  14.6   3.4   0.0   7.4   0.1
71032   4.3  13.3   3.2   0.0   7.9   1.2
71033   4.1  10.7  -1.3   6.8   7.0   6.7
71034   7.0  -0.6  -2.9  12.9   3.8   3.7
71035   4.3   0.4  -3.5   0.5   4.2   1.2
71036   8.7   0.6  -4.4   0.0   4.5   2.9
71037   4.3   1.2  -1.4   0.0   5.3   2.4
71038   4.4   2.8   0.2   0.0   5.9   1.2
71039   5.1   5.1   0.4   0.0   5.8   0.5
71040   4.5   5.6   2.7   0.0   7.0   1.9
71041   4.5   7.2   2.5   1.7   8.0   0.8
71042  10.6   7.3  -0.3   0.1   5.7   0.8
71043  11.1   9.1  -4.7   0.0   5.0   0.5
71044  11.7  11.9  -4.0   0.0   5.5   0.0
71045   9.5  12.6  -2.7   0.0   5.9   0.1
71046   9.2  13.8  -1.4   0.0   7.0   0.8
71047   7.7  15.4   5.7   0.0   8.4   2.4
71048   4.9  11.2   5.5   0.0   9.1   2.9
71049   5.0   5.5   3.0  12.6   7.9   0.1
71050   9.0  13.2   1.2  12.3   8.2   1.9
71051   5.1   9.0   4.0   3.3   6.9   3.7
71052   5.2   4.6   1.9   0.2   6.2   1.9
71053   5.2   3.7   2.0   0.0   6.9   0.8
71054   5.3   3.1   0.5   9.6   7.0   0.0
71055   5.4   5.5   2.0   1.6   6.1   1.9
71056   5.4   4.8   1.2   0.0   6.2   0.8
71057   7.7   6.3  -0.6   0.0   6.3   0.5
71058  12.5   0.6  -5.2   5.2   3.1   4.4
71059  12.3  -0.9  -7.5   0.0   2.7   0.8
71060  12.2   1.0  -8.8   0.0   3.2   1.2
71061   6.6   0.1  -4.6   0.0   3.8   2.4
71062   7.3  -0.4  -4.6   0.2   4.1   2.9
71063   5.8  -1.5  -8.5   0.0   4.0   1.2
71064   8.9  -2.6  -7.0  13.2   3.1   3.7
71065   8.3  -0.5  -7.6   7.4   3.6   0.5
71066   6.1   0.8  -9.7   2.4   4.2   0.1
71067   6.1  -0.8  -4.3   0.1   4.3   1.9
71068   6.2   0.4  -3.4   7.6   5.2   0.5
71069   6.2   1.6  -1.8   7.8   5.7   0.1
71070  15.5   5.2  -4.6   0.8   3.9   0.5
71071   9.3   1.7  -5.7   0.5   4.0   3.7
71072  17.9   1.0  -9.6   0.0   3.0   0.1
71073  16.8   6.2  -8.0   0.0   4.0   0.5
71074   8.0   9.4   1.2   0.6   7.4   0.8
71075  12.0  15.4   3.1   2.9   8.8   0.1
71076   6.7  10.4   5.3   1.0   9.7   0.0
71077  11.3  14.0   5.7   7.6   9.4   0.5
71078  11.9  17.0   2.0   0.1   7.6   1.2
71079  14.5  20.5   6.0   0.0   8.0   1.2
71080  15.0  22.0   3.8   0.0   8.0   1.2
71081  11.2  21.4   9.8   0.5   9.9   1.2
71082  12.7  18.0   6.5   2.4   7.3   6.0
71083  16.8  10.0   3.1   0.0   5.5   1.9
71084  18.4  12.3  -1.0   0.0   5.4   0.8
71085  18.7  15.4  -2.4   0.0   5.7   0.8
71086  15.1  15.0   3.7   0.0   7.9   1.2
71087   8.2  10.7   7.2   4.3   8.8   3.7
71088   8.9  12.2   6.2   4.2   9.2   2.9
71089   7.6   7.3   2.1  12.8   7.3   2.9
71090   9.3  11.6   1.7  13.5   8.8   2.4
71091  13.9  14.8   3.1   0.0   8.7   3.7
71092   9.4  12.1   7.1   0.8   8.8   5.0
71093  17.1  17.3   7.5   0.0   9.2   2.9
71094  19.0  20.7   5.1   0.0   9.4   0.8
71095  14.6  23.8  10.4   0.0  11.0   1.9
71096  11.2  16.7   9.3   6.4  10.9   0.8
71097  12.9  18.0   9.0  12.5  11.6   0.1
71098  21.2  19.6   4.5   0.3  10.8   1.9
71099  13.4  17.7  10.1   0.0  10.8   3.7
71100  10.1  19.2  11.3   0.2  10.4   1.2
71101   8.9  16.4   9.0   0.0  10.9   0.8
71102  10.0  15.0  10.2   0.3  10.3   2.9
71103  10.7  15.9   8.8   1.1   6.8   2.9
71104  11.8  12.4   7.3   0.0   6.4   2.4
71105  23.0   9.5   3.1   0.1   5.0   4.4
71106  23.8  14.9  -1.7   0.0   5.1   0.5
71107  24.3  19.7   5.1   0.0   6.1   2.4
71108  15.6  16.0   8.0   0.0   7.8   2.4
71109  24.4  17.7   1.3   0.0   6.1   0.8
71110  23.6  16.3   4.6   0.0   6.6   2.4
71111  25.2  20.8   1.6   0.0   6.6   0.5
71112  25.2  21.7   2.5   0.0   7.3   0.8
71113  22.4  24.5   3.1   0.0   7.1   1.2
71114  10.2  20.8  15.4   0.0   8.2   2.4
71115  12.2  17.8   7.6   0.0   9.7   1.2
71116  19.9  21.7   9.0   2.8   9.3   0.1
71117  22.8  23.4   4.2   0.0   8.0   1.2
71118  21.9  25.3   8.0   0.0   9.7   1.9
71119  20.9  18.4   7.5   0.0   8.7   1.2
71120  16.6  26.0   6.6   0.0  11.2   0.1
71121  25.6  31.2  10.6   0.0  13.0   0.8
71122  10.3  27.8  15.9   0.0  15.2   1.9
71123  21.3  25.9  11.6   3.0  14.5   0.1
71124  16.8  28.1  12.2   0.7  13.3   0.5
71125  24.7  27.4  10.1   0.0  11.7   1.9
71126   9.7  17.6  11.8   4.6  14.5   1.2
71127  13.2  17.4  10.2  24.8  11.3   0.8
71128  16.6  18.2   8.1   0.0  11.2   0.1
71129  19.1  18.2   9.8   3.8  11.5   1.2
71130  20.1  23.6  11.6   0.0  12.8   0.1
71131  25.9  24.8   7.6   0.0  11.0   1.2
71132  25.1  26.1   7.6   0.0  10.9   1.9
71133  27.6  26.1  12.2   0.0   9.6   2.9
71134  17.7  27.0   8.2   0.0  11.9   0.5
71135  25.4  27.6   9.8   0.0  13.7   0.8
71136  24.6  28.9  12.6   0.0  13.2   0.8
71137  26.4  28.9  13.2   0.0  14.5   1.9
71138  26.3  28.2  15.4   0.0  13.7   1.9
71139  23.0  27.4  14.6   0.0  13.2   2.4
71140  27.7  29.2  10.5   3.0  13.1   0.1
71141  24.7  30.0  11.7   0.0  14.3   0.8
71142  26.9  30.0  14.9   0.7  15.1   0.5
71143  24.6  29.8  13.0   0.2  13.6   1.2
71144  21.7  26.5  11.6   3.7  13.5   0.1
71145  27.6  26.0  10.3  10.2  14.1   0.5
71146  24.9  26.6  11.2   0.0  14.9   0.8
71147  24.9  28.1  11.7   0.0  15.3   1.2
71148  16.8  25.4  13.0   0.2  14.6   2.4
71149  13.3  22.2  12.0  18.5  15.0   0.5
71150  14.0  22.0  14.0  26.8  16.7   1.2
71151  15.0  23.0  14.9  11.2  15.6   0.8
71152  12.7  23.3  14.1   0.1  15.0   0.5
71153  22.2  25.8  13.0   1.8  14.9   0.5
71154  25.1  25.0  10.1   1.8  13.9   0.8
71155  25.2  27.6  10.7   0.0  15.8   0.8
71156  16.2  25.4  14.6   2.9  17.1   0.5
71157  21.1  28.8  16.0   0.7  16.4   0.5
71158  24.0  27.0  13.4   0.8  15.8   1.2
71159  17.0  26.0  13.8   0.0  15.8   0.0
71160  16.8  25.4  14.6   0.5  16.1   0.8
