DATE S	RAD  T	MAX	TMIN  R	AIN  V	APO  W	IND		Razlika tmax-tmin
71001	3,8	8,8	-0,8	3,4	6	4,4		9,6
71002	3	-0,4	-4,4	3,1	4,7	2,4		4
71003	4,2	0,4	-6,3	10	3,6	1,9		6,7
71004	3	-1,7	-8,1	0,5	4,1	0,8		6,4
71005	3	2,1	-2,6	0,7	5,3	0,1		4,7
71006	3,1	-0,7	-4	6	4	0,8		3,3
71007	3,1	-1,5	-4,4	0,6	4,4	0,5		2,9
71008	3,1	-0,8	-3,1	0,2	4,6	1,2		2,3
71009	3,1	0,3	-4,2	0	4,6	2,4		4,5
71010	3,1	-1,4	-5,1	1	4,5	1,2		3,7
71011	3,4	0,2	-6,6	3,1	4,3	0,8		6,8
71012	3,2	0,4	-2,5	0	4,8	0,5		2,9
71013	3,2	1,7	-3	0,8	4,7	0,5		4,7
71014	3,3	1,1	-5,1	0	4,6	1,9		6,2
71015	3,3	-1	-5,4	0	4,6	1,9		4,4
71016	3,3	-2,5	-8,8	0	3,8	0,8		6,3
71017	4,2	-2,5	-9,5	0	3,6	0,8		7
71018	5	-2	-10,7	0,2	3,3	0,5		8,7
71019	7,2	0,7	-11,6	0,1	3,5	0,1		12,3
71020	5,3	5,6	-9,1	0	4,3	1,2		14,7
71021	3,5	6	-4,5	0	5,5	0,8		10,5
71022	3,5	5,4	-3,6	0	7	0,5		9
71023	3,7	6,4	0,6	3,2	7,1	0,1		5,8
71024	3,6	2,6	-1	0,1	6,1	1,2		3,6
71025	7,4	13,4	-1,3	0,1	7,4	0,5		14,7
71026	6	13,7	0,5	0,3	7,6	1,2		13,2
71027	6	13,8	-1,2	0,1	6,7	1,2		15
71028	6,2	12	1,9	1,1	7,1	1,2		10,1
71029	6,9	12,9	-3	0,2	6,4	0,1		15,9
71030	5,3	10,8	-0,7	0	6,7	0,5		11,5
71031	4,8	7,9	-1,1	0,1	6,4	1,2		9
71032	6,5	10,6	-2,6	0	7,2	0,1		13,2
71033	4	5,6	-1,4	2,5	4,6	2,9		7
71034	7,2	0,5	-3,8	3,1	3,6	2,4		4,3
71035	4,5	-0,3	-5,6	1,7	4,3	2,4		5,3
71036	4,8	1,2	-11,5	1,8	3,8	0,5		12,7
71037	4,2	1,6	-2,2	0	5,3	0,8		3,8
71038	4,3	3,3	-0,6	0,6	5,4	1,9		3,9
71039	4,3	4,6	-0,5	0	5,3	1,2		5,1
71040	5,8	8,2	2,5	0	5,9	2,9		5,7
71041	4,5	8,9	2	0	6,7	0,8		6,9
71042	7,6	7	-1,9	0	5,2	1,2		8,9
71043	9,8	10,6	-6,4	0	4,6	0,8		17
71044	10,4	13,3	-5	0	5	0,8		18,3
71045	9	13,1	-3,5	0	5,8	0,8		16,6
71046	8,2	12,9	-1,6	0	6,7	1,9		14,5
71047	6,9	13,6	1,3	0	7,3	0,8		12,3
71048	4,9	9,4	2,4	0	7,9	1,2		7
71049	6,4	10,6	3,4	18,2	7,3	1,9		7,2
71050	6,5	11,4	1,5	0,5	7,9	1,9		9,9
71051	5	5,5	1,1	8,7	7	1,9		4,4
71052	5,1	4,7	1,8	10,3	7,5	1,2		2,9
71053	5,2	4,9	2	1,1	7,1	0,5		2,9
71054	5,2	5,1	2,4	3,3	6,9	1,9		2,7
71055	5,3	4,1	1,4	1,2	6,5	1,9		2,7
71056	5,4	4,8	0,6	0,1	6,2	1,2		4,2
71057	10,7	7,6	-1,8	0,7	5,5	2,9		9,4
71058	7,5	1,6	-8,2	1,6	2,6	4,4		9,8
71059	10,5	-1,8	-8,4	0,1	2,5	2,9		6,6
71060	6,6	-0,6	-8,1	0	3,3	2,4		7,5
71061	8	-0,7	-5,1	0,3	3,3	2,4		4,4
71062	6,4	-1,8	-5,7	0	3,4	2,4		3,9
71063	5,8	-3,3	-8,6	0,2	3,4	2,4		5,3
71064	8,8	-2,4	-9,2	5,4	2,7	2,4		6,8
71065	10,6	0,1	-13,7	6,6	2,5	0,8		13,8
71066	6	-1,6	-13,1	0,5	3,8	0,8		11,5
71067	6	-0,3	-6,5	7,3	3,8	1,9		6,2
71068	6,1	-0,6	-4,7	7,4	4,4	0,5		4,1
71069	8,4	5,3	-9,9	1,3	4,1	1,2		15,2
71070	16,8	7,6	-4,3	0,1	3,6	1,9		11,9
71071	12,5	0,6	-5	2,7	3,5	2,9		5,6
71072	15,6	4,9	-15,3	0,3	2,5	1,2		20,2
71073	13,6	10	-9,9	0	4,3	0,5		19,9
71074	6,5	5,1	0,7	0	6,6	1,2		4,4
71075	99,9	10,7	0,6	3	7,8	1,2		10,1
71076	6,7	11,4	0	0,4	8,2	0,5		11,4
71077	14,6	16	0,4	0,2	6,5	1,2		15,6
71078	11,8	16,3	-0,2	0	6,6	3,7		16,5
71079	7,2	18,4	4,8	0	7,2	3,7		13,6
71080	13,4	22,8	-1	0	7,8	0,8		23,8
71081	13	19,9	6,9	0	7,9	6,7		13
71082	11,1	15,3	3,3	0	6,9	4,4		12
71083	11,7	9,3	0,7	4	5,3	1,2		8,6
71084	16,5	10,1	-3,7	0	4,9	0,8		13,8
71085	18,6	15,2	-4,4	0	5,3	0,8		19,6
71086	10,5	13,6	-0,1	0	7,1	1,9		13,7
71087	7,4	8,2	4,4	0,7	8,4	0,5		3,8
71088	7,5	6,4	2,8	7,3	7,3	2,9		3,6
71089	7,6	3,5	0	14	6,8	0,5		3,5
71090	7,6	6,4	1,6	14,4	7,2	0,5		4,8
71091	12,2	14,6	2,4	0	8,4	3,7		12,2
71092	10,7	15,3	4	0	8,1	3,7		11,3
71093	13,2	17,1	4,4	1,6	8,5	3,7		12,7
71094	14,9	21,1	1	0,6	8,1	2,4		20,1
71095	8,6	17,8	5,6	0	9,4	3,7		12,2
71096	8	10,4	8,2	11,7	10,7	2,4		2,2
71097	20,2	19,3	5,9	16	8,6	1,2		13,4
71098	20,7	20,2	2,2	0	9,3	1,9		18
71099	13,6	18,6	2,3	0	9,8	2,4		16,3
71100	13,5	18,6	6,6	0	10,7	2,9		12
71101	13,1	18,4	6,7	0	8,9	2,9		11,7
71102	8,4	14,1	8,7	7,6	9,2	1,9		5,4
71103	10,2	13,8	7,6	0	7,6	2,4		6,2
