 DATE SRAD  TMAX  TMIN  RAIN  VAPO  WIND
71001   5.0   3.4  -4.2   1.3   4.0   6.0
71002   2.7  -4.2  -6.8   3.0   3.6   6.0
71003   2.7  -4.0 -10.3  10.2   3.2   2.4
71004   3.9  -8.0 -21.8   2.2   1.6   0.0
71005   2.7  -4.8 -17.0   0.0   3.4   1.9
71006   2.7  -3.6  -6.7   5.9   3.7   2.4
71007   2.8   0.3  -4.0   0.1   4.8   0.1
71008   2.8   0.2  -7.4   0.0   4.1   1.2
71009   2.8  -4.6 -11.7   0.0   3.3   0.0
71010   2.8  -3.0 -11.0   0.0   3.7   0.5
71011   2.9   2.6  -6.6   0.0   4.1   0.8
71012   6.2   1.6 -14.5   0.0   3.5   0.0
71013   4.2  -4.3 -16.0   0.0   2.9   0.0
71014   4.9   1.6 -10.7   0.0   4.2   6.7
71015   6.2  -0.7 -12.5   0.0   3.8   1.9
71016   3.0  -2.4 -14.7   0.0   4.4   0.0
71017   5.6   1.0  -9.6   0.0   3.9   0.0
71018   3.1  -1.5  -7.2   0.0   4.8   0.0
71019   3.1  -3.0  -6.2   0.0   3.8   1.2
71020   5.1   6.0  -7.6   0.2   6.4   2.9
71021   3.7   5.5   2.0   0.0   6.5   0.8
71022   3.2   8.0   3.5   0.0   7.5   2.9
71023   6.4   6.0  -1.6   0.0   6.0   0.5
71024   4.3   6.7  -2.4   0.0   7.1   0.1
71025   8.5  10.2  -2.3   0.0   7.2   1.9
71026   6.7   9.7   2.5   4.2   8.4   2.9
71027   3.9  10.0  -0.2   5.3   8.2   1.2
71028   8.1  12.0   4.0  12.3   7.7   1.9
71029   3.5   6.3  -0.2   0.0   7.3   1.2
71030   5.1  12.0  -1.1   0.9   8.4   1.2
71031   6.4  14.6   3.8   0.0   9.1   5.0
71032   6.5  15.6   5.4   0.0   9.2   1.2
71033   3.7   6.4  -0.8   1.6   4.7  12.3
71034   5.6   1.8  -4.4   0.0   3.7   2.4
71035   6.6   0.5  -3.5   1.0   4.9   5.0
71036   8.5   3.0  -4.7   0.0   4.9   1.2
71037   4.3   3.6  -2.8   0.0   5.8   1.9
71038   4.1   5.0   1.0   0.0   6.4   1.9
71039   4.0   6.2   0.7   0.0   5.8   4.4
71040   6.6  10.0   1.9   0.0   7.2   2.9
71041   4.2   8.5   1.6   0.0   7.5   0.8
71042  10.5   7.7  -2.9   0.0   5.2   1.2
71043  11.8   8.0  -2.6   0.0   5.1   0.5
71044  10.2  11.8  -3.0   0.0   6.1   0.5
71045   7.0  12.5   1.2   0.0   7.3   0.1
71046   5.9   9.6   2.8   0.0   7.2   1.9
71047   9.3  14.6   1.0   0.0   8.2   2.9
71048   5.4  13.2   4.2   0.3   8.8   5.0
71049   7.4  10.4   3.7   4.8   7.4   2.4
71050   6.9   8.2   0.2   0.0   7.1   2.9
71051   4.8   6.8   0.5   0.0   7.0   2.9
71052   5.2   8.0   3.0   0.0   7.0   0.8
71053  10.6  10.2  -2.6   0.0   6.1   0.1
71054   9.3   7.7   0.5   0.0   6.3   3.7
71055  10.8   8.6  -1.2   0.0   5.5   3.7
71056   5.9   6.8  -3.4   0.0   5.1   1.9
71057  10.8   8.5  -2.2   0.1   5.4   5.0
71058   8.3  -2.1  -6.6   1.1   2.8   7.5
71059   5.3   0.0  -7.0   0.0   3.3   6.7
71060  12.0  -0.7  -7.5   0.0   3.4   1.2
71061   5.7  -1.4  -8.3   0.0   3.6   1.2
71062   7.7   0.6  -9.6   0.0   3.3   0.0
71063   6.6  -3.6  -7.6   0.0   3.2   6.0
71064   5.6  -6.0 -10.0   0.3   3.0   4.4
71065   5.6  -3.2  -8.8   1.2   3.5   0.8
71066   7.0  -1.6 -13.3   1.4   3.4   0.5
71067  13.2   0.2  -9.3   0.0   3.7   0.5
71068   5.9  -0.2  -8.4   0.0   5.2   2.4
71069   5.9   2.1  -2.2   3.8   4.8   3.7
71070  10.1   4.4  -6.6   0.2   4.1   3.7
71071  12.7   2.0  -5.1   0.0   2.9   5.0
71072  11.7   3.9 -11.3   0.0   3.8   2.4
71073  13.5  10.0  -2.6   0.0   6.0   2.4
71074   6.8   9.8   2.2   0.0   8.5   3.7
71075   8.6  12.5   2.3   0.2   9.1   0.1
71076   6.4   8.4   4.9   0.4   9.0   5.0
71077  12.2  13.4   6.0   4.2   9.6   1.2
71078  14.6  17.9   4.4   0.0   8.7   3.7
71079  12.7  21.0   8.6   0.0  10.0   4.4
71080  14.0  22.6   6.2   0.0   9.1   6.0
71081   8.2  19.4   9.5   0.4  10.8   8.6
71082   7.1  10.8   3.0   5.2   7.0   9.4
71083   9.4   9.5   0.6   0.4   6.2   0.8
71084  17.8  10.5  -3.2   0.0   5.8   0.5
71085  16.5  14.0  -1.8   0.0   6.2   0.5
71086  10.8  13.3   2.4   0.0   7.0   2.9
71087  14.8  13.4   1.6   0.0   6.1   1.9
71088   7.4  11.6   2.9   0.0   7.4   8.6
71089   7.4   7.3   4.0   7.8   8.6   4.4
71090  12.0  14.1   6.0  10.1  10.2   0.5
71091  10.9  15.0   5.0   0.0   8.6  11.4
71092  18.9  17.3   6.0   0.1   9.1  11.4
71093  11.3  18.0   5.7   0.0  10.2   1.2
71094  13.5  20.4   5.4   0.0   9.8   3.7
71095  11.1  20.2  11.6   0.0  11.4   1.9
71096   7.8  17.1   7.5   0.0  10.2   2.9
71097  21.1  20.4   8.5   0.0   9.3   2.9
71098  19.0  22.2   3.6   0.0  10.0   3.7
71099  19.5  19.5   9.5   0.0  11.1   6.7
71100  16.9  19.8   7.2   0.0  10.5   2.4
71101   9.3  17.5   9.0   0.0  10.2   5.0
71102  15.4  15.2   5.7   0.0   8.1   0.5
71103  13.0  15.0   2.7   0.0   8.2   0.8
71104  18.5  14.8   3.2   0.0   6.4   4.4
71105  23.5  11.8  -2.8   0.0   5.3   2.4
71106  23.7  16.6  -1.6   0.0   5.5   2.4
71107  19.4  21.9   5.6   0.0   9.2   2.9
71108  19.3  16.8   7.2   1.9   6.8   2.4
71109  24.7  18.4   1.4   0.0   7.4   1.9
71110  24.6  18.6   0.6   0.0   7.0   2.9
71111  24.2  20.0   2.3   0.0   6.9   0.5
71112  24.9  22.4   2.0   0.0   8.1   0.8
71113  15.4  25.3   7.4   0.0   9.1   2.4
71114  10.1  20.0  13.4   0.0  12.6   1.9
71115   9.0  15.4   8.6  17.2  10.5   2.4
71116  12.7  13.8   7.2   0.0  10.6   1.2
71117  12.5  20.0   7.6   0.2  11.6   0.8
71118   9.2  15.0   7.0   0.0  10.2   3.7
71119  25.8  14.7   1.8   4.8   7.5   0.5
71120  12.1  16.9   3.4   0.0  11.8   0.8
71121  12.1  19.2   8.2   4.9  13.5   3.7
71122  14.2  18.4   7.6   0.7  13.4   1.9
71123  12.8  18.9   8.8   4.2  13.4   1.2
71124  21.5  20.0  10.9  15.7  13.0   1.9
71125  12.0  16.3   8.6   0.0  13.0   2.4
71126  15.7  18.3   7.5   8.6  13.3   0.8
71127  24.2  19.2   7.4   1.6  12.5   1.9
71128  16.2  17.3   7.6   0.0  12.0   2.9
71129  20.8  19.7   7.0   0.0  11.9   0.5
71130  25.6  24.0   7.0   0.0  12.4   0.5
71131  27.4  25.7  11.0   0.0  13.6   1.9
71132  27.2  26.4  10.0   0.0  12.0   0.5
71133  27.9  26.6  10.9   0.0  11.1   3.7
71134  28.2  27.5   8.6   0.0  12.1   1.2
71135  27.8  27.9  11.0   0.0  13.5   0.1
71136  28.1  28.0  13.4   0.0  15.1   0.8
71137  28.3  30.0  11.0   0.0  14.7   2.4
71138  28.2  29.6  15.8   0.0  13.6   4.4
71139  27.2  29.4  14.4   0.0  15.3   1.9
71140  28.6  28.9  12.8   0.0  15.4   0.8
71141  25.3  27.7  14.1   0.0  14.9   0.5
71142  28.5  27.0  12.4   0.0  14.2   1.9
71143  21.5  22.7  12.4   0.0  13.3   1.2
71144  25.7  25.4   9.1   0.0  13.4   0.5
71145  29.0  26.7  12.6   0.0  12.9   0.8
71146  25.1  26.6  15.6   0.0  14.7   0.8
71147  21.2  28.3  11.4   0.0  15.4   4.4
71148  12.4  20.6  13.6   1.6  13.9   1.9
71149  21.4  23.4   6.8   0.0  13.9   0.8
71150  14.0  22.2  11.2   0.0  16.2   1.2
71151  12.7  23.2  15.0   5.0  17.5   0.0
71152  12.6  22.4  11.6  12.9  16.9   1.9
71153  26.1  25.8  12.0   4.0  16.7   0.5
71154  29.1  26.6  12.2   1.0  16.0   0.1
71155  28.7  27.6  10.2   0.0  15.3   1.2
71156  29.8  27.6  13.6   0.0  17.2   1.2
71157  26.0  27.2  13.4   0.0  16.9   0.8
71158  23.2  26.0  14.4  19.9  17.5   0.5
71159  24.6  25.2  13.0   0.0  17.3   0.5
71160  25.3  25.2  12.7   0.0  16.0   0.5
71161  15.2  25.6  14.0   0.0  16.3   1.9
71162  20.4  25.4  13.7   2.9  15.9   1.9
71163  23.8  22.0  13.0   0.3  12.8   3.7
71164  19.2  21.0  12.1   1.3  11.9   4.4
71165  30.8  24.3   7.9   2.1  11.6   0.5
71166  29.2  28.8  14.1   0.0  15.8   0.8
71167  26.9  25.5  14.5   0.0  13.5   3.7
71168  21.1  23.0   9.3   0.1  11.1   0.8
71169  14.3  22.6  10.0   0.0  14.3   2.9
71170  23.0  20.6   9.2   3.2  10.4   4.4
71171  19.8  20.9  13.0   0.1  12.9   3.7
71172  19.0  26.6  12.3   0.0  13.6   1.2
71173  21.5  25.1  15.0   0.0  15.0   0.1
71174  16.3  23.4  16.2   0.0  14.2   1.9
71175  21.4  26.2   8.8   0.0  12.1   0.8
71176  15.0  27.4  13.7   0.0  16.6   0.5
71177  16.1  27.3  15.6   4.2  20.6   0.0
71178  26.1  30.0  13.2   0.0  18.7   1.9
71179  24.7  25.0  15.8   0.6  13.7   1.9
71180  14.1  17.3  10.5   0.0  12.4   6.0
71181  20.9  20.7   8.4   1.4  11.5   3.7
71182  30.6  20.4   7.9   0.8  11.3   4.4
71183  12.4  21.2   9.1   0.0  11.9   6.0
71184  23.3  24.0  14.8   0.0  12.8   3.7
71185  13.7  23.0  12.7   0.0  14.6   5.0
71186  28.6  28.1  14.2   0.0  16.6   0.8
71187  25.6  28.0  11.8   0.0  15.8   1.2
