DATE   RAD  TMAX  TMIN  RAIN  VAPO  WIND
71001   3.6  11.4   0.0   9.0   7.4   4.4
71002   3.0   0.8  -0.6   1.6   5.9   2.9
71003   3.4   4.2   0.0   1.9   6.3   4.4
71004   4.1   4.0  -3.4   2.6   5.4   2.4
71005   3.0   3.2  -0.9   1.0   5.7   5.0
71006   3.0   0.7  -2.2   2.1   5.3   2.4
71007   3.1   0.0  -3.0   0.9   5.0   4.4
71008   3.1  -1.0  -3.5   0.1   4.6   4.4
71009   3.1  -1.0  -4.0   0.1   4.7   2.4
71010   3.1  -1.5  -3.5   3.4   4.7   3.7
71011   3.2  -1.0  -4.2   4.1   4.5   4.4
71012   5.6   0.7  -7.4   0.2   4.0   2.9
71013   5.9   3.4  -6.2   0.0   4.9   2.4
71014   3.3   0.0  -3.0   0.8   5.1   8.6
71015   3.3  -2.5  -4.9   0.3   4.2   5.0
71016   5.9   1.0  -5.5   0.0   4.2   2.9
71017   3.3  -4.5  -8.0   0.0   3.7   1.2
71018   3.4  -4.8  -9.4   0.0   3.4   2.4
71019   3.4  -5.3  -7.6   0.0   3.5   1.9
71020   3.7  -3.0  -7.0   0.0   3.9   2.4
71021   3.5  -1.5  -7.2   0.0   4.2   1.2
71022   3.5   1.0  -6.4   0.0   5.1   1.9
71023   3.6   2.6  -1.0   0.2   6.4   1.9
71024   3.6   2.5  -0.5   2.4   6.5   0.8
71025   6.4   7.8  -0.9   0.0   6.8   1.2
71026   3.7   4.5  -1.0   0.0   6.9   1.2
71027   6.1   8.0  -1.4   0.0   7.5   2.9
71028   6.7  10.5   0.9   2.3   7.5   5.0
71029  10.5  14.5  -1.6   0.1   6.9   2.4
71030   7.3  12.7  -1.5   0.0   7.3   2.4
71031   3.9   8.0   1.0   0.0   7.6   1.9
71032   4.0   5.4   2.4   0.0   7.5   2.4
71033   4.0   7.0   0.5   0.2   6.7   4.4
71034   9.3   2.4  -2.5   3.7   4.1   5.0
71035   4.1   0.5  -6.4   0.1   4.5   2.4
71036   9.0   3.1  -7.7   0.3   4.3   4.4
71037   9.1   4.8  -4.5   0.0   5.1   4.4
71038   4.4   6.0  -1.9   0.0   6.1   2.9
71039   4.3   4.6   1.5   0.0   6.0   7.5
71040   7.6   7.8   3.6   0.1   6.5   6.0
71041   8.6  11.2   1.6   0.0   7.3   4.4
71042   7.6   5.4  -5.5   0.0   4.7   1.9
71043   8.2   6.0  -8.5   0.0   4.6   2.9
71044  11.2  12.0  -6.0   0.0   5.3   2.9
71045  11.2  13.4  -4.5   0.0   6.1   2.9
71046   9.3  12.5   0.0   0.0   7.5   2.9
71047   4.8   7.3   2.7   1.2   7.4   5.0
71048   4.9   5.6   2.6   0.0   8.1   2.9
71049   4.9   6.4   2.9  28.9   7.7   5.0
71050   5.0  11.9   1.0   0.9   8.6   3.7
71051   5.0   7.9   2.5   2.4   7.2   5.0
71052   5.1   2.9   0.0   6.0   6.4   2.4
71053   5.2   3.6   1.5   1.2   6.9   2.9
71054   5.2   3.0  -0.3   9.5   6.5   1.9
71055   5.3   2.5   1.0   1.6   6.3   3.7
71056   5.4   4.4   0.5   0.0   6.3   2.9
71057  10.8   6.5  -0.5   0.0   6.1   2.4
71058  12.4   1.3  -5.0   0.1   3.3   5.0
71059  13.3  -1.4  -7.6   0.0   3.0   4.4
71060  11.1   2.1 -10.5   0.0   3.5   2.9
71061   8.0   0.5  -6.7   0.0   4.2   3.7
71062   7.8   0.5  -5.0   0.3   3.9   1.9
71063   5.8  -0.5  -8.5   0.0   3.7   3.7
71064  11.0   0.6  -5.5   7.3   3.8   3.7
71065   5.9   0.0  -6.4   5.5   4.7   4.4
71066   9.6   4.5  -3.0   1.3   5.5   4.4
71067  11.6   2.0  -7.0   0.1   4.2   2.9
71068   6.1   0.0  -2.8   9.2   5.0   5.0
71069   8.0   4.8  -5.8   6.4   4.8   5.0
71070  16.8   4.0  -2.0   0.0   4.0   5.0
71071  13.6   0.8  -3.9   0.0   4.0   5.0
71072  18.2   2.0 -12.7   0.0   2.8   6.0
71073  16.6  11.3  -4.5   0.0   5.3   2.9
71074   8.8   9.4   0.0   0.1   7.7   3.7
71075   7.9  10.7   2.4   3.9   8.7   2.9
71076   6.7   8.2   4.5   0.2   9.4   2.4
71077  12.1  14.6   5.2   0.0   9.3   3.7
71078  11.7  17.2   0.4   0.0   8.1   6.7
71079  19.1  21.6   1.6   0.0   8.3   6.0
71080  14.7  20.0   1.1   0.0   9.8   4.4
71081  10.3  17.5   8.1   0.1  11.5   6.0
71082  16.6  18.3   6.0   0.4   8.1   9.4
71083  18.3  10.6   1.8   0.0   5.5   2.9
71084  16.2  11.0  -3.5   0.0   5.4   2.9
71085  19.4  12.5  -4.5   0.0   5.5   5.0
71086  19.6  13.0  -3.6   0.0   6.3   4.4
71087   7.4  11.0   3.5   2.9   8.1   4.4
71088   7.5  10.0   5.2   5.4   9.6   3.7
71089   7.6   9.2   4.5   8.1   9.4   2.4
71090   8.6  11.4   3.6  23.6   8.6   3.7
71091  14.1  10.0   4.2   0.0   8.0   9.4
71092   7.8   8.5   5.0   0.0   9.2   3.7
71093   7.8   9.6   6.0   0.1   9.6   5.0
71094  17.4  18.3   6.7   0.0  11.3   4.4
71095  10.5  18.8   7.5   0.0  12.7   2.9
