DATE,std_SRAD,std_TMAX,std_TMIN,std_RAIN,std_VAPO,std_WIND,std_q,std_TAVG,std_RH,std_lcl,std_tendt,std_tendq,std_bowen,std_R2,std_R1,SRAD,TMAX,TMIN,RAIN,VAPO,WIND,q,TAVG,RH,lcl,tendt,tendq,bowen,R2,R1,rolling_mean_SRAD,rolling_std_SRAD,rolling_mean_TMAX,rolling_std_TMAX,rolling_mean_TMIN,rolling_std_TMIN,rolling_mean_RAIN,rolling_std_RAIN,rolling_mean_VAPO,rolling_std_VAPO,rolling_mean_WIND,rolling_std_WIND,rolling_mean_q,rolling_std_q,rolling_mean_TAVG,rolling_std_TAVG,rolling_mean_RH,rolling_std_RH,rolling_mean_lcl,rolling_std_lcl,rolling_mean_tendt,rolling_std_tendt,rolling_mean_tendq,rolling_std_tendq,rolling_mean_bowen,rolling_std_bowen,rolling_mean_R2,rolling_std_R2,rolling_mean_R1,rolling_std_R1
1,1.2214745187681975,5.3530998646503445,3.796412402049701,3.962242776016123,1.4679879106270346,1.401595970445055,0.009011482658870125,2.2816868381936652,2.1227380162361085,773.1836048525539,2.627021884478442e-05,0.00014807964088447563,0.3899894784616136,0.18370530871286972,1.6745514236389805,3.8200000000000003,5.453333333333334,-2.536666666666667,1.8833333333333333,5.713333333333332,1.2966666666666666,0.035072226334402504,3.994999999999999,7.297172119586661,-4271.085012092433,-2.301744093231162e-06,2.8309719811633776e-05,-0.04377688254685463,0.5937959768508532,6.588188512085681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0610610607842716,4.718378106301253,3.944173645660956,6.875690978860351,1.7332747558625392,1.8170994949954296,0.010639989125551435,2.26508290680775,2.4994290458413118,996.2653601683262,2.9733703231331814e-05,0.00020478900513044217,0.3138271905878651,0.18141237388763032,1.7096167112489005,3.5966666666666662,4.763333333333333,-2.6733333333333333,2.2733333333333334,5.67,1.3766666666666663,0.03480621761658031,3.7183333333333337,7.428780818422309,-4257.421322841672,-3.211766975308642e-06,-6.975662986265281e-06,-0.025504593275735312,0.6148966393256645,6.744995565771493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.266404994145002,5.810201096486178,3.707209502961841,3.581151166616807,1.559697141246913,1.798367714562739,0.009574454693862125,2.1337436746164045,1.940176753931676,813.1265485567639,2.332765697229819e-05,0.00016101014025261446,1.090660236329476,0.16669843657418926,1.461075058331244,4.003333333333334,4.346666666666668,-2.5933333333333337,1.8133333333333335,5.609999999999999,1.2366666666666666,0.034437897853441896,3.4699999999999993,7.348406860368757,-4270.908938145762,-2.8828510802469156e-06,-9.658610288675071e-06,-0.0013696234598624085,0.6339209713177231,6.844093684226842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.3380763340938622,5.30508864367424,4.756436655225466,2.272008580200732,1.9135001329032326,2.753355319830947,0.011746331928604102,2.0640018043296045,2.60824259731473,1078.548115218439,2.444414787400459e-05,0.0002118965003918677,0.7338286027560673,0.17239125204292927,1.6431288932018808,4.029999999999999,4.3500000000000005,-3.1900000000000004,1.1066666666666667,5.429999999999999,1.62,0.033332938564026644,3.77,7.0584649856278805,-4100.884793236803,3.482638888888889e-06,-2.8975830866025174e-05,0.040199489349601734,0.6049408484607622,6.514285828734912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.634540956333317,5.118706957771683,6.176146177771005,2.7514176074479697,1.8734963319278544,1.7077409962710466,0.011500762086939311,2.161380598588324,2.5943243972996077,1209.5992186480933,2.078975240741698e-05,0.00020890377758221108,0.2867461822079684,0.18131191357997298,1.5419832439089476,4.3999999999999995,4.5566666666666675,-4.426666666666666,1.7066666666666668,5.236666666666666,1.25,0.03214613043835842,4.491666666666666,6.541792555581285,-3881.2724909744384,8.377681327160493e-06,-3.11221887079529e-05,0.0767154284376551,0.5462638412261824,6.100083720655801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.070417256703327,5.967853538925781,7.265586495695773,2.3844539604813453,2.037829022866438,1.2276554610453547,0.012509545050312603,2.437810398745129,2.9100452740509466,1372.2718694095079,2.6490853954865834e-05,0.00015643501993308076,0.4498020437201797,0.20189202604175338,1.6517230334115576,3.78,3.17,-5.456666666666667,1.07,5.303333333333333,0.8099999999999999,0.03255537461962333,4.3133333333333335,6.775413476375775,-3911.4489764945833,-2.0702353395061726e-06,1.073178920963893e-05,-0.027170715395863774,0.5633326845747363,6.715496172055832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.5593839042774362,6.261743908976891,6.7811401747025934,2.8453410194986084,1.6410152450488564,1.9292932420430815,0.01007363910604874,2.3520527840273004,2.3133070166978107,1111.8511536728713,2.427373151370987e-05,0.00017819294966631515,0.4275046662021215,0.19527821540638163,1.5228216599018485,4.006666666666665,2.7433333333333336,-4.760000000000001,1.7700000000000002,5.150000000000001,1.1300000000000001,0.03161411300271404,3.7516666666666665,6.755899837377389,-3961.3915533589834,-6.520273919753085e-06,-2.46831151821696e-05,-0.06088582016875004,0.6088075051551026,6.90427400927385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.3891575219137873,5.913962632870494,5.846743862450573,4.010430366449208,1.8627658338406727,1.3495167291659822,0.011434891178375513,2.2662624301476764,2.527512859580425,1180.587503158745,2.999225267946832e-05,0.00015559116312291422,0.39541587847770954,0.17989057553007892,1.5553415457329487,3.929999999999999,2.2566666666666673,-4.6800000000000015,1.5300000000000002,5.11,1.0133333333333332,0.03136856649395509,3.4683333333333337,6.785049528079782,-3948.820022768846,-3.2891589506172847e-06,-6.43907352578337e-06,-0.13984471506741297,0.6306291751440676,6.9773817238139655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.6484370863294138,6.339604578118146,6.589777000744427,2.5015420531500485,2.0075174810650114,1.633630045768252,0.012323472718701578,2.315976495225455,2.844492229891507,1271.5672178219938,1.7328982717180483e-05,0.00011590743518780008,0.46881289472722126,0.19323199104045377,1.6080732275651954,4.329999999999999,2.19,-4.963333333333336,0.9766666666666667,5.0233333333333325,1.0233333333333332,0.03083654905831072,3.5766666666666658,6.667315573875621,-3867.50729105958,1.257619598765431e-06,-1.3951325972530636e-05,0.14289762063227668,0.6225441103035568,6.827199228118617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.6724818092579812,5.924122710162027,5.408211083753739,3.941724927274714,1.9948813809692878,1.0427031624855998,0.012245903962130735,2.4454602556715095,2.948291519533359,1130.8130684729845,2.149218922485891e-05,0.00018491609373102156,0.5420003244485173,0.1925586285086015,1.6695435946230146,4.406666666666667,3.583333333333333,-4.276666666666667,2.0266666666666664,5.290000000000001,0.6366666666666667,0.032473525783370344,3.9300000000000006,6.856329554198513,-3998.3149755157215,4.101774691358021e-06,4.292715683855579e-05,0.007446076696740424,0.5977185714210379,6.680220145899553,4.030333333333333,0.2737415650653815,3.7413333333333334,1.122267545839424,-3.955666666666667,1.0987378280621884,1.6156666666666666,0.43675020405346193,5.353666666666666,0.24294718218850242,1.1393333333333333,0.2837047674286218,0.032864353976478335,0.001491370809980244,3.848499999999999,0.34189057703696163,6.951462530949397,0.31107569329891277,-4046.905537648882,164.9665237089933,-3.056315852490428e-07,4.4886163463436086e-06,-3.9837141669573535e-06,2.4486159162020073e-05,-0.00312937347982052,0.07778113950070514,0.6016850323779688,0.028221894233220465,6.689621859063654,0.2503511192798593
