DATE,std_SRAD,std_TMAX,std_TMIN,std_RAIN,std_VAPO,std_WIND,std_q,std_TAVG,std_RH,std_lcl,std_tendt,std_tendq,std_bowen,std_R2,std_R1,SRAD,TMAX,TMIN,RAIN,VAPO,WIND,q,TAVG,RH,lcl,tendt,tendq,bowen,R2,R1,rolling_mean_SRAD,rolling_std_SRAD,rolling_mean_TMAX,rolling_std_TMAX,rolling_mean_TMIN,rolling_std_TMIN,rolling_mean_RAIN,rolling_std_RAIN,rolling_mean_VAPO,rolling_std_VAPO,rolling_mean_WIND,rolling_std_WIND,rolling_mean_q,rolling_std_q,rolling_mean_TAVG,rolling_std_TAVG,rolling_mean_RH,rolling_std_RH,rolling_mean_lcl,rolling_std_lcl,rolling_mean_tendt,rolling_std_tendt,rolling_mean_tendq,rolling_std_tendq,rolling_mean_bowen,rolling_std_bowen,rolling_mean_R2,rolling_std_R2,rolling_mean_R1,rolling_std_R1
1,1.661840137822577,5.2422345415391085,4.784385522466413,3.5370437035636892,1.9155413988151528,2.3886705772116805,0.011758862571557118,2.311272351986557,2.749128357518306,1057.3984221199446,2.3847026105729083e-05,0.000158076116985474,0.354751151699099,0.17924033546008092,1.8925744902169357,3.4633333333333343,3.9633333333333334,-3.0,1.8366666666666667,5.296666666666667,2.8666666666666667,0.03251445020149683,3.4816666666666665,7.063621068357352,-4082.4932434556586,-2.3217592592592608e-06,3.219536762891683e-05,0.024456420912855957,0.6345032608335305,6.663996820832435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0568612400741917,5.374871289557578,3.888267054827275,4.847116692414684,1.6930588518601675,2.8815704530450175,0.010393117254942259,1.8420565718221313,2.2334969986042017,908.4223827554084,3.291064744943168e-05,0.0001646937536535209,0.41708359566568565,0.15411056799804287,1.6329148256038857,3.836666666666668,3.5799999999999996,-2.1,2.416666666666667,5.11,2.8,0.0313685664939551,2.8400000000000007,6.9887659036443095,-4076.001436663511,-7.448977623456789e-06,-3.0049009786989043e-05,0.05237734062338331,0.6855531888192381,6.548313699680479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.8734963319278546,5.380006623078433,3.776874582137379,2.969306587268382,1.4845410297346169,2.5316388767553026,0.009113096674018573,1.6635105173635998,1.774270820442324,806.1213833379022,1.3889422038336597e-05,0.0001655280944166116,0.37863685820310555,0.1358720001652222,1.4259742281659364,4.036666666666668,4.203333333333333,-2.5266666666666664,1.1666666666666667,5.14,2.933333333333333,0.0315527263755243,3.365,6.733942674243604,-4032.4080282564264,6.094618055555557e-06,4.829305144337503e-06,-0.11159295023621539,0.6331035488241461,6.2831409284595265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.7002535307904871,5.379109228483283,5.56830212055229,2.0160961480447606,2.019172471896437,2.746784954488956,0.012395018776408426,1.7929267154283108,2.7478727311120417,1189.160694548007,2.0476392325689248e-05,0.00016185886916949456,0.34832972450105715,0.1569955936276902,1.5603651492864086,3.95,4.203333333333334,-3.056666666666667,0.8866666666666666,5.213333333333333,3.2,0.032002894974915694,3.6299999999999994,6.83418766490366,-3975.6227988498113,3.076331018518517e-06,1.180496813060284e-05,0.04694664317126437,0.6107929975815404,6.198141601466544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2.068396569281648,5.004025965367182,5.535985723521556,2.9345739278353573,2.0834321815630124,1.9419743478779763,0.012789487460470702,1.4680123789762765,2.912945026652277,1260.6611157856457,2.277032380755176e-05,0.00017372404369308064,0.6405431071644788,0.1403207443707195,1.5651137652137845,4.403333333333333,2.6200000000000006,-3.29,1.6,4.8999999999999995,2.7666666666666666,0.03007944732297064,2.954999999999999,6.7328825256790745,-3875.090813254113,-7.835937499999998e-06,-5.0439409285303006e-05,-0.12238481824401716,0.663779519425204,6.417563701854166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.9478251945453797,6.347445861566465,5.915653304833584,2.0608585422183836,2.106762510550743,0.9071871393197362,0.01293270448124907,1.8356847511888108,2.8160750009552467,1223.4297208275102,1.5532807390734192e-05,0.0001553123746209612,0.3234685157814297,0.1629064843259241,1.6719508736604152,4.133333333333334,3.5399999999999996,-3.156666666666666,0.99,5.15,2.066666666666667,0.03161411300271404,3.348333333333333,6.852975863220812,-3963.164324797489,4.566126543209877e-06,4.024420953614603e-05,0.011520897530722607,0.6365590442041644,6.40345486397458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.9872842903255468,6.930994024014127,4.980357970793,2.044459853348562,1.8637528571792126,1.5391444107819705,0.011440950181746559,2.1927125907758924,2.0199668814353453,943.7413375555305,1.7505121634434667e-05,0.0002018111708802263,0.32173413833306463,0.18079187361411583,1.482954429020515,4.036666666666667,3.6166666666666667,-3.4500000000000006,1.0533333333333335,4.9766666666666675,2.1,0.03055007813142528,3.533333333333333,6.400963829928795,-3879.559636671363,2.1476273148148154e-06,-2.7902651945061265e-05,-0.034290240651875706,0.6288078870535404,6.273606783301904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2.0010227270131113,6.765719032223294,6.139006621502421,1.7012537634979952,2.2015250722347357,1.5829551877538357,0.013514419885813036,1.7441766822345077,3.0155304461160006,1227.7723170998208,2.5360171338893853e-05,0.0001436392819924482,0.5941142208542941,0.1598811271224727,1.4391441307033588,3.8266666666666667,2.1766666666666667,-3.4866666666666664,0.6566666666666667,4.913333333333332,2.3333333333333335,0.030161296159223625,2.8316666666666674,6.749221966048466,-3893.6028092315173,-8.145505401234568e-06,-1.0195199749157054e-05,0.05466257383662265,0.681716408588063,6.619783134507159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.8692797801698187,5.947119461138937,5.681852539081076,2.6725595807472056,2.0779521306977373,1.9025089303036289,0.012755847276525952,1.8034895931620116,2.834339029139113,1218.8549846934714,2.041589744633282e-05,0.000119540697205811,0.44540585754044804,0.16020417903587703,1.6773086606410055,4.14,2.206666666666666,-4.000000000000001,0.7866666666666667,4.873333333333334,2.033333333333333,0.029915749650464674,3.103333333333333,6.613280797338495,-3847.028407215893,3.1537229938271597e-06,-6.439073525783324e-06,-0.08731916990811596,0.655954335270232,6.627048478729986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2.2566886533505057,6.185221541484297,5.091106737841189,2.574811677077334,1.997668180884789,2.023994002989616,0.012263011186877263,1.6436231704489876,2.647387420791981,1110.8140649590803,1.9835411588917488e-05,0.00015683530590471876,0.23889466071580373,0.14301668751704058,1.448717921382287,4.466666666666666,2.6399999999999997,-3.8833333333333333,0.9999999999999999,4.963333333333334,2.2,0.030468229295172296,3.2616666666666663,6.598032103135954,-3890.466748581689,1.838059413580246e-06,1.4487915433012606e-05,-0.1109933329836963,0.6389439291930479,6.578363019591649,4.029333333333334,0.29043092716993796,3.275,0.7928371464183178,-3.1949999999999994,0.5759313445023175,1.2393333333333334,0.5478347953196868,5.0536666666666665,0.14695636372578832,2.5300000000000002,0.42787156259101167,0.03102275516078625,0.0009021155513194194,3.2349999999999994,0.28882264197690316,6.7567874396500525,0.1934374174606811,-3951.5438246977474,87.51452524605921,-4.875694444444443e-07,5.493897588403556e-06,-2.146357841927788e-06,2.8584548044202413e-05,-0.02766166359490716,0.07421107258874922,0.6469714119792707,0.02407948709852053,6.461341303239843,0.16879680267876135
