DATE,std_RAD,std_TMAX,std_TMIN,std_RAIN,std_VAPO,std_WIND,std_q,std_TAVG,std_RH,std_dewpoint,std_lcl,std_tendt,std_tendq,std_bowen,std_R2,std_R1,RAD,TMAX,TMIN,RAIN,VAPO,WIND,q,TAVG,RH,dewpoint,lcl,tendt,tendq,bowen,R2,R1,rolling_mean_RAD,rolling_std_RAD,rolling_mean_TMAX,rolling_std_TMAX,rolling_mean_TMIN,rolling_std_TMIN,rolling_mean_RAIN,rolling_std_RAIN,rolling_mean_VAPO,rolling_std_VAPO,rolling_mean_WIND,rolling_std_WIND,rolling_mean_q,rolling_std_q,rolling_mean_TAVG,rolling_std_TAVG,rolling_mean_RH,rolling_std_RH,rolling_mean_dewpoint,rolling_std_dewpoint,rolling_mean_lcl,rolling_std_lcl,rolling_mean_tendt,rolling_std_tendt,rolling_mean_tendq,rolling_std_tendq,rolling_mean_bowen,rolling_std_bowen,rolling_mean_R2,rolling_std_R2,rolling_mean_R1,rolling_std_R1
1,1.3037699536168268,4.383149552547803,4.247461716658876,3.687738303229155,2.2007731138966995,1.3862211928124237,0.0013509803867197108,3.8386678274702506,0.2684200112745792,9.325912639353126,1009.4155083700288,4.21998157426884e-05,4.073994653900487e-05,1.9364678875357197,0.18485849285233177,0.25773276422843494,3.486666666666665,2.62,-2.4899999999999998,1.6700000000000002,5.1066666666666665,3.0333333333333337,0.0031348104284891856,0.06499999999999999,0.8019145529279772,-4.49193255630056,574.4633432038045,-2.401819923371628e-07,4.4407403626091755e-07,0.6063782799367374,0.7159592518340664,0.6751473954373023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.6195252603666042,4.622843082013442,4.151749388933025,3.91924957630658,2.2082109053029444,1.6716706489678788,0.0013555461960014128,4.038619600291921,0.2689042632605974,9.398266931531383,1063.119359301951,4.069996632151e-05,4.074288656904036e-05,1.9031180817676006,0.16245724224771516,0.25354002088873817,3.869999999999999,2.5033333333333334,-2.6433333333333326,1.55,5.003333333333333,2.900000000000001,0.0030713775803931243,-0.06999999999999997,0.7989479322027903,-4.833677121317644,601.7480707275942,-1.5671874999999985e-06,-1.6634273274940362e-06,0.7200043859102186,0.7081300770139013,0.6750406643691748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.3105627465496177,4.573381253728364,3.3148655075784506,4.8658899553392345,2.1141694926561967,1.805562923651338,0.0012978173446159926,3.7088977356882062,0.25896953949648627,9.299476009161785,975.0836408685853,2.182487239495508e-05,3.9004427364542736e-05,1.7782008932444755,0.13731851129644196,0.2291313915808184,3.7366666666666677,2.9066666666666667,-2.2166666666666672,1.7633333333333334,5.016666666666667,2.883333333333334,0.0030795624640184227,0.34500000000000014,0.7691153200734278,-4.725377627409461,635.9761589951037,4.817650462962962e-06,2.1463578419278226e-07,0.1375883557537248,0.7057000251638105,0.6416576873190928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.5711808283588171,4.80520431467249,5.0539491784989865,1.7871829756647044,2.188107879414089,2.5285587189943404,0.0013432056264451651,4.607819440906946,0.2171935183800566,8.382213343120116,899.8923903506186,3.767732971435593e-05,3.8588348687958854e-05,2.3113185325143393,0.18520109515345526,0.2118999038193333,3.996666666666668,2.5966666666666667,-2.7366666666666664,0.8666666666666668,5.133333333333334,3.0466666666666677,0.003151180195739781,-0.06999999999999998,0.8083164999931418,-4.13312170356807,523.7401442807018,-4.817650462962964e-06,1.8780631116868164e-06,0.9928309863623979,0.7003563190566662,0.676373381808121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.6651291758941082,4.208005506748724,5.821194924139508,0.9280061434596489,2.1182187268345647,1.2087848938252952,0.0013003030329051064,4.742764907257922,0.18141621906438346,7.1082109393802035,629.3677456304472,2.841607123520002e-05,2.3660932878954427e-05,1.428723930784139,0.16939380936301604,0.17542901080963286,3.990000000000001,2.46,-3.6299999999999994,0.5466666666666666,5.093333333333333,2.1433333333333326,0.003126625544863887,-0.5849999999999996,0.81959148418698,-3.8777891854622193,435.27345815794627,-5.978530092592591e-06,-6.43907352578337e-07,0.9024769804747651,0.6610633779835303,0.6663295718561179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.609883268417631,5.091778362866133,5.3837772494099685,3.2630093296001275,2.1171033127321897,1.009318650343406,0.0012996183178084595,4.940583752563248,0.18998904398937536,7.643175838215607,637.5361311242167,3.1735117381896006e-05,2.5506505477826553e-05,1.5364567617338887,0.17025249480974755,0.20922700841312247,4.000000000000001,2.3999999999999995,-3.6333333333333337,1.436666666666667,5.383333333333334,2.2299999999999995,0.00330464676371412,-0.6166666666666669,0.8644252660684882,-3.194618848211853,349.60898994157367,-3.676118827160502e-07,4.668328306192941e-06,1.1729435450864367,0.6636771041451881,0.7080251884781158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.7143780079151123,5.345855629718511,4.205143265699454,1.6477640719416142,2.186187044400238,1.6323454671539142,0.0013420264906162823,4.370428317471975,0.243503593204765,8.488131506425875,876.280943029903,2.5429822046439623e-05,3.264664071107392e-05,1.8097208400244975,0.22794358404893683,0.23868211303551998,4.056666666666667,2.21,-2.656666666666667,0.7733333333333333,5.070000000000001,2.1599999999999993,0.0031123019985196147,-0.22333333333333327,0.8076477294441102,-4.329135769778133,528.0315338710473,4.5661265432098774e-06,-5.043940928530303e-06,0.4306446320146267,0.7335694530043179,0.6861444153295531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.4620918725162797,5.302449011281615,5.904302931206043,0.985579938965863,2.53046722322501,1.4318383007659174,0.0015533684804796015,5.426175385144201,0.2831573365502123,10.795479655107712,1032.4769372044589,4.239607220646467e-05,3.0728954355342286e-05,1.7215614613507932,0.14787842081742147,0.272542416828139,3.723333333333333,1.03,-4.069999999999999,0.2633333333333333,4.813333333333333,2.3533333333333335,0.0029547429887326264,-1.5200000000000002,0.805971744927621,-6.051130623223776,589.7647016902982,-1.5052739197530859e-05,-4.1317388457109986e-06,1.0305313888467096,0.7009941049219408,0.6790759459787507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.3451530699549386,5.107717847453538,5.510904550572187,1.240615346020518,2.3615721434048433,1.6328383017127663,0.0014496894874885889,4.961502367945261,0.2577187334813179,10.454160215826933,945.0460069422505,2.201967135950946e-05,2.6955423933837083e-05,1.9741623909718753,0.22855785466001777,0.24469169284339354,3.6766666666666654,1.0533333333333332,-3.64,0.2866666666666667,4.756666666666665,2.3733333333333335,0.0029199572333251096,-1.293333333333333,0.780722433384238,-5.995964634964677,609.1265393798607,2.6313271604938257e-06,-9.122020828193125e-07,0.25085306488721426,0.7369641832443605,0.6722510441068807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.380304813912617,4.68858849430887,5.178052711691671,1.7596401147204315,2.494508912119513,1.69040905067995,0.0015312948860975446,4.614495215292137,0.31128617042004536,11.035111271587155,1194.3293810077132,3.201926584146751e-05,3.684366433719595e-05,2.281576901219415,0.19096070010708013,0.2886423388271301,3.739999999999999,0.83,-3.3866666666666663,0.6766666666666665,4.713333333333333,2.31,0.00289335636154289,-1.2783333333333329,0.8023730454349608,-6.436948879879822,657.2496997543647,1.7413194444444499e-07,-6.975662986265311e-07,0.45019363718440564,0.7562835596482725,0.6898727705448091,3.827666666666667,0.1840226099903341,2.061,0.7746158745380961,-3.110333333333333,0.6296764797384465,0.9833333333333334,0.5727818191472903,5.0089999999999995,0.2015008501038961,2.5433333333333334,0.37428780106315485,0.0030748561559338764,0.0001236945756374268,-0.5246666666666666,0.647209966502943,0.8059026008643734,0.02513350928157303,-4.806969695011622,1.0472474251149484,550.4982640002295,95.29856144934746,-1.5834665017028517e-06,5.907869031850548e-06,-5.887681597426061e-07,2.771083333067681e-06,0.6694445256457235,0.3515833553625362,0.7082697456016055,0.030123866220954726,0.6769918065227918,0.01702727624959168
