DATE,std_SRAD,std_TMAX,std_TMIN,std_RAIN,std_VAPO,std_WIND,std_q,std_TAVG,std_RH,std_dewpoint,std_lcl,std_tendt,std_tendq,std_bowen,std_R2,std_R1,SRAD,TMAX,TMIN,RAIN,VAPO,WIND,q,TAVG,RH,dewpoint,lcl,tendt,tendq,bowen,R2,R1,rolling_mean_SRAD,rolling_std_SRAD,rolling_mean_TMAX,rolling_std_TMAX,rolling_mean_TMIN,rolling_std_TMIN,rolling_mean_RAIN,rolling_std_RAIN,rolling_mean_VAPO,rolling_std_VAPO,rolling_mean_WIND,rolling_std_WIND,rolling_mean_q,rolling_std_q,rolling_mean_TAVG,rolling_std_TAVG,rolling_mean_RH,rolling_std_RH,rolling_mean_dewpoint,rolling_std_dewpoint,rolling_mean_lcl,rolling_std_lcl,rolling_mean_tendt,rolling_std_tendt,rolling_mean_tendq,rolling_std_tendq,rolling_mean_bowen,rolling_std_bowen,rolling_mean_R2,rolling_std_R2,rolling_mean_R1,rolling_std_R1
1,17.51460638386171,5.16591503616925,4.257628717825284,4.943217808153974,1.4416784598547607,2.479082607480566,0.0008849977814257698,4.1751347283650615,0.1285652384101281,3.719825701948135,280.42972808814824,3.006080044611597e-05,1.443097262653464e-05,1.6524326840725203,0.18734891456773853,0.15342532488371102,7.5166666666666675,4.376666666666666,-2.5466666666666664,2.7333333333333334,5.346666666666667,2.3366666666666664,0.003282138333744551,0.9149999999999998,0.8019091111774688,-2.307732738237507,418.5069284464608,2.682032247765008e-06,-1.1101850906523057e-06,1.4842529246278426,0.6371626615123024,0.6382155393276844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,17.622006878808712,5.011734505998965,3.581704788980004,5.148712594358938,1.4693653333186478,2.380379569848415,0.0009019938192195401,3.69309078418469,0.1780135654116441,4.0041823636577485,413.7489148812014,3.68620439906282e-05,2.6011528482438677e-05,1.2857718622880154,0.18003181675056953,0.18677073854887943,6.906666666666668,4.49,-2.536666666666667,1.78,5.44,2.2000000000000006,0.003339432519121638,0.9766666666666666,0.8198511986832354,-2.1178095475052787,400.8186433066133,7.158757716049377e-07,1.5024504893494514e-06,1.2235470594055473,0.6331694854302182,0.6565073876682821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17.48319258569515,5.225566020048455,3.4320681744427786,3.561449078707975,1.3045279235985239,2.4854611727764553,0.0008008056930454299,3.95874704432091,0.15368382897085517,3.7628508648466514,407.71667820987466,2.7361648025703246e-05,1.3330914701131176e-05,1.5045505356541364,0.16854161669525364,0.18400667591893383,7.806666666666669,4.203333333333333,-1.7566666666666668,1.4766666666666668,5.26,2.880000000000001,0.003228936590180113,1.223333333333333,0.7798354440447907,-2.5171844875596885,478.7472664057756,2.8635030864197533e-06,-2.8975830866025147e-06,0.7046326896893296,0.6768529587074928,0.6474079579339431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,17.510083794281474,5.153171102708807,5.044269538041538,2.197922216313743,1.6104686260223449,3.3559348698350386,0.0009886123714640004,4.563946983584003,0.14349249294545668,4.6179686795105255,317.1083210403353,3.1235512104637526e-05,1.8074220157257703e-05,2.0095070034657607,0.18851400608420513,0.1731310475343841,7.780000000000003,4.1000000000000005,-3.1499999999999995,1.15,5.153333333333334,2.733333333333333,0.0031634575211777283,0.47500000000000003,0.7875488111208119,-3.0153155859043155,455.51329272166316,-8.687249228395063e-06,-1.7170862735422327e-06,0.559766332139983,0.6214423197566553,0.6227406838074203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,17.46917679603233,6.173879906788621,6.783466207854465,4.3841787131121555,1.7803396292287321,2.414125100321025,0.00109289045090577,6.166986633513246,0.16199153904752048,5.570253915739739,366.26597987551844,3.158697280670129e-05,1.782364044320673e-05,1.2847895340387028,0.16975132779475546,0.161274794476319,7.960000000000002,4.209999999999999,-3.7100000000000004,1.6633333333333333,5.093333333333334,2.7600000000000002,0.0031266255448638867,0.2500000000000002,0.782347605600196,-3.424210315866839,488.1502783541761,-2.6119791666666668e-06,-9.658610288675072e-07,1.2087197380851717,0.585750772561285,0.5978763127291925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,17.472295311385846,7.263355514728253,6.762439368075439,2.08763188722335,1.8575722631014058,2.1094096793658403,0.0011403009599300021,6.581666455642775,0.1380901403519945,6.098741114090391,300.9020048064318,3.673818118831497e-05,1.5899966841422066e-05,2.2762714028235576,0.18698392252723994,0.15872774418079416,7.940000000000001,3.8233333333333346,-4.290000000000001,0.92,5.133333333333335,2.006666666666667,0.0031511801957397815,-0.2333333333333335,0.801935426256879,-3.4576730799218454,436.5531608624421,-5.610918209876546e-06,6.439073525783382e-07,0.6629815196242159,0.5858666590970465,0.6118527767860108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,17.490596488320275,6.195010970090387,5.593834865791725,2.5087891478770676,1.4431606437532036,2.703730925876358,0.0008859076441297734,5.311307607901009,0.16005772422507877,4.548893889011043,330.9821147459052,3.847634500638037e-05,1.8410571279590482e-05,1.634810275692376,0.17542508110869445,0.17146763732193257,7.8199999999999985,3.4333333333333327,-4.506666666666667,1.1666666666666667,4.973333333333334,2.246666666666667,0.003052961592236204,-0.5366666666666668,0.8239341064800771,-3.449362674729204,395.9100366863972,-3.521334876543208e-06,-2.575629410313348e-06,1.1777814482695137,0.5938232622938348,0.6346644495446709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,17.488446432450477,5.820495890711814,4.64303210482512,2.2280242265341257,1.624330100645207,2.8030381710754044,0.000997121463213737,4.74749449952167,0.12436061936346239,4.908861402897223,265.87049818938465,4.3036622373935665e-05,1.8799996505820915e-05,2.0631118380510567,0.1783019004958429,0.15515463673327018,7.790000000000001,3.21,-3.7133333333333334,1.0266666666666666,5.05,2.6566666666666663,0.0031000246730816684,-0.2516666666666667,0.8048017405927907,-3.354350283002366,413.708178734272,3.308506944444444e-06,1.2341557591084775e-06,0.9577667738413725,0.6340275830517739,0.641021561394473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,17.469569272730016,5.354114327308025,5.488337687744135,2.3342428440872247,1.8241168544944084,2.2612070827910404,0.0011197638129736218,4.9004855494827915,0.14734259267630373,5.170291804734862,339.4492901380164,2.4612991006931618e-05,1.2692823548919228e-05,2.059652689364211,0.17496922773828777,0.17959645208981112,7.936666666666668,3.236666666666667,-3.5766666666666667,1.1400000000000001,4.986666666666666,2.3266666666666667,0.003061146475861502,-0.16999999999999998,0.7878068723877854,-3.6435756111065194,460.6783262960618,9.480516975308649e-07,-1.0195199749156985e-06,0.4506367104866522,0.6390909104413219,0.6335299718967684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,17.48044687611006,5.267069677582189,5.086900011218811,2.991797214838038,1.6140332859875788,2.2159842524026545,0.0009908005959874406,4.717226927449799,0.14361223071936544,4.214952712361197,325.7259216633869,3.117253571027452e-05,1.7508690078044193e-05,1.7941917899088091,0.17380588985331002,0.15720366353193807,7.81333333333333,3.9933333333333336,-3.900000000000001,1.4533333333333334,5.02,2.19,0.003081608684924748,0.0466666666666665,0.796117474161653,-3.3025289905668425,446.47879045245935,2.515239197530862e-06,5.365894604819511e-07,1.2627414504323184,0.5893567531485163,0.6116671491052829,7.727000000000001,0.31447173026490355,3.9076666666666666,0.4656312587614824,-3.3686666666666674,0.864037607777764,1.451,0.5300478664618327,5.145666666666666,0.15740213498795244,2.433666666666667,0.29765109245475,0.0031587512130931824,9.662386179373902e-05,0.2694999999999999,0.6042754308229785,0.7986087790505689,0.01496291228017983,-3.0589743314400404,0.5455560831480656,439.5064902266321,31.923155760506376,-7.398272536185614e-07,4.146971674337914e-06,-6.368761803375388e-07,1.5495515287888019e-06,0.9692826646601947,0.3523657401929093,0.6196543366000447,0.03023003901297813,0.6295483790193729,0.01818690238804804
