Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2016-01-01 14:00:00,-1.54,-1.35,-1.63,56.57,,,0.0,1.7,2.4,1.3,Backa Topola,Zobnatica,Psenica
2016-01-01 15:00:00,-1.67,-1.61,-1.76,57.94,,,0.0,1.8,2.4,1.3,Backa Topola,Zobnatica,Psenica
2016-01-01 16:00:00,-1.65,-1.61,-1.67,60.44,,,0.0,1.9,2.4,1.3,Backa Topola,Zobnatica,Psenica
2016-01-01 17:00:00,-1.75,-1.66,-1.83,63.18,,,0.0,1.8,2.4,1.3,Backa Topola,Zobnatica,Psenica
2016-01-01 18:00:00,-2.0,-1.79,-2.62,68.84,,,0.0,1.8,2.4,1.3,Backa Topola,Zobnatica,Psenica
2016-01-01 19:00:00,-2.93,-2.75,-3.06,86.6,,,0.0,1.8,2.4,1.3,Backa Topola,Zobnatica,Psenica
2016-01-01 20:00:00,-2.96,-2.89,-3.06,94.83,,,0.0,1.8,2.3,1.3,Backa Topola,Zobnatica,Psenica
2016-01-01 21:00:00,-3.04,-2.97,-3.09,100.0,,,0.0,1.8,2.3,1.3,Backa Topola,Zobnatica,Psenica
2016-01-01 22:00:00,-3.07,-3.02,-3.15,100.0,,,0.0,1.6,1.9,1.3,Backa Topola,Zobnatica,Psenica
2016-01-01 23:00:00,-3.03,-3.0,-3.09,100.0,,,0.0,1.7,2.3,1.3,Backa Topola,Zobnatica,Psenica
2016-01-02 00:00:00,-3.02,-2.97,-3.06,100.0,,,0.0,1.8,2.3,1.3,Backa Topola,Zobnatica,Psenica
2016-01-02 01:00:00,-2.98,-2.94,-3.04,100.0,,,0.0,1.7,2.3,1.2,Backa Topola,Zobnatica,Psenica
2016-01-02 02:00:00,-2.94,-2.92,-2.99,100.0,,,0.0,1.7,2.3,1.2,Backa Topola,Zobnatica,Psenica
2016-01-02 03:00:00,-2.91,-2.89,-2.94,100.0,,,0.0,1.8,2.3,1.3,Backa Topola,Zobnatica,Psenica
