Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2018-03-29 00:00:00,2.48,3.21,1.92,85.92,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-29 01:00:00,2.82,3.49,2.43,87.18,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-29 02:00:00,6.09,7.3,2.67,65.83,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-29 03:00:00,6.4,7.28,4.57,60.63,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-29 04:00:00,4.02,6.13,3.02,73.06,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-29 05:00:00,0.97,2.23,0.4,87.93,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-29 06:00:00,0.6,1.19,0.27,94.44,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-29 07:00:00,5.63,8.37,2.07,76.3,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-29 08:00:00,10.25,11.43,8.55,52.44,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-29 09:00:00,12.1,13.69,10.79,49.15,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-29 10:00:00,14.36,15.19,13.02,44.46,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-29 11:00:00,15.2,15.5,14.87,41.69,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-29 12:00:00,16.32,16.93,15.63,37.23,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-29 13:00:00,16.86,17.06,16.67,37.28,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-29 14:00:00,17.41,17.91,16.76,35.82,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-29 15:00:00,17.98,18.24,17.68,32.24,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-29 16:00:00,17.29,17.62,16.87,36.37,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-29 17:00:00,16.12,16.31,15.74,40.58,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-29 18:00:00,13.75,15.59,12.5,52.47,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-29 19:00:00,12.11,12.85,11.52,61.4,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-29 20:00:00,11.15,11.55,10.41,65.99,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-29 21:00:00,10.14,10.34,9.79,75.89,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-29 22:00:00,9.47,9.79,9.33,81.24,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-29 23:00:00,9.13,9.37,8.88,84.36,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-30 00:00:00,7.9,8.7,7.44,90.02,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-30 01:00:00,7.24,7.81,6.71,91.27,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-30 02:00:00,7.65,7.88,7.17,87.61,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
2018-03-30 03:00:00,6.59,7.24,6.13,90.28,,,0.0,,,,Pancevo,Banatski Brestovac,Jabuka
