Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2016-04-09 00:00:00,12.03,12.22,11.88,94.55,,,0.0,13.5,13.7,13.4,Vrbas,Kula,Secerna Repa
2016-04-09 01:00:00,11.86,11.97,11.77,65.07,,,0.0,13.3,13.4,13.2,Vrbas,Kula,Secerna Repa
2016-04-09 02:00:00,11.74,11.82,11.63,97.43,,,0.0,13.1,13.2,13.1,Vrbas,Kula,Secerna Repa
2016-04-09 03:00:00,11.6,11.73,11.49,100.0,,,0.0,13.0,13.2,13.0,Vrbas,Kula,Secerna Repa
2016-04-09 04:00:00,11.49,11.71,11.43,95.65,,,0.0,12.9,13.0,12.8,Vrbas,Kula,Secerna Repa
2016-04-09 05:00:00,11.47,11.61,11.26,45.64,,,0.0,12.8,12.9,12.7,Vrbas,Kula,Secerna Repa
2016-04-09 06:00:00,11.03,11.17,10.92,16.5,,,0.0,12.7,12.8,12.6,Vrbas,Kula,Secerna Repa
2016-04-09 07:00:00,10.8,10.99,10.75,3.77,,,0.0,12.6,12.7,12.4,Vrbas,Kula,Secerna Repa
2016-04-09 08:00:00,10.86,11.03,10.72,0.0,,,0.0,12.5,12.7,12.4,Vrbas,Kula,Secerna Repa
2016-04-09 09:00:00,10.97,11.22,10.81,0.0,,,0.0,12.4,12.6,12.3,Vrbas,Kula,Secerna Repa
2016-04-09 10:00:00,11.64,11.82,11.37,0.0,,,0.0,12.5,12.6,12.5,Vrbas,Kula,Secerna Repa
2016-04-09 11:00:00,11.86,12.07,11.68,0.0,,,0.0,12.5,12.7,12.5,Vrbas,Kula,Secerna Repa
2016-04-09 12:00:00,12.36,12.92,11.79,0.0,,,0.0,12.6,12.8,12.6,Vrbas,Kula,Secerna Repa
2016-04-09 13:00:00,13.01,13.23,12.73,0.0,,,0.0,12.8,13.0,12.7,Vrbas,Kula,Secerna Repa
2016-04-09 14:00:00,13.16,13.41,12.96,0.0,,,0.0,13.0,13.1,13.0,Vrbas,Kula,Secerna Repa
2016-04-09 15:00:00,13.78,13.96,13.4,0.0,,,0.0,13.1,13.3,13.0,Vrbas,Kula,Secerna Repa
2016-04-09 16:00:00,13.89,14.15,13.59,0.0,,,0.0,13.4,13.5,13.3,Vrbas,Kula,Secerna Repa
2016-04-09 17:00:00,13.43,13.71,13.18,0.0,,,0.0,13.4,13.5,13.3,Vrbas,Kula,Secerna Repa
2016-04-09 18:00:00,12.95,13.18,12.76,8.33,,,0.0,13.2,13.4,13.2,Vrbas,Kula,Secerna Repa
2016-04-09 19:00:00,12.52,12.76,12.23,33.33,,,0.0,13.1,13.3,13.0,Vrbas,Kula,Secerna Repa
2016-04-09 20:00:00,11.98,12.21,11.79,0.0,,,0.0,12.9,13.1,12.7,Vrbas,Kula,Secerna Repa
2016-04-09 21:00:00,11.46,11.73,11.36,0.0,,,0.0,12.7,12.9,12.6,Vrbas,Kula,Secerna Repa
2016-04-09 22:00:00,11.08,11.3,10.9,0.0,,,0.0,12.5,12.7,12.3,Vrbas,Kula,Secerna Repa
2016-04-09 23:00:00,10.67,10.87,10.46,0.0,,,0.0,12.4,12.6,12.3,Vrbas,Kula,Secerna Repa
2016-04-10 00:00:00,10.38,10.45,10.18,0.0,,,0.0,12.2,12.3,12.1,Vrbas,Kula,Secerna Repa
2016-04-10 01:00:00,10.03,10.2,9.9,0.0,,,0.0,12.1,12.2,12.0,Vrbas,Kula,Secerna Repa
2016-04-10 02:00:00,9.8,9.92,9.72,0.0,,,0.0,11.9,12.0,11.9,Vrbas,Kula,Secerna Repa
2016-04-10 03:00:00,9.58,9.69,9.39,0.0,,,0.0,11.7,11.9,11.6,Vrbas,Kula,Secerna Repa
2016-04-10 04:00:00,9.07,9.4,8.8,0.0,,,0.0,11.6,11.7,11.5,Vrbas,Kula,Secerna Repa
2016-04-10 05:00:00,8.49,8.75,8.32,0.0,,,0.0,11.4,11.6,11.3,Vrbas,Kula,Secerna Repa
2016-04-10 06:00:00,8.11,8.27,8.01,0.0,,,0.0,11.2,11.4,11.1,Vrbas,Kula,Secerna Repa
2016-04-10 07:00:00,8.57,8.75,8.32,0.0,,,0.0,11.1,11.2,10.9,Vrbas,Kula,Secerna Repa
2016-04-10 08:00:00,9.11,9.69,8.71,0.0,,,0.0,11.1,11.4,11.0,Vrbas,Kula,Secerna Repa
2016-04-10 09:00:00,10.06,10.8,9.51,0.0,,,0.0,11.3,11.5,11.1,Vrbas,Kula,Secerna Repa
2016-04-10 10:00:00,11.31,12.06,10.55,0.0,,,0.0,11.7,12.1,11.5,Vrbas,Kula,Secerna Repa
2016-04-10 11:00:00,12.22,12.52,11.83,0.0,,,0.0,12.3,12.7,12.1,Vrbas,Kula,Secerna Repa
2016-04-10 12:00:00,12.89,13.5,12.18,0.0,,,0.0,12.7,12.9,12.6,Vrbas,Kula,Secerna Repa
2016-04-10 13:00:00,13.33,13.63,13.01,0.0,,,0.0,13.1,13.3,13.0,Vrbas,Kula,Secerna Repa
2016-04-10 14:00:00,13.65,13.99,13.28,0.0,,,0.0,13.4,13.6,13.3,Vrbas,Kula,Secerna Repa
2016-04-10 15:00:00,13.87,14.2,13.53,0.0,,,0.0,13.6,13.8,13.4,Vrbas,Kula,Secerna Repa
2016-04-10 16:00:00,13.85,14.21,13.33,0.0,,,0.0,13.7,13.8,13.7,Vrbas,Kula,Secerna Repa
2016-04-10 17:00:00,13.47,13.86,13.25,0.0,,,0.0,13.6,13.8,13.5,Vrbas,Kula,Secerna Repa
2016-04-10 18:00:00,13.14,13.26,12.99,0.0,,,0.0,13.5,13.7,13.4,Vrbas,Kula,Secerna Repa
2016-04-10 19:00:00,12.83,12.95,12.72,0.0,,,0.0,13.3,13.6,13.1,Vrbas,Kula,Secerna Repa
2016-04-10 20:00:00,12.45,12.68,12.18,0.0,,,0.0,13.0,13.1,12.9,Vrbas,Kula,Secerna Repa
2016-04-10 21:00:00,12.1,12.19,11.98,0.0,,,0.0,12.8,12.9,12.6,Vrbas,Kula,Secerna Repa
2016-04-10 22:00:00,11.86,11.97,11.71,0.0,,,0.0,12.6,12.7,12.5,Vrbas,Kula,Secerna Repa
2016-04-10 23:00:00,11.48,11.64,11.28,0.0,,,0.0,12.4,12.7,12.1,Vrbas,Kula,Secerna Repa
2016-04-11 00:00:00,11.05,11.25,10.79,0.0,,,0.0,12.2,12.3,12.1,Vrbas,Kula,Secerna Repa
2016-04-11 01:00:00,10.63,10.74,10.48,0.0,,,0.0,12.1,12.2,12.0,Vrbas,Kula,Secerna Repa
2016-04-11 02:00:00,10.34,10.46,10.27,0.0,,,0.0,11.9,12.0,11.9,Vrbas,Kula,Secerna Repa
2016-04-11 03:00:00,10.2,10.26,10.09,0.0,,,0.0,11.8,12.0,11.7,Vrbas,Kula,Secerna Repa
2016-04-11 04:00:00,9.72,10.07,9.31,0.0,,,0.0,11.6,11.8,11.5,Vrbas,Kula,Secerna Repa
2016-04-11 05:00:00,8.9,9.24,8.55,0.0,,,0.0,11.4,11.6,11.4,Vrbas,Kula,Secerna Repa
2016-04-11 06:00:00,8.25,8.55,8.06,0.0,,,0.0,11.4,11.5,11.3,Vrbas,Kula,Secerna Repa
2016-04-11 07:00:00,8.32,8.48,8.14,0.0,,,0.0,11.2,11.4,11.1,Vrbas,Kula,Secerna Repa
2016-04-11 08:00:00,9.38,9.93,8.66,0.0,,,0.0,11.1,11.4,11.0,Vrbas,Kula,Secerna Repa
2016-04-11 09:00:00,10.73,11.48,9.95,0.0,,,0.0,11.4,11.6,11.3,Vrbas,Kula,Secerna Repa
2016-04-11 10:00:00,12.14,13.02,11.44,0.0,,,0.0,11.8,12.2,11.5,Vrbas,Kula,Secerna Repa
2016-04-11 11:00:00,13.92,14.59,12.67,34.23,,,0.0,12.6,13.0,12.2,Vrbas,Kula,Secerna Repa
2016-04-11 12:00:00,15.47,16.63,14.69,58.3,,,0.0,13.5,14.1,13.0,Vrbas,Kula,Secerna Repa
2016-04-11 13:00:00,16.91,17.76,16.21,57.16,,,0.0,14.6,15.1,14.2,Vrbas,Kula,Secerna Repa
2016-04-11 14:00:00,18.12,18.63,17.6,55.28,,,0.0,15.5,15.7,15.4,Vrbas,Kula,Secerna Repa
2016-04-11 15:00:00,18.54,18.9,17.93,52.82,,,0.0,15.7,16.1,15.6,Vrbas,Kula,Secerna Repa
2016-04-11 16:00:00,18.12,18.66,17.84,53.36,,,0.0,15.6,15.8,15.6,Vrbas,Kula,Secerna Repa
2016-04-11 17:00:00,18.12,18.52,17.88,54.04,,,0.0,15.4,15.6,15.3,Vrbas,Kula,Secerna Repa
2016-04-11 18:00:00,17.49,18.2,16.61,55.58,,,0.0,15.1,15.4,14.9,Vrbas,Kula,Secerna Repa
2016-04-11 19:00:00,15.11,16.39,13.83,61.56,,,0.0,14.7,15.0,14.5,Vrbas,Kula,Secerna Repa
2016-04-11 20:00:00,12.18,13.66,10.94,71.85,,,0.0,14.2,14.5,13.9,Vrbas,Kula,Secerna Repa
2016-04-11 21:00:00,10.65,11.72,9.71,85.44,,,0.0,13.7,14.0,13.6,Vrbas,Kula,Secerna Repa
2016-04-11 22:00:00,9.62,10.63,8.72,98.14,,,0.0,13.3,13.5,13.1,Vrbas,Kula,Secerna Repa
2016-04-11 23:00:00,7.86,8.7,7.28,83.33,,,0.0,12.8,13.0,12.5,Vrbas,Kula,Secerna Repa
2016-04-12 00:00:00,7.26,7.82,6.86,0.0,,,0.0,12.4,12.7,12.3,Vrbas,Kula,Secerna Repa
2016-04-12 01:00:00,7.4,8.1,6.55,0.0,,,0.0,12.0,12.2,11.7,Vrbas,Kula,Secerna Repa
2016-04-12 02:00:00,7.69,8.1,7.26,0.0,,,0.0,11.6,11.8,11.4,Vrbas,Kula,Secerna Repa
2016-04-12 03:00:00,6.69,7.31,6.01,0.0,,,0.0,11.3,11.5,11.2,Vrbas,Kula,Secerna Repa
2016-04-12 04:00:00,5.54,6.15,5.14,0.0,,,0.0,11.0,11.2,10.8,Vrbas,Kula,Secerna Repa
2016-04-12 05:00:00,5.25,5.95,4.78,0.0,,,0.0,10.7,10.9,10.7,Vrbas,Kula,Secerna Repa
2016-04-12 06:00:00,5.91,7.6,5.17,0.0,,,0.0,10.5,10.7,10.3,Vrbas,Kula,Secerna Repa
2016-04-12 07:00:00,10.01,11.51,8.14,0.0,,,0.0,10.4,10.6,10.3,Vrbas,Kula,Secerna Repa
2016-04-12 08:00:00,13.5,15.17,11.74,0.0,,,0.0,10.8,11.1,10.6,Vrbas,Kula,Secerna Repa
2016-04-12 09:00:00,16.58,18.22,15.14,0.0,,,0.0,11.6,12.2,11.2,Vrbas,Kula,Secerna Repa
2016-04-12 10:00:00,19.73,20.74,18.52,0.0,,,0.0,12.6,13.3,12.1,Vrbas,Kula,Secerna Repa
2016-04-12 11:00:00,21.29,21.75,20.71,0.0,,,0.0,14.0,14.6,13.4,Vrbas,Kula,Secerna Repa
2016-04-12 12:00:00,22.57,23.33,21.89,0.0,,,0.0,15.4,16.4,14.7,Vrbas,Kula,Secerna Repa
2016-04-12 13:00:00,23.4,24.08,22.53,0.0,,,0.0,16.7,17.3,16.1,Vrbas,Kula,Secerna Repa
2016-04-12 14:00:00,23.92,24.51,23.46,0.0,,,0.0,17.5,17.7,17.3,Vrbas,Kula,Secerna Repa
2016-04-12 15:00:00,24.34,24.83,24.0,0.0,,,0.0,17.4,17.6,17.2,Vrbas,Kula,Secerna Repa
2016-04-12 16:00:00,24.51,25.0,24.2,0.0,,,0.0,16.9,17.2,16.6,Vrbas,Kula,Secerna Repa
2016-04-12 17:00:00,24.14,24.37,23.88,0.0,,,0.0,16.6,16.8,16.3,Vrbas,Kula,Secerna Repa
2016-04-12 18:00:00,23.22,23.77,22.1,0.0,,,0.0,16.2,16.6,16.1,Vrbas,Kula,Secerna Repa
2016-04-12 19:00:00,19.53,21.76,17.87,0.0,,,0.0,15.9,16.1,15.6,Vrbas,Kula,Secerna Repa
2016-04-12 20:00:00,16.85,17.75,16.19,0.0,,,0.0,15.5,15.7,15.3,Vrbas,Kula,Secerna Repa
2016-04-12 21:00:00,15.57,15.9,15.06,0.0,,,0.0,15.0,15.2,14.9,Vrbas,Kula,Secerna Repa
2016-04-12 22:00:00,15.32,16.11,14.56,0.0,,,0.0,14.5,15.0,14.3,Vrbas,Kula,Secerna Repa
2016-04-12 23:00:00,13.13,15.03,11.55,0.0,,,0.0,14.1,14.4,13.9,Vrbas,Kula,Secerna Repa
2016-04-13 00:00:00,12.58,13.19,11.74,0.0,,,0.0,13.8,14.0,13.6,Vrbas,Kula,Secerna Repa
2016-04-13 01:00:00,12.84,13.09,12.64,0.0,,,0.0,13.5,13.8,13.2,Vrbas,Kula,Secerna Repa
2016-04-13 02:00:00,12.27,13.3,11.19,0.0,,,0.0,13.1,13.4,13.0,Vrbas,Kula,Secerna Repa
2016-04-13 03:00:00,10.49,11.43,9.94,0.0,,,0.0,12.8,13.0,12.8,Vrbas,Kula,Secerna Repa
2016-04-13 04:00:00,8.85,9.97,8.45,6.97,,,0.0,12.5,12.7,12.4,Vrbas,Kula,Secerna Repa
2016-04-13 05:00:00,8.56,8.98,7.93,0.0,,,0.0,12.1,12.5,12.0,Vrbas,Kula,Secerna Repa
2016-04-13 06:00:00,9.18,10.96,8.17,0.0,,,0.0,11.9,12.1,11.8,Vrbas,Kula,Secerna Repa
