Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2016-01-01 14:00:00,-1.02,-0.81,-1.21,55.23,,,0.0,0.8,0.9,0.7,Novi Sad,Temerin,Psenica i Secerna Repa
2016-01-01 15:00:00,-1.2,-1.06,-1.32,54.57,,,0.0,0.8,0.9,0.8,Novi Sad,Temerin,Psenica i Secerna Repa
2016-01-01 16:00:00,-1.26,-1.16,-1.35,56.26,,,0.0,0.8,0.9,0.8,Novi Sad,Temerin,Psenica i Secerna Repa
2016-01-01 17:00:00,-1.36,-1.31,-1.41,59.14,,,0.0,0.8,0.9,0.8,Novi Sad,Temerin,Psenica i Secerna Repa
2016-01-01 18:00:00,-1.54,-1.36,-1.76,65.85,,,0.0,0.8,0.9,0.8,Novi Sad,Temerin,Psenica i Secerna Repa
2016-01-01 19:00:00,-1.69,-1.58,-1.91,72.33,,,0.0,0.8,0.9,0.6,Novi Sad,Temerin,Psenica i Secerna Repa
2016-01-01 20:00:00,-2.07,-1.9,-2.24,81.65,,,0.0,0.8,0.9,0.8,Novi Sad,Temerin,Psenica i Secerna Repa
2016-01-01 21:00:00,-2.44,-2.24,-2.8,88.85,,,0.0,0.8,0.9,0.8,Novi Sad,Temerin,Psenica i Secerna Repa
2016-01-01 22:00:00,-2.79,-2.74,-2.84,96.98,,,0.0,0.8,0.9,0.8,Novi Sad,Temerin,Psenica i Secerna Repa
2016-01-01 23:00:00,-2.79,-2.74,-2.84,95.95,,,0.0,0.8,0.9,0.8,Novi Sad,Temerin,Psenica i Secerna Repa
2016-01-02 00:00:00,-2.72,-2.69,-2.81,97.02,,,0.0,0.8,0.9,0.8,Novi Sad,Temerin,Psenica i Secerna Repa
2016-01-02 01:00:00,-2.6,-2.51,-2.66,97.99,,,0.0,0.7,0.9,0.7,Novi Sad,Temerin,Psenica i Secerna Repa
2016-01-02 02:00:00,-2.44,-2.39,-2.49,95.15,,,0.0,0.8,0.9,0.8,Novi Sad,Temerin,Psenica i Secerna Repa
2016-01-02 03:00:00,-2.35,-2.31,-2.38,95.11,,,0.0,0.8,0.9,0.7,Novi Sad,Temerin,Psenica i Secerna Repa
2016-01-02 04:00:00,-2.34,-2.32,-2.38,89.35,,,0.0,0.8,0.9,0.8,Novi Sad,Temerin,Psenica i Secerna Repa
2016-01-02 05:00:00,-2.42,-2.35,-2.48,90.56,,,0.0,0.8,0.9,0.8,Novi Sad,Temerin,Psenica i Secerna Repa
2016-01-02 06:00:00,-2.47,-2.44,-2.5,87.32,,,0.0,0.7,0.9,0.7,Novi Sad,Temerin,Psenica i Secerna Repa
