Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2011-03-05 00:00:00,-9.65,-8.89,-10.37,100.0,,,0.0,-0.1,0.0,-0.3,Zrenjanin,Novi Becej,Jabuka
2011-03-05 01:00:00,-10.22,-9.64,-10.79,100.0,,,0.0,-0.2,0.0,-0.3,Zrenjanin,Novi Becej,Jabuka
2011-03-05 02:00:00,-11.03,-10.32,-11.59,100.0,,,0.0,-0.1,0.0,-0.3,Zrenjanin,Novi Becej,Jabuka
2011-03-05 03:00:00,-11.02,-10.64,-11.85,100.0,,,0.0,-0.2,-0.1,-0.3,Zrenjanin,Novi Becej,Jabuka
2011-03-05 04:00:00,-11.05,-10.5,-11.59,100.0,,,0.0,-0.2,-0.1,-0.3,Zrenjanin,Novi Becej,Jabuka
2011-03-05 05:00:00,-12.05,-10.77,-12.59,99.91,,,0.0,-0.2,-0.1,-0.3,Zrenjanin,Novi Becej,Jabuka
2011-03-05 06:00:00,-11.8,-11.35,-12.4,99.99,,,0.0,-0.1,-0.1,-0.5,Zrenjanin,Novi Becej,Jabuka
2011-03-05 07:00:00,-11.14,-10.98,-11.35,100.0,,,0.0,-0.2,-0.1,-0.3,Zrenjanin,Novi Becej,Jabuka
2011-03-05 08:00:00,-10.4,-9.46,-11.27,100.0,,,0.0,-0.2,0.0,-0.5,Zrenjanin,Novi Becej,Jabuka
2011-03-05 09:00:00,-7.38,-5.56,-9.22,100.0,,,0.0,-0.3,0.0,-0.5,Zrenjanin,Novi Becej,Jabuka
2011-03-05 10:00:00,-5.59,-4.73,-6.66,100.0,,,0.0,-0.1,0.0,-0.4,Zrenjanin,Novi Becej,Jabuka
2011-03-05 11:00:00,-3.85,-2.83,-4.99,100.0,,,0.0,-0.3,0.0,-0.5,Zrenjanin,Novi Becej,Jabuka
2011-03-05 12:00:00,-2.66,-1.65,-3.17,100.0,,,0.0,-0.3,0.0,-0.6,Zrenjanin,Novi Becej,Jabuka
2011-03-05 13:00:00,-1.76,-1.01,-2.38,100.0,,,0.0,-0.3,-0.1,-0.6,Zrenjanin,Novi Becej,Jabuka
2011-03-05 14:00:00,-1.03,-0.47,-1.47,100.0,,,0.0,-0.2,0.0,-0.5,Zrenjanin,Novi Becej,Jabuka
2011-03-05 15:00:00,-0.25,0.22,-1.16,100.0,,,0.0,-0.2,0.0,-0.5,Zrenjanin,Novi Becej,Jabuka
2011-03-05 16:00:00,-0.06,0.05,-0.2,100.0,,,0.0,-0.3,0.0,-0.5,Zrenjanin,Novi Becej,Jabuka
2011-03-05 17:00:00,-0.25,-0.06,-0.41,100.0,,,0.0,-0.2,0.0,-0.5,Zrenjanin,Novi Becej,Jabuka
2011-03-05 18:00:00,-0.66,-0.48,-0.84,100.0,,,0.0,-0.2,0.0,-0.4,Zrenjanin,Novi Becej,Jabuka
2011-03-05 19:00:00,-0.49,-0.15,-0.87,100.0,,,0.0,-0.3,-0.1,-0.5,Zrenjanin,Novi Becej,Jabuka
2011-03-05 20:00:00,-0.1,0.1,-0.22,100.0,,,0.0,-0.3,-0.1,-0.5,Zrenjanin,Novi Becej,Jabuka
2011-03-05 21:00:00,0.16,0.53,-0.07,97.94,,,0.0,-0.2,0.0,-0.5,Zrenjanin,Novi Becej,Jabuka
2011-03-05 22:00:00,-1.54,-0.28,-2.6,100.0,,,0.0,-0.2,0.0,-0.5,Zrenjanin,Novi Becej,Jabuka
2011-03-05 23:00:00,-3.12,-2.65,-3.42,100.0,,,0.0,-0.3,-0.1,-0.5,Zrenjanin,Novi Becej,Jabuka
2011-03-06 00:00:00,-2.09,-1.66,-2.92,100.0,,,0.0,-0.2,0.0,-0.5,Zrenjanin,Novi Becej,Jabuka
2011-03-06 01:00:00,-1.54,-1.43,-1.61,100.0,,,0.0,-0.3,-0.1,-0.5,Zrenjanin,Novi Becej,Jabuka
