Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2015-03-24 00:00:00,6.51,7.05,6.17,69.24,,,0.0,4.9,5.3,4.6,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-24 01:00:00,6.16,6.25,6.03,69.71,,,0.0,4.4,4.6,4.3,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-24 02:00:00,5.94,6.29,5.59,69.49,,,0.0,4.2,4.4,4.0,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-24 03:00:00,6.16,6.41,5.74,69.01,,,0.0,4.2,4.4,3.9,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-24 04:00:00,6.41,6.6,6.24,68.31,,,0.0,4.4,4.6,4.1,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-24 05:00:00,6.41,6.57,6.19,68.67,,,0.0,4.4,4.7,4.4,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-24 06:00:00,6.11,6.29,5.97,69.1,,,0.0,4.3,4.4,4.3,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-24 07:00:00,6.72,7.32,6.28,65.8,,,0.0,5.4,6.9,4.7,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-24 08:00:00,8.74,8.74,8.74,59.79,,,0.0,9.2,9.2,9.2,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-24 09:00:00,9.86,10.57,8.83,56.2,,,0.0,12.7,16.2,9.2,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-24 10:00:00,11.49,12.79,10.75,51.65,,,0.0,18.3,20.6,16.5,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-24 11:00:00,12.76,13.38,12.25,48.58,,,0.0,22.1,22.8,20.9,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-24 12:00:00,13.42,13.91,12.81,47.69,,,0.0,22.3,23.5,21.5,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-24 13:00:00,14.36,15.25,13.57,46.7,,,1.8,15.9,23.6,11.4,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-24 14:00:00,14.51,14.92,14.16,46.2,,,0.0,11.9,12.2,11.6,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-24 15:00:00,14.95,15.4,14.54,44.99,,,0.0,12.3,12.4,12.2,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-24 16:00:00,14.45,14.83,14.12,46.48,,,0.0,12.1,12.3,12.0,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-24 17:00:00,13.72,14.13,13.13,48.78,,,0.0,12.0,12.2,11.8,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-24 18:00:00,12.24,13.03,11.39,52.99,,,0.0,11.4,11.8,11.1,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-24 19:00:00,11.1,11.1,11.1,57.43,,,0.0,10.3,10.3,10.3,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-24 20:00:00,11.01,11.2,10.79,58.51,,,0.0,9.8,10.1,9.7,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-24 21:00:00,11.32,11.45,11.15,59.43,,,0.0,9.4,9.5,9.3,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-24 22:00:00,11.47,11.67,11.17,59.89,,,0.0,9.2,9.5,9.2,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-24 23:00:00,11.29,11.63,11.04,60.78,,,0.0,9.0,9.2,8.9,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-25 00:00:00,11.44,11.6,11.28,59.93,,,0.0,8.7,8.9,8.7,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-25 01:00:00,11.45,11.66,11.15,59.41,,,0.0,8.6,8.8,8.6,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-25 02:00:00,10.81,11.27,10.32,61.77,,,0.0,8.5,8.8,8.4,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-25 03:00:00,10.46,10.65,10.26,62.78,,,0.0,8.3,8.4,8.2,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-25 04:00:00,10.83,11.13,10.51,60.02,,,0.0,8.1,8.3,8.1,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-25 05:00:00,11.38,11.64,11.13,57.26,,,0.0,8.0,8.2,7.9,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-25 06:00:00,11.11,11.43,10.61,57.72,,,0.0,8.0,8.1,7.9,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-25 07:00:00,11.57,11.81,11.39,56.57,,,0.0,7.9,8.1,7.9,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-25 08:00:00,12.53,13.14,11.8,53.79,,,0.0,8.1,8.4,8.0,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-25 09:00:00,13.94,14.42,13.3,49.28,,,0.0,8.7,8.9,8.5,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-25 10:00:00,14.47,15.08,14.09,48.45,,,0.0,9.4,9.8,9.1,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-25 11:00:00,15.28,15.88,14.34,46.32,,,0.0,10.2,10.6,9.8,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-25 12:00:00,15.52,15.81,15.19,45.86,,,0.0,10.8,11.1,10.7,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-25 13:00:00,15.95,16.1,15.78,44.98,,,0.0,11.2,11.3,11.1,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-25 14:00:00,15.64,16.0,15.26,46.37,,,0.0,11.3,11.4,11.3,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-25 15:00:00,14.55,15.19,13.64,51.23,,,0.0,11.2,11.4,11.0,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-25 16:00:00,12.94,13.49,12.53,64.2,,,0.0,10.8,11.0,10.7,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-25 17:00:00,12.98,13.22,12.65,64.93,,,0.0,10.5,10.7,10.3,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-25 18:00:00,12.85,13.38,12.35,66.77,,,0.0,10.3,10.5,10.3,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-25 19:00:00,12.31,12.39,12.23,70.63,,,0.0,10.1,10.3,10.0,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-25 20:00:00,12.59,12.78,12.31,68.56,,,0.0,9.9,10.1,9.6,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-25 21:00:00,12.76,12.93,12.6,66.97,,,0.0,9.8,9.9,9.7,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-25 22:00:00,13.16,13.41,12.82,63.86,,,0.0,9.7,9.8,9.6,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-25 23:00:00,13.33,13.48,13.22,61.81,,,0.0,9.6,9.7,9.6,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-26 00:00:00,13.28,13.41,13.08,60.9,,,0.0,9.4,9.6,9.3,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-26 01:00:00,12.61,13.17,12.33,61.98,,,0.0,9.2,9.5,9.2,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-26 02:00:00,11.79,11.95,11.56,65.4,,,0.0,9.0,9.0,9.0,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-26 03:00:00,11.1,11.58,10.54,67.47,,,0.0,8.8,9.0,8.6,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-26 04:00:00,12.71,12.71,12.71,59.28,,,0.0,8.4,8.4,8.4,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-26 05:00:00,12.28,12.28,12.28,61.51,,,0.0,8.5,8.5,8.5,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-26 06:00:00,12.67,13.01,12.33,59.61,,,0.0,8.5,8.6,8.4,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-26 07:00:00,13.52,13.9,12.99,56.52,,,0.0,8.6,8.8,8.5,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-26 08:00:00,14.61,15.32,13.96,53.05,,,0.0,8.9,9.2,8.7,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-26 09:00:00,15.52,16.14,15.05,49.62,,,0.0,9.4,9.7,9.2,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-26 10:00:00,17.99,18.11,17.88,44.46,,,0.0,10.2,10.2,10.2,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-26 11:00:00,18.57,19.18,17.86,43.3,,,0.0,11.1,12.0,10.4,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-26 12:00:00,20.24,20.36,20.05,41.04,,,0.0,12.5,12.7,12.5,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-26 13:00:00,19.9,20.85,19.08,41.04,,,0.0,13.3,13.8,12.7,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-26 14:00:00,20.09,21.94,19.42,41.42,,,0.0,14.0,14.1,13.8,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-26 15:00:00,21.66,22.11,21.46,38.16,,,0.0,14.2,14.5,14.0,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-26 16:00:00,21.43,21.73,21.13,38.14,,,0.0,14.6,14.8,14.4,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-26 17:00:00,20.39,21.07,19.22,39.86,,,0.0,14.8,15.0,14.7,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-26 18:00:00,17.99,18.46,17.23,46.37,,,0.0,14.2,14.6,13.9,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-26 19:00:00,16.61,17.46,14.99,50.65,,,0.0,13.6,13.9,13.3,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-26 20:00:00,13.51,14.12,12.89,61.46,,,0.0,12.8,13.2,12.6,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-26 21:00:00,13.47,15.29,11.04,61.89,,,0.0,12.2,12.6,12.0,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-26 22:00:00,11.46,12.37,11.06,71.82,,,0.0,11.7,12.0,11.4,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-26 23:00:00,10.94,11.18,10.6,75.92,,,0.0,11.2,11.5,11.0,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-27 00:00:00,13.53,15.01,10.45,66.14,,,0.0,10.8,11.1,10.7,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-27 01:00:00,13.46,14.19,12.46,65.53,,,0.0,10.6,10.9,10.6,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-27 02:00:00,14.04,15.43,12.59,62.85,,,0.0,10.5,10.6,10.5,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-27 03:00:00,15.1,15.66,14.78,56.52,,,0.0,10.4,10.6,10.4,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-27 04:00:00,14.09,15.02,12.81,60.3,,,0.0,10.4,10.6,10.3,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-27 05:00:00,13.93,14.42,13.44,59.81,,,0.0,10.3,10.4,10.2,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-27 06:00:00,13.22,13.72,12.89,62.92,,,0.0,10.2,10.3,10.2,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-27 07:00:00,13.54,14.24,13.22,62.15,,,0.0,10.2,10.4,10.2,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-27 08:00:00,14.96,15.2,14.51,60.05,,,0.0,10.4,10.6,10.2,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-27 09:00:00,16.75,16.75,16.75,48.03,,,0.0,11.0,11.0,11.0,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-27 10:00:00,17.57,18.23,16.7,48.36,,,0.0,11.4,11.7,11.1,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-27 11:00:00,19.6,20.04,19.29,43.52,,,0.0,12.8,13.0,12.6,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-27 12:00:00,18.79,19.04,18.66,46.07,,,0.0,14.2,14.4,14.1,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-27 13:00:00,17.35,18.41,16.31,51.82,,,0.0,14.3,14.5,14.2,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-27 14:00:00,15.57,16.09,15.18,66.13,,,0.0,13.6,13.8,13.5,Vrsac,Bela Crkva Tirovo,Jabuka
2015-03-27 15:00:00,14.25,15.19,13.73,80.83,,,0.0,13.4,13.7,13.3,Vrsac,Bela Crkva Tirovo,Jabuka
