Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2016-01-01 16:00:00,-1.72,-1.67,-1.79,59.4,,,0.0,1.0,1.1,1.0,Kikinda,Novi Knezevac,Psenica i Paprika
2016-01-01 17:00:00,-1.79,-1.73,-1.84,61.33,,,0.0,1.0,1.1,1.0,Kikinda,Novi Knezevac,Psenica i Paprika
2016-01-01 18:00:00,-2.26,-1.86,-2.73,70.43,,,0.0,1.0,1.1,1.0,Kikinda,Novi Knezevac,Psenica i Paprika
2016-01-01 19:00:00,-2.95,-2.8,-3.13,85.11,,,0.0,0.9,1.1,0.8,Kikinda,Novi Knezevac,Psenica i Paprika
2016-01-01 20:00:00,-3.1,-3.03,-3.18,91.3,,,0.0,0.9,1.0,0.8,Kikinda,Novi Knezevac,Psenica i Paprika
2016-01-01 21:00:00,-3.01,-2.96,-3.08,90.78,,,0.0,0.9,1.0,0.9,Kikinda,Novi Knezevac,Psenica i Paprika
2016-01-01 22:00:00,-2.99,-2.96,-3.03,92.57,,,0.0,0.9,1.0,0.9,Kikinda,Novi Knezevac,Psenica i Paprika
2016-01-01 23:00:00,-3.06,-3.01,-3.09,95.87,,,0.0,0.9,1.0,0.8,Kikinda,Novi Knezevac,Psenica i Paprika
2016-01-02 00:00:00,-3.03,-3.01,-3.06,97.59,,,0.0,0.9,1.0,0.9,Kikinda,Novi Knezevac,Psenica i Paprika
2016-01-02 01:00:00,-3.15,-3.05,-3.31,98.92,,,0.0,0.9,1.0,0.9,Kikinda,Novi Knezevac,Psenica i Paprika
2016-01-02 02:00:00,-3.41,-3.32,-3.51,100.0,,,0.0,0.9,1.0,0.9,Kikinda,Novi Knezevac,Psenica i Paprika
2016-01-02 03:00:00,-3.44,-3.41,-3.47,99.66,,,0.0,0.9,1.0,0.9,Kikinda,Novi Knezevac,Psenica i Paprika
2016-01-02 04:00:00,-3.38,-3.34,-3.41,98.78,,,0.0,0.9,1.0,0.8,Kikinda,Novi Knezevac,Psenica i Paprika
2016-01-02 05:00:00,-3.46,-3.39,-3.52,100.0,,,0.0,0.8,0.9,0.8,Kikinda,Novi Knezevac,Psenica i Paprika
