Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2016-10-15 00:00:00,8.16,8.3,8.02,0.0,0.0,0.0,0.0,9.9,10.4,9.5,Zrenjanin,Hetin,Psenica
2016-10-15 01:00:00,8.41,8.5,8.36,0.0,0.0,0.0,0.0,9.8,10.7,9.3,Zrenjanin,Hetin,Psenica
2016-10-15 02:00:00,8.28,8.8,8.03,0.0,0.0,0.0,0.0,9.7,10.2,9.4,Zrenjanin,Hetin,Psenica
2016-10-15 03:00:00,9.73,10.04,8.97,0.0,0.0,0.0,0.0,9.6,10.3,8.9,Zrenjanin,Hetin,Psenica
2016-10-15 04:00:00,9.8,9.96,9.64,0.0,0.0,0.0,0.0,9.5,10.1,8.4,Zrenjanin,Hetin,Psenica
2016-10-15 05:00:00,9.67,9.86,9.55,0.0,0.0,0.0,0.0,9.3,10.1,8.5,Zrenjanin,Hetin,Psenica
2016-10-15 06:00:00,9.38,9.58,9.14,0.0,0.0,0.0,0.0,9.6,10.7,8.7,Zrenjanin,Hetin,Psenica
2016-10-15 07:00:00,9.34,9.73,9.05,0.0,0.0,0.0,0.0,9.5,10.0,8.9,Zrenjanin,Hetin,Psenica
2016-10-15 08:00:00,10.4,11.16,9.79,0.0,0.0,0.0,0.0,9.3,9.8,9.0,Zrenjanin,Hetin,Psenica
2016-10-15 09:00:00,12.08,12.71,11.47,0.0,0.0,0.0,0.0,9.8,10.3,9.4,Zrenjanin,Hetin,Psenica
2016-10-15 10:00:00,12.99,13.15,12.87,0.0,0.0,0.0,0.0,10.0,10.7,9.7,Zrenjanin,Hetin,Psenica
2016-10-15 11:00:00,13.04,13.47,12.85,0.0,0.0,0.0,0.0,10.2,10.9,9.9,Zrenjanin,Hetin,Psenica
2016-10-15 12:00:00,14.56,15.48,13.64,0.0,0.0,0.0,0.0,10.3,11.0,10.0,Zrenjanin,Hetin,Psenica
2016-10-15 13:00:00,15.57,16.01,15.33,0.0,0.0,0.0,0.0,10.8,11.7,10.3,Zrenjanin,Hetin,Psenica
2016-10-15 14:00:00,15.8,16.42,15.34,0.0,0.0,0.0,0.0,11.0,12.2,10.2,Zrenjanin,Hetin,Psenica
