Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2016-11-02 00:00:00,4.77,4.98,4.44,100.0,,,0.0,10.2,10.3,10.2,Subotica,Zednik,Psenica
2016-11-02 01:00:00,4.52,4.77,4.11,100.0,,,0.0,10.2,10.3,10.1,Subotica,Zednik,Psenica
2016-11-02 02:00:00,4.49,4.89,4.17,100.0,,,0.0,10.2,10.3,10.2,Subotica,Zednik,Psenica
2016-11-02 03:00:00,3.9,4.4,3.29,100.0,,,0.0,10.2,10.3,10.2,Subotica,Zednik,Psenica
2016-11-02 04:00:00,3.69,4.02,3.44,100.0,,,0.0,10.2,10.3,10.2,Subotica,Zednik,Psenica
2016-11-02 05:00:00,3.09,3.22,2.94,100.0,,,0.0,10.2,10.3,10.1,Subotica,Zednik,Psenica
2016-11-02 06:00:00,3.02,3.31,2.7,100.0,,,0.0,10.2,10.3,10.2,Subotica,Zednik,Psenica
2016-11-02 07:00:00,3.23,3.85,2.95,100.0,,,0.0,10.2,10.3,10.0,Subotica,Zednik,Psenica
2016-11-02 08:00:00,5.47,6.71,4.34,100.0,,,0.0,10.1,10.3,10.1,Subotica,Zednik,Psenica
2016-11-02 09:00:00,7.54,8.61,6.88,83.33,,,0.0,10.1,10.3,10.0,Subotica,Zednik,Psenica
2016-11-02 10:00:00,9.92,11.04,8.92,100.0,,,0.0,10.1,10.3,10.0,Subotica,Zednik,Psenica
2016-11-02 11:00:00,13.0,14.21,11.33,100.0,,,0.0,10.1,10.2,10.1,Subotica,Zednik,Psenica
2016-11-02 12:00:00,15.28,16.17,14.55,100.0,,,0.0,10.1,10.2,10.0,Subotica,Zednik,Psenica
2016-11-02 13:00:00,16.72,17.11,16.32,99.98,,,0.0,10.1,10.2,10.0,Subotica,Zednik,Psenica
2016-11-02 14:00:00,15.18,15.99,14.45,100.0,,,0.0,10.0,10.2,10.0,Subotica,Zednik,Psenica
2016-11-02 15:00:00,13.7,14.15,12.89,100.0,,,0.0,10.1,10.2,10.1,Subotica,Zednik,Psenica
2016-11-02 16:00:00,12.16,12.77,11.3,100.0,,,0.6,10.1,10.2,10.1,Subotica,Zednik,Psenica
2016-11-02 17:00:00,11.32,11.49,11.18,100.0,,,0.6,10.1,10.2,10.0,Subotica,Zednik,Psenica
2016-11-02 18:00:00,10.84,11.16,10.5,100.0,,,0.2,10.1,10.2,10.0,Subotica,Zednik,Psenica
2016-11-02 19:00:00,10.23,10.56,9.94,100.0,,,0.0,10.1,10.2,10.0,Subotica,Zednik,Psenica
2016-11-02 20:00:00,9.69,10.04,9.45,25.0,,,0.0,10.1,10.3,10.0,Subotica,Zednik,Psenica
2016-11-02 21:00:00,9.8,10.19,9.39,0.0,,,0.2,10.1,10.3,10.1,Subotica,Zednik,Psenica
2016-11-02 22:00:00,9.44,9.92,8.87,0.0,,,0.6,10.1,10.3,10.1,Subotica,Zednik,Psenica
2016-11-02 23:00:00,8.65,8.97,8.23,0.0,,,0.4,10.1,10.3,10.0,Subotica,Zednik,Psenica
2016-11-03 00:00:00,8.03,8.31,7.63,23.78,,,0.0,10.1,10.3,10.1,Subotica,Zednik,Psenica
2016-11-03 01:00:00,7.56,7.77,7.41,16.66,,,0.0,10.2,10.3,10.1,Subotica,Zednik,Psenica
2016-11-03 02:00:00,7.4,7.54,7.2,25.0,,,0.0,10.2,10.3,10.2,Subotica,Zednik,Psenica
2016-11-03 03:00:00,7.21,7.39,7.06,91.66,,,0.0,10.2,10.3,10.0,Subotica,Zednik,Psenica
2016-11-03 04:00:00,6.94,7.17,6.84,74.31,,,0.0,10.2,10.3,10.0,Subotica,Zednik,Psenica
2016-11-03 05:00:00,6.8,6.86,6.7,25.0,,,0.0,10.2,10.3,10.1,Subotica,Zednik,Psenica
2016-11-03 06:00:00,6.61,6.72,6.51,57.65,,,0.0,10.2,10.3,10.1,Subotica,Zednik,Psenica
2016-11-03 07:00:00,6.52,6.6,6.47,83.33,,,0.0,10.2,10.3,10.1,Subotica,Zednik,Psenica
2016-11-03 08:00:00,6.75,6.94,6.5,0.0,,,0.0,10.2,10.3,10.1,Subotica,Zednik,Psenica
2016-11-03 09:00:00,7.5,7.82,7.02,0.0,,,0.0,10.2,10.5,10.1,Subotica,Zednik,Psenica
2016-11-03 10:00:00,8.12,8.53,7.88,0.0,,,0.0,10.2,10.3,10.1,Subotica,Zednik,Psenica
2016-11-03 11:00:00,9.35,9.76,8.63,0.0,,,0.0,10.3,10.5,10.1,Subotica,Zednik,Psenica
2016-11-03 12:00:00,9.48,9.59,9.37,0.0,,,0.0,10.2,10.3,10.2,Subotica,Zednik,Psenica
2016-11-03 13:00:00,9.97,10.42,9.57,0.0,,,0.0,10.2,10.5,10.1,Subotica,Zednik,Psenica
2016-11-03 14:00:00,9.97,10.41,9.67,0.0,,,0.0,10.2,10.3,10.2,Subotica,Zednik,Psenica
2016-11-03 15:00:00,9.45,9.94,8.78,0.0,,,0.0,10.2,10.3,10.1,Subotica,Zednik,Psenica
2016-11-03 16:00:00,8.5,9.06,7.59,0.0,,,0.0,10.2,10.5,10.1,Subotica,Zednik,Psenica
2016-11-03 17:00:00,5.76,7.32,4.02,0.0,,,0.0,10.3,10.6,10.1,Subotica,Zednik,Psenica
2016-11-03 18:00:00,3.9,4.92,3.06,0.0,,,0.0,10.2,10.5,10.1,Subotica,Zednik,Psenica
2016-11-03 19:00:00,2.97,3.7,2.19,33.33,,,0.0,10.2,10.5,10.1,Subotica,Zednik,Psenica
2016-11-03 20:00:00,1.85,2.71,1.17,58.33,,,0.0,10.2,10.5,10.2,Subotica,Zednik,Psenica
2016-11-03 21:00:00,0.65,1.3,-0.01,25.0,,,0.0,10.2,10.5,10.1,Subotica,Zednik,Psenica
2016-11-03 22:00:00,0.34,0.81,-0.11,100.0,,,0.0,10.2,10.5,10.1,Subotica,Zednik,Psenica
2016-11-03 23:00:00,0.0,0.3,-0.29,100.0,,,0.0,10.2,10.5,10.0,Subotica,Zednik,Psenica
2016-11-04 00:00:00,-0.16,0.04,-0.63,100.0,,,0.0,10.2,10.3,10.1,Subotica,Zednik,Psenica
2016-11-04 01:00:00,-0.54,-0.08,-1.12,100.0,,,0.0,10.2,10.3,10.2,Subotica,Zednik,Psenica
2016-11-04 02:00:00,-1.18,-0.79,-1.94,100.0,,,0.0,10.2,10.3,10.0,Subotica,Zednik,Psenica
2016-11-04 03:00:00,-1.55,-1.17,-1.87,100.0,,,0.0,10.2,10.3,10.0,Subotica,Zednik,Psenica
2016-11-04 04:00:00,-1.66,-1.34,-2.1,100.0,,,0.0,10.1,10.3,10.0,Subotica,Zednik,Psenica
2016-11-04 05:00:00,-1.65,-1.37,-1.88,100.0,,,0.0,10.1,10.3,10.0,Subotica,Zednik,Psenica
2016-11-04 06:00:00,-2.48,-1.76,-3.02,100.0,,,0.0,10.1,10.2,10.1,Subotica,Zednik,Psenica
2016-11-04 07:00:00,-2.16,-1.84,-2.57,100.0,,,0.0,10.1,10.2,9.9,Subotica,Zednik,Psenica
2016-11-04 08:00:00,-0.78,0.34,-1.69,83.33,,,0.0,10.0,10.2,10.0,Subotica,Zednik,Psenica
2016-11-04 09:00:00,2.33,5.15,0.06,100.0,,,0.2,9.9,10.0,9.9,Subotica,Zednik,Psenica
2016-11-04 10:00:00,5.1,6.8,3.59,100.0,,,0.0,9.9,10.0,9.8,Subotica,Zednik,Psenica
2016-11-04 11:00:00,7.93,8.72,7.16,100.0,,,0.0,9.8,9.9,9.8,Subotica,Zednik,Psenica
2016-11-04 12:00:00,9.18,9.57,8.68,85.04,,,0.0,9.8,9.9,9.7,Subotica,Zednik,Psenica
2016-11-04 13:00:00,9.45,9.82,9.11,84.53,,,0.0,9.8,9.9,9.6,Subotica,Zednik,Psenica
2016-11-04 14:00:00,9.45,9.83,9.31,81.99,,,0.0,9.8,9.9,9.7,Subotica,Zednik,Psenica
2016-11-04 15:00:00,9.31,9.56,9.19,78.79,,,0.0,9.7,9.9,9.6,Subotica,Zednik,Psenica
2016-11-04 16:00:00,8.36,9.32,7.14,87.78,,,0.0,9.7,9.9,9.5,Subotica,Zednik,Psenica
2016-11-04 17:00:00,5.34,6.63,4.22,100.0,,,0.0,9.6,9.8,9.6,Subotica,Zednik,Psenica
2016-11-04 18:00:00,3.37,4.04,2.42,100.0,,,0.0,9.6,9.8,9.6,Subotica,Zednik,Psenica
2016-11-04 19:00:00,2.1,2.3,1.82,100.0,,,0.0,9.6,9.7,9.4,Subotica,Zednik,Psenica
2016-11-04 20:00:00,1.5,1.86,1.08,100.0,,,0.0,9.6,9.7,9.6,Subotica,Zednik,Psenica
2016-11-04 21:00:00,1.06,1.3,0.79,100.0,,,0.0,9.5,9.7,9.5,Subotica,Zednik,Psenica
2016-11-04 22:00:00,0.67,0.91,0.13,100.0,,,0.0,9.5,9.7,9.5,Subotica,Zednik,Psenica
2016-11-04 23:00:00,0.67,0.81,0.49,100.0,,,0.0,9.6,9.8,9.5,Subotica,Zednik,Psenica
2016-11-05 00:00:00,0.33,0.68,0.11,100.0,,,0.0,9.5,9.7,9.5,Subotica,Zednik,Psenica
2016-11-05 01:00:00,0.22,0.49,0.09,100.0,,,0.0,9.5,9.6,9.5,Subotica,Zednik,Psenica
2016-11-05 02:00:00,0.56,0.65,0.5,100.0,,,0.0,9.5,9.6,9.4,Subotica,Zednik,Psenica
2016-11-05 03:00:00,0.79,1.09,0.39,100.0,,,0.0,9.5,9.6,9.3,Subotica,Zednik,Psenica
2016-11-05 04:00:00,0.39,0.75,0.01,100.0,,,0.0,9.5,9.6,9.3,Subotica,Zednik,Psenica
2016-11-05 05:00:00,0.16,0.44,-0.04,100.0,,,0.0,9.5,9.6,9.3,Subotica,Zednik,Psenica
2016-11-05 06:00:00,-0.03,0.54,-0.22,100.0,,,0.0,9.4,9.6,9.3,Subotica,Zednik,Psenica
2016-11-05 07:00:00,0.68,1.04,0.46,100.0,,,0.0,9.3,9.4,9.3,Subotica,Zednik,Psenica
2016-11-05 08:00:00,1.78,2.48,1.1,100.0,,,0.0,9.4,9.5,9.4,Subotica,Zednik,Psenica
2016-11-05 09:00:00,3.41,4.33,2.59,100.0,,,0.0,9.3,9.4,9.2,Subotica,Zednik,Psenica
2016-11-05 10:00:00,5.5,6.43,4.53,100.0,,,0.0,9.3,9.4,9.2,Subotica,Zednik,Psenica
2016-11-05 11:00:00,7.72,8.96,6.5,100.0,,,0.0,9.2,9.3,9.2,Subotica,Zednik,Psenica
2016-11-05 12:00:00,9.95,11.04,9.31,100.0,,,0.0,9.2,9.3,9.1,Subotica,Zednik,Psenica
2016-11-05 13:00:00,11.51,11.79,11.11,100.0,,,0.0,9.2,9.3,9.1,Subotica,Zednik,Psenica
2016-11-05 14:00:00,12.35,12.79,11.95,100.0,,,0.0,9.2,9.3,9.1,Subotica,Zednik,Psenica
2016-11-05 15:00:00,12.16,12.66,11.51,100.0,,,0.0,9.1,9.2,9.1,Subotica,Zednik,Psenica
2016-11-05 16:00:00,11.18,11.43,10.97,100.0,,,0.0,9.1,9.2,9.1,Subotica,Zednik,Psenica
2016-11-05 17:00:00,11.07,11.27,10.95,100.0,,,0.0,9.1,9.3,9.1,Subotica,Zednik,Psenica
2016-11-05 18:00:00,11.26,11.38,11.11,100.0,,,0.0,9.1,9.2,9.1,Subotica,Zednik,Psenica
2016-11-05 19:00:00,11.27,11.47,11.14,100.0,,,0.0,9.1,9.2,9.1,Subotica,Zednik,Psenica
2016-11-05 20:00:00,11.58,11.72,11.46,100.0,,,0.0,9.1,9.2,9.0,Subotica,Zednik,Psenica
2016-11-05 21:00:00,11.24,11.68,10.97,100.0,,,0.6,9.2,9.3,9.1,Subotica,Zednik,Psenica
2016-11-05 22:00:00,11.14,11.23,10.99,100.0,,,0.0,9.2,9.3,9.1,Subotica,Zednik,Psenica
2016-11-05 23:00:00,11.2,11.34,11.13,100.0,,,0.0,9.2,9.4,9.1,Subotica,Zednik,Psenica
2016-11-06 00:00:00,11.23,11.43,11.11,100.0,,,0.2,9.2,9.3,9.1,Subotica,Zednik,Psenica
2016-11-06 01:00:00,11.31,11.47,11.23,100.0,,,0.0,9.2,9.4,9.1,Subotica,Zednik,Psenica
2016-11-06 02:00:00,10.92,11.29,10.7,100.0,,,0.4,9.3,9.4,9.3,Subotica,Zednik,Psenica
2016-11-06 03:00:00,10.96,11.23,10.83,100.0,,,0.0,9.2,9.4,9.2,Subotica,Zednik,Psenica
2016-11-06 04:00:00,11.26,11.42,11.1,100.0,,,0.4,9.3,9.4,9.2,Subotica,Zednik,Psenica
2016-11-06 05:00:00,11.23,11.37,11.06,100.0,,,0.0,9.3,9.4,9.2,Subotica,Zednik,Psenica
2016-11-06 06:00:00,11.01,11.09,10.95,100.0,,,0.0,9.3,9.5,9.3,Subotica,Zednik,Psenica
2016-11-06 07:00:00,11.2,11.43,10.98,100.0,,,0.0,9.3,9.5,9.2,Subotica,Zednik,Psenica
2016-11-06 08:00:00,11.8,12.26,11.47,100.0,,,0.0,9.4,9.5,9.3,Subotica,Zednik,Psenica
2016-11-06 09:00:00,13.4,14.18,12.23,100.0,,,0.0,9.3,9.4,9.2,Subotica,Zednik,Psenica
2016-11-06 10:00:00,14.12,14.31,13.8,100.0,,,0.0,9.4,9.6,9.3,Subotica,Zednik,Psenica
2016-11-06 11:00:00,14.5,15.31,14.02,100.0,,,0.2,9.4,9.6,9.3,Subotica,Zednik,Psenica
2016-11-06 12:00:00,15.08,15.46,14.49,100.0,,,0.0,9.5,9.6,9.4,Subotica,Zednik,Psenica
2016-11-06 13:00:00,15.22,15.97,14.72,65.88,,,0.0,9.5,9.6,9.3,Subotica,Zednik,Psenica
2016-11-06 14:00:00,15.31,15.63,15.01,7.55,,,0.0,9.5,9.6,9.4,Subotica,Zednik,Psenica
2016-11-06 15:00:00,14.71,15.16,14.54,0.0,,,0.0,9.5,9.6,9.4,Subotica,Zednik,Psenica
2016-11-06 16:00:00,14.45,14.76,14.1,48.99,,,0.0,9.5,9.6,9.5,Subotica,Zednik,Psenica
2016-11-06 17:00:00,13.37,14.11,12.96,16.66,,,0.0,9.5,9.7,9.4,Subotica,Zednik,Psenica
2016-11-06 18:00:00,13.55,15.39,12.85,15.98,,,0.0,9.5,9.7,9.5,Subotica,Zednik,Psenica
2016-11-06 19:00:00,14.98,15.36,14.79,7.58,,,0.0,9.6,9.7,9.6,Subotica,Zednik,Psenica
2016-11-06 20:00:00,14.83,15.09,14.49,0.0,,,0.0,9.7,9.8,9.6,Subotica,Zednik,Psenica
2016-11-06 21:00:00,14.37,14.63,14.1,0.0,,,0.0,9.7,9.9,9.6,Subotica,Zednik,Psenica
2016-11-06 22:00:00,14.29,14.59,13.95,0.0,,,0.0,9.7,9.9,9.6,Subotica,Zednik,Psenica
2016-11-06 23:00:00,14.5,15.08,14.17,0.0,,,0.0,9.7,9.9,9.6,Subotica,Zednik,Psenica
2016-11-07 00:00:00,14.37,15.63,12.72,0.0,,,0.6,9.8,9.9,9.7,Subotica,Zednik,Psenica
2016-11-07 01:00:00,11.8,12.36,11.42,0.0,,,0.0,9.8,9.9,9.7,Subotica,Zednik,Psenica
2016-11-07 02:00:00,10.88,11.95,9.3,0.0,,,2.6,9.8,9.9,9.7,Subotica,Zednik,Psenica
2016-11-07 03:00:00,8.16,9.18,7.6,25.0,,,2.6,9.8,10.0,9.8,Subotica,Zednik,Psenica
2016-11-07 04:00:00,7.52,7.74,7.26,83.33,,,0.6,9.9,10.1,9.7,Subotica,Zednik,Psenica
2016-11-07 05:00:00,6.94,7.05,6.76,40.29,,,0.0,9.8,10.1,9.7,Subotica,Zednik,Psenica
2016-11-07 06:00:00,6.57,6.75,6.25,15.34,,,0.0,9.9,10.1,9.8,Subotica,Zednik,Psenica
2016-11-07 07:00:00,5.5,6.05,5.21,0.0,,,0.0,9.9,10.1,9.9,Subotica,Zednik,Psenica
2016-11-07 08:00:00,5.54,5.93,5.26,32.66,,,0.0,9.9,10.1,9.8,Subotica,Zednik,Psenica
2016-11-07 09:00:00,6.61,7.08,6.05,91.66,,,0.0,10.0,10.2,9.9,Subotica,Zednik,Psenica
2016-11-07 10:00:00,7.63,8.06,7.17,25.0,,,0.0,10.0,10.2,9.9,Subotica,Zednik,Psenica
2016-11-07 11:00:00,8.75,9.39,8.27,82.64,,,0.0,10.0,10.2,9.9,Subotica,Zednik,Psenica
2016-11-07 12:00:00,9.58,10.06,9.04,100.0,,,0.0,10.0,10.2,9.9,Subotica,Zednik,Psenica
2016-11-07 13:00:00,10.18,10.6,9.77,100.0,,,0.0,10.0,10.2,10.0,Subotica,Zednik,Psenica
2016-11-07 14:00:00,10.4,10.85,10.04,100.0,,,0.0,10.0,10.2,9.9,Subotica,Zednik,Psenica
2016-11-07 15:00:00,10.57,10.95,10.31,100.0,,,0.0,10.0,10.2,9.9,Subotica,Zednik,Psenica
2016-11-07 16:00:00,9.29,10.5,8.24,100.0,,,0.0,10.0,10.2,9.9,Subotica,Zednik,Psenica
2016-11-07 17:00:00,7.42,8.19,7.01,100.0,,,0.0,10.0,10.2,9.9,Subotica,Zednik,Psenica
2016-11-07 18:00:00,7.86,8.29,7.52,100.0,,,0.0,10.0,10.2,10.0,Subotica,Zednik,Psenica
2016-11-07 19:00:00,6.84,7.45,6.39,81.64,,,0.0,10.0,10.2,10.0,Subotica,Zednik,Psenica
2016-11-07 20:00:00,6.01,6.24,5.73,15.32,,,0.0,10.0,10.2,10.0,Subotica,Zednik,Psenica
