Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2017-07-08 00:00:00,23.5,23.78,23.38,86.35,,,0.0,26.0,26.2,25.9,Novi Sad,Kac,Jabuka
2017-07-08 01:00:00,22.58,23.11,21.96,84.02,,,0.0,25.7,25.9,25.6,Novi Sad,Kac,Jabuka
2017-07-08 02:00:00,20.69,21.79,19.56,94.59,,,0.0,25.5,25.7,25.4,Novi Sad,Kac,Jabuka
2017-07-08 03:00:00,17.8,19.18,16.91,100.0,,,0.0,25.3,25.5,25.2,Novi Sad,Kac,Jabuka
2017-07-08 04:00:00,16.17,17.0,15.52,100.0,,,0.0,25.1,25.3,25.0,Novi Sad,Kac,Jabuka
2017-07-08 05:00:00,17.02,18.79,15.75,100.0,,,0.0,24.7,25.0,24.6,Novi Sad,Kac,Jabuka
2017-07-08 06:00:00,20.95,22.81,19.17,97.86,,,0.0,24.5,24.7,24.4,Novi Sad,Kac,Jabuka
2017-07-08 07:00:00,24.07,25.69,22.98,82.76,,,0.0,24.3,24.4,24.3,Novi Sad,Kac,Jabuka
2017-07-08 08:00:00,26.25,27.39,25.47,69.62,,,0.0,24.3,24.5,24.2,Novi Sad,Kac,Jabuka
2017-07-08 09:00:00,26.99,27.94,26.11,66.94,,,0.0,24.4,24.6,24.4,Novi Sad,Kac,Jabuka
2017-07-08 10:00:00,29.08,30.69,26.93,62.47,,,0.0,24.5,24.7,24.4,Novi Sad,Kac,Jabuka
2017-07-08 11:00:00,31.02,32.23,30.42,56.8,,,0.0,24.7,24.9,24.7,Novi Sad,Kac,Jabuka
2017-07-08 12:00:00,30.54,31.19,30.04,59.12,,,0.0,24.9,25.1,24.8,Novi Sad,Kac,Jabuka
2017-07-08 13:00:00,31.52,32.98,29.93,55.76,,,0.0,25.1,25.3,24.9,Novi Sad,Kac,Jabuka
2017-07-08 14:00:00,33.42,33.87,32.93,47.45,,,0.0,25.7,26.0,25.4,Novi Sad,Kac,Jabuka
2017-07-08 15:00:00,33.46,33.76,32.94,46.82,,,0.0,26.5,26.9,26.2,Novi Sad,Kac,Jabuka
2017-07-08 16:00:00,32.8,33.49,31.64,47.83,,,0.0,27.1,27.3,26.8,Novi Sad,Kac,Jabuka
2017-07-08 17:00:00,32.54,33.08,31.83,48.99,,,0.0,27.4,27.5,27.3,Novi Sad,Kac,Jabuka
2017-07-08 18:00:00,31.6,32.3,30.94,49.58,,,0.0,27.4,27.6,27.3,Novi Sad,Kac,Jabuka
2017-07-08 19:00:00,29.42,30.74,27.76,55.31,,,0.0,27.3,27.5,27.3,Novi Sad,Kac,Jabuka
2017-07-08 20:00:00,26.68,27.43,26.36,65.88,,,0.0,27.1,27.3,27.0,Novi Sad,Kac,Jabuka
2017-07-08 21:00:00,24.76,26.3,23.43,75.08,,,0.0,26.8,27.1,26.7,Novi Sad,Kac,Jabuka
2017-07-08 22:00:00,23.46,23.78,23.21,79.3,,,0.0,26.5,26.7,26.4,Novi Sad,Kac,Jabuka
2017-07-08 23:00:00,22.44,23.21,21.73,83.97,,,0.0,26.2,26.5,26.0,Novi Sad,Kac,Jabuka
2017-07-09 00:00:00,22.05,23.22,20.84,83.85,,,0.0,26.0,26.2,25.8,Novi Sad,Kac,Jabuka
2017-07-09 01:00:00,21.32,21.75,20.67,94.33,,,0.0,25.7,25.9,25.6,Novi Sad,Kac,Jabuka
2017-07-09 02:00:00,21.4,22.08,20.34,94.54,,,0.0,25.6,25.7,25.4,Novi Sad,Kac,Jabuka
2017-07-09 03:00:00,20.33,20.61,20.06,98.04,,,0.0,25.3,25.5,25.1,Novi Sad,Kac,Jabuka
2017-07-09 04:00:00,20.6,21.17,20.04,96.53,,,0.0,25.1,25.3,25.1,Novi Sad,Kac,Jabuka
2017-07-09 05:00:00,19.51,20.25,19.06,99.78,,,0.0,24.9,25.1,24.8,Novi Sad,Kac,Jabuka
2017-07-09 06:00:00,21.43,23.5,19.46,98.7,,,0.0,24.8,25.0,24.7,Novi Sad,Kac,Jabuka
2017-07-09 07:00:00,26.35,28.51,24.04,76.52,,,0.0,24.6,24.7,24.6,Novi Sad,Kac,Jabuka
2017-07-09 08:00:00,30.36,32.11,28.89,59.16,,,0.0,24.6,24.7,24.6,Novi Sad,Kac,Jabuka
2017-07-09 09:00:00,32.66,33.39,31.25,48.74,,,0.0,24.8,25.0,24.7,Novi Sad,Kac,Jabuka
2017-07-09 10:00:00,33.73,34.56,33.16,42.0,,,0.0,25.1,25.3,24.9,Novi Sad,Kac,Jabuka
2017-07-09 11:00:00,34.86,35.96,33.46,38.3,,,0.0,25.3,25.5,25.2,Novi Sad,Kac,Jabuka
2017-07-09 12:00:00,35.98,37.59,34.63,36.21,,,0.0,25.5,25.8,25.2,Novi Sad,Kac,Jabuka
2017-07-09 13:00:00,36.1,37.09,35.42,36.21,,,0.0,26.1,26.5,25.8,Novi Sad,Kac,Jabuka
2017-07-09 14:00:00,35.78,36.83,34.6,34.84,,,0.0,26.9,27.3,26.5,Novi Sad,Kac,Jabuka
2017-07-09 15:00:00,34.36,36.43,33.62,43.15,,,0.0,27.5,27.7,27.3,Novi Sad,Kac,Jabuka
2017-07-09 16:00:00,35.12,36.16,33.99,46.17,,,0.0,27.9,28.2,27.7,Novi Sad,Kac,Jabuka
2017-07-09 17:00:00,34.77,35.34,34.16,45.29,,,0.0,28.0,28.2,27.9,Novi Sad,Kac,Jabuka
2017-07-09 18:00:00,33.18,34.22,31.97,48.94,,,0.0,28.1,28.3,28.1,Novi Sad,Kac,Jabuka
2017-07-09 19:00:00,30.17,31.6,28.21,57.19,,,0.0,28.0,28.1,27.8,Novi Sad,Kac,Jabuka
2017-07-09 20:00:00,25.76,27.73,23.92,73.26,,,0.0,27.7,28.0,27.5,Novi Sad,Kac,Jabuka
2017-07-09 21:00:00,22.8,23.73,21.71,90.74,,,0.0,27.5,27.7,27.4,Novi Sad,Kac,Jabuka
2017-07-09 22:00:00,21.0,21.61,20.57,98.6,,,0.0,27.2,27.3,27.1,Novi Sad,Kac,Jabuka
2017-07-09 23:00:00,19.77,20.42,19.32,100.0,,,0.0,26.8,27.1,26.6,Novi Sad,Kac,Jabuka
2017-07-10 00:00:00,19.25,19.4,18.92,100.0,,,0.0,26.5,26.8,26.4,Novi Sad,Kac,Jabuka
2017-07-10 01:00:00,18.37,18.9,17.97,100.0,,,0.0,26.2,26.4,26.0,Novi Sad,Kac,Jabuka
2017-07-10 02:00:00,17.8,17.97,17.59,100.0,,,0.0,25.9,26.2,25.7,Novi Sad,Kac,Jabuka
2017-07-10 03:00:00,17.58,17.74,17.46,100.0,,,0.0,25.7,25.8,25.6,Novi Sad,Kac,Jabuka
2017-07-10 04:00:00,17.22,17.46,16.95,100.0,,,0.0,25.4,25.7,25.3,Novi Sad,Kac,Jabuka
2017-07-10 05:00:00,17.64,18.99,17.06,100.0,,,0.0,25.2,25.4,25.1,Novi Sad,Kac,Jabuka
2017-07-10 06:00:00,21.43,23.43,19.6,98.99,,,0.0,25.1,25.3,24.9,Novi Sad,Kac,Jabuka
2017-07-10 07:00:00,25.93,27.58,23.86,79.58,,,0.0,24.9,25.0,24.8,Novi Sad,Kac,Jabuka
2017-07-10 08:00:00,28.68,30.01,27.6,65.99,,,0.0,24.8,25.0,24.8,Novi Sad,Kac,Jabuka
2017-07-10 09:00:00,30.94,31.66,29.99,57.73,,,0.0,25.0,25.1,24.8,Novi Sad,Kac,Jabuka
2017-07-10 10:00:00,32.87,33.72,32.0,52.73,,,0.0,25.2,25.4,25.1,Novi Sad,Kac,Jabuka
2017-07-10 11:00:00,34.68,35.59,33.37,49.49,,,0.0,25.4,25.5,25.3,Novi Sad,Kac,Jabuka
2017-07-10 12:00:00,36.04,36.84,35.28,44.37,,,0.0,25.7,26.0,25.5,Novi Sad,Kac,Jabuka
2017-07-10 13:00:00,37.31,37.9,36.95,39.55,,,0.0,26.2,26.6,25.9,Novi Sad,Kac,Jabuka
2017-07-10 14:00:00,38.16,39.19,37.62,38.79,,,0.0,26.9,27.4,26.6,Novi Sad,Kac,Jabuka
2017-07-10 15:00:00,38.67,39.42,37.77,37.15,,,0.0,27.8,28.2,27.5,Novi Sad,Kac,Jabuka
2017-07-10 16:00:00,37.89,38.7,37.24,38.28,,,0.0,28.4,28.7,28.2,Novi Sad,Kac,Jabuka
2017-07-10 17:00:00,36.5,37.53,35.79,39.18,,,0.0,28.7,28.8,28.7,Novi Sad,Kac,Jabuka
2017-07-10 18:00:00,34.56,35.55,33.31,42.44,,,0.0,28.8,28.9,28.8,Novi Sad,Kac,Jabuka
2017-07-10 19:00:00,31.48,33.11,29.05,55.2,,,0.0,28.6,28.9,28.4,Novi Sad,Kac,Jabuka
2017-07-10 20:00:00,26.96,28.58,25.43,79.99,,,0.0,28.4,28.7,28.4,Novi Sad,Kac,Jabuka
2017-07-10 21:00:00,25.57,26.0,25.21,83.37,,,0.0,28.1,28.4,27.9,Novi Sad,Kac,Jabuka
2017-07-10 22:00:00,24.86,25.28,24.54,82.68,,,0.0,27.8,28.0,27.6,Novi Sad,Kac,Jabuka
2017-07-10 23:00:00,26.56,26.96,25.64,73.66,,,0.0,27.5,27.7,27.4,Novi Sad,Kac,Jabuka
2017-07-11 00:00:00,26.41,27.07,25.91,74.93,,,0.0,27.3,27.5,27.2,Novi Sad,Kac,Jabuka
2017-07-11 01:00:00,24.76,25.71,23.99,81.65,,,0.0,27.1,27.3,27.0,Novi Sad,Kac,Jabuka
2017-07-11 02:00:00,22.15,23.78,20.75,94.09,,,0.0,26.8,27.0,26.7,Novi Sad,Kac,Jabuka
2017-07-11 03:00:00,19.87,20.7,19.26,100.0,,,0.0,26.6,26.7,26.5,Novi Sad,Kac,Jabuka
2017-07-11 04:00:00,18.45,19.14,17.87,100.0,,,0.0,26.3,26.5,26.2,Novi Sad,Kac,Jabuka
2017-07-11 05:00:00,17.98,18.6,17.56,100.0,,,0.0,26.1,26.2,26.0,Novi Sad,Kac,Jabuka
2017-07-11 06:00:00,21.13,24.04,18.84,99.04,,,0.0,25.8,26.1,25.7,Novi Sad,Kac,Jabuka
2017-07-11 07:00:00,27.34,30.03,24.38,75.85,,,0.0,25.6,25.8,25.6,Novi Sad,Kac,Jabuka
2017-07-11 08:00:00,31.96,33.32,30.23,56.4,,,0.0,25.6,25.8,25.6,Novi Sad,Kac,Jabuka
2017-07-11 09:00:00,34.15,34.78,32.87,44.48,,,0.0,25.8,26.1,25.7,Novi Sad,Kac,Jabuka
2017-07-11 10:00:00,35.97,36.77,35.01,42.19,,,0.0,26.0,26.2,25.9,Novi Sad,Kac,Jabuka
2017-07-11 11:00:00,36.43,37.59,35.45,37.56,,,0.0,26.2,26.5,26.1,Novi Sad,Kac,Jabuka
2017-07-11 12:00:00,36.42,36.91,35.86,33.88,,,0.0,26.5,26.8,26.3,Novi Sad,Kac,Jabuka
2017-07-11 13:00:00,36.71,37.8,35.94,34.84,,,0.0,27.0,27.4,26.7,Novi Sad,Kac,Jabuka
2017-07-11 14:00:00,36.84,37.43,36.34,33.84,,,0.0,27.7,28.2,27.4,Novi Sad,Kac,Jabuka
2017-07-11 15:00:00,37.0,37.64,36.32,31.58,,,0.0,28.5,28.9,28.3,Novi Sad,Kac,Jabuka
2017-07-11 16:00:00,36.51,37.35,35.83,33.28,,,0.0,29.1,29.3,28.9,Novi Sad,Kac,Jabuka
2017-07-11 17:00:00,35.34,35.87,34.95,34.7,,,0.0,29.3,29.5,29.2,Novi Sad,Kac,Jabuka
2017-07-11 18:00:00,34.54,35.2,33.78,36.76,,,0.0,29.4,29.6,29.3,Novi Sad,Kac,Jabuka
2017-07-11 19:00:00,31.42,33.73,27.96,48.58,,,0.0,29.2,29.4,29.1,Novi Sad,Kac,Jabuka
2017-07-11 20:00:00,25.71,27.5,24.25,70.79,,,0.0,28.9,29.2,28.8,Novi Sad,Kac,Jabuka
2017-07-11 21:00:00,23.38,23.83,23.14,87.31,,,0.0,28.5,28.8,28.4,Novi Sad,Kac,Jabuka
2017-07-11 22:00:00,25.89,26.47,23.53,71.63,,,0.0,28.2,28.4,28.2,Novi Sad,Kac,Jabuka
2017-07-11 23:00:00,23.6,25.34,22.44,80.17,,,0.0,27.9,28.2,27.7,Novi Sad,Kac,Jabuka
2017-07-12 00:00:00,21.97,22.22,21.6,89.61,,,0.0,27.6,27.9,27.5,Novi Sad,Kac,Jabuka
2017-07-12 01:00:00,21.53,22.1,20.96,89.98,,,0.0,27.3,27.5,27.3,Novi Sad,Kac,Jabuka
2017-07-12 02:00:00,22.49,24.24,21.21,88.04,,,0.0,27.1,27.3,27.0,Novi Sad,Kac,Jabuka
2017-07-12 03:00:00,20.79,21.47,20.24,100.0,,,0.2,26.8,27.0,26.7,Novi Sad,Kac,Jabuka
2017-07-12 04:00:00,20.09,20.23,19.92,100.0,,,0.0,26.6,26.9,26.6,Novi Sad,Kac,Jabuka
2017-07-12 05:00:00,19.7,19.92,19.57,100.0,,,0.0,26.4,26.7,26.3,Novi Sad,Kac,Jabuka
2017-07-12 06:00:00,20.7,21.32,20.0,100.0,,,0.0,26.1,26.4,26.0,Novi Sad,Kac,Jabuka
2017-07-12 07:00:00,21.53,22.41,21.0,100.0,,,0.0,26.0,26.2,25.9,Novi Sad,Kac,Jabuka
2017-07-12 08:00:00,23.08,24.42,22.39,99.34,,,0.0,25.9,26.1,25.9,Novi Sad,Kac,Jabuka
2017-07-12 09:00:00,25.13,26.29,24.23,84.94,,,0.0,26.0,26.1,25.9,Novi Sad,Kac,Jabuka
2017-07-12 10:00:00,26.98,28.04,25.79,73.16,,,0.0,26.0,26.2,25.9,Novi Sad,Kac,Jabuka
2017-07-12 11:00:00,27.98,28.85,27.29,66.8,,,0.0,26.1,26.3,26.0,Novi Sad,Kac,Jabuka
2017-07-12 12:00:00,29.28,30.19,28.43,58.84,,,0.0,26.3,26.7,26.2,Novi Sad,Kac,Jabuka
2017-07-12 13:00:00,30.08,31.11,28.48,56.76,,,0.0,26.7,27.1,26.5,Novi Sad,Kac,Jabuka
2017-07-12 14:00:00,30.85,32.21,28.93,53.09,,,0.0,27.4,27.7,27.1,Novi Sad,Kac,Jabuka
2017-07-12 15:00:00,31.35,32.37,30.76,51.25,,,0.0,28.0,28.4,27.7,Novi Sad,Kac,Jabuka
2017-07-12 16:00:00,31.45,31.91,31.0,49.85,,,0.0,28.5,28.9,28.3,Novi Sad,Kac,Jabuka
2017-07-12 17:00:00,31.15,31.88,30.74,50.64,,,0.0,28.8,28.9,28.6,Novi Sad,Kac,Jabuka
2017-07-12 18:00:00,29.97,30.45,29.41,52.05,,,0.0,28.8,28.9,28.8,Novi Sad,Kac,Jabuka
2017-07-12 19:00:00,28.09,29.45,26.52,58.37,,,0.0,28.7,28.9,28.6,Novi Sad,Kac,Jabuka
2017-07-12 20:00:00,24.1,26.12,22.39,76.99,,,0.0,28.4,28.7,28.2,Novi Sad,Kac,Jabuka
2017-07-12 21:00:00,21.4,22.28,20.8,93.57,,,0.0,28.0,28.3,27.9,Novi Sad,Kac,Jabuka
2017-07-12 22:00:00,19.63,20.95,18.73,99.12,,,0.0,27.7,28.0,27.5,Novi Sad,Kac,Jabuka
2017-07-12 23:00:00,18.45,18.87,17.95,100.0,,,0.0,27.4,27.6,27.3,Novi Sad,Kac,Jabuka
2017-07-13 00:00:00,18.24,18.6,17.96,100.0,,,0.0,27.1,27.3,26.8,Novi Sad,Kac,Jabuka
2017-07-13 01:00:00,19.14,20.0,18.49,100.0,,,0.0,26.7,26.9,26.5,Novi Sad,Kac,Jabuka
2017-07-13 02:00:00,20.7,21.73,20.4,100.0,,,2.4,26.5,26.7,26.4,Novi Sad,Kac,Jabuka
2017-07-13 03:00:00,20.46,20.73,20.32,100.0,,,0.4,26.3,26.7,26.1,Novi Sad,Kac,Jabuka
2017-07-13 04:00:00,19.82,20.27,19.54,100.0,,,0.4,26.1,26.3,26.0,Novi Sad,Kac,Jabuka
2017-07-13 05:00:00,19.7,19.87,19.59,100.0,,,0.0,25.8,26.1,25.7,Novi Sad,Kac,Jabuka
2017-07-13 06:00:00,20.07,20.41,19.94,100.0,,,0.0,25.7,25.8,25.6,Novi Sad,Kac,Jabuka
2017-07-13 07:00:00,21.46,23.17,20.47,100.0,,,0.0,25.4,25.7,25.3,Novi Sad,Kac,Jabuka
2017-07-13 08:00:00,24.12,24.83,23.33,90.98,,,0.0,25.3,25.6,25.1,Novi Sad,Kac,Jabuka
2017-07-13 09:00:00,25.6,26.22,25.02,66.03,,,0.0,25.3,25.6,25.2,Novi Sad,Kac,Jabuka
2017-07-13 10:00:00,25.53,26.16,25.13,59.46,,,0.0,25.3,25.5,25.2,Novi Sad,Kac,Jabuka
2017-07-13 11:00:00,26.23,26.78,25.4,53.91,,,0.0,25.3,25.5,25.2,Novi Sad,Kac,Jabuka
2017-07-13 12:00:00,26.76,28.11,25.39,50.83,,,0.0,25.2,25.3,25.2,Novi Sad,Kac,Jabuka
2017-07-13 13:00:00,27.21,27.64,26.35,49.46,,,0.0,25.5,25.8,25.2,Novi Sad,Kac,Jabuka
2017-07-13 14:00:00,27.55,28.19,26.89,47.42,,,0.0,26.0,26.3,25.7,Novi Sad,Kac,Jabuka
2017-07-13 15:00:00,27.58,28.03,27.3,45.99,,,0.0,26.6,26.9,26.2,Novi Sad,Kac,Jabuka
2017-07-13 16:00:00,27.03,27.63,26.53,45.11,,,0.0,27.0,27.2,26.9,Novi Sad,Kac,Jabuka
2017-07-13 17:00:00,26.38,26.81,26.09,44.43,,,0.0,27.2,27.4,27.1,Novi Sad,Kac,Jabuka
2017-07-13 18:00:00,24.94,25.88,24.07,44.68,,,0.0,27.1,27.3,27.0,Novi Sad,Kac,Jabuka
2017-07-13 19:00:00,23.05,24.02,21.47,50.02,,,0.0,26.8,27.0,26.7,Novi Sad,Kac,Jabuka
2017-07-13 20:00:00,19.0,20.99,17.5,65.09,,,0.0,26.4,26.6,26.2,Novi Sad,Kac,Jabuka
2017-07-13 21:00:00,17.34,18.78,16.21,70.1,,,0.0,26.0,26.4,25.7,Novi Sad,Kac,Jabuka
2017-07-13 22:00:00,16.25,17.3,14.88,73.96,,,0.0,25.6,25.8,25.4,Novi Sad,Kac,Jabuka
2017-07-13 23:00:00,14.52,15.18,13.83,81.8,,,0.0,25.2,25.4,24.9,Novi Sad,Kac,Jabuka
