Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2016-01-01 15:00:00,-1.23,-0.99,-1.35,55.61,,,0.0,0.6,0.8,0.5,Novi Sad,Cerevic,Breskva
2016-01-01 16:00:00,-1.49,-1.36,-1.62,59.49,,,0.0,0.6,0.8,0.6,Novi Sad,Cerevic,Breskva
2016-01-01 17:00:00,-1.68,-1.64,-1.73,63.4,,,0.0,0.5,0.7,0.5,Novi Sad,Cerevic,Breskva
2016-01-01 18:00:00,-1.79,-1.72,-1.83,66.73,,,0.0,0.5,0.6,0.5,Novi Sad,Cerevic,Breskva
2016-01-01 19:00:00,-1.84,-1.8,-1.89,70.09,,,0.0,0.5,0.6,0.5,Novi Sad,Cerevic,Breskva
2016-01-01 20:00:00,-1.96,-1.85,-2.2,73.6,,,0.0,0.5,0.6,0.5,Novi Sad,Cerevic,Breskva
2016-01-01 21:00:00,-2.6,-2.26,-2.97,88.47,,,0.0,0.6,0.7,0.5,Novi Sad,Cerevic,Breskva
2016-01-01 22:00:00,-2.98,-2.94,-3.01,99.94,,,0.0,0.5,0.6,0.4,Novi Sad,Cerevic,Breskva
2016-01-01 23:00:00,-2.87,-2.83,-2.94,100.0,,,0.0,0.6,0.7,0.5,Novi Sad,Cerevic,Breskva
2016-01-02 00:00:00,-2.66,-2.54,-2.85,100.0,,,0.0,0.5,0.6,0.5,Novi Sad,Cerevic,Breskva
2016-01-02 01:00:00,-2.49,-2.39,-2.53,100.0,,,0.0,0.5,0.6,0.5,Novi Sad,Cerevic,Breskva
2016-01-02 02:00:00,-2.43,-2.38,-2.48,100.0,,,0.0,0.6,0.6,0.6,Novi Sad,Cerevic,Breskva
2016-01-02 03:00:00,-2.35,-2.29,-2.41,100.0,,,0.0,0.6,0.7,0.5,Novi Sad,Cerevic,Breskva
2016-01-02 04:00:00,-2.43,-2.39,-2.46,100.0,,,0.0,0.5,0.6,0.5,Novi Sad,Cerevic,Breskva
2016-01-02 05:00:00,-2.4,-2.34,-2.47,100.0,,,0.0,0.5,0.6,0.4,Novi Sad,Cerevic,Breskva
2016-01-02 06:00:00,-2.43,-2.41,-2.48,100.0,,,0.0,0.5,0.7,0.5,Novi Sad,Cerevic,Breskva
2016-01-02 07:00:00,-2.45,-2.4,-2.5,100.0,,,0.0,0.5,0.7,0.5,Novi Sad,Cerevic,Breskva
2016-01-02 08:00:00,-2.39,-2.27,-2.49,93.07,,,0.0,0.5,0.6,0.5,Novi Sad,Cerevic,Breskva
2016-01-02 09:00:00,-2.0,-1.8,-2.23,88.12,,,0.0,0.5,0.8,0.5,Novi Sad,Cerevic,Breskva
2016-01-02 10:00:00,-1.41,-1.16,-1.69,84.24,,,0.0,0.5,0.6,0.4,Novi Sad,Cerevic,Breskva
2016-01-02 11:00:00,-0.95,-0.75,-1.09,78.9,,,0.0,0.5,0.7,0.5,Novi Sad,Cerevic,Breskva
2016-01-02 12:00:00,-0.92,-0.83,-0.98,79.14,,,0.0,0.5,0.6,0.5,Novi Sad,Cerevic,Breskva
2016-01-02 13:00:00,-0.87,-0.83,-0.94,79.64,,,0.0,0.6,0.6,0.6,Novi Sad,Cerevic,Breskva
2016-01-02 14:00:00,-1.05,-0.83,-1.36,84.17,,,0.0,0.6,0.7,0.5,Novi Sad,Cerevic,Breskva
2016-01-02 15:00:00,-1.7,-1.46,-1.93,88.38,,,0.0,0.6,0.7,0.5,Novi Sad,Cerevic,Breskva
2016-01-02 16:00:00,-2.28,-2.01,-2.62,86.77,,,0.0,0.6,0.7,0.6,Novi Sad,Cerevic,Breskva
2016-01-02 17:00:00,-2.9,-2.64,-3.13,85.65,,,0.0,0.5,0.6,0.5,Novi Sad,Cerevic,Breskva
2016-01-02 18:00:00,-3.22,-3.11,-3.31,83.01,,,0.0,0.6,0.7,0.6,Novi Sad,Cerevic,Breskva
2016-01-02 19:00:00,-3.37,-3.33,-3.46,80.97,,,0.0,0.5,0.6,0.5,Novi Sad,Cerevic,Breskva
2016-01-02 20:00:00,-3.63,-3.46,-3.8,81.1,,,0.0,0.5,0.6,0.5,Novi Sad,Cerevic,Breskva
2016-01-02 21:00:00,-3.87,-3.76,-3.97,81.75,,,0.0,0.5,0.7,0.5,Novi Sad,Cerevic,Breskva
2016-01-02 22:00:00,-3.95,-3.91,-4.01,82.25,,,0.0,0.5,0.7,0.5,Novi Sad,Cerevic,Breskva
2016-01-02 23:00:00,-4.0,-3.88,-4.14,84.73,,,0.0,0.5,0.7,0.5,Novi Sad,Cerevic,Breskva
2016-01-03 00:00:00,-4.32,-4.16,-4.48,90.71,,,0.0,0.5,0.6,0.5,Novi Sad,Cerevic,Breskva
2016-01-03 01:00:00,-4.53,-4.5,-4.56,96.67,,,0.0,0.5,0.6,0.5,Novi Sad,Cerevic,Breskva
2016-01-03 02:00:00,-4.67,-4.58,-4.77,96.43,,,0.0,0.5,0.6,0.4,Novi Sad,Cerevic,Breskva
2016-01-03 03:00:00,-4.68,-4.65,-4.72,96.89,,,0.0,0.4,0.5,0.4,Novi Sad,Cerevic,Breskva
2016-01-03 04:00:00,-5.06,-4.7,-5.28,98.74,,,0.0,0.4,0.5,0.4,Novi Sad,Cerevic,Breskva
2016-01-03 05:00:00,-5.34,-5.25,-5.47,95.76,,,0.0,0.4,0.5,0.4,Novi Sad,Cerevic,Breskva
2016-01-03 06:00:00,-5.79,-5.5,-6.1,96.41,,,0.0,0.4,0.6,0.4,Novi Sad,Cerevic,Breskva
2016-01-03 07:00:00,-6.14,-6.09,-6.2,97.43,,,0.0,0.4,0.5,0.4,Novi Sad,Cerevic,Breskva
2016-01-03 08:00:00,-6.42,-6.19,-6.59,98.24,,,0.0,0.4,0.5,0.2,Novi Sad,Cerevic,Breskva
2016-01-03 09:00:00,-6.44,-6.14,-6.6,96.74,,,0.0,0.4,0.5,0.3,Novi Sad,Cerevic,Breskva
2016-01-03 10:00:00,-6.11,-5.92,-6.36,91.38,,,0.0,0.4,0.6,0.4,Novi Sad,Cerevic,Breskva
2016-01-03 11:00:00,-6.48,-6.32,-6.69,92.19,,,0.0,0.4,0.5,0.2,Novi Sad,Cerevic,Breskva
2016-01-03 12:00:00,-6.64,-6.51,-6.76,93.59,,,0.0,0.4,0.5,0.4,Novi Sad,Cerevic,Breskva
2016-01-03 13:00:00,-6.68,-6.59,-6.84,91.68,,,0.0,0.4,0.5,0.2,Novi Sad,Cerevic,Breskva
2016-01-03 14:00:00,-7.01,-6.88,-7.12,96.3,,,0.0,0.4,0.5,0.3,Novi Sad,Cerevic,Breskva
2016-01-03 15:00:00,-7.09,-7.03,-7.15,95.97,,,0.0,0.4,0.5,0.3,Novi Sad,Cerevic,Breskva
2016-01-03 16:00:00,-7.47,-7.23,-7.65,94.33,,,0.0,0.3,0.5,0.3,Novi Sad,Cerevic,Breskva
2016-01-03 17:00:00,-7.65,-7.43,-7.8,94.2,,,0.0,0.3,0.4,0.3,Novi Sad,Cerevic,Breskva
2016-01-03 18:00:00,-7.76,-7.49,-7.91,81.73,,,0.0,0.3,0.4,0.3,Novi Sad,Cerevic,Breskva
2016-01-03 19:00:00,-8.11,-7.94,-8.34,78.63,,,0.0,0.3,0.4,0.2,Novi Sad,Cerevic,Breskva
2016-01-03 20:00:00,-8.51,-8.39,-8.62,80.49,,,0.0,0.3,0.4,0.2,Novi Sad,Cerevic,Breskva
2016-01-03 21:00:00,-8.65,-8.49,-8.8,83.28,,,0.0,0.3,0.4,0.3,Novi Sad,Cerevic,Breskva
2016-01-03 22:00:00,-8.81,-8.73,-8.97,83.45,,,0.0,0.3,0.4,0.3,Novi Sad,Cerevic,Breskva
2016-01-03 23:00:00,-9.43,-9.05,-9.8,84.76,,,0.0,0.3,0.4,0.3,Novi Sad,Cerevic,Breskva
2016-01-04 00:00:00,-9.84,-9.72,-9.94,84.75,,,0.0,0.3,0.4,0.3,Novi Sad,Cerevic,Breskva
2016-01-04 01:00:00,-10.12,-9.81,-10.59,83.95,,,0.0,0.3,0.5,0.1,Novi Sad,Cerevic,Breskva
2016-01-04 02:00:00,-10.57,-10.26,-10.84,85.31,,,0.0,0.3,0.5,0.2,Novi Sad,Cerevic,Breskva
2016-01-04 03:00:00,-10.66,-10.49,-10.87,82.94,,,0.0,0.2,0.4,0.1,Novi Sad,Cerevic,Breskva
2016-01-04 04:00:00,-10.43,-10.33,-10.57,78.1,,,0.0,0.2,0.4,0.1,Novi Sad,Cerevic,Breskva
2016-01-04 05:00:00,-10.41,-10.07,-10.63,72.78,,,0.0,0.2,0.4,0.1,Novi Sad,Cerevic,Breskva
2016-01-04 06:00:00,-9.63,-9.05,-9.95,64.05,,,0.0,0.2,0.3,0.1,Novi Sad,Cerevic,Breskva
2016-01-04 07:00:00,-9.31,-8.97,-9.49,60.89,,,0.0,0.2,0.4,0.1,Novi Sad,Cerevic,Breskva
2016-01-04 08:00:00,-9.43,-9.22,-9.52,61.96,,,0.0,0.2,0.3,0.2,Novi Sad,Cerevic,Breskva
2016-01-04 09:00:00,-8.95,-8.69,-9.08,62.29,,,0.0,0.2,0.3,0.1,Novi Sad,Cerevic,Breskva
2016-01-04 10:00:00,-8.2,-7.79,-8.59,61.9,,,0.0,0.2,0.3,0.1,Novi Sad,Cerevic,Breskva
2016-01-04 11:00:00,-7.5,-6.97,-7.88,63.08,,,0.0,0.1,0.3,0.1,Novi Sad,Cerevic,Breskva
2016-01-04 12:00:00,-6.29,-5.97,-6.95,64.73,,,0.0,0.1,0.3,0.0,Novi Sad,Cerevic,Breskva
2016-01-04 13:00:00,-5.89,-5.51,-6.22,72.83,,,0.0,0.1,0.3,0.0,Novi Sad,Cerevic,Breskva
2016-01-04 14:00:00,-5.92,-5.46,-6.27,86.38,,,0.0,0.1,0.3,0.1,Novi Sad,Cerevic,Breskva
2016-01-04 15:00:00,-6.01,-5.89,-6.11,97.89,,,0.0,0.1,0.3,0.0,Novi Sad,Cerevic,Breskva
