Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2016-01-01 22:00:00,-2.86,-2.82,-2.94,82.92,,,0.0,0.5,0.6,0.4,Senta,Bogaras,"Paprika,Secerna Repa, Psenica"
2016-01-01 23:00:00,-2.83,-2.8,-2.86,84.56,,,0.0,0.5,0.6,0.5,Senta,Bogaras,"Paprika,Secerna Repa, Psenica"
2016-01-02 00:00:00,-2.87,-2.83,-2.91,88.27,,,0.0,0.5,0.6,0.5,Senta,Bogaras,"Paprika,Secerna Repa, Psenica"
2016-01-02 01:00:00,-2.99,-2.92,-3.05,87.79,,,0.0,0.5,0.6,0.4,Senta,Bogaras,"Paprika,Secerna Repa, Psenica"
2016-01-02 02:00:00,-3.03,-3.01,-3.06,86.56,,,0.0,0.5,0.6,0.5,Senta,Bogaras,"Paprika,Secerna Repa, Psenica"
2016-01-02 03:00:00,-3.02,-2.98,-3.05,85.42,,,0.0,0.5,0.6,0.3,Senta,Bogaras,"Paprika,Secerna Repa, Psenica"
2016-01-02 04:00:00,-3.07,-3.01,-3.14,86.25,,,0.0,0.5,0.6,0.4,Senta,Bogaras,"Paprika,Secerna Repa, Psenica"
2016-01-02 05:00:00,-3.25,-3.15,-3.35,87.51,,,0.0,0.5,0.6,0.4,Senta,Bogaras,"Paprika,Secerna Repa, Psenica"
2016-01-02 06:00:00,-3.43,-3.35,-3.5,89.07,,,0.0,0.4,0.6,0.4,Senta,Bogaras,"Paprika,Secerna Repa, Psenica"
2016-01-02 07:00:00,-3.28,-3.23,-3.35,87.89,,,0.0,0.4,0.6,0.4,Senta,Bogaras,"Paprika,Secerna Repa, Psenica"
2016-01-02 08:00:00,-3.95,-3.42,-4.27,85.66,,,0.0,0.4,0.5,0.3,Senta,Bogaras,"Paprika,Secerna Repa, Psenica"
2016-01-02 09:00:00,-3.83,-3.72,-4.01,82.77,,,0.0,0.4,0.5,0.4,Senta,Bogaras,"Paprika,Secerna Repa, Psenica"
2016-01-02 10:00:00,-2.89,-2.25,-3.74,73.05,,,0.0,0.4,0.5,0.4,Senta,Bogaras,"Paprika,Secerna Repa, Psenica"
2016-01-02 11:00:00,-1.69,-1.13,-2.31,66.72,,,0.0,0.4,0.5,0.3,Senta,Bogaras,"Paprika,Secerna Repa, Psenica"
2016-01-02 12:00:00,-1.57,-0.84,-2.24,62.94,,,0.0,0.4,0.5,0.4,Senta,Bogaras,"Paprika,Secerna Repa, Psenica"
