Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2016-01-01 23:00:00,-2.6,-2.55,-2.69,92.77,,,0.0,-0.5,-0.4,-0.7,Zrenjanin,Lukicevo,Psenica Luk i Secerna repa
2016-01-02 00:00:00,-2.73,-2.67,-2.79,99.55,,,0.0,-0.5,-0.4,-0.7,Zrenjanin,Lukicevo,Psenica Luk i Secerna repa
2016-01-02 01:00:00,-2.85,-2.78,-2.93,98.38,,,0.0,-0.5,-0.3,-0.7,Zrenjanin,Lukicevo,Psenica Luk i Secerna repa
2016-01-02 02:00:00,-2.92,-2.89,-2.98,96.49,,,0.0,-0.5,-0.5,-0.7,Zrenjanin,Lukicevo,Psenica Luk i Secerna repa
2016-01-02 03:00:00,-2.93,-2.9,-3.0,93.71,,,0.0,-0.5,-0.3,-0.7,Zrenjanin,Lukicevo,Psenica Luk i Secerna repa
2016-01-02 04:00:00,-3.1,-3.01,-3.23,97.85,,,0.0,-0.6,-0.5,-0.7,Zrenjanin,Lukicevo,Psenica Luk i Secerna repa
2016-01-02 05:00:00,-3.31,-3.27,-3.34,96.1,,,0.0,-0.6,-0.5,-0.7,Zrenjanin,Lukicevo,Psenica Luk i Secerna repa
2016-01-02 06:00:00,-3.38,-3.32,-3.5,96.92,,,0.0,-0.5,-0.4,-0.8,Zrenjanin,Lukicevo,Psenica Luk i Secerna repa
2016-01-02 07:00:00,-3.66,-3.5,-4.02,99.15,,,0.0,-0.5,-0.4,-0.8,Zrenjanin,Lukicevo,Psenica Luk i Secerna repa
2016-01-02 08:00:00,-5.03,-4.08,-5.72,100.0,,,0.0,-0.6,-0.5,-0.8,Zrenjanin,Lukicevo,Psenica Luk i Secerna repa
2016-01-02 09:00:00,-4.69,-4.06,-5.46,97.32,,,0.0,-0.8,-0.6,-0.9,Zrenjanin,Lukicevo,Psenica Luk i Secerna repa
2016-01-02 10:00:00,-4.05,-3.55,-4.47,93.94,,,0.0,-0.7,-0.5,-0.9,Zrenjanin,Lukicevo,Psenica Luk i Secerna repa
2016-01-02 11:00:00,-2.75,-2.12,-3.46,88.93,,,0.0,-0.6,-0.5,-0.8,Zrenjanin,Lukicevo,Psenica Luk i Secerna repa
2016-01-02 12:00:00,-1.66,-1.24,-1.98,79.77,,,0.0,-0.6,-0.4,-0.8,Zrenjanin,Lukicevo,Psenica Luk i Secerna repa
2016-01-02 13:00:00,-1.3,-1.01,-1.52,75.44,,,0.0,-0.5,-0.5,-0.7,Zrenjanin,Lukicevo,Psenica Luk i Secerna repa
2016-01-02 14:00:00,-1.55,-1.32,-1.67,75.11,,,0.0,-0.5,-0.3,-0.7,Zrenjanin,Lukicevo,Psenica Luk i Secerna repa
2016-01-02 15:00:00,-1.92,-1.56,-2.15,75.78,,,0.0,-0.5,-0.4,-0.7,Zrenjanin,Lukicevo,Psenica Luk i Secerna repa
